Fold,Label,Prob,Preds
1,1,0.65356576,1
1,1,0.6525929,1
1,1,0.6521661,1
1,1,0.6521735,1
1,1,0.65033466,1
1,1,0.6510115,1
1,1,0.65148365,1
1,1,0.650653,1
1,1,0.6494969,1
1,1,0.65089935,1
1,1,0.6510997,1
1,1,0.6517396,1
1,1,0.65023905,1
1,1,0.6524517,1
1,1,0.4382451,0
1,1,0.43824622,0
1,1,0.43840274,0
1,1,0.4382755,0
1,1,0.43831724,0
1,1,0.43828285,0
1,1,0.43823457,0
1,1,0.4383349,0
1,1,0.43825713,0
1,1,0.43834674,0
1,1,0.43831477,0
1,1,0.43833354,0
1,1,0.4382778,0
1,1,0.438252,0
1,1,0.43829885,0
1,1,0.645108,1
1,1,0.6452266,1
1,1,0.64445025,1
1,1,0.6440874,1
1,1,0.64514196,1
1,1,0.64579564,1
1,1,0.6446392,1
1,1,0.6445702,1
1,1,0.7338129,1
1,1,0.73249006,1
1,1,0.73099977,1
1,1,0.7314663,1
1,1,0.73146933,1
1,1,0.72874177,1
1,1,0.73631775,1
1,1,0.7291901,1
1,1,0.72983074,1
1,1,0.72962314,1
1,1,0.73134845,1
1,1,0.7294057,1
1,1,0.73545957,1
1,1,0.6849961,1
1,1,0.6882229,1
1,1,0.6885622,1
1,1,0.68593204,1
1,1,0.68726486,1
1,1,0.69102734,1
1,1,0.689148,1
1,1,0.68956804,1
1,1,0.6893599,1
1,1,0.6910602,1
1,1,0.69158566,1
1,1,0.6893446,1
1,1,0.69264746,1
1,1,0.6899049,1
1,1,0.69085646,1
1,1,0.690361,1
1,1,0.6904068,1
1,1,0.7010598,1
1,1,0.70156366,1
1,1,0.70117,1
1,1,0.7004041,1
1,1,0.7023175,1
1,1,0.70426,1
1,1,0.70274514,1
1,1,0.70313376,1
1,1,0.7037161,1
1,1,0.7046739,1
1,1,0.7040923,1
1,1,0.70388275,1
1,1,0.70514405,1
1,1,0.69867593,1
1,1,0.6993212,1
1,1,0.70022565,1
1,1,0.699303,1
1,1,0.6982385,1
1,1,0.69822776,1
1,1,0.69771934,1
1,1,0.6973891,1
1,1,0.69833124,1
1,1,0.69875705,1
1,1,0.69819146,1
1,0,0.43825427,0
1,0,0.43830708,0
1,0,0.4382472,0
1,0,0.4382158,0
1,0,0.43831265,0
1,0,0.4382283,0
1,0,0.43831852,0
1,0,0.43828171,0
1,0,0.4383053,0
1,1,0.4381016,0
1,1,0.4381976,0
1,1,0.4381983,0
1,1,0.43815875,0
1,1,0.43815172,0
1,1,0.438136,0
1,1,0.4380747,0
1,1,0.5729517,1
1,1,0.57476467,1
1,1,0.5741347,1
1,1,0.57605696,1
1,1,0.57627904,1
1,1,0.57715076,1
1,1,0.5771425,1
1,1,0.5769878,1
1,1,0.5770861,1
1,1,0.64427435,1
1,1,0.64426833,1
