Fold,Label,Prob,Preds
1,1,0.6608259,1
1,1,0.4379578,0
1,1,0.47835332,0
1,1,0.6464563,1
1,1,0.53512394,1
1,1,0.68570155,1
1,1,0.57338566,1
1,1,0.5741222,1
1,1,0.57164466,1
1,1,0.5295255,1
1,1,0.43231922,0
1,1,0.5297491,1
1,1,0.48692048,0
1,1,0.50341755,1
1,1,0.47563535,0
1,1,0.3458557,0
1,1,0.2590174,0
1,1,0.27002025,0
1,1,0.2885584,0
1,1,0.39214835,0
1,1,0.22026826,0
1,1,0.25770897,0
1,1,0.28657934,0
1,1,0.22024105,0
1,1,0.3456498,0
1,1,0.36023116,0
1,1,0.24221374,0
1,1,0.24793686,0
1,1,0.39050812,0
1,1,0.6947887,1
1,1,0.73279285,1
1,1,0.7278684,1
1,1,0.745508,1
1,1,0.7431257,1
1,1,0.8005952,1
1,1,0.80451554,1
1,1,0.75413954,1
1,1,0.50813556,1
1,1,0.40923497,0
1,1,0.37446815,0
1,1,0.33186468,0
1,1,0.46927407,0
1,1,0.437598,0
1,1,0.3054673,0
1,1,0.3236636,0
1,1,0.3551755,0
1,1,0.35267487,0
1,1,0.3188935,0
1,1,0.3603374,0
1,1,0.42283785,0
1,1,0.4518894,0
1,1,0.51397634,1
1,1,0.4380912,0
1,1,0.39559314,0
1,1,0.47558007,0
1,1,0.5550602,1
1,1,0.48244128,0
1,1,0.55661625,1
1,1,0.52122074,1
1,1,0.56857663,1
1,1,0.39409873,0
1,1,0.53159165,1
1,1,0.55924636,1
1,1,0.34353197,0
1,1,0.41851386,0
1,1,0.52058774,1
1,1,0.50692916,1
1,1,0.3565701,0
1,1,0.3958007,0
1,1,0.48360983,0
1,1,0.39707562,0
1,1,0.4227747,0
1,1,0.44816026,0
1,1,0.4578149,0
1,1,0.44615835,0
1,1,0.47411144,0
1,1,0.43332502,0
1,1,0.4145539,0
1,1,0.43500787,0
1,1,0.4169077,0
1,1,0.34840646,0
1,1,0.45797727,0
1,1,0.491061,0
1,1,0.3816847,0
1,1,0.36010954,0
1,1,0.41395235,0
1,1,0.4070412,0
1,1,0.451948,0
1,1,0.4386616,0
1,1,0.4297025,0
1,1,0.36007386,0
1,0,0.25044608,0
1,0,0.2522898,0
1,0,0.31418568,0
1,0,0.17770885,0
1,0,0.2873506,0
1,0,0.24495557,0
1,0,0.20463188,0
1,0,0.27357993,0
1,0,0.30302167,0
1,1,0.12836377,0
1,1,0.16890876,0
1,1,0.10958846,0
1,1,0.10081413,0
1,1,0.12936778,0
1,1,0.2120562,0
1,1,0.10795987,0
1,1,0.85343647,1
1,1,0.91777444,1
1,1,0.8279161,1
1,1,0.90397316,1
1,1,0.93794453,1
1,1,0.91789925,1
1,1,0.9141633,1
1,1,0.95833707,1
1,1,0.8842695,1
1,1,0.6739541,1
1,1,0.54799044,1
1,1,0.68236274,1
1,1,0.66631347,1
1,1,0.62018406,1
1,1,0.7201178,1
1,1,0.62748843,1
1,1,0.70460427,1
1,1,0.6471523,1
1,1,0.5405281,1
1,1,0.47420576,0
1,1,0.6110336,1
1,1,0.51182574,1
1,1,0.57439697,1
1,1,0.68896836,1
1,1,0.5888302,1
1,1,0.6577177,1
1,1,0.6482703,1
1,1,0.55027485,1
1,1,0.5157612,1
1,1,0.48240927,0
1,1,0.4402541,0
1,1,0.5189751,1
1,1,0.44290683,0
1,1,0.4166127,0
1,1,0.50249225,1
1,1,0.6243712,1
1,1,0.49532992,0
1,1,0.48575276,0
1,1,0.5822983,1
1,1,0.56229985,1
1,1,0.7070288,1
1,1,0.557272,1
1,1,0.6332961,1
1,1,0.6855805,1
1,1,0.59232503,1
1,1,0.6784505,1
1,1,0.647836,1
1,1,0.7422118,1
1,1,0.69393647,1
1,1,0.6975673,1
1,1,0.55118746,1
1,1,0.5428148,1
1,1,0.38697642,0
1,1,0.4255071,0
1,1,0.4799671,0
1,1,0.4161669,0
1,1,0.3498111,0
1,1,0.45227674,0
1,1,0.5471902,1
1,1,0.48082975,0
1,1,0.52648824,1
1,1,0.51618403,1
1,1,0.54352367,1
1,1,0.38222837,0
1,1,0.498015,0
1,1,0.5223059,1
1,1,0.43912077,0
1,1,0.37456065,0
1,1,0.33932805,0
1,1,0.4251824,0
1,1,0.4439316,0
1,1,0.4788669,0
1,1,0.46181992,0
1,1,0.714433,1
1,1,0.6046174,1
1,1,0.74313426,1
1,1,0.74741775,1
1,1,0.7017246,1
1,1,0.78066415,1
1,1,0.75354624,1
1,1,0.71860886,1
1,1,0.7115997,1
1,1,0.6161952,1
1,1,0.591046,1
1,1,0.68059224,1
1,1,0.6489677,1
1,1,0.65294605,1
1,1,0.30905288,0
1,1,0.2342846,0
1,1,0.30799326,0
1,1,0.37142435,0
1,1,0.29377928,0
1,1,0.54131144,1
1,1,0.3870834,0
1,1,0.17223358,0
1,1,0.3185979,0
1,1,0.33627126,0
1,1,0.3489774,0
1,1,0.42343575,0
1,1,0.4336123,0
1,1,0.41147968,0
1,1,0.42918828,0
1,1,0.3755507,0
1,1,0.430722,0
1,1,0.45770344,0
1,1,0.3400949,0
1,1,0.317629,0
1,1,0.12063427,0
1,1,0.1502816,0
1,1,0.15458772,0
1,1,0.0934045,0
1,1,0.13152197,0
1,1,0.11252313,0
1,1,0.24555096,0
1,1,0.10450998,0
1,1,0.16976242,0
1,1,0.31463563,0
1,1,0.22891478,0
1,1,0.28195542,0
1,1,0.23418625,0
1,1,0.26668632,0
1,1,0.23025885,0
1,1,0.19436462,0
1,1,0.21130049,0
1,1,0.12185063,0
1,1,0.2941751,0
1,1,0.27295402,0
1,1,0.23038703,0
1,1,0.6216788,1
1,1,0.45363906,0
1,1,0.63301677,1
1,1,0.59599465,1
1,1,0.58703387,1
1,1,0.64954144,1
1,1,0.5813026,1
1,1,0.4995311,0
1,1,0.6830784,1
1,1,0.5662652,1
1,1,0.50728333,1
1,1,0.6212006,1
1,1,0.58356786,1
1,1,0.58182675,1
1,1,0.36163163,0
1,1,0.28919795,0
1,1,0.22554423,0
1,1,0.25311008,0
1,1,0.2883208,0
1,1,0.3980783,0
1,1,0.3156446,0
1,1,0.48888692,0
1,1,0.2891285,0
1,1,0.16546184,0
1,1,0.2821651,0
1,1,0.2428963,0
1,1,0.31452954,0
1,1,0.35307825,0
1,1,0.41624013,0
1,1,0.42323366,0
1,1,0.503416,1
1,1,0.3198149,0
1,1,0.4729111,0
1,1,0.4620538,0
1,1,0.3856169,0
1,1,0.32143527,0
1,1,0.045322493,0
1,1,0.0422141,0
1,1,0.04706422,0
1,1,0.089266844,0
1,1,0.056169648,0
1,1,0.064274065,0
1,1,0.039803505,0
1,1,0.040305305,0
1,1,0.030069629,0
1,1,0.57887465,1
1,1,0.40197447,0
1,1,0.5858041,1
1,1,0.5237428,1
1,1,0.4863281,0
1,1,0.5845686,1
1,1,0.57604665,1
1,1,0.47167686,0
1,1,0.60746163,1
1,1,0.44322476,0
1,1,0.40969914,0
1,1,0.4814653,0
1,1,0.47914892,0
1,1,0.5077006,1
1,1,0.37332585,0
1,1,0.3169891,0
1,1,0.3548191,0
1,1,0.3949875,0
1,1,0.33462974,0
1,1,0.2986883,0
1,1,0.36968878,0
1,1,0.4197075,0
1,1,0.40010846,0
1,1,0.4023429,0
1,1,0.39352503,0
1,1,0.48306435,0
1,1,0.304925,0
1,1,0.43593305,0
1,1,0.4327082,0
1,1,0.2686672,0
1,1,0.3156993,0
1,1,0.41546413,0
1,1,0.19849263,0
1,1,0.30172643,0
1,1,0.39029884,0
1,1,0.38390473,0
1,1,0.3013217,0
1,1,0.42143425,0
1,1,0.401415,0
1,1,0.39898324,0
1,1,0.37494546,0
1,1,0.23986503,0
1,1,0.29074475,0
1,1,0.29631054,0
1,1,0.26707777,0
1,1,0.30054638,0
1,1,0.34877816,0
1,1,0.47977614,0
1,1,0.36320946,0
1,1,0.31806624,0
1,1,0.31865665,0
1,1,0.30122784,0
1,1,0.33683366,0
1,1,0.24089676,0
1,1,0.6943655,1
1,1,0.6840523,1
1,1,0.7278874,1
1,1,0.707966,1
1,1,0.6933099,1
1,1,0.7486044,1
