Fold,Label,Prob,Preds
1,0,0.50250936,1
1,0,0.46206787,0
1,0,0.49940673,0
1,0,0.52441114,1
1,0,0.49438578,0
1,0,0.47739768,0
1,0,0.49905315,0
1,0,0.53063506,1
1,0,0.504325,1
1,0,0.5138154,1
1,0,0.5335992,1
1,0,0.5329179,1
1,1,0.5220012,1
1,1,0.5064969,1
1,1,0.5113041,1
1,1,0.49476302,0
1,1,0.50852275,1
1,1,0.4745522,0
1,1,0.55781883,1
1,1,0.49922645,0
1,1,0.5794349,1
1,1,0.53714395,1
1,1,0.53273827,1
1,1,0.5543039,1
1,1,0.5497045,1
1,1,0.5458996,1
1,1,0.55221415,1
1,1,0.56554896,1
1,1,0.54797876,1
1,1,0.5479166,1
1,1,0.5654845,1
1,1,0.5406809,1
1,1,0.55816406,1
1,0,0.55999094,1
1,0,0.5488762,1
1,0,0.5388638,1
1,0,0.54683733,1
1,0,0.5523615,1
1,0,0.54889864,1
1,0,0.5396255,1
1,0,0.5563648,1
1,0,0.5725504,1
1,0,0.5385045,1
1,0,0.5376055,1
1,1,0.54615945,1
1,1,0.5448282,1
1,1,0.53745496,1
1,1,0.5576168,1
1,1,0.5506728,1
1,0,0.582656,1
1,0,0.55392915,1
1,0,0.53672504,1
1,0,0.52313226,1
1,0,0.52968,1
1,0,0.53339815,1
1,0,0.5403729,1
1,0,0.53372943,1
1,0,0.5389438,1
1,0,0.5382042,1
1,0,0.5480667,1
1,0,0.5696088,1
1,0,0.54831827,1
1,0,0.55410445,1
1,0,0.5643576,1
1,0,0.5477965,1
1,0,0.566575,1
1,0,0.56860924,1
1,0,0.5419438,1
1,0,0.5342596,1
1,0,0.52201086,1
1,0,0.51785946,1
1,0,0.52596205,1
1,1,0.52434295,1
1,1,0.52966124,1
1,1,0.5192797,1
1,1,0.537088,1
1,1,0.55259323,1
1,1,0.55949366,1
1,1,0.55393255,1
1,1,0.5485881,1
1,1,0.56632394,1
1,0,0.5581678,1
1,0,0.559589,1
1,0,0.543937,1
1,0,0.5578731,1
1,0,0.5325616,1
1,0,0.5391526,1
1,0,0.54036355,1
1,0,0.51921517,1
1,0,0.53333515,1
1,0,0.5491834,1
1,0,0.5451375,1
1,0,0.5382028,1
1,0,0.52719796,1
1,0,0.5261097,1
1,0,0.5351336,1
1,0,0.5246868,1
1,0,0.53806233,1
1,0,0.54732805,1
1,0,0.5277002,1
1,0,0.5377771,1
1,0,0.5364777,1
1,0,0.54961014,1
1,0,0.53705627,1
1,0,0.53787625,1
1,0,0.56078005,1
1,0,0.5544167,1
1,0,0.54026747,1
1,0,0.5590695,1
1,0,0.5474606,1
1,0,0.5411958,1
1,0,0.5391554,1
1,0,0.5558611,1
1,0,0.5394343,1
1,0,0.5520896,1
1,0,0.5608152,1
1,0,0.55337906,1
1,0,0.54879993,1
1,0,0.54094464,1
1,1,0.5431628,1
1,1,0.5348379,1
1,1,0.542541,1
1,1,0.5137522,1
1,1,0.50495416,1
1,1,0.5352566,1
1,1,0.5128861,1
1,1,0.51642495,1
1,1,0.5307665,1
1,0,0.5263751,1
1,0,0.5371247,1
1,0,0.51198465,1
1,0,0.52950764,1
1,0,0.52377087,1
1,0,0.5466294,1
1,0,0.52243847,1
1,0,0.54036343,1
1,0,0.5478269,1
1,0,0.5566775,1
1,0,0.5168769,1
1,0,0.5309551,1
1,0,0.5004389,1
1,0,0.49936473,0
1,0,0.5034442,1
1,0,0.52504647,1
1,0,0.5073178,1
1,0,0.5478276,1
1,0,0.54026616,1
1,0,0.5442435,1
1,0,0.55375963,1
1,0,0.55396724,1
1,0,0.58243304,1
1,0,0.5595055,1
1,0,0.54950386,1
1,0,0.5295895,1
1,0,0.54863805,1
1,1,0.5609032,1
1,1,0.5648754,1
1,1,0.5669822,1
1,1,0.54778266,1
1,1,0.5635575,1
1,1,0.54173636,1
1,1,0.5594748,1
1,1,0.5165672,1
1,1,0.5414126,1
1,0,0.54320127,1
1,0,0.5374002,1
1,0,0.4983544,0
1,0,0.5101247,1
1,0,0.54775673,1
1,0,0.53099126,1
1,0,0.5472115,1
1,1,0.5436305,1
1,1,0.5632119,1
1,1,0.54128826,1
1,1,0.5527331,1
1,1,0.5545459,1
1,1,0.5617482,1
1,1,0.55038637,1
1,1,0.55177706,1
1,1,0.55066425,1
1,1,0.534,1
1,1,0.52930266,1
1,1,0.5534977,1
1,1,0.54340786,1
1,1,0.5451768,1
1,1,0.55568814,1
1,1,0.56613016,1
1,1,0.5679468,1
1,1,0.5585598,1
1,1,0.56077975,1
1,1,0.5698441,1
1,1,0.5632119,1
1,0,0.51996744,1
1,0,0.54522824,1
1,0,0.5328058,1
1,0,0.50733125,1
1,0,0.543455,1
1,0,0.5207129,1
1,0,0.506047,1
1,0,0.51708364,1
1,0,0.524928,1
1,0,0.5177675,1
1,0,0.54261655,1
1,0,0.54721767,1
1,0,0.5401505,1
1,0,0.52860856,1
1,0,0.5468662,1
1,1,0.5554736,1
1,1,0.5338794,1
1,1,0.5531039,1
1,1,0.53604054,1
1,1,0.5351542,1
1,1,0.55323,1
1,1,0.5384321,1
1,1,0.5428324,1
1,1,0.53356487,1
1,1,0.52110785,1
1,1,0.53237975,1
1,1,0.54643434,1
1,1,0.53011966,1
1,1,0.5201507,1
1,1,0.53203684,1
1,1,0.5542465,1
1,1,0.57061464,1
1,0,0.5507466,1
1,0,0.5654746,1
1,0,0.54816234,1
1,0,0.56881756,1
1,0,0.56125647,1
1,0,0.5729475,1
1,0,0.5512589,1
1,0,0.5379026,1
1,0,0.5409737,1
1,0,0.53735244,1
1,0,0.5608917,1
1,1,0.55216813,1
1,1,0.55095243,1
1,1,0.5755475,1
1,1,0.5594229,1
1,1,0.55062056,1
1,1,0.5304565,1
1,1,0.552805,1
1,1,0.52586806,1
1,1,0.5424824,1
1,1,0.53653246,1
1,1,0.5365686,1
1,1,0.5474266,1
1,1,0.54200417,1
1,1,0.5491283,1
1,1,0.53896445,1
1,1,0.56232816,1
1,1,0.5518363,1
1,1,0.57158184,1
1,1,0.5601514,1
1,1,0.5566269,1
1,1,0.56921005,1
1,1,0.5521778,1
1,1,0.55950266,1
1,1,0.53685313,1
1,1,0.5586399,1
1,1,0.5446742,1
1,1,0.5550509,1
1,1,0.5813467,1
1,1,0.5352381,1
1,1,0.5626427,1
1,1,0.5417761,1
1,1,0.5341397,1
1,1,0.53412217,1
1,1,0.54570854,1
1,1,0.5387263,1
1,1,0.56308734,1
1,1,0.55806893,1
1,1,0.54752827,1
1,1,0.56245536,1
1,1,0.55795276,1
1,1,0.5535324,1
1,1,0.5515725,1
1,1,0.5546684,1
1,1,0.5403198,1
1,1,0.55910033,1
1,1,0.5313452,1
1,1,0.53945774,1
1,1,0.550895,1
1,1,0.5551722,1
1,1,0.55403674,1
1,1,0.5461638,1
1,1,0.54998237,1
1,1,0.5346097,1
1,1,0.5559203,1
1,0,0.56028724,1
1,0,0.5468121,1
1,0,0.5496524,1
1,0,0.5443732,1
1,0,0.55575395,1
1,0,0.5450558,1
1,0,0.5458531,1
1,0,0.5555278,1
1,0,0.55690193,1
1,0,0.54434824,1
1,0,0.53297186,1
1,0,0.55644697,1
1,0,0.5387163,1
1,0,0.5444214,1
1,0,0.56801915,1
1,0,0.5632703,1
1,0,0.568272,1
1,0,0.5664043,1
1,0,0.57134706,1
1,0,0.5836835,1
1,0,0.56231135,1
1,0,0.58508754,1
1,0,0.57808214,1
1,0,0.57006717,1
1,0,0.5599877,1
1,0,0.5654031,1
1,0,0.5464643,1
1,0,0.53852624,1
1,0,0.54298276,1
1,0,0.54213464,1
1,0,0.5624771,1
1,1,0.5374532,1
1,1,0.54608184,1
1,1,0.5290202,1
1,1,0.5576984,1
1,1,0.57404435,1
1,1,0.5657834,1
1,1,0.55100065,1
1,1,0.5575614,1
1,1,0.55483735,1
1,1,0.5610351,1
1,1,0.5494913,1
1,1,0.54389244,1
1,0,0.55192333,1
1,0,0.5359483,1
1,0,0.55185974,1
1,0,0.5355318,1
1,0,0.5548561,1
1,0,0.5625564,1
1,0,0.55061424,1
1,0,0.5616025,1
1,0,0.550317,1
1,0,0.5358445,1
1,0,0.53484803,1
1,0,0.5491063,1
1,1,0.553193,1
1,1,0.53483886,1
1,1,0.5451449,1
1,1,0.548983,1
1,1,0.5315009,1
1,0,0.56744367,1
1,0,0.5448107,1
1,0,0.55609995,1
1,0,0.56679875,1
1,0,0.54488313,1
1,0,0.571888,1
1,0,0.57041126,1
1,0,0.55964255,1
1,0,0.56737834,1
1,0,0.5658296,1
1,0,0.55839884,1
1,0,0.5491653,1
1,0,0.5506592,1
1,0,0.5336647,1
1,0,0.52511996,1
1,0,0.5491792,1
1,0,0.52465034,1
1,0,0.5297631,1
1,0,0.5399684,1
1,0,0.54651785,1
1,0,0.5609856,1
1,0,0.57194024,1
1,0,0.5442976,1
1,0,0.5812693,1
1,0,0.5864533,1
1,0,0.5979934,1
1,0,0.59821063,1
1,0,0.57092506,1
1,0,0.52785563,1
1,0,0.5440649,1
1,0,0.5103045,1
1,0,0.52378786,1
1,0,0.5300204,1
1,0,0.5402407,1
1,0,0.51937735,1
1,0,0.5503895,1
1,0,0.57147676,1
1,0,0.5594216,1
1,0,0.55240685,1
1,0,0.5764303,1
1,0,0.56528914,1
1,0,0.56381536,1
1,0,0.56714636,1
1,0,0.5696945,1
1,0,0.565098,1
1,0,0.55647707,1
1,0,0.5555921,1
1,0,0.5677284,1
1,0,0.5513056,1
1,0,0.56419766,1
1,0,0.56608784,1
1,0,0.5258389,1
1,0,0.56232303,1
1,0,0.52463496,1
1,0,0.53073454,1
