Fold,Label,Prob,Preds
1,0,0.6309366,1
1,0,0.63142586,1
1,0,0.6334158,1
1,0,0.6312048,1
1,0,0.6314147,1
1,0,0.63204813,1
1,0,0.6354099,1
1,0,0.63278246,1
1,0,0.6332647,1
1,0,0.63313955,1
1,0,0.63458663,1
1,0,0.63355887,1
1,1,0.6320611,1
1,1,0.6328066,1
1,1,0.63093024,1
1,1,0.630049,1
1,1,0.6291166,1
1,1,0.63019985,1
1,1,0.6303561,1
1,1,0.62980837,1
1,1,0.6305295,1
1,1,0.633276,1
1,1,0.6304485,1
1,1,0.6320738,1
1,1,0.6309281,1
1,1,0.62940055,1
1,1,0.63084817,1
1,1,0.6334418,1
1,1,0.63286537,1
1,1,0.63344413,1
1,1,0.6329031,1
1,1,0.6309624,1
1,1,0.631662,1
1,0,0.6319924,1
1,0,0.6320502,1
1,0,0.6310228,1
1,0,0.6295995,1
1,0,0.63090867,1
1,0,0.63114715,1
1,0,0.6303892,1
1,0,0.631821,1
1,0,0.6311035,1
1,0,0.6287468,1
1,0,0.6314335,1
1,1,0.63067216,1
1,1,0.6303015,1
1,1,0.6333275,1
1,1,0.63007444,1
1,1,0.6311449,1
1,0,0.63283414,1
1,0,0.63082874,1
1,0,0.62944835,1
1,0,0.63180023,1
1,0,0.63370705,1
1,0,0.62994015,1
1,0,0.63247186,1
1,0,0.6303579,1
1,0,0.63305783,1
1,0,0.63007355,1
1,0,0.6314999,1
1,0,0.6324982,1
1,0,0.6313337,1
1,0,0.63235396,1
1,0,0.63153756,1
1,0,0.628823,1
1,0,0.6308632,1
1,0,0.6333812,1
1,0,0.6329527,1
1,0,0.6328577,1
1,0,0.63201475,1
1,0,0.63371825,1
1,0,0.6326515,1
1,1,0.63091093,1
1,1,0.6315155,1
1,1,0.632527,1
1,1,0.63061345,1
1,1,0.6339695,1
1,1,0.63186383,1
1,1,0.6322761,1
1,1,0.63003033,1
1,1,0.6302051,1
1,0,0.63443106,1
1,0,0.6315014,1
1,0,0.6308612,1
1,0,0.6313198,1
1,0,0.63204014,1
1,0,0.62926835,1
1,0,0.6296228,1
1,0,0.63124114,1
1,0,0.6295676,1
1,0,0.63145494,1
1,0,0.63270026,1
1,0,0.63088274,1
1,0,0.62884414,1
1,0,0.6305855,1
1,0,0.6297754,1
1,0,0.6302141,1
1,0,0.62930757,1
1,0,0.6318901,1
1,0,0.6325831,1
1,0,0.6292618,1
1,0,0.62945855,1
1,0,0.6311574,1
1,0,0.63094395,1
1,0,0.63064295,1
1,0,0.6326655,1
1,0,0.632319,1
1,0,0.6324601,1
1,0,0.63272554,1
1,0,0.63336396,1
1,0,0.62966174,1
1,0,0.6309424,1
1,0,0.6336502,1
1,0,0.63102275,1
1,0,0.6322333,1
1,0,0.62994695,1
1,0,0.6308837,1
1,0,0.63313055,1
1,0,0.6315434,1
1,1,0.6306845,1
1,1,0.6286751,1
1,1,0.6313414,1
1,1,0.63104284,1
1,1,0.6299317,1
1,1,0.63173944,1
1,1,0.6316836,1
1,1,0.6306606,1
1,1,0.6308517,1
1,0,0.63153094,1
1,0,0.632978,1
1,0,0.63254863,1
1,0,0.6315614,1
1,0,0.6331086,1
1,0,0.6341717,1
1,0,0.63223845,1
1,0,0.63143283,1
1,0,0.63237077,1
1,0,0.6331208,1
1,0,0.63155526,1
1,0,0.6307893,1
1,0,0.6299139,1
1,0,0.6313645,1
1,0,0.63062996,1
1,0,0.6314745,1
1,0,0.631605,1
1,0,0.6315114,1
1,0,0.6320139,1
1,0,0.63336,1
1,0,0.6331349,1
1,0,0.63234,1
1,0,0.63233393,1
1,0,0.6336012,1
1,0,0.634309,1
1,0,0.6325074,1
1,0,0.6341414,1
1,1,0.6317195,1
1,1,0.6326902,1
1,1,0.6333293,1
1,1,0.6330706,1
1,1,0.63131577,1
1,1,0.6324444,1
1,1,0.6313547,1
1,1,0.6308221,1
1,1,0.63088465,1
1,0,0.63376665,1
1,0,0.6310297,1
1,0,0.6309116,1
1,0,0.6301797,1
1,0,0.6314114,1
1,0,0.6305413,1
1,0,0.6320566,1
1,1,0.63420445,1
1,1,0.6344794,1
1,1,0.6314651,1
1,1,0.6306235,1
1,1,0.6300568,1
1,1,0.63317245,1
1,1,0.63078976,1
1,1,0.63251406,1
1,1,0.63106734,1
1,1,0.630426,1
1,1,0.63261235,1
1,1,0.6342637,1
1,1,0.63102037,1
1,1,0.63129675,1
1,1,0.6328085,1
1,1,0.6330056,1
1,1,0.6319297,1
1,1,0.63184065,1
1,1,0.63163155,1
1,1,0.63054365,1
1,1,0.6301937,1
1,0,0.62952113,1
1,0,0.63175535,1
1,0,0.62999576,1
1,0,0.63107115,1
1,0,0.6313989,1
1,0,0.63071567,1
1,0,0.63063985,1
1,0,0.63108444,1
1,0,0.6310138,1
1,0,0.6304075,1
1,0,0.62983376,1
1,0,0.6335573,1
1,0,0.6333303,1
1,0,0.6306009,1
1,0,0.63209665,1
1,1,0.6315179,1
1,1,0.6322066,1
1,1,0.6327122,1
1,1,0.63141197,1
1,1,0.63111806,1
1,1,0.6313702,1
1,1,0.63130397,1
1,1,0.6303498,1
1,1,0.63216615,1
1,1,0.6308706,1
1,1,0.6305122,1
1,1,0.63199383,1
1,1,0.63069195,1
