Fold,Label,Prob,Preds
1,1,0.9936645,1
1,1,0.9945004,1
1,1,0.99394447,1
1,1,0.99330854,1
1,1,0.9952538,1
1,1,0.9941875,1
1,1,0.99489874,1
1,1,0.9945074,1
1,1,0.99304986,1
1,1,0.99333525,1
1,1,0.99472624,1
1,1,0.9937577,1
1,1,0.9965497,1
1,1,0.9953335,1
1,1,0.99349594,1
1,1,0.9963397,1
1,1,0.9955206,1
1,1,0.98712224,1
1,1,0.9964651,1
1,1,0.9813121,1
1,1,0.9759911,1
1,1,0.93824035,1
1,1,0.9838774,1
1,1,0.99018306,1
1,1,0.94687927,1
1,1,0.9651563,1
1,1,0.9105218,1
1,1,0.97526246,1
1,1,0.8606451,1
1,1,0.9750284,1
1,1,0.9479617,1
1,1,0.89032835,1
1,1,0.8852344,1
1,1,0.9819854,1
1,1,0.90001625,1
1,1,0.8980646,1
1,1,0.9564321,1
1,1,0.95754236,1
1,1,0.75363755,1
1,1,0.82853657,1
1,1,0.9653432,1
1,1,0.9351248,1
1,1,0.93513894,1
1,1,0.99206686,1
1,1,0.9893573,1
1,1,0.9746105,1
1,1,0.98398215,1
1,1,0.9765207,1
1,1,0.96857643,1
1,1,0.9452051,1
1,1,0.9846709,1
1,1,0.9786395,1
1,1,0.97096753,1
1,1,0.9536163,1
1,1,0.96805364,1
1,1,0.98793995,1
1,1,0.9977189,1
1,1,0.9971629,1
1,1,0.9976145,1
1,1,0.99815804,1
1,1,0.99748296,1
1,1,0.99485105,1
1,1,0.99755543,1
1,1,0.997271,1
1,1,0.9972184,1
1,1,0.39473978,0
1,1,0.30815974,0
1,1,0.66756517,1
1,1,0.92052037,1
1,1,0.8352185,1
1,1,0.808368,1
1,1,0.8539436,1
1,1,0.97618914,1
1,1,0.99688953,1
1,1,0.9931485,1
1,1,0.995242,1
1,1,0.9959577,1
1,1,0.9971596,1
1,1,0.9947726,1
1,1,0.9945186,1
1,1,0.99170154,1
1,1,0.42193493,0
1,1,0.5738634,1
1,1,0.5416158,1
1,1,0.5972934,1
1,1,0.54463345,1
1,1,0.38855073,0
1,1,0.5731974,1
1,1,0.59502816,1
1,1,0.5998034,1
1,1,0.50801986,1
1,1,0.50682247,1
1,1,0.57014936,1
1,1,0.6098947,1
1,1,0.5138262,1
1,1,0.53115994,1
1,1,0.5222141,1
1,1,0.5118035,1
1,1,0.50387734,1
1,1,0.52086383,1
1,1,0.5404063,1
1,1,0.5203287,1
1,1,0.48469952,0
1,1,0.5313931,1
1,1,0.39274776,0
1,1,0.51829046,1
1,1,0.60185885,1
1,1,0.51510733,1
1,1,0.58322555,1
1,1,0.6999051,1
1,1,0.5854051,1
1,1,0.5870697,1
1,1,0.6969881,1
1,1,0.6430492,1
1,1,0.5053619,1
1,1,0.5230799,1
1,1,0.62891793,1
1,1,0.5796932,1
1,1,0.5707228,1
1,1,0.64329886,1
1,1,0.6366013,1
1,1,0.54552287,1
1,1,0.5429777,1
1,0,0.52113205,1
1,0,0.46944085,0
1,0,0.48192704,0
1,0,0.60486484,1
1,0,0.5796495,1
1,0,0.5623047,1
1,0,0.45851645,0
1,0,0.44884387,0
1,0,0.55764085,1
1,0,0.6234653,1
1,0,0.6620845,1
1,0,0.5169419,1
1,0,0.611229,1
1,0,0.59153885,1
1,0,0.4804715,0
1,0,0.48213914,0
1,0,0.4049039,0
1,0,0.45440498,0
1,0,0.39649877,0
1,0,0.49436808,0
1,0,0.46685448,0
1,0,0.48980123,0
1,0,0.60585916,1
1,0,0.5831025,1
1,0,0.59838456,1
1,0,0.52539694,1
1,0,0.4781077,0
1,0,0.49038506,0
1,1,0.6021519,1
1,1,0.45446736,0
1,1,0.46598724,0
1,1,0.48142305,0
1,1,0.5186817,1
1,1,0.5030098,1
1,1,0.47734195,0
1,1,0.47975296,0
1,1,0.39381728,0
1,1,0.40395588,0
