pathogen,checkpoint,model size,mode,loss,grad_norm,learning_rate,epoch,step
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,0.4208949527938473,12.07552433013916,0.0002001730103806,1.0,578
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,0.3763943576482753,0.903213918209076,0.0001001730103806,2.0,1156
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,0.3476866355816798,1.6288204193115234,1.7301038062283737e-07,3.0,1734
Orthopoxvirus,esm2_t12_35M_UR50D,35M,full,0.4171686667472021,inf,0.0002001730103806,1.0,578
Orthopoxvirus,esm2_t12_35M_UR50D,35M,full,0.3767393963559688,1.3399182558059692,0.0001001730103806,2.0,1156
Orthopoxvirus,esm2_t12_35M_UR50D,35M,full,0.3491554920236132,2.115243911743164,1.7301038062283737e-07,3.0,1734
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.4088855466215668,3.7607312202453618,0.0002001730103806,1.0,578
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.3648629106039819,0.943430483341217,0.0001001730103806,2.0,1156
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,0.3475137994363646,2.9273691177368164,1.7301038062283737e-07,3.0,1734
Orthopoxvirus,esm2_t33_650M_UR50D,650M,LoRA,0.4084641875692717,4.244460105895996,0.0002001730103806,1.0,578
Orthopoxvirus,esm2_t33_650M_UR50D,650M,LoRA,0.3544920291042658,0.8923490047454834,0.0001001730103806,2.0,1156
Orthopoxvirus,esm2_t33_650M_UR50D,650M,LoRA,0.3281423707321853,1.3046828508377075,1.7301038062283737e-07,3.0,1734
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.4134051313037278,5.150592803955078,0.0002001730103806,1.0,578
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.3727495134083045,1.0508978366851809,0.0001001730103806,2.0,1156
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,0.3621760965631082,2.1949074268341064,1.7301038062283737e-07,3.0,1734
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.4176001631264868,8.029757499694824,0.0002001730103806,1.0,578
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.3832173858959369,2.721921682357788,0.0001001730103806,2.0,1156
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,0.37651027692643,3.8326516151428223,1.7301038062283737e-07,3.0,1734
Orthopoxvirus,esm2_t30_150M_UR50D,150M,full,0.4405803746418144,5.9432501792907715,0.0002001730103806,1.0,578
Orthopoxvirus,esm2_t30_150M_UR50D,150M,full,0.3892154891598183,1.2341394424438477,0.0001001730103806,2.0,1156
Orthopoxvirus,esm2_t30_150M_UR50D,150M,full,0.3573798473318555,2.488000869750977,1.7301038062283737e-07,3.0,1734
Orthopoxvirus,esm2_t33_650M_UR50D,650M,full,0.4646582157966587,8.778679847717285,0.0002001730103806,1.0,578
Orthopoxvirus,esm2_t33_650M_UR50D,650M,full,0.4071363561293658,0.5432027578353882,0.0001001730103806,2.0,1156
Orthopoxvirus,esm2_t33_650M_UR50D,650M,full,0.3928695467516625,6.670888423919678,1.7301038062283737e-07,3.0,1734
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.567046729001132,0.4663757979869842,0.0002045454545454,1.0,22
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.5365657372908159,2.210265636444092,0.0001045454545454,2.0,44
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,0.5438861846923828,0.8699038028717041,4.5454545454545455e-06,3.0,66
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,0.5873005606911399,0.3773568272590637,0.0002045454545454,1.0,22
