pathogen,checkpoint,model size,mode,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,step
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,787.4876,35.216,2.202,5747972777151696.0,0.3827769137583802,3.0,1734
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,239.8045,115.644,7.231,1263171729673296.0,0.3816586486746008,3.0,1734
Orthopoxvirus,esm2_t30_150M_UR50D,150M,full,1969.7836,14.079,0.88,2.5216572961916496e+16,0.3957252370444961,3.0,1734
Orthopoxvirus,esm2_t12_35M_UR50D,35M,full,642.1356,43.187,2.7,5677172528565456.0,0.3810211850422614,3.0,1734
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,292.2239,94.9,5.934,1286771812535376.0,0.3924426086496179,3.0,1734
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,2395.9761,11.574,0.724,2.5452573790537296e+16,0.3737540855539711,3.0,1734
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,30.5,34.328,2.164,217010222763516.0,0.5526217113841664,3.0,66
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,9.8521,106.272,6.699,47690062057116.0,0.5491662169947769,3.0,66
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,75.138,13.934,0.878,952032016844316.0,0.4944957241867528,3.0,66
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,25.0344,41.823,2.636,214337214676476.0,0.5494335492451986,3.0,66
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,11.824,88.549,5.582,48581064752796.0,0.5516240091034861,3.0,66
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,91.2785,11.47,0.723,960942043801116.0,0.589900016784668,3.0,66
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,125.5503,34.863,2.198,907214656194756.0,0.5763006763181825,3.0,276
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,39.2077,111.636,7.039,199369055992356.0,0.5916010815164318,3.0,276
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,312.3741,14.012,0.884,3979984849787556.0,0.6393100489740786,3.0,276
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,102.6905,42.623,2.688,896040103762116.0,0.5894895083662393,3.0,276
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,47.4858,92.175,5.812,203093906803236.0,0.5788381134254345,3.0,276
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,379.4744,11.534,0.727,4017233357896356.0,0.5639841521995655,3.0,276
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,LoRA,679.1305,35.202,2.204,4955170387399596.0,0.3382700051796301,3.0,1497
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,full,206.9995,115.493,7.232,1088945858261196.0,0.332338015875501,3.0,1497
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,full,1697.7236,14.082,0.882,2.1738519032184396e+16,0.322943973477554,3.0,1497
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,full,553.8782,43.163,2.703,4894135426237356.0,0.3282397008372213,3.0,1497
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,LoRA,252.2146,94.788,5.935,1109290845315276.0,0.3472673394477757,3.0,1497
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,LoRA,2065.382,11.575,0.725,2.1941968902725196e+16,0.3300137975332174,3.0,1497
Legionellales,esm2_t12_35M_UR50D,35M,LoRA,125.2757,34.939,2.203,907214656194756.0,0.5762808288353077,3.0,276
Legionellales,esm2_t6_8M_UR50D,8M,full,38.8989,112.522,7.095,199369055992356.0,0.6082875348519587,3.0,276
Legionellales,esm2_t30_150M_UR50D,150M,full,311.9117,14.033,0.885,3979984849787556.0,0.6676868079365164,3.0,276
Legionellales,esm2_t12_35M_UR50D,35M,full,102.4863,42.708,2.693,896040103762116.0,0.5914240850918535,3.0,276
Legionellales,esm2_t6_8M_UR50D,8M,LoRA,47.2135,92.707,5.846,203093906803236.0,0.5788434346516927,3.0,276
Legionellales,esm2_t30_150M_UR50D,150M,LoRA,379.2561,11.541,0.728,4017233357896356.0,0.5640205023945242,3.0,276
Yersinia pestis,esm2_t12_35M_UR50D,35M,LoRA,137.2585,34.883,2.186,992402050230864.0,0.5859828058878581,3.0,300
Yersinia pestis,esm2_t6_8M_UR50D,8M,full,42.7691,111.95,7.014,218089796685264.0,0.6207773462931315,3.0,300
Yersinia pestis,esm2_t30_150M_UR50D,150M,full,341.3321,14.027,0.879,4353705154394064.0,0.6586908976236979,3.0,300
Yersinia pestis,esm2_t12_35M_UR50D,35M,full,112.2427,42.658,2.673,980178208090704.0,0.6129691823323568,3.0,300
Yersinia pestis,esm2_t6_8M_UR50D,8M,LoRA,51.804,92.425,5.791,222164410731984.0,0.594795036315918,3.0,300
Yersinia pestis,esm2_t30_150M_UR50D,150M,LoRA,414.7851,11.543,0.723,4394451294861264.0,0.5682266616821289,3.0,300
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,LoRA,141.1881,35.102,2.21,1027223174800368.0,0.587875769688533,3.0,312
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,full,43.389,114.223,7.191,225742070253168.0,0.6314025047497872,3.0,312
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,full,352.3811,14.064,0.885,4506466738758768.0,0.667472399198092,3.0,312
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,full,115.3485,42.965,2.705,1014570425918448.0,0.6323164793161246,3.0,312
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,LoRA,52.7274,93.993,5.917,229959653213808.0,0.6023263686742538,3.0,312
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,LoRA,428.7141,11.56,0.728,4548642568365168.0,0.576377734159812,3.0,312
Dengue virus,esm2_t12_35M_UR50D,35M,LoRA,50.2027,34.361,2.151,357538332633300.0,0.6741284441064905,3.0,108
Dengue virus,esm2_t6_8M_UR50D,8M,full,15.6793,110.017,6.888,78572451813300.0,0.6184497056183992,3.0,108
Dengue virus,esm2_t30_150M_UR50D,150M,full,123.803,13.933,0.872,1568534125173300.0,0.6293644198664913,3.0,108
Dengue virus,esm2_t12_35M_UR50D,35M,full,41.2055,41.863,2.621,353134379481300.0,0.6575821240743002,3.0,108
Dengue virus,esm2_t6_8M_UR50D,8M,LoRA,19.0787,90.415,5.661,80040436197300.0,0.6799128497088397,3.0,108
Dengue virus,esm2_t30_150M_UR50D,150M,LoRA,150.1771,11.486,0.719,1583213969013300.0,0.6670661325807925,3.0,108
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,LoRA,149.0126,34.97,2.194,1080076667450508.0,0.6083887082721116,3.0,327
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,full,46.1291,112.965,7.089,237357128347308.0,0.6219813728915806,3.0,327
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,full,371.0796,14.043,0.881,4738337000740908.0,0.6713476385180739,3.0,327
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,full,121.8106,42.78,2.684,1066772899406988.0,0.6462348448027164,3.0,327
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,LoRA,55.8678,93.274,5.853,241791717695148.0,0.6167220602706303,3.0,327
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,LoRA,451.4617,11.543,0.724,4782682894219308.0,0.5936881249104071,3.0,327
Neisseria gonorrhoeae,esm2_t12_35M_UR50D,35M,LoRA,136.9557,35.179,2.212,998620108189704.0,0.6010258111229824,3.0,303
Neisseria gonorrhoeae,esm2_t6_8M_UR50D,8M,full,41.8162,115.219,7.246,219456274108104.0,0.6364323707303592,3.0,303
Neisseria gonorrhoeae,esm2_t30_150M_UR50D,150M,full,342.3816,14.072,0.885,4380984008744904.0,0.629710597173609,3.0,303
Neisseria gonorrhoeae,esm2_t12_35M_UR50D,35M,full,111.781,43.102,2.711,986319675559944.0,0.642918841673596,3.0,303
Neisseria gonorrhoeae,esm2_t6_8M_UR50D,8M,LoRA,50.9294,94.602,5.949,223556418318024.0,0.6019298691954157,3.0,303
Neisseria gonorrhoeae,esm2_t30_150M_UR50D,150M,LoRA,416.1471,11.578,0.728,4421985450844104.0,0.5878743967994211,3.0,303
Mycobacterium leprae,esm2_t12_35M_UR50D,35M,LoRA,43.0876,34.186,2.158,305306645779044.0,0.569625239218435,3.0,93
Mycobacterium leprae,esm2_t6_8M_UR50D,8M,full,13.9643,105.483,6.66,67094041461444.0,0.5579296850389049,3.0,93
Mycobacterium leprae,esm2_t30_150M_UR50D,150M,full,105.9031,13.909,0.878,1339391748626244.0,0.5284747051936324,3.0,93
Mycobacterium leprae,esm2_t12_35M_UR50D,35M,full,35.4332,41.571,2.625,301546052739684.0,0.5381655744327012,3.0,93
Mycobacterium leprae,esm2_t6_8M_UR50D,8M,LoRA,16.8093,87.63,5.533,68347572474564.0,0.5687021645166541,3.0,93
Mycobacterium leprae,esm2_t30_150M_UR50D,150M,LoRA,128.493,11.464,0.724,1351927058757444.0,0.5913091885146274,3.0,93
