pathogen,checkpoint,model size,mode,trainable_params,total_params,trainable_percent
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Orthopoxvirus,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Orthopoxvirus,esm2_t33_650M_UR50D,650M,full,649403543,649403543,100.0
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Orthopoxvirus,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Orthopoxvirus,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Orthopoxvirus,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Clostridioides difficile,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Clostridioides difficile,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Clostridioides difficile,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Clostridioides difficile,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Clostridioides difficile,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Clostridioides difficile,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Clostridioides difficile,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Clostridioides difficile,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Clostridioides difficile,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Pasteurellaceae,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Pasteurellaceae,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Pasteurellaceae,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Pasteurellaceae,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Pasteurellaceae,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Pasteurellaceae,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Pasteurellaceae,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Pasteurellaceae,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Pasteurellaceae,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Orthoparamyxovirinae,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Orthoparamyxovirinae,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Orthoparamyxovirinae,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Legionellales,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Legionellales,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Legionellales,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Legionellales,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Legionellales,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Legionellales,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Legionellales,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Legionellales,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Legionellales,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Yersinia pestis,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Yersinia pestis,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Yersinia pestis,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Yersinia pestis,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Yersinia pestis,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Yersinia pestis,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Yersinia pestis,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Yersinia pestis,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Yersinia pestis,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Campylobacter jejuni,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Campylobacter jejuni,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Campylobacter jejuni,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Dengue virus,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Dengue virus,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Dengue virus,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Dengue virus,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Dengue virus,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
Dengue virus,esm2_t6_8M_UR50D,8M,LoRA,160323,7547963,2.124056516970208
Dengue virus,esm2_t30_150M_UR50D,150M,full,147729883,147729883,100.0
Dengue virus,esm2_t6_8M_UR50D,8M,base,7511801,7511801,100.0
Dengue virus,esm2_t12_35M_UR50D,35M,full,33270483,33270483,100.0
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,base,148138841,148138841,100.0
Mycoplasmoidaceae,esm2_t6_8M_UR50D,8M,full,7409723,7409723,100.0
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,base,33500401,33500401,100.0
Mycoplasmoidaceae,esm2_t12_35M_UR50D,35M,LoRA,479523,33685203,1.4235419629206332
Mycoplasmoidaceae,esm2_t30_150M_UR50D,150M,LoRA,1595523,149112283,1.0700144668833218
