Fold,Label,Prob,Preds
1,1,0.82240593,1
1,1,0.8712725,1
1,1,0.8364328,1
1,1,0.8441586,1
1,1,0.83801514,1
1,1,0.8549992,1
1,1,0.8415212,1
1,1,0.87156385,1
1,1,0.80352855,1
1,1,0.8372451,1
1,1,0.71229607,1
1,1,0.77977216,1
1,1,0.8458526,1
1,1,0.8668491,1
1,1,0.27555445,0
1,1,0.28642058,0
1,1,0.2287814,0
1,1,0.30975214,0
1,1,0.18655318,0
1,1,0.26167288,0
1,1,0.30972108,0
1,1,0.30448595,0
1,1,0.28521687,0
1,1,0.230923,0
1,1,0.29488638,0
1,1,0.23564199,0
1,1,0.31184596,0
1,1,0.32927373,0
1,1,0.31563613,0
1,1,0.65184414,1
1,1,0.6601467,1
1,1,0.69739395,1
1,1,0.59836984,1
1,1,0.63875747,1
1,1,0.7081015,1
1,1,0.6880401,1
1,1,0.5879719,1
1,1,0.28107738,0
1,1,0.3775346,0
1,1,0.48964313,0
1,1,0.66157496,1
1,1,0.55696875,1
1,1,0.79018396,1
1,1,0.7779467,1
1,1,0.644738,1
1,1,0.73306346,1
1,1,0.46204597,0
1,1,0.6298351,1
1,1,0.5213526,1
1,1,0.79126257,1
1,1,0.6683966,1
1,1,0.65246195,1
1,1,0.69390666,1
1,1,0.7574644,1
1,1,0.6529063,1
1,1,0.72271425,1
1,1,0.5987402,1
1,1,0.7229455,1
1,1,0.6656043,1
1,1,0.7203913,1
1,1,0.8596027,1
1,1,0.83467424,1
1,1,0.7607131,1
1,1,0.8454294,1
1,1,0.8004525,1
1,1,0.66542906,1
1,1,0.8074555,1
1,1,0.7248033,1
1,1,0.75927216,1
1,1,0.6011526,1
1,1,0.7057321,1
1,1,0.7536876,1
1,1,0.56506,1
1,1,0.63611776,1
1,1,0.70399225,1
1,1,0.61843365,1
1,1,0.68246204,1
1,1,0.6544342,1
1,1,0.43080032,0
1,1,0.56378037,1
1,1,0.85499185,1
1,1,0.6532348,1
1,1,0.61466765,1
1,1,0.7797799,1
1,1,0.7564258,1
1,1,0.70501894,1
1,1,0.7676707,1
1,1,0.7502916,1
1,1,0.8312377,1
1,1,0.7537065,1
1,1,0.6660571,1
1,0,0.34787166,0
1,0,0.19430959,0
1,0,0.24530505,0
1,0,0.307771,0
1,0,0.30288357,0
1,0,0.24328989,0
1,0,0.19939075,0
1,0,0.27398825,0
1,0,0.22213449,0
1,1,0.27679217,0
1,1,0.2765928,0
1,1,0.18448654,0
1,1,0.2169199,0
1,1,0.1955233,0
1,1,0.19439557,0
1,1,0.30876943,0
1,1,0.81048703,1
1,1,0.7720184,1
1,1,0.7839372,1
1,1,0.74304163,1
1,1,0.82773334,1
1,1,0.73618364,1
1,1,0.7836114,1
1,1,0.8013352,1
1,1,0.8268133,1
1,1,0.82836056,1
1,1,0.9033516,1
1,1,0.8995895,1
1,1,0.9099634,1
1,1,0.8578843,1
1,1,0.8771221,1
1,1,0.84394354,1
1,1,0.8871363,1
1,1,0.81795746,1
1,1,0.80272794,1
1,1,0.79231983,1
1,1,0.76818347,1
1,1,0.8456132,1
1,1,0.814476,1
1,1,0.6544324,1
1,1,0.7054176,1
1,1,0.72491366,1
1,1,0.738661,1
1,1,0.72642404,1
1,1,0.61334556,1
1,1,0.71107846,1
1,1,0.70149606,1
1,1,0.7025669,1
1,1,0.739344,1
1,1,0.66926485,1
1,1,0.64594746,1
1,1,0.80186284,1
1,1,0.672594,1
1,1,0.65151334,1
1,1,0.69561064,1
1,1,0.6319333,1
1,1,0.71694314,1
1,1,0.7455104,1
1,1,0.74926245,1
1,1,0.67988604,1
1,1,0.79249865,1
1,1,0.82674754,1
1,1,0.72722405,1
1,1,0.6635934,1
1,1,0.7501276,1
1,1,0.7688133,1
1,1,0.7815217,1
1,1,0.63725704,1
1,1,0.6735731,1
1,1,0.6828776,1
1,1,0.63900787,1
1,1,0.6047954,1
1,1,0.6061444,1
1,1,0.6522201,1
1,1,0.7664624,1
1,1,0.605097,1
1,1,0.69854486,1
1,1,0.7140864,1
1,1,0.70724326,1
1,1,0.7703239,1
1,1,0.8046726,1
1,1,0.8010682,1
1,1,0.65477926,1
1,1,0.6126195,1
1,1,0.5800245,1
1,1,0.7475537,1
1,1,0.6978184,1
1,1,0.72103673,1
1,1,0.73695904,1
1,1,0.83084047,1
1,1,0.8289391,1
1,1,0.84230953,1
1,1,0.84796095,1
1,1,0.8485291,1
1,1,0.81782,1
1,1,0.7609009,1
1,1,0.7970972,1
1,1,0.838542,1
1,1,0.75178254,1
1,1,0.75323445,1
1,1,0.75647163,1
1,1,0.7774118,1
1,1,0.7887385,1
1,1,0.8706145,1
1,1,0.8573476,1
1,1,0.8577577,1
1,1,0.8027198,1
1,1,0.7529192,1
1,1,0.27697095,0
1,1,0.30929634,0
1,1,0.31840822,0
1,1,0.29906222,0
1,1,0.26089987,0
1,1,0.26941404,0
1,1,0.29430494,0
1,1,0.35893247,0
1,1,0.4316593,0
1,1,0.4070676,0
1,1,0.28852007,0
1,1,0.27732348,0
1,1,0.36083314,0
1,1,0.22901773,0
1,1,0.25600132,0
1,1,0.3663409,0
1,1,0.14365077,0
1,1,0.22279914,0
1,1,0.26620045,0
1,1,0.21582314,0
1,1,0.1926801,0
1,1,0.26246,0
1,1,0.27965608,0
1,1,0.24687721,0
1,1,0.39958897,0
1,1,0.31113094,0
1,1,0.28872266,0
1,1,0.28603828,0
1,1,0.23227485,0
1,1,0.276219,0
1,1,0.2554812,0
1,1,0.32912567,0
1,1,0.24366157,0
1,1,0.23420791,0
1,1,0.3652109,0
1,1,0.32746586,0
1,1,0.8382756,1
1,1,0.85849494,1
1,1,0.7659328,1
1,1,0.85489166,1
1,1,0.8242461,1
1,1,0.8164139,1
1,1,0.7615606,1
1,1,0.8270091,1
1,1,0.8265423,1
1,1,0.76758087,1
1,1,0.7685525,1
1,1,0.7882543,1
1,1,0.7736724,1
1,1,0.76647294,1
1,1,0.26545587,0
1,1,0.20245633,0
1,1,0.18067642,0
1,1,0.21773098,0
1,1,0.13683537,0
1,1,0.15020373,0
1,1,0.21426323,0
1,1,0.18852279,0
1,1,0.20835307,0
1,1,0.25138336,0
1,1,0.20182079,0
1,1,0.1813194,0
1,1,0.19373304,0
1,1,0.2191705,0
1,1,0.2487998,0
1,1,0.33061397,0
1,1,0.31899327,0
1,1,0.2305947,0
1,1,0.22827616,0
1,1,0.27167946,0
1,1,0.19384259,0
1,1,0.19746737,0
1,1,0.18607536,0
