Fold,Label,Prob,Preds
1,1,0.6152278,1
1,1,0.69554436,1
1,1,0.57774574,1
1,1,0.5363658,1
1,1,0.51722616,1
1,1,0.55668545,1
1,1,0.60624987,1
1,1,0.64347893,1
1,1,0.5125573,1
1,1,0.5815003,1
1,1,0.4345601,0
1,1,0.41179973,0
1,1,0.5934195,1
1,1,0.5269335,1
1,1,0.5217334,1
1,1,0.6673908,1
1,1,0.46485507,0
1,1,0.4559682,0
1,1,0.60805714,1
1,1,0.5356667,1
1,1,0.51523113,1
1,1,0.40033147,0
1,1,0.5472418,1
1,1,0.45624426,0
1,1,0.45720923,0
1,1,0.44226226,0
1,1,0.5645287,1
1,1,0.5385444,1
1,1,0.51388264,1
1,1,0.43361068,0
1,1,0.4686675,0
1,1,0.46111774,0
1,1,0.47591558,0
1,1,0.64919245,1
1,1,0.42265424,0
1,1,0.528274,1
1,1,0.51054287,1
1,1,0.5403551,1
1,1,0.5190614,1
1,1,0.6389243,1
1,1,0.56312454,1
1,1,0.57193226,1
1,1,0.50303626,1
1,1,0.4951891,0
1,1,0.3034242,0
1,1,0.40044928,0
1,1,0.37168783,0
1,1,0.27634287,0
1,1,0.37923887,0
1,0,0.49981686,0
1,0,0.27353525,0
1,0,0.26599842,0
1,0,0.41829932,0
1,0,0.39051884,0
1,0,0.29904908,0
1,0,0.39956182,0
1,0,0.3118737,0
1,0,0.379613,0
1,0,0.28680995,0
1,0,0.27898136,0
1,0,0.395527,0
1,0,0.38086691,0
1,0,0.3133887,0
1,0,0.27793193,0
1,0,0.3866162,0
1,0,0.2869405,0
1,0,0.36469263,0
1,0,0.2893533,0
1,0,0.37919506,0
1,1,0.26988065,0
1,1,0.47478747,0
1,1,0.26578522,0
1,1,0.22366832,0
1,1,0.21478216,0
1,1,0.26174676,0
1,1,0.23535429,0
1,1,0.20236693,0
1,1,0.2649796,0
1,1,0.25642598,0
1,1,0.33193207,0
1,1,0.23417203,0
1,1,0.16695227,0
1,1,0.19570243,0
1,1,0.13166162,0
1,0,0.2217579,0
1,0,0.104072705,0
1,0,0.13364157,0
1,0,0.13188013,0
1,0,0.20317042,0
1,0,0.13015816,0
1,0,0.19288565,0
1,0,0.16892245,0
1,0,0.25534317,0
1,0,0.13641387,0
1,0,0.26660103,0
1,0,0.17936352,0
1,0,0.2494267,0
1,0,0.14604203,0
1,0,0.36375737,0
1,0,0.23124145,0
1,0,0.2941106,0
1,0,0.17309529,0
1,0,0.29679787,0
1,0,0.18312429,0
1,1,0.21954758,0
1,1,0.15416151,0
1,1,0.20093675,0
1,1,0.22270289,0
1,1,0.26750168,0
1,1,0.32842177,0
1,1,0.37890095,0
1,1,0.36374047,0
1,1,0.44736868,0
1,1,0.42734632,0
1,1,0.37806806,0
1,1,0.41685387,0
1,1,0.4644646,0
1,1,0.4690788,0
1,1,0.5280272,1
1,0,0.49493355,0
1,0,0.49681616,0
1,0,0.43106213,0
1,0,0.48792195,0
1,0,0.39795202,0
1,0,0.46870816,0
1,0,0.5078338,1
1,0,0.5723745,1
1,0,0.46677017,0
1,0,0.35725033,0
1,0,0.45177042,0
1,0,0.4526327,0
1,0,0.42459118,0
1,0,0.322034,0
1,0,0.2520498,0
1,0,0.26848793,0
1,0,0.27837428,0
1,0,0.326919,0
1,0,0.28611237,0
1,0,0.46110058,0
1,1,0.38731846,0
1,1,0.34836254,0
1,1,0.33491665,0
1,1,0.43623576,0
1,1,0.50395334,1
1,1,0.461696,0
1,1,0.42904827,0
1,1,0.35008866,0
1,1,0.32160652,0
1,1,0.33112702,0
1,1,0.40191612,0
1,1,0.2131785,0
1,1,0.31319588,0
1,1,0.32534844,0
1,1,0.22364797,0
1,0,0.4559287,0
1,0,0.32691455,0
1,0,0.417796,0
1,0,0.42927825,0
1,0,0.43949,0
1,0,0.4211627,0
1,0,0.3488452,0
1,0,0.4361617,0
1,0,0.46275428,0
1,0,0.4222548,0
1,0,0.47331655,0
1,0,0.50335926,1
1,0,0.5025497,1
1,0,0.43907794,0
1,0,0.45275173,0
1,0,0.33485442,0
1,0,0.4706769,0
1,0,0.3052696,0
1,0,0.3278048,0
1,0,0.31212282,0
1,0,0.35338908,0
1,0,0.38295308,0
1,0,0.23322895,0
1,0,0.2209809,0
1,0,0.30543238,0
1,0,0.2434213,0
1,0,0.30463082,0
1,0,0.32136518,0
1,0,0.30500746,0
1,0,0.341687,0
1,0,0.36009926,0
1,0,0.30666092,0
1,0,0.3161185,0
1,0,0.372472,0
1,0,0.3315578,0
1,0,0.5298213,1
1,0,0.33331442,0
1,0,0.5443269,1
1,0,0.47731453,0
1,0,0.49160305,0
1,0,0.36711985,0
1,0,0.34392068,0
1,0,0.3384644,0
1,0,0.3509429,0
1,0,0.4761334,0
1,0,0.44515735,0
1,0,0.32907745,0
1,0,0.40128046,0
1,0,0.35643795,0
1,0,0.41908804,0
1,0,0.36677924,0
1,0,0.34674558,0
1,0,0.32173964,0
1,0,0.3544031,0
1,0,0.33881262,0
1,0,0.3874709,0
1,0,0.27155307,0
1,0,0.5181952,1
1,0,0.34723672,0
1,1,0.49802122,0
1,1,0.3903071,0
1,1,0.2840604,0
1,1,0.33165792,0
1,1,0.43202206,0
1,1,0.48203215,0
1,1,0.38662905,0
1,1,0.4436145,0
1,1,0.3453443,0
1,1,0.40468645,0
1,1,0.40613332,0
1,1,0.29423296,0
1,1,0.3275066,0
1,1,0.4525422,0
1,1,0.33067986,0
1,1,0.35438362,0
1,1,0.2565113,0
1,1,0.20769833,0
1,1,0.36312905,0
1,1,0.41008267,0
1,1,0.3244792,0
1,1,0.35607916,0
1,1,0.25385997,0
1,1,0.38688645,0
1,1,0.3942433,0
1,1,0.40123528,0
