Fold,Label,Prob,Preds
1,0,0.5582971,1
1,0,0.55621994,1
1,0,0.5614412,1
1,0,0.5580951,1
1,0,0.55734247,1
1,0,0.55956244,1
1,0,0.55771106,1
1,0,0.5620957,1
1,0,0.5627397,1
1,0,0.56158817,1
1,0,0.55815876,1
1,0,0.55663115,1
1,1,0.55512387,1
1,1,0.5583013,1
1,1,0.5596495,1
1,1,0.5616321,1
1,1,0.5619375,1
1,1,0.56327766,1
1,1,0.56112665,1
1,1,0.55861056,1
1,1,0.56089497,1
1,1,0.5591366,1
1,1,0.5559666,1
1,1,0.5577778,1
1,1,0.5580282,1
1,1,0.5580695,1
1,1,0.5628562,1
1,1,0.5586492,1
1,1,0.55667734,1
1,1,0.55670804,1
1,1,0.55591196,1
1,1,0.5585805,1
1,1,0.56202346,1
1,0,0.5595981,1
1,0,0.55820155,1
1,0,0.55857235,1
1,0,0.5615256,1
1,0,0.5602035,1
1,0,0.55973357,1
1,0,0.5574497,1
1,0,0.558461,1
1,0,0.5602129,1
1,0,0.56080097,1
1,0,0.5614435,1
1,1,0.55854225,1
1,1,0.5602582,1
1,1,0.55779594,1
1,1,0.5569255,1
1,1,0.55996364,1
1,0,0.5583953,1
1,0,0.56122744,1
1,0,0.5631657,1
1,0,0.5602135,1
1,0,0.55581987,1
1,0,0.5589472,1
1,0,0.55826753,1
1,0,0.5595398,1
1,0,0.55841863,1
1,0,0.55700344,1
1,0,0.55955726,1
1,0,0.56083906,1
1,0,0.5543201,1
1,0,0.5586059,1
1,0,0.559018,1
1,0,0.5632235,1
1,0,0.56104296,1
1,0,0.5559228,1
1,0,0.55540276,1
1,0,0.5571877,1
1,0,0.5592551,1
1,0,0.5590602,1
1,0,0.55841094,1
1,1,0.5603897,1
1,1,0.5609195,1
1,1,0.5572426,1
1,1,0.5626748,1
1,1,0.55559427,1
1,1,0.5601118,1
1,1,0.5571535,1
1,1,0.56324995,1
1,1,0.55521244,1
1,0,0.5589685,1
1,0,0.55751884,1
1,0,0.56144315,1
1,0,0.56033534,1
1,0,0.5590896,1
1,0,0.5595868,1
1,0,0.5615226,1
1,0,0.55882484,1
1,0,0.55989856,1
1,0,0.55790097,1
1,0,0.5581385,1
1,0,0.5560367,1
1,0,0.5579209,1
1,0,0.5604998,1
1,0,0.55875236,1
1,0,0.5620275,1
1,0,0.55932754,1
1,0,0.5598631,1
1,0,0.5601011,1
1,0,0.5610081,1
1,0,0.5601487,1
1,0,0.5576028,1
1,0,0.55906695,1
1,0,0.56183285,1
1,0,0.5585911,1
1,0,0.55759466,1
1,0,0.5578992,1
1,0,0.5579467,1
1,0,0.5597883,1
1,0,0.5596317,1
1,0,0.562044,1
1,0,0.5596413,1
1,0,0.5562415,1
1,0,0.55993086,1
1,0,0.5600817,1
1,0,0.55530834,1
1,0,0.56067806,1
1,0,0.556895,1
1,1,0.5572493,1
1,1,0.56011665,1
1,1,0.560604,1
1,1,0.5582261,1
1,1,0.5626747,1
1,1,0.56134653,1
1,1,0.5551029,1
1,1,0.557018,1
1,1,0.55628586,1
1,0,0.5577231,1
1,0,0.5585768,1
1,0,0.5582112,1
1,0,0.559166,1
1,0,0.5610246,1
1,0,0.5590851,1
1,0,0.5592628,1
1,0,0.55825025,1
1,0,0.557602,1
1,0,0.55976415,1
1,0,0.5582483,1
1,0,0.56089365,1
1,0,0.55700755,1
1,0,0.56040746,1
1,0,0.5582258,1
1,0,0.5594126,1
