Fold,Label,Prob,Preds
1,1,0.85647655,1
1,1,0.88770735,1
1,1,0.8055852,1
1,1,0.882852,1
1,1,0.8636671,1
1,1,0.873121,1
1,1,0.90724397,1
1,1,0.9261786,1
1,1,0.84211415,1
1,1,0.9493595,1
1,1,0.8601048,1
1,1,0.8936683,1
1,1,0.9257258,1
1,1,0.94882786,1
1,1,0.17332934,0
1,1,0.21894309,0
1,1,0.15350552,0
1,1,0.15140711,0
1,1,0.1923648,0
1,1,0.17861828,0
1,1,0.13895364,0
1,1,0.14962687,0
1,1,0.17971808,0
1,1,0.118629,0
1,1,0.19520497,0
1,1,0.18342988,0
1,1,0.19611876,0
1,1,0.12552539,0
1,1,0.24519503,0
1,1,0.87021357,1
1,1,0.83190286,1
1,1,0.9278303,1
1,1,0.92245364,1
1,1,0.87091464,1
1,1,0.858562,1
1,1,0.7607245,1
1,1,0.83152384,1
1,1,0.45792353,0
1,1,0.50843984,1
1,1,0.5729154,1
1,1,0.58386177,1
1,1,0.5530797,1
1,1,0.56730527,1
1,1,0.43415397,0
1,1,0.3164742,0
1,1,0.32261276,0
1,1,0.47970864,0
1,1,0.48071244,0
1,1,0.44138834,0
1,1,0.5298744,1
1,1,0.49221238,0
1,1,0.5807164,1
1,1,0.54671955,1
1,1,0.50996256,1
1,1,0.6038152,1
1,1,0.6017745,1
1,1,0.5963963,1
1,1,0.61360735,1
1,1,0.57429904,1
1,1,0.56516343,1
1,1,0.5698923,1
1,1,0.59730285,1
1,1,0.44131115,0
1,1,0.4951608,0
1,1,0.49238405,0
1,1,0.5114376,1
1,1,0.56426555,1
1,1,0.505927,1
1,1,0.48733643,0
1,1,0.59182,1
1,1,0.5291291,1
1,1,0.5327046,1
1,1,0.53612643,1
1,1,0.5024467,1
1,1,0.52161795,1
1,1,0.55544037,1
1,1,0.5555805,1
1,1,0.5573176,1
1,1,0.5365214,1
1,1,0.53001285,1
1,1,0.54114336,1
1,1,0.52467346,1
1,1,0.4301217,0
1,1,0.3692056,0
1,1,0.34399754,0
1,1,0.46955636,0
1,1,0.44546556,0
1,1,0.5264662,1
1,1,0.5195816,1
1,1,0.46666843,0
1,1,0.50813437,1
1,0,0.22159393,0
1,0,0.24255998,0
1,0,0.24186338,0
1,0,0.18576282,0
1,0,0.220402,0
1,0,0.27912584,0
1,0,0.17186868,0
1,0,0.29018158,0
