Fold,Label,Prob,Preds
1,1,0.73211426,1
1,1,0.71437895,1
1,1,0.75306726,1
1,1,0.8121446,1
1,1,0.77130294,1
1,1,0.71774745,1
1,1,0.7379813,1
1,1,0.6902403,1
1,1,0.6646482,1
1,1,0.7123956,1
1,1,0.4435867,0
1,1,0.74389356,1
1,1,0.7947781,1
1,1,0.84895796,1
1,1,0.44258803,0
1,1,0.29085675,0
1,1,0.23201942,0
1,1,0.36446267,0
1,1,0.38721624,0
1,1,0.30186045,0
1,1,0.29473397,0
1,1,0.3157656,0
1,1,0.28949046,0
1,1,0.33071247,0
1,1,0.19796239,0
1,1,0.27638105,0
1,1,0.25706604,0
1,1,0.2598168,0
1,1,0.3201972,0
1,1,0.5877998,1
1,1,0.57095975,1
1,1,0.64990896,1
1,1,0.72945255,1
1,1,0.5169591,1
1,1,0.68188727,1
1,1,0.62513566,1
1,1,0.6234112,1
1,1,0.5112957,1
1,1,0.40180305,0
1,1,0.4118261,0
1,1,0.28215748,0
1,1,0.3059585,0
1,1,0.27878597,0
1,1,0.27699253,0
1,1,0.34537452,0
1,1,0.4080648,0
1,1,0.3839714,0
1,1,0.3262957,0
1,1,0.29850036,0
1,1,0.29960433,0
1,1,0.6198813,1
1,1,0.61256444,1
1,1,0.46489266,0
1,1,0.5899763,1
1,1,0.5759448,1
1,1,0.6607758,1
1,1,0.5403157,1
1,1,0.65530586,1
1,1,0.667702,1
1,1,0.504134,1
1,1,0.6075407,1
1,1,0.6423131,1
1,1,0.6211074,1
1,1,0.55869913,1
1,1,0.4981159,0
1,1,0.62050056,1
1,1,0.42421442,0
1,1,0.60235244,1
1,1,0.48775128,0
1,1,0.6102887,1
1,1,0.65205806,1
1,1,0.5867454,1
1,1,0.6326408,1
1,1,0.71970904,1
1,1,0.64235544,1
1,1,0.46266088,0
1,1,0.51837575,1
1,1,0.5382683,1
1,1,0.49088618,0
1,1,0.5756369,1
1,1,0.31701383,0
1,1,0.4218817,0
1,1,0.38493526,0
1,1,0.43156677,0
1,1,0.45936498,0
1,1,0.44067022,0
1,1,0.39628366,0
1,1,0.6038991,1
1,1,0.4392639,0
1,1,0.44001663,0
1,1,0.3746812,0
1,0,0.44010225,0
1,0,0.39223877,0
1,0,0.3363806,0
1,0,0.22736034,0
1,0,0.35527596,0
1,0,0.3258368,0
1,0,0.31584892,0
1,0,0.2069328,0
1,0,0.30914024,0
1,1,0.15928903,0
1,1,0.15044807,0
1,1,0.2368198,0
1,1,0.24085675,0
1,1,0.15899198,0
1,1,0.25854602,0
1,1,0.20449457,0
1,1,0.48938853,0
1,1,0.4304474,0
1,1,0.45326722,0
1,1,0.6672228,1
1,1,0.5671685,1
1,1,0.7016221,1
1,1,0.66595376,1
1,1,0.6436328,1
1,1,0.55751115,1
1,1,0.73843473,1
1,1,0.73220557,1
1,1,0.78961194,1
1,1,0.8375008,1
1,1,0.7628808,1
1,1,0.75648314,1
1,1,0.6931846,1
1,1,0.7078572,1
1,1,0.65167993,1
1,1,0.6904904,1
1,1,0.48299402,0
1,1,0.71784127,1
1,1,0.74984664,1
1,1,0.7620113,1
1,1,0.7280377,1
1,1,0.5675387,1
1,1,0.63752234,1
1,1,0.7793119,1
1,1,0.5729659,1
1,1,0.531705,1
1,1,0.59347093,1
1,1,0.6021988,1
1,1,0.5947148,1
1,1,0.6593444,1
1,1,0.6234405,1
1,1,0.5631252,1
1,1,0.64012367,1
1,1,0.45836315,0
1,1,0.60220677,1
1,1,0.4797823,0
1,1,0.55581707,1
1,1,0.5703647,1
1,1,0.44755137,0
1,1,0.54665494,1
1,1,0.49590084,0
1,1,0.5407092,1
1,1,0.5385841,1
1,1,0.54721135,1
1,1,0.6033318,1
1,1,0.62912416,1
1,1,0.5631498,1
1,1,0.62396395,1
1,1,0.5629549,1
1,1,0.4629352,0
1,1,0.5987763,1
1,1,0.6166733,1
1,1,0.4722662,0
1,1,0.56358033,1
1,1,0.53426266,1
1,1,0.63700724,1
1,1,0.5569354,1
1,1,0.6553041,1
1,1,0.648145,1
1,1,0.48649767,0
1,1,0.59666616,1
1,1,0.578128,1
1,1,0.6079712,1
1,1,0.37976465,0
1,1,0.48861828,0
1,1,0.39223912,0
1,1,0.4610365,0
1,1,0.51224643,1
1,1,0.58510655,1
1,1,0.41951957,0
1,1,0.60693014,1
1,1,0.5155325,1
1,1,0.62072104,1
1,1,0.7084346,1
1,1,0.7399911,1
1,1,0.49789566,0
1,1,0.65352434,1
1,1,0.5509155,1
1,1,0.51144403,1
1,1,0.5250015,1
1,1,0.5505227,1
1,1,0.58754885,1
1,1,0.5747096,1
1,1,0.7260116,1
1,1,0.66756284,1
1,1,0.36805242,0
1,1,0.6115614,1
1,1,0.67741835,1
1,1,0.5999987,1
1,1,0.61169565,1
1,1,0.4237647,0
1,1,0.37228242,0
1,1,0.33780965,0
1,1,0.32396388,0
1,1,0.51796085,1
1,1,0.4716596,0
1,1,0.57115316,1
1,1,0.627597,1
1,1,0.4989043,0
1,1,0.56219584,1
1,1,0.58008736,1
1,1,0.5194935,1
1,1,0.4422263,0
1,1,0.4241318,0
1,1,0.38017404,0
1,1,0.3415386,0
1,1,0.4478063,0
1,1,0.3206584,0
1,1,0.29918066,0
1,1,0.19641718,0
1,1,0.3343562,0
