Fold,Label,Prob,Preds
1,0,0.44817406,0
1,0,0.45259097,0
1,0,0.44480187,0
1,0,0.4451698,0
1,0,0.4516283,0
1,0,0.44288614,0
1,0,0.43696162,0
1,0,0.4468191,0
1,0,0.44538355,0
1,0,0.44567093,0
1,0,0.43766522,0
1,0,0.44850922,0
1,0,0.44515187,0
1,0,0.44759086,0
1,0,0.45184678,0
1,0,0.44869962,0
1,0,0.44110647,0
1,0,0.43498504,0
1,0,0.4480415,0
1,0,0.57727975,1
1,0,0.5846391,1
1,0,0.5731795,1
1,0,0.56958944,1
1,0,0.5810713,1
1,0,0.56645113,1
1,0,0.5555116,1
1,0,0.56792635,1
1,0,0.56739384,1
1,0,0.5643683,1
1,0,0.5536412,1
1,0,0.5706169,1
1,0,0.5712945,1
1,0,0.5675575,1
1,0,0.57756627,1
1,0,0.5829097,1
1,0,0.5656584,1
1,0,0.56179553,1
1,0,0.58092666,1
1,0,0.5994647,1
1,0,0.6047439,1
1,0,0.6046164,1
1,0,0.60308677,1
1,0,0.60951996,1
1,0,0.6106223,1
1,0,0.6052606,1
1,0,0.5937664,1
1,0,0.6052957,1
1,0,0.59320366,1
1,0,0.5901646,1
1,0,0.60259545,1
1,0,0.6026375,1
1,0,0.5986932,1
1,0,0.5909807,1
1,0,0.5978687,1
1,0,0.59113353,1
1,0,0.6055404,1
1,0,0.58611596,1
1,1,0.69905823,1
1,1,0.6984737,1
1,1,0.69449365,1
1,1,0.6916117,1
1,1,0.6989448,1
1,1,0.6931602,1
1,1,0.68889326,1
1,1,0.6883993,1
1,1,0.67889905,1
1,1,0.6889859,1
1,1,0.6849988,1
1,1,0.68628,1
1,1,0.6895766,1
1,1,0.68524665,1
1,1,0.6838272,1
1,1,0.68397504,1
1,1,0.6851067,1
1,1,0.67651606,1
1,1,0.68137234,1
1,1,0.6998796,1
1,1,0.7086879,1
1,1,0.7051346,1
1,1,0.70058846,1
1,1,0.7081656,1
1,1,0.70191073,1
1,1,0.7039261,1
1,1,0.7080517,1
1,1,0.7113342,1
1,1,0.71547097,1
1,1,0.7156262,1
1,1,0.71814895,1
1,1,0.7102269,1
1,1,0.7109377,1
1,1,0.7164193,1
1,1,0.71959203,1
1,1,0.7162202,1
1,1,0.7136328,1
1,1,0.7150217,1
1,1,0.70689785,1
1,1,0.70983565,1
1,1,0.6996226,1
1,1,0.7117608,1
1,1,0.706601,1
1,1,0.69921184,1
1,1,0.7040663,1
1,1,0.69105244,1
1,0,0.7019631,1
1,0,0.69661516,1
1,0,0.701367,1
1,0,0.70401216,1
1,0,0.68943626,1
1,0,0.7028856,1
1,0,0.7040553,1
1,0,0.6960077,1
1,0,0.701892,1
1,0,0.6963756,1
1,0,0.70082134,1
1,0,0.7065169,1
1,0,0.706767,1
1,0,0.69773597,1
1,0,0.7069695,1
1,0,0.7081021,1
1,0,0.70919293,1
1,0,0.6995401,1
1,0,0.7117653,1
1,0,0.6892881,1
1,0,0.69575405,1
1,0,0.69178396,1
1,0,0.69980574,1
1,0,0.70152575,1
1,0,0.70459,1
1,0,0.7030839,1
1,0,0.7041079,1
1,0,0.70132387,1
1,0,0.7051354,1
1,0,0.6921524,1
1,0,0.7081635,1
1,0,0.7071114,1
1,0,0.70208734,1
1,0,0.7030351,1
1,0,0.70267326,1
1,0,0.6985168,1
1,0,0.6964281,1
1,0,0.70400476,1
1,0,0.6578997,1
1,0,0.6666601,1
1,0,0.65501875,1
1,0,0.6466699,1
1,0,0.66477984,1
1,0,0.6558864,1
1,0,0.66160166,1
1,0,0.6594208,1
1,0,0.65149766,1
1,0,0.6614206,1
1,0,0.65651244,1
1,0,0.65273744,1
1,0,0.6409296,1
1,0,0.65224254,1
1,0,0.64788574,1
1,0,0.65126234,1
1,0,0.65242404,1
1,0,0.63827777,1
1,0,0.64630866,1
1,0,0.47719687,0
1,0,0.46026897,0
1,0,0.46673256,0
1,0,0.47056478,0
1,0,0.46799806,0
1,0,0.4637794,0
1,0,0.47369233,0
1,0,0.47103631,0
1,0,0.47148603,0
1,0,0.4780934,0
1,0,0.47461966,0
1,0,0.4749219,0
1,0,0.4645121,0
1,0,0.47726318,0
1,0,0.47925165,0
1,0,0.4806438,0
1,0,0.47090194,0
1,0,0.4654024,0
1,0,0.46571794,0
1,0,0.47300383,0
1,0,0.6161278,1
1,0,0.6123665,1
1,0,0.6171775,1
1,0,0.61477655,1
1,0,0.6180347,1
1,0,0.60723174,1
1,0,0.609604,1
1,0,0.6085745,1
1,0,0.6097394,1
1,0,0.6042941,1
1,0,0.60862803,1
1,0,0.61278206,1
1,0,0.61516076,1
1,0,0.6161056,1
1,0,0.61342365,1
1,0,0.6108899,1
1,0,0.62228423,1
1,0,0.6085204,1
1,0,0.6211967,1
1,0,0.62052554,1
1,0,0.6121055,1
1,0,0.62215036,1
1,0,0.6263959,1
1,0,0.61470336,1
1,0,0.61714095,1
1,0,0.62189996,1
1,0,0.62676686,1
1,0,0.6294386,1
1,0,0.6371117,1
1,0,0.63850874,1
1,0,0.6693755,1
1,0,0.66631895,1
1,0,0.6656899,1
1,0,0.6635142,1
1,0,0.657987,1
1,0,0.6612713,1
1,0,0.66273236,1
1,0,0.6623937,1
1,0,0.6642716,1
1,0,0.664529,1
1,0,0.6620345,1
1,0,0.6678146,1
1,0,0.6691783,1
1,0,0.6668616,1
1,0,0.65597457,1
1,0,0.6619605,1
1,0,0.668983,1
1,0,0.6631064,1
1,0,0.66336566,1
1,0,0.66656804,1
1,0,0.667451,1
1,0,0.66676116,1
1,0,0.6661315,1
1,0,0.66183543,1
1,0,0.6658397,1
1,0,0.6629694,1
1,0,0.6555177,1
1,0,0.6640882,1
1,0,0.66603637,1
1,0,0.6592195,1
1,1,0.6153012,1
1,1,0.6055448,1
1,1,0.61557364,1
1,1,0.61895037,1
1,1,0.6090267,1
1,1,0.6059909,1
1,1,0.6101471,1
1,1,0.6124461,1
1,1,0.6055015,1
1,1,0.606534,1
1,1,0.6121788,1
1,1,0.6103881,1
1,1,0.9977575,1
1,1,0.9982773,1
1,1,0.99819785,1
1,1,0.9983182,1
1,1,0.99832934,1
1,1,0.99805486,1
1,1,0.99821544,1
1,1,0.9981078,1
1,1,0.99781346,1
1,1,0.998293,1
1,1,0.9983576,1
1,1,0.9983204,1
2,0,0.5427349,1
2,0,0.5399824,1
2,0,0.53421366,1
2,0,0.5320286,1
2,0,0.54217315,1
2,0,0.54319537,1
2,0,0.5336905,1
2,0,0.53907907,1
2,0,0.54094994,1
2,0,0.53613156,1
2,0,0.53703576,1
2,0,0.54015046,1
2,0,0.5357005,1
2,0,0.5331252,1
2,0,0.53492653,1
2,0,0.5408014,1
2,0,0.538377,1
2,0,0.5411665,1
2,0,0.54109436,1
2,0,0.46140638,0
2,0,0.4649177,0
2,0,0.4520937,0
2,0,0.45153177,0
2,0,0.46488205,0
2,0,0.45912734,0
2,0,0.45173648,0
2,0,0.45960417,0
2,0,0.46038896,0
2,0,0.45764667,0
2,0,0.45960224,0
2,0,0.4648223,0
