Fold,Label,Prob,Preds
1,1,0.9812719,1
1,1,0.98572046,1
1,1,0.982383,1
1,1,0.9909533,1
1,1,0.9900754,1
1,1,0.97150254,1
1,1,0.987576,1
1,1,0.981174,1
1,1,0.9825111,1
1,1,0.98637956,1
1,1,0.9792358,1
1,1,0.9896415,1
1,1,0.99106747,1
1,1,0.983769,1
1,1,0.98969203,1
1,1,0.9837722,1
1,1,0.9413601,1
1,1,0.96006453,1
1,1,0.93651974,1
1,1,0.91683567,1
1,1,0.93823016,1
1,1,0.9377929,1
1,1,0.9781106,1
1,1,0.99336433,1
1,1,0.98943406,1
1,1,0.9876659,1
1,1,0.9924935,1
1,1,0.99835134,1
1,1,0.96511704,1
1,1,0.989888,1
1,1,0.9879781,1
1,1,0.98643506,1
1,1,0.96195364,1
1,1,0.97096235,1
1,1,0.9919303,1
1,1,0.9946314,1
1,1,0.989052,1
1,1,0.97691447,1
1,1,0.9629655,1
1,1,0.9006844,1
1,1,0.9713381,1
1,1,0.9933109,1
1,1,0.9853764,1
1,1,0.98862654,1
1,1,0.8309576,1
1,1,0.9706369,1
1,1,0.9594267,1
1,1,0.92718786,1
1,1,0.9594245,1
1,1,0.96076274,1
1,1,0.9183364,1
1,1,0.9130898,1
1,1,0.98753136,1
1,1,0.9696147,1
1,1,0.9927452,1
1,1,0.99621695,1
1,1,0.92632055,1
1,1,0.9013143,1
1,1,0.92442226,1
1,1,0.9507124,1
1,1,0.95155185,1
1,1,0.9196443,1
1,1,0.98467964,1
1,1,0.8834026,1
1,1,0.97450227,1
1,1,0.91227186,1
1,1,0.85105646,1
1,1,0.8833822,1
1,1,0.9828538,1
1,1,0.9900411,1
1,1,0.9639027,1
1,1,0.80211323,1
1,1,0.99312466,1
1,1,0.99094766,1
1,1,0.9886552,1
1,1,0.975997,1
1,1,0.9712215,1
1,1,0.98820484,1
1,1,0.9905406,1
1,1,0.98579234,1
1,1,0.9923409,1
1,1,0.7456213,1
1,1,0.53472024,1
1,1,0.58012736,1
1,1,0.51483494,1
1,1,0.66831905,1
1,1,0.53543144,1
1,1,0.58888036,1
1,1,0.54035205,1
1,1,0.64470935,1
1,1,0.5924763,1
1,1,0.41058308,0
1,1,0.4547512,0
1,1,0.6467986,1
1,1,0.57834375,1
1,1,0.54689795,1
1,1,0.47642818,0
1,1,0.55001795,1
1,1,0.5724006,1
1,1,0.8920182,1
1,1,0.774869,1
1,1,0.5752279,1
1,1,0.8213341,1
