pathogen,checkpoint,model size,mode,epoch,train_loss,train_acc
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,1,0.7037973574229649,0.3995516951527038
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,2,0.6465124062129429,0.7710843373493976
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,3,0.6170018911361694,0.7906976744186046
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,4,0.58930903673172,0.7940599607733259
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,5,0.5616863114493233,0.7898571028299244
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,6,0.5348148558820996,0.7943401513028859
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,7,0.5134281601224627,0.7912580554777249
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,8,0.4929498625653131,0.7977024376576072
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,9,0.4754904700177056,0.802745867189689
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,10,0.4592741195644651,0.8063883440739703
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,11,0.4449834525585174,0.8114317736060521
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,12,0.4363208966595785,0.8145138694312132
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,13,0.422390986766134,0.8170355841972541
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,14,0.4145829145397459,0.8220790137293359
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,15,0.4022080227732658,0.8271224432614178
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,16,0.3937460216028349,0.8274026337909779
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,17,0.385994757924761,0.8344073970299803
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,18,0.3767330657158579,0.8330064443821799
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,19,0.3719709845525877,0.8349677780891006
Orthopoxvirus,esm2_t6_8M_UR50D,8M,LoRA,20,0.3638937622308731,0.8346875875595405
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,1,0.7123132773808071,0.3474362566545251
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,2,0.6137511048998151,0.7646399551695152
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,3,0.5635336509772709,0.7985430092462875
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,4,0.5268111569540841,0.7968618660689268
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,5,0.4927220749003546,0.7960212944802466
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,6,0.4710496536323002,0.8035864387783693
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,7,0.4552646364484514,0.8119921546651723
Orthopoxvirus,esm2_t12_35M_UR50D,35M,LoRA,8,0.4406236218554633,0.8173157747268143
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,1,0.6982542276382446,0.4536284673578033
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,2,0.5841004039560046,0.7766881479405996
Orthopoxvirus,esm2_t30_150M_UR50D,150M,LoRA,3,0.5315287815673011,0.7909778649481648
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,1,0.6973412122045245,0.5813953488372093
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,2,0.6401078019823346,0.7708041468198374
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,3,0.6042056977748871,0.7822919585318017
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,4,0.5712740123271942,0.7828523395909218
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,5,0.5383866003581456,0.7786494816475203
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,6,0.5147909224033356,0.7828523395909218
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,7,0.4925529594932283,0.788736340711684
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,8,0.4738454350403377,0.8016251050714486
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,9,0.4597040755408151,0.808349677780891
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,10,0.4452817418745586,0.8119921546651723
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,11,0.4306278420346124,0.8198374894928552
Orthopoxvirus,esm2_t30_150M_UR50D,150M,base,12,0.4167508844818388,0.8313253012048193
Orthopoxvirus,esm2_t30_150M_UR50D,150M,full,1,0.6989912986755371,0.4964976183804987
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,1,0.7143724986485073,0.3821798823199775
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,2,0.6673515694481986,0.719529279910339
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,3,0.656130143574306,0.7346595685065844
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,4,0.6450943648815155,0.7346595685065844
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,5,0.6346765841756549,0.7310170916223032
Orthopoxvirus,esm2_t6_8M_UR50D,8M,full,6,0.6268490936074939,0.7383020453908657
