Fold,Label,Prob,Preds
1,1,0.59464824,1
1,1,0.5600755,1
1,1,0.6004127,1
1,1,0.59462553,1
1,1,0.589357,1
1,1,0.6328473,1
1,1,0.6314838,1
1,1,0.6580937,1
1,1,0.64797807,1
1,1,0.6976282,1
1,1,0.7098037,1
1,1,0.618035,1
1,1,0.6273636,1
1,1,0.60426,1
1,1,0.6117506,1
1,1,0.6280722,1
1,1,0.6367335,1
1,1,0.6367335,1
1,1,0.65462357,1
1,1,0.6583947,1
1,1,0.62986404,1
1,1,0.6217174,1
1,1,0.64781684,1
1,1,0.6830919,1
1,1,0.6381509,1
1,1,0.57329935,1
1,1,0.5588942,1
1,1,0.5658263,1
1,1,0.5438882,1
1,1,0.5521014,1
1,1,0.5521014,1
1,1,0.46475202,0
1,1,0.49477106,0
1,1,0.5221017,1
1,1,0.55732524,1
1,1,0.5250742,1
1,1,0.52791834,1
1,1,0.5628848,1
1,1,0.55464447,1
1,1,0.52958834,1
1,1,0.52730334,1
1,1,0.5318315,1
1,1,0.5712806,1
1,1,0.51741666,1
1,1,0.52229077,1
1,1,0.5355404,1
1,1,0.58373654,1
1,1,0.53882295,1
1,1,0.53882295,1
1,1,0.49475408,0
1,1,0.46134284,0
1,1,0.42247188,0
1,1,0.4260604,0
1,1,0.4260604,0
1,1,0.38005385,0
1,1,0.44299716,0
1,1,0.371292,0
1,1,0.37398538,0
1,1,0.37398538,0
1,1,0.3476333,0
1,1,0.39184538,0
1,1,0.34392923,0
1,1,0.35911474,0
1,1,0.3266714,0
1,1,0.3649882,0
1,1,0.4075036,0
1,1,0.41308784,0
1,0,0.4491243,0
1,0,0.4576205,0
1,0,0.4159469,0
1,0,0.47436562,0
1,0,0.48292884,0
1,0,0.55683166,1
1,0,0.5585466,1
1,0,0.5758355,1
1,0,0.5901702,1
1,1,0.4755224,0
1,1,0.561203,1
1,1,0.56715727,1
1,1,0.57391125,1
1,1,0.5969848,1
1,1,0.5844654,1
1,1,0.55263466,1
1,1,0.50584215,1
1,1,0.5379407,1
1,1,0.5822479,1
1,1,0.57402575,1
1,1,0.5721884,1
1,1,0.6015433,1
1,1,0.5936662,1
1,1,0.585866,1
1,1,0.57858825,1
1,1,0.52841145,1
1,1,0.5135803,1
1,1,0.49410507,0
1,1,0.44420987,0
1,1,0.493745,0
1,1,0.5350424,1
1,1,0.5434139,1
