Fold,Label,Prob,Preds
1,1,0.62764287,1
1,1,0.6344265,1
1,1,0.62918586,1
1,1,0.6299004,1
1,1,0.62423366,1
1,1,0.6206401,1
1,1,0.62773377,1
1,1,0.6085054,1
1,1,0.61780924,1
1,1,0.6181444,1
1,1,0.60947615,1
1,1,0.6144869,1
1,1,0.6264371,1
1,1,0.6172273,1
1,1,0.6191622,1
1,1,0.61652917,1
1,1,0.6212254,1
1,1,0.59292233,1
1,1,0.5723648,1
1,1,0.5709345,1
1,1,0.5677771,1
1,1,0.56845164,1
1,1,0.567102,1
1,1,0.55965585,1
1,1,0.57533795,1
1,1,0.58726615,1
1,1,0.57658184,1
1,1,0.5693303,1
1,1,0.5789725,1
1,1,0.5812151,1
1,1,0.5727848,1
1,1,0.5720015,1
1,1,0.5703057,1
1,1,0.5552027,1
1,1,0.56928015,1
1,1,0.5846036,1
1,1,0.5959155,1
1,1,0.5685772,1
1,1,0.5912834,1
1,1,0.595765,1
1,1,0.5793495,1
1,1,0.5744884,1
1,1,0.5981263,1
1,1,0.59594065,1
1,1,0.5936685,1
1,1,0.5863635,1
1,1,0.58985126,1
1,1,0.5937933,1
1,1,0.5843317,1
1,1,0.58526605,1
1,1,0.58170754,1
1,1,0.57731616,1
1,0,0.5952041,1
1,0,0.5847618,1
1,0,0.5874151,1
1,0,0.5861198,1
1,0,0.5640449,1
1,0,0.5820783,1
1,0,0.57159185,1
1,0,0.5837019,1
1,0,0.58582675,1
1,0,0.5839184,1
1,0,0.5745308,1
1,0,0.5745423,1
1,1,0.5789315,1
1,1,0.5879151,1
1,1,0.5945423,1
1,1,0.59617126,1
1,1,0.59229285,1
1,1,0.58883786,1
1,1,0.58722955,1
1,1,0.59129155,1
1,1,0.5927464,1
1,1,0.5945973,1
1,1,0.5828698,1
1,1,0.5783546,1
1,1,0.58479816,1
1,1,0.57654154,1
1,1,0.58586025,1
1,1,0.5879741,1
1,1,0.59712225,1
1,1,0.5863014,1
1,1,0.565126,1
1,1,0.5839984,1
1,1,0.5754251,1
1,0,0.56754196,1
1,0,0.57456195,1
1,0,0.5859114,1
1,0,0.5903705,1
1,0,0.5923107,1
1,0,0.58485615,1
1,0,0.5811296,1
1,0,0.570462,1
1,0,0.58012414,1
1,0,0.58895564,1
1,0,0.57525295,1
1,1,0.5706651,1
1,1,0.5782945,1
1,1,0.57578284,1
1,1,0.5841911,1
1,1,0.57898974,1
1,0,0.5743424,1
1,0,0.58127314,1
1,0,0.5917586,1
1,0,0.58298635,1
1,0,0.5836954,1
1,0,0.5830712,1
1,0,0.5650863,1
1,0,0.58418506,1
1,0,0.58077973,1
1,0,0.5948338,1
1,0,0.583812,1
1,0,0.593858,1
1,0,0.58087856,1
1,0,0.5811305,1
1,0,0.58466464,1
1,0,0.5794754,1
1,0,0.5777586,1
1,0,0.5782098,1
1,0,0.5754407,1
1,0,0.57311684,1
1,0,0.57877475,1
1,0,0.56860626,1
1,0,0.5688085,1
1,1,0.5787052,1
1,1,0.5789383,1
1,1,0.58578277,1
1,1,0.58338344,1
1,1,0.58682126,1
1,1,0.5843966,1
1,1,0.578274,1
1,1,0.580234,1
1,1,0.5838433,1
1,0,0.5729257,1
1,0,0.5750458,1
1,0,0.57748103,1
1,0,0.5734191,1
1,0,0.5743795,1
1,0,0.5658132,1
1,0,0.57858294,1
1,0,0.5648214,1
1,0,0.5720938,1
1,0,0.57175285,1
1,0,0.579557,1
1,0,0.5752793,1
1,0,0.5815935,1
1,0,0.5740052,1
1,0,0.56889856,1
1,0,0.56640315,1
1,0,0.57625526,1
1,0,0.5577841,1
1,0,0.5698334,1
1,0,0.57229084,1
1,0,0.57893556,1
1,0,0.56940997,1
1,0,0.5770338,1
1,0,0.57534045,1
1,0,0.5800082,1
1,0,0.59224695,1
1,0,0.57069093,1
1,0,0.57334566,1
1,0,0.5766777,1
1,0,0.580191,1
1,0,0.57462716,1
1,0,0.5838735,1
1,0,0.5752589,1
1,0,0.57913345,1
1,0,0.58358335,1
1,0,0.5739758,1
1,0,0.5773114,1
1,0,0.5862349,1
1,1,0.5667482,1
1,1,0.5639009,1
1,1,0.5692565,1
1,1,0.57229763,1
1,1,0.5769968,1
1,1,0.5676325,1
1,1,0.5724284,1
1,1,0.5696047,1
1,1,0.5810665,1
1,0,0.5781748,1
1,0,0.5611974,1
1,0,0.5735678,1
1,0,0.57710093,1
1,0,0.58349353,1
1,0,0.56999445,1
1,0,0.58865064,1
1,0,0.59514624,1
1,0,0.5863845,1
1,0,0.58592504,1
1,0,0.5814575,1
1,0,0.57003015,1
1,0,0.57219964,1
1,0,0.5690269,1
1,0,0.5638462,1
1,0,0.5704518,1
1,0,0.5758066,1
1,0,0.5798016,1
1,0,0.5816555,1
1,0,0.5909064,1
1,0,0.59832746,1
1,0,0.5795695,1
1,0,0.5882169,1
1,0,0.5901372,1
1,0,0.5662235,1
1,0,0.58137053,1
1,0,0.58128446,1
1,1,0.58763224,1
1,1,0.57938236,1
1,1,0.5927182,1
1,1,0.58337116,1
1,1,0.58224434,1
1,1,0.5735598,1
1,1,0.5770461,1
1,1,0.57871526,1
1,1,0.5708564,1
1,0,0.5894711,1
1,0,0.5829059,1
1,0,0.58626884,1
1,0,0.58434933,1
1,0,0.58158004,1
1,0,0.5861686,1
1,0,0.56949526,1
1,1,0.58910793,1
1,1,0.57182276,1
1,1,0.5722489,1
1,1,0.5851471,1
1,1,0.58222926,1
1,1,0.5628305,1
1,1,0.5892188,1
1,1,0.58114576,1
1,1,0.5882989,1
1,1,0.58635557,1
1,1,0.58239305,1
1,1,0.5849085,1
1,1,0.5890977,1
1,1,0.59026283,1
1,1,0.5954552,1
1,1,0.5684281,1
1,1,0.5936868,1
1,1,0.5884507,1
1,1,0.5766212,1
1,1,0.5719576,1
1,1,0.58653647,1
1,0,0.5693549,1
1,0,0.564637,1
1,0,0.5687413,1
1,0,0.5706227,1
1,0,0.57029337,1
1,0,0.5769104,1
1,0,0.57734984,1
1,0,0.5804697,1
1,0,0.577335,1
1,0,0.58372855,1
1,0,0.5887431,1
1,0,0.56773937,1
1,0,0.59529775,1
1,0,0.5861068,1
1,0,0.58196175,1
1,1,0.5800627,1
1,1,0.57985294,1
1,1,0.55951536,1
1,1,0.5762156,1
1,1,0.57104963,1
1,1,0.5680328,1
1,1,0.57350713,1
1,1,0.5877811,1
1,1,0.58496517,1
1,1,0.58624774,1
1,1,0.57619977,1
1,1,0.5795913,1
1,1,0.57783103,1
1,1,0.5832324,1
1,1,0.5838897,1
1,1,0.58007014,1
1,1,0.59768057,1
1,0,0.58659196,1
1,0,0.58934367,1
1,0,0.5831065,1
1,0,0.57692695,1
1,0,0.58754784,1
1,0,0.56294805,1
1,0,0.5949916,1
1,0,0.5899818,1
1,0,0.5879914,1
1,0,0.58427906,1
1,0,0.5679987,1
1,1,0.596862,1
1,1,0.5886361,1
1,1,0.57614744,1
1,1,0.5760131,1
1,1,0.59192526,1
1,1,0.5932455,1
1,1,0.56548893,1
1,1,0.57486874,1
1,1,0.57889456,1
1,1,0.57693416,1
1,1,0.5837097,1
1,1,0.5844405,1
1,1,0.5761405,1
1,1,0.58118325,1
1,1,0.57833153,1
1,1,0.56280077,1
1,1,0.58408964,1
1,1,0.56570566,1
1,1,0.5923522,1
1,1,0.5939423,1
1,1,0.5835002,1
1,1,0.57634276,1
1,1,0.5868403,1
1,1,0.57888967,1
1,1,0.5724893,1
1,1,0.5735034,1
1,1,0.58321077,1
1,1,0.58233786,1
1,1,0.58424926,1
1,1,0.58726746,1
1,1,0.58544254,1
1,1,0.5838871,1
1,1,0.58053374,1
1,1,0.58498263,1
1,1,0.5802099,1
1,1,0.5816535,1
1,1,0.5918202,1
1,1,0.58203125,1
1,1,0.5922864,1
1,1,0.5867026,1
1,1,0.5852822,1
1,1,0.5879565,1
1,1,0.58971614,1
1,1,0.5860296,1
1,1,0.569065,1
1,1,0.5833805,1
1,1,0.5777004,1
1,1,0.5830182,1
1,1,0.5863693,1
1,1,0.5941056,1
1,1,0.5902832,1
1,1,0.59462047,1
1,1,0.5793179,1
1,1,0.5835037,1
1,0,0.5801069,1
1,0,0.57354295,1
1,0,0.5715502,1
1,0,0.58293426,1
1,0,0.583022,1
1,0,0.57642275,1
1,0,0.5723198,1
1,0,0.57435846,1
1,0,0.57868344,1
1,0,0.5876534,1
1,0,0.57790345,1
1,0,0.567596,1
1,0,0.5827641,1
1,0,0.5823409,1
1,0,0.5715923,1
1,0,0.5796694,1
1,0,0.589436,1
1,0,0.5977282,1
1,0,0.5947446,1
1,0,0.5726257,1
1,0,0.576028,1
1,0,0.57159984,1
1,0,0.5636985,1
1,0,0.5614749,1
1,0,0.571709,1
1,0,0.5621622,1
1,0,0.5728096,1
1,0,0.57509196,1
1,0,0.5772595,1
1,0,0.5684025,1
1,0,0.56453556,1
1,1,0.584616,1
1,1,0.5789635,1
1,1,0.5765702,1
1,1,0.57333827,1
1,1,0.5814642,1
1,1,0.5858496,1
1,1,0.58359843,1
1,1,0.5868615,1
1,1,0.5828192,1
1,1,0.55478233,1
1,1,0.5740392,1
1,1,0.5722852,1
1,0,0.5775088,1
1,0,0.570833,1
1,0,0.5711186,1
1,0,0.58274955,1
1,0,0.5774045,1
1,0,0.57734823,1
1,0,0.5732426,1
1,0,0.5853376,1
1,0,0.5730128,1
1,0,0.5819248,1
1,0,0.57069594,1
1,0,0.5786028,1
1,1,0.56480116,1
1,1,0.578831,1
1,1,0.5948923,1
1,1,0.5838347,1
1,1,0.572651,1
1,0,0.57278943,1
1,0,0.5841038,1
1,0,0.5819702,1
1,0,0.57043004,1
1,0,0.57619965,1
1,0,0.5703947,1
1,0,0.5708586,1
1,0,0.58606845,1
1,0,0.5732168,1
1,0,0.5702378,1
1,0,0.5808753,1
1,0,0.5888737,1
1,0,0.5754194,1
1,0,0.5766744,1
1,0,0.56820667,1
1,0,0.5684207,1
1,0,0.5688053,1
1,0,0.5734857,1
1,0,0.5958552,1
1,0,0.57958484,1
1,0,0.5879262,1
1,0,0.59054476,1
1,0,0.5765189,1
1,0,0.5763334,1
1,0,0.5773884,1
1,0,0.55797726,1
1,0,0.58296627,1
1,0,0.57456243,1
1,0,0.5701754,1
1,0,0.5788544,1
1,0,0.5722629,1
1,0,0.5838789,1
1,0,0.569429,1
1,0,0.5667367,1
1,0,0.5828477,1
1,0,0.57340133,1
1,0,0.59719574,1
1,0,0.59076566,1
1,0,0.59393185,1
1,0,0.59273154,1
1,0,0.5792768,1
1,0,0.5808643,1
1,0,0.58180505,1
1,0,0.5798554,1
1,0,0.57890433,1
1,0,0.56815326,1
1,0,0.581066,1
1,0,0.5865433,1
