Fold,Label,Prob,Preds
1,1,0.5423835,1
1,1,0.5052063,1
1,1,0.52017725,1
1,1,0.58692765,1
1,1,0.66283965,1
1,1,0.70040303,1
1,1,0.5183342,1
1,1,0.5649838,1
1,1,0.6477084,1
1,1,0.5671047,1
1,1,0.5748582,1
1,1,0.68046397,1
1,1,0.6674342,1
1,1,0.5854879,1
1,1,0.5723992,1
1,1,0.550701,1
1,1,0.7045954,1
1,1,0.7202424,1
1,1,0.807228,1
1,1,0.8270075,1
1,1,0.74508977,1
1,1,0.6205426,1
1,1,0.60951847,1
1,1,0.67869335,1
1,1,0.6397647,1
1,1,0.7615105,1
1,1,0.7858909,1
1,1,0.8020138,1
1,1,0.8879617,1
1,1,0.69221056,1
1,1,0.868385,1
1,1,0.6847445,1
1,1,0.6930191,1
1,1,0.8250025,1
1,1,0.68785566,1
1,1,0.7770998,1
1,1,0.30711707,0
1,1,0.541515,1
1,1,0.46711716,0
1,1,0.47755846,0
1,1,0.44007722,0
1,1,0.6054651,1
1,1,0.7073157,1
1,1,0.7758624,1
1,1,0.7526296,1
1,1,0.62966,1
1,1,0.6588477,1
1,1,0.5830033,1
1,1,0.3874531,0
1,1,0.6192825,1
1,1,0.515378,1
1,1,0.52927804,1
1,0,0.7582489,1
1,0,0.56595695,1
1,0,0.587769,1
1,0,0.6953033,1
1,0,0.7375313,1
1,0,0.6371098,1
1,0,0.68629265,1
1,0,0.72632265,1
1,0,0.6911368,1
1,0,0.5926953,1
1,0,0.6970103,1
1,0,0.71837735,1
1,1,0.752177,1
1,1,0.7043012,1
1,1,0.7359799,1
1,1,0.60733074,1
1,1,0.6858445,1
1,1,0.64827675,1
1,1,0.52787405,1
1,1,0.51256824,1
1,1,0.6833425,1
1,1,0.6555313,1
1,1,0.7526962,1
1,1,0.6862022,1
1,1,0.7735437,1
1,1,0.65251267,1
1,1,0.76374316,1
1,1,0.7826349,1
1,1,0.8584293,1
1,1,0.7783227,1
1,1,0.7779697,1
1,1,0.7356554,1
1,1,0.7292814,1
1,0,0.7316689,1
1,0,0.6771244,1
1,0,0.71242374,1
1,0,0.77954483,1
1,0,0.7138027,1
1,0,0.69099283,1
1,0,0.7380137,1
1,0,0.77463186,1
1,0,0.78627914,1
1,0,0.8399041,1
1,0,0.8352749,1
1,1,0.7225215,1
1,1,0.87052923,1
1,1,0.74746925,1
1,1,0.83522063,1
1,1,0.84700304,1
1,0,0.81052065,1
1,0,0.7637616,1
1,0,0.8709711,1
1,0,0.7975764,1
1,0,0.6278852,1
1,0,0.8501664,1
1,0,0.8236762,1
1,0,0.8289385,1
1,0,0.73580503,1
1,0,0.8364107,1
1,0,0.88886005,1
1,0,0.77928984,1
1,0,0.79724985,1
