Fold,Label,Prob,Preds
1,1,0.3831498,0
1,1,0.37779012,0
1,1,0.35177863,0
1,1,0.3952007,0
1,1,0.39415666,0
1,1,0.38005874,0
1,1,0.3699653,0
1,1,0.33264896,0
1,1,0.30760655,0
1,1,0.37124324,0
1,1,0.32836404,0
1,1,0.364803,0
1,1,0.3449386,0
1,1,0.3385693,0
1,1,0.7699301,1
1,1,0.7274545,1
1,1,0.73469347,1
1,1,0.7234577,1
1,1,0.7432006,1
1,1,0.720243,1
1,1,0.7763989,1
1,1,0.6372862,1
1,1,0.7201037,1
1,1,0.7123257,1
1,1,0.7783569,1
1,1,0.84452486,1
1,1,0.7455528,1
1,1,0.81563306,1
1,1,0.8504682,1
1,1,0.84671175,1
1,1,0.81738037,1
1,1,0.84540755,1
1,1,0.852236,1
1,1,0.73728764,1
1,1,0.777228,1
1,1,0.79126495,1
1,1,0.8276723,1
1,1,0.8495531,1
1,1,0.88897365,1
1,1,0.87916404,1
1,1,0.87635964,1
1,1,0.8936784,1
1,1,0.88360906,1
1,1,0.85530233,1
1,1,0.8643456,1
1,1,0.8756396,1
1,1,0.86573744,1
1,1,0.8551986,1
1,1,0.86244196,1
1,1,0.8525583,1
1,1,0.86701614,1
1,1,0.88008714,1
1,1,0.8819518,1
1,1,0.8778965,1
1,1,0.8831841,1
1,1,0.8834542,1
1,1,0.8835182,1
1,1,0.6487742,1
1,1,0.71674186,1
1,1,0.6796344,1
1,1,0.8562461,1
1,1,0.86417794,1
1,1,0.87767804,1
1,1,0.84848905,1
1,1,0.7817782,1
1,1,0.86891615,1
1,1,0.8255448,1
1,1,0.8153139,1
1,1,0.82201564,1
1,1,0.785074,1
1,1,0.8955055,1
1,1,0.88070136,1
1,1,0.86596376,1
1,1,0.85809237,1
1,1,0.35352257,0
1,1,0.35240915,0
1,1,0.36350682,0
1,1,0.35079432,0
1,1,0.35242936,0
1,1,0.34879792,0
1,1,0.34590226,0
1,1,0.9114449,1
1,1,0.9189289,1
1,1,0.91739917,1
1,1,0.91885954,1
1,1,0.917612,1
1,1,0.91231906,1
1,1,0.9127393,1
1,1,0.911052,1
1,1,0.9103852,1
1,1,0.91289794,1
1,1,0.91413385,1
1,1,0.90616935,1
1,1,0.9136421,1
1,1,0.9147984,1
1,1,0.90469,1
1,1,0.8596903,1
1,1,0.8820647,1
1,1,0.87910223,1
1,1,0.8956973,1
1,1,0.90821403,1
1,1,0.9122163,1
1,1,0.9096238,1
1,1,0.9121612,1
1,1,0.9157682,1
1,1,0.8928826,1
1,1,0.89147794,1
1,1,0.89743906,1
1,1,0.8954027,1
1,1,0.8794788,1
1,1,0.88039786,1
1,1,0.8832833,1
1,1,0.8913395,1
1,1,0.87817377,1
1,1,0.88073784,1
