Fold,Label,Prob,Preds
1,1,0.99275064,1
1,1,0.9941806,1
1,1,0.9932146,1
1,1,0.99199194,1
1,1,0.9943855,1
1,1,0.9928001,1
1,1,0.99440575,1
1,1,0.9935834,1
1,1,0.99265987,1
1,1,0.9928597,1
1,1,0.99369085,1
1,1,0.99256223,1
1,1,0.99615365,1
1,1,0.99524325,1
1,1,0.99314606,1
1,1,0.9959394,1
1,1,0.9948368,1
1,1,0.9872006,1
1,1,0.99613744,1
1,1,0.9818974,1
1,1,0.97647697,1
1,1,0.9453238,1
1,1,0.9825813,1
1,1,0.9889966,1
1,1,0.9507417,1
1,1,0.96695143,1
1,1,0.9260066,1
1,1,0.9752118,1
1,1,0.90347934,1
1,1,0.9784102,1
1,1,0.9539164,1
1,1,0.9124026,1
1,1,0.9043953,1
1,1,0.98380023,1
1,1,0.92258286,1
1,1,0.92895156,1
1,1,0.96521276,1
1,1,0.9602376,1
1,1,0.81754446,1
1,1,0.863774,1
1,1,0.9730497,1
1,1,0.94885725,1
1,1,0.94653386,1
1,1,0.99299026,1
1,1,0.99130553,1
1,1,0.9791189,1
1,1,0.9862661,1
1,1,0.9804088,1
1,1,0.97255254,1
1,1,0.95620036,1
1,1,0.9863018,1
1,1,0.98188984,1
1,1,0.9758714,1
1,1,0.9629196,1
1,1,0.9712106,1
1,1,0.98824024,1
1,1,0.99747235,1
1,1,0.9964784,1
1,1,0.9972295,1
1,1,0.9977569,1
1,1,0.99716514,1
1,1,0.99350435,1
1,1,0.9969271,1
1,1,0.99658465,1
1,1,0.9967085,1
1,1,0.48925266,0
1,1,0.4465559,0
1,1,0.72874135,1
1,1,0.9362712,1
1,1,0.8804349,1
1,1,0.858941,1
1,1,0.8886145,1
1,1,0.98328775,1
1,1,0.99691135,1
1,1,0.99222356,1
1,1,0.99551153,1
1,1,0.99604636,1
1,1,0.9969388,1
1,1,0.99385935,1
1,1,0.9941724,1
1,1,0.99193233,1
1,1,0.5269357,1
1,1,0.65611583,1
1,1,0.62992936,1
1,1,0.6895883,1
1,1,0.6401676,1
1,1,0.5083866,1
1,1,0.66056734,1
1,1,0.66117597,1
1,1,0.6754386,1
1,1,0.6239571,1
1,1,0.6353812,1
1,1,0.66962004,1
1,1,0.6992981,1
1,1,0.61718035,1
1,1,0.6327982,1
1,1,0.6444231,1
1,1,0.61896443,1
1,1,0.6027461,1
1,1,0.6103763,1
1,1,0.6613804,1
1,1,0.6268291,1
1,1,0.5928844,1
1,1,0.63811874,1
1,1,0.5251487,1
1,1,0.6485718,1
1,1,0.691205,1
1,1,0.6259419,1
1,1,0.6989785,1
1,1,0.778714,1
1,1,0.69210076,1
1,1,0.6982061,1
1,1,0.76356965,1
1,1,0.7317098,1
1,1,0.6511433,1
1,1,0.6594434,1
1,1,0.7169347,1
1,1,0.68063915,1
1,1,0.685534,1
1,1,0.73835474,1
1,1,0.7189728,1
1,1,0.66523457,1
1,1,0.6680956,1
1,0,0.66237086,1
1,0,0.6224264,1
1,0,0.6291301,1
1,0,0.7172516,1
1,0,0.70160455,1
1,0,0.67383033,1
1,0,0.5973012,1
1,0,0.5818628,1
1,0,0.6836184,1
1,0,0.7259581,1
1,0,0.7424346,1
1,0,0.62856215,1
1,0,0.7263164,1
1,0,0.7085649,1
