Fold,Label,Prob,Preds
1,0,0.2888757,0
1,0,0.24701634,0
1,0,0.19936861,0
1,0,0.1632222,0
1,0,0.056903478,0
1,0,0.060580302,0
1,0,0.037231565,0
1,0,0.03821971,0
1,0,0.05584736,0
1,0,0.05332638,0
1,0,0.05468168,0
1,0,0.06867793,0
1,0,0.05481591,0
1,0,0.09880405,0
1,0,0.08550178,0
1,0,0.08324616,0
1,0,0.15790588,0
1,0,0.07458236,0
1,0,0.053888306,0
1,0,0.56355184,1
1,0,0.49977043,0
1,0,0.3932813,0
1,0,0.30781335,0
1,0,0.12477431,0
1,0,0.1697297,0
1,0,0.07496192,0
1,0,0.058855988,0
1,0,0.076821305,0
1,0,0.09710101,0
1,0,0.07076086,0
1,0,0.08511663,0
1,0,0.059315596,0
1,0,0.112867385,0
1,0,0.085175075,0
1,0,0.1090718,0
1,0,0.24098124,0
1,0,0.10725014,0
1,0,0.07102395,0
1,0,0.59933424,1
1,0,0.69898057,1
1,0,0.7046096,1
1,0,0.84868544,1
1,0,0.8764159,1
1,0,0.90786177,1
1,0,0.91919255,1
1,0,0.9040957,1
1,0,0.875229,1
1,0,0.8520373,1
1,0,0.7076462,1
1,0,0.7978653,1
1,0,0.72057927,1
1,0,0.86913204,1
1,0,0.7522816,1
1,0,0.84672433,1
1,0,0.8571139,1
1,0,0.90311867,1
1,0,0.8826477,1
1,1,0.16104108,0
1,1,0.17332871,0
1,1,0.18743625,0
1,1,0.18552464,0
1,1,0.14438559,0
1,1,0.13694163,0
1,1,0.1938943,0
1,1,0.19711874,0
1,1,0.17550743,0
1,1,0.20590776,0
1,1,0.28214285,0
1,1,0.18291464,0
1,1,0.21736573,0
1,1,0.18654393,0
1,1,0.14792132,0
1,1,0.1485391,0
1,1,0.23503697,0
1,1,0.13252452,0
1,1,0.12737846,0
1,1,0.7045117,1
1,1,0.72966814,1
1,1,0.5059599,1
1,1,0.6170164,1
1,1,0.81664026,1
1,1,0.53495646,1
1,1,0.6771519,1
1,1,0.7616918,1
1,1,0.80662984,1
1,1,0.7617137,1
1,1,0.8480351,1
1,1,0.61360353,1
1,1,0.77458227,1
1,1,0.8318943,1
1,1,0.89845955,1
1,1,0.62832683,1
1,1,0.62457454,1
1,1,0.72304857,1
1,1,0.6714826,1
1,1,0.6202706,1
1,1,0.26396906,0
1,1,0.21338281,0
1,1,0.16303717,0
1,1,0.263495,0
1,1,0.17080183,0
1,1,0.24894924,0
1,1,0.14793083,0
1,0,0.21322344,0
1,0,0.17196578,0
1,0,0.20296052,0
1,0,0.31440797,0
1,0,0.15266854,0
1,0,0.20933647,0
1,0,0.10995892,0
1,0,0.13313013,0
1,0,0.09064797,0
1,0,0.22724338,0
1,0,0.14571065,0
1,0,0.2295896,0
