Fold,Label,Prob,Preds
1,1,0.2930241,0
1,1,0.33378807,0
1,1,0.36421815,0
1,1,0.37494805,0
1,1,0.31021088,0
1,1,0.30712345,0
1,1,0.34612778,0
1,1,0.2992139,0
1,1,0.2992139,0
1,1,0.31145063,0
1,1,0.29063624,0
1,1,0.31791863,0
1,1,0.3102888,0
1,1,0.32098836,0
1,1,0.29950938,0
1,1,0.32633123,0
1,1,0.27346504,0
1,1,0.30409867,0
1,1,0.25654402,0
1,1,0.3010871,0
1,1,0.3105347,0
1,1,0.26635376,0
1,1,0.3309497,0
1,1,0.3767591,0
1,1,0.34824228,0
1,1,0.40314022,0
1,1,0.39424452,0
1,1,0.3720642,0
1,1,0.3283504,0
1,1,0.34716362,0
1,1,0.48034,0
1,1,0.46429095,0
1,1,0.46516526,0
1,1,0.5045553,1
1,1,0.54554033,1
1,1,0.48376805,0
1,1,0.4217411,0
1,1,0.42559263,0
1,1,0.39987782,0
1,1,0.38810775,0
1,1,0.42286792,0
1,1,0.4317889,0
1,1,0.38965732,0
1,1,0.37214905,0
1,1,0.38997695,0
1,1,0.3774605,0
1,1,0.40373588,0
1,1,0.37509212,0
1,1,0.37099195,0
1,1,0.3610064,0
1,1,0.41883403,0
1,1,0.44841862,0
1,1,0.44029254,0
1,0,0.2856334,0
1,0,0.27362683,0
1,0,0.25153524,0
1,0,0.28908432,0
1,0,0.25384608,0
1,0,0.26727304,0
1,0,0.31815448,0
1,0,0.36165747,0
1,0,0.31724352,0
1,0,0.35153344,0
1,0,0.34015653,0
1,0,0.36298272,0
1,0,0.3789176,0
1,0,0.35024217,0
1,0,0.364459,0
1,0,0.33634037,0
1,0,0.35903347,0
1,0,0.3347772,0
1,0,0.326342,0
1,0,0.36752585,0
1,0,0.3932888,0
1,0,0.38763678,0
1,0,0.40195346,0
1,0,0.40195346,0
1,0,0.39495915,0
1,0,0.41700056,0
1,0,0.41700056,0
1,0,0.4338997,0
1,0,0.37500593,0
1,0,0.3561219,0
1,0,0.31855187,0
1,0,0.3433655,0
1,0,0.35559988,0
1,0,0.35561052,0
1,0,0.3955826,0
1,0,0.34707662,0
1,0,0.29364833,0
1,0,0.20015056,0
1,0,0.22173434,0
1,0,0.2096028,0
1,0,0.21911213,0
1,0,0.22282434,0
1,0,0.23171715,0
1,0,0.30312234,0
1,0,0.33366898,0
1,0,0.39614084,0
1,0,0.45418745,0
1,0,0.417921,0
1,0,0.42652503,0
1,0,0.37003613,0
1,0,0.43821663,0
1,1,0.22539681,0
1,1,0.21071923,0
1,1,0.21030845,0
1,1,0.20177285,0
1,1,0.20177285,0
1,1,0.16244397,0
1,1,0.19067127,0
1,1,0.23188835,0
1,1,0.22261004,0
1,1,0.25649542,0
1,1,0.24053712,0
1,1,0.24354121,0
1,1,0.24354121,0
1,1,0.2841732,0
1,1,0.2584941,0
1,0,0.71216,1
1,0,0.7809334,1
1,0,0.7271224,1
1,0,0.675184,1
1,0,0.6231407,1
1,0,0.66672,1
1,0,0.5955025,1
1,0,0.475361,0
1,0,0.434608,0
1,0,0.46059975,0
1,0,0.5516643,1
1,0,0.51176685,1
1,0,0.48002216,0
1,0,0.41801307,0
1,0,0.41659376,0
1,0,0.40635613,0
1,0,0.3780214,0
1,0,0.32788703,0
1,0,0.37103128,0
1,0,0.3398393,0
1,1,0.3407635,0
1,1,0.36620358,0
1,1,0.4221751,0
1,1,0.46148944,0
1,1,0.4695732,0
1,1,0.39988482,0
1,1,0.41181168,0
1,1,0.32408974,0
1,1,0.38728645,0
1,1,0.35405198,0
1,1,0.32525203,0
1,1,0.30715957,0
1,1,0.36166105,0
1,1,0.3410304,0
1,1,0.3524049,0
1,0,0.2662747,0
1,0,0.2487222,0
1,0,0.22962661,0
1,0,0.22378503,0
1,0,0.28173718,0
1,0,0.22929162,0
1,0,0.27300307,0
1,0,0.29876685,0
1,0,0.29214585,0
1,0,0.34352323,0
1,0,0.34352323,0
1,0,0.40709695,0
1,0,0.3929757,0
1,0,0.42716783,0
1,0,0.48801365,0
1,0,0.45458004,0
1,0,0.3868723,0
1,0,0.3868723,0
1,0,0.4081849,0
1,0,0.40988052,0
1,1,0.5156146,1
1,1,0.49957746,0
1,1,0.4837137,0
1,1,0.39308178,0
1,1,0.4725781,0
1,1,0.49558556,0
1,1,0.55608916,1
1,1,0.55608916,1
1,1,0.58210236,1
1,1,0.64669013,1
1,1,0.63518155,1
1,1,0.63857335,1
1,1,0.62290895,1
1,1,0.57117534,1
1,1,0.5451167,1
1,0,0.5750181,1
1,0,0.5290492,1
1,0,0.48735666,0
1,0,0.53323174,1
1,0,0.5297999,1
1,0,0.5214223,1
1,0,0.54295814,1
1,0,0.48957616,0
1,0,0.45178062,0
1,0,0.36236185,0
1,0,0.41077566,0
1,0,0.35430697,0
1,0,0.38055652,0
1,0,0.41485855,0
1,0,0.3643867,0
1,0,0.29098266,0
1,0,0.30121562,0
1,0,0.3816502,0
1,0,0.38317388,0
1,0,0.42923462,0
1,1,0.41705686,0
1,1,0.35609046,0
1,1,0.35983074,0
1,1,0.42842758,0
1,1,0.3983596,0
1,1,0.36172357,0
1,1,0.3904918,0
1,1,0.30649763,0
1,1,0.29290354,0
1,1,0.35006648,0
1,1,0.35789308,0
1,1,0.36200225,0
1,1,0.31533957,0
1,1,0.2906585,0
1,1,0.27311152,0
1,0,0.4141864,0
1,0,0.3562149,0
1,0,0.39318532,0
1,0,0.50085807,1
1,0,0.6070999,1
1,0,0.6273911,1
1,0,0.6095566,1
1,0,0.59454036,1
1,0,0.53431684,1
1,0,0.64958936,1
1,0,0.605267,1
1,0,0.62098706,1
1,0,0.62098706,1
1,0,0.5943944,1
1,0,0.5391677,1
1,0,0.47356412,0
1,0,0.4525517,0
1,0,0.4525517,0
1,0,0.49592784,0
1,0,0.45277357,0
1,0,0.41551813,0
1,0,0.4848257,0
1,0,0.512195,1
1,0,0.49632356,0
1,0,0.44536474,0
1,0,0.44536474,0
1,0,0.43938202,0
1,0,0.46249232,0
1,0,0.39482355,0
1,0,0.31688192,0
1,0,0.38992658,0
1,0,0.47968194,0
1,0,0.46847984,0
1,0,0.5077382,1
1,0,0.4666908,0
1,0,0.4735864,0
1,0,0.43579185,0
1,0,0.44523266,0
1,0,0.44352835,0
1,0,0.495621,0
1,0,0.34572175,0
1,0,0.34158063,0
1,0,0.3556968,0
1,0,0.35103384,0
1,0,0.3434297,0
1,0,0.28463876,0
1,0,0.24803706,0
1,0,0.2546405,0
1,0,0.27724138,0
1,0,0.27724138,0
1,0,0.29223943,0
1,0,0.3062913,0
1,0,0.2558116,0
1,0,0.26006913,0
1,0,0.28070745,0
1,0,0.2730563,0
1,0,0.2730563,0
1,0,0.28033486,0
1,0,0.2930241,0
1,1,0.2930241,0
1,1,0.33378807,0
1,1,0.36421815,0
1,1,0.37494805,0
1,1,0.31021088,0
1,1,0.30712345,0
1,1,0.34612778,0
1,1,0.2992139,0
1,1,0.2992139,0
1,1,0.31145063,0
1,1,0.29063624,0
1,1,0.31791863,0
1,1,0.3102888,0
1,1,0.32098836,0
1,1,0.29950938,0
1,1,0.32633123,0
1,1,0.27346504,0
1,1,0.30409867,0
1,1,0.25654402,0
1,1,0.3010871,0
1,1,0.3105347,0
1,1,0.26635376,0
1,1,0.3309497,0
1,1,0.3767591,0
1,1,0.34824228,0
1,1,0.40314022,0
1,1,0.39424452,0
1,1,0.3720642,0
1,1,0.3283504,0
1,1,0.34716362,0
1,1,0.36578202,0
1,1,0.28552866,0
1,1,0.31965917,0
1,1,0.27187464,0
1,1,0.27187464,0
1,1,0.38446832,0
1,1,0.32893747,0
1,1,0.3399483,0
1,1,0.32470733,0
1,1,0.32893747,0
1,1,0.36643448,0
1,1,0.36643448,0
1,1,0.36278063,0
1,1,0.42333475,0
1,1,0.42333475,0
1,1,0.61407304,1
1,1,0.5703408,1
1,1,0.5510264,1
1,1,0.4877942,0
1,1,0.4975141,0
1,1,0.5565537,1
1,1,0.6032241,1
1,1,0.5728965,1
1,1,0.5504274,1
1,1,0.57901216,1
1,1,0.531641,1
1,1,0.55103034,1
1,1,0.5325962,1
1,1,0.50693893,1
1,1,0.52321064,1
1,1,0.52551514,1
1,1,0.5596287,1
1,1,0.5358765,1
1,1,0.59210616,1
1,1,0.59210616,1
1,1,0.5961062,1
1,1,0.51908255,1
1,1,0.5451695,1
1,1,0.48988003,0
1,1,0.37706357,0
1,1,0.43448353,0
1,1,0.50164694,1
1,1,0.4284303,0
1,1,0.4307525,0
1,1,0.37378767,0
1,1,0.43143335,0
1,1,0.3165643,0
1,1,0.37152785,0
1,1,0.3582637,0
1,0,0.30059752,0
1,0,0.2928075,0
1,0,0.24675047,0
1,0,0.24162267,0
1,0,0.23529224,0
1,0,0.22300114,0
1,0,0.20149629,0
1,0,0.22924878,0
1,0,0.21484917,0
1,0,0.17164312,0
1,0,0.20629042,0
1,0,0.19575931,0
1,0,0.2718523,0
1,0,0.274977,0
1,0,0.26667982,0
1,0,0.21401913,0
1,0,0.21546946,0
1,0,0.333103,0
1,0,0.3889191,0
1,0,0.3889191,0
1,0,0.3889191,0
1,0,0.42837608,0
1,0,0.37854782,0
1,0,0.37097672,0
1,0,0.4309869,0
1,0,0.37097672,0
1,0,0.38863748,0
1,0,0.4207484,0
1,0,0.38708982,0
1,0,0.3317215,0
1,0,0.3977483,0
1,0,0.42079008,0
1,0,0.43423414,0
1,0,0.42924783,0
1,0,0.43170875,0
1,0,0.42596194,0
1,0,0.44893909,0
1,0,0.5031796,1
1,0,0.4636373,0
1,0,0.20177285,0
1,0,0.20177285,0
1,0,0.16244397,0
1,0,0.19067127,0
1,0,0.2477215,0
1,0,0.23811421,0
1,0,0.26986462,0
1,0,0.31294313,0
1,0,0.31532863,0
1,0,0.31532863,0
1,0,0.35646257,0
1,0,0.33047652,0
1,0,0.3647239,0
1,0,0.41402858,0
1,0,0.36181727,0
1,1,0.3530987,0
1,1,0.35286614,0
1,1,0.40056697,0
1,1,0.38511056,0
1,1,0.30465046,0
1,1,0.35499293,0
1,1,0.3546539,0
1,0,0.20177285,0
1,0,0.20177285,0
1,0,0.16244397,0
1,0,0.19067127,0
1,0,0.23188835,0
1,0,0.22261004,0
1,0,0.25649542,0
1,0,0.24053712,0
1,0,0.24354121,0
1,0,0.24354121,0
1,0,0.2841732,0
1,0,0.2584941,0
1,0,0.28870198,0
1,0,0.33943313,0
1,0,0.28763106,0
1,0,0.27295673,0
1,0,0.26449692,0
1,0,0.30676565,0
1,0,0.2756295,0
1,0,0.22644481,0
1,0,0.2790769,0
1,1,0.60395384,1
1,1,0.53863883,1
1,1,0.61982614,1
1,1,0.59465426,1
1,1,0.62346447,1
1,1,0.58775324,1
1,1,0.5624965,1
1,1,0.5265693,1
1,1,0.5265693,1
1,1,0.36771256,0
1,1,0.34844443,0
1,1,0.34984726,0
1,1,0.3220316,0
1,1,0.32042938,0
1,1,0.34702677,0
1,1,0.32439622,0
1,1,0.36152402,0
1,1,0.32581866,0
1,1,0.317902,0
1,1,0.393494,0
1,1,0.393494,0
1,1,0.35279277,0
1,1,0.35279277,0
1,1,0.45315045,0
1,1,0.45315045,0
1,1,0.49266368,0
1,1,0.5057838,1
1,1,0.5333777,1
1,1,0.44916627,0
1,1,0.3997995,0
1,1,0.45338866,0
1,1,0.46851015,0
1,1,0.4009815,0
1,1,0.41813716,0
1,1,0.39338508,0
1,1,0.35468712,0
1,1,0.39390856,0
1,1,0.4001376,0
1,1,0.5194007,1
1,1,0.5614093,1
1,1,0.5275759,1
1,1,0.54023045,1
1,1,0.5788942,1
1,1,0.61012113,1
1,1,0.6396314,1
1,1,0.6121789,1
1,1,0.5852592,1
1,1,0.5852592,1
1,1,0.5211032,1
1,1,0.50368905,1
1,1,0.43158776,0
1,1,0.3988606,0
1,1,0.41035068,0
1,1,0.32860857,0
1,1,0.3228863,0
1,1,0.31153104,0
1,1,0.26942086,0
1,1,0.30774817,0
1,1,0.3169251,0
1,1,0.3556503,0
1,1,0.31934977,0
1,1,0.3468351,0
1,1,0.33970425,0
1,1,0.31281722,0
1,1,0.3731009,0
1,1,0.31204015,0
1,1,0.38661954,0
1,1,0.39450073,0
1,1,0.4041677,0
1,1,0.4283439,0
1,1,0.3610855,0
1,1,0.3896119,0
1,1,0.36275873,0
1,1,0.4421065,0
1,1,0.42390782,0
1,1,0.49586624,0
1,1,0.41877678,0
1,1,0.5713402,1
1,1,0.58141834,1
1,1,0.57617,1
1,1,0.5688907,1
1,1,0.5763035,1
1,1,0.53150237,1
1,1,0.45869002,0
1,1,0.46063918,0
1,1,0.40459874,0
1,1,0.4657969,0
1,1,0.3438884,0
1,1,0.3936053,0
1,1,0.3769868,0
1,1,0.30813,0
1,1,0.33727196,0
1,1,0.32391968,0
1,1,0.3314424,0
1,1,0.38680622,0
1,1,0.38680622,0
1,1,0.3573722,0
1,1,0.3573733,0
1,1,0.3573722,0
1,1,0.36116922,0
1,1,0.4145858,0
1,1,0.43366373,0
1,1,0.4448178,0
1,1,0.48721692,0
1,1,0.48721692,0
1,1,0.52190936,1
1,1,0.5182811,1
1,1,0.51794165,1
1,1,0.4923951,0
1,1,0.43964702,0
1,1,0.39261383,0
1,1,0.46726194,0
1,1,0.4627705,0
1,1,0.4760925,0
1,1,0.4760925,0
1,1,0.44399774,0
1,1,0.44399774,0
1,1,0.41035604,0
1,1,0.45297074,0
1,1,0.39732736,0
1,1,0.3684601,0
1,1,0.39673492,0
1,1,0.3966108,0
1,1,0.40097266,0
1,1,0.33796817,0
1,1,0.3284476,0
1,1,0.375637,0
1,1,0.6317933,1
1,1,0.6317933,1
1,1,0.6029447,1
1,1,0.539042,1
1,1,0.51006705,1
1,1,0.57290477,1
1,1,0.5267036,1
1,1,0.5185754,1
1,1,0.61443424,1
1,1,0.55595124,1
1,1,0.5747433,1
1,1,0.5747433,1
1,1,0.5867635,1
1,1,0.5867635,1
1,1,0.61272,1
1,1,0.5331524,1
1,1,0.4956304,0
1,1,0.47136652,0
1,1,0.5044608,1
1,1,0.50500816,1
1,1,0.51723224,1
1,1,0.538554,1
1,1,0.52012044,1
1,1,0.4836715,0
1,1,0.5233717,1
1,1,0.5456751,1
1,1,0.5693506,1
1,1,0.5148502,1
1,1,0.44217494,0
1,1,0.47713354,0
1,1,0.5110192,1
1,1,0.5473145,1
1,1,0.5318357,1
1,1,0.5541379,1
1,1,0.50488245,1
1,1,0.5429764,1
1,1,0.55687433,1
1,1,0.55295944,1
1,1,0.55885977,1
1,1,0.5801519,1
1,1,0.5801519,1
1,1,0.60382146,1
1,1,0.60382146,1
1,1,0.53557485,1
1,1,0.5125149,1
1,1,0.42806083,0
1,1,0.39059356,0
1,1,0.37501433,0
1,1,0.37355724,0
1,1,0.396427,0
1,1,0.3348431,0
1,1,0.3348431,0
1,1,0.2981098,0
1,1,0.30729294,0
1,1,0.3321453,0
1,1,0.30074695,0
1,1,0.3364497,0
1,1,0.32595202,0
1,1,0.30842385,0
1,1,0.29388708,0
1,1,0.32590535,0
1,1,0.2900606,0
1,1,0.30508888,0
1,1,0.30749705,0
1,1,0.33344242,0
1,1,0.381996,0
1,1,0.37004536,0
1,1,0.40493664,0
1,1,0.40870523,0
1,1,0.3864036,0
2,0,0.2955268,0
2,0,0.2955268,0
2,0,0.29874107,0
2,0,0.29757938,0
2,0,0.29757938,0
2,0,0.31698388,0
2,0,0.31383038,0
2,0,0.31124896,0
2,0,0.3854944,0
2,0,0.4625749,0
2,0,0.3713781,0
2,0,0.3391297,0
2,0,0.2711255,0
2,0,0.46378604,0
2,0,0.49965802,0
2,0,0.58603346,1
2,0,0.52687186,1
2,0,0.58025825,1
2,0,0.6098342,1
2,0,0.5445416,1
2,0,0.57614183,1
2,0,0.5738512,1
2,0,0.55263454,1
2,0,0.58959126,1
2,0,0.5832808,1
2,0,0.5832808,1
2,1,0.17766485,0
2,1,0.17597622,0
2,1,0.18326843,0
2,1,0.22861332,0
2,1,0.20422588,0
2,1,0.23907238,0
2,1,0.28372747,0
2,1,0.26972196,0
2,1,0.2334457,0
2,1,0.15916975,0
2,1,0.15751006,0
2,1,0.23169774,0
2,1,0.19594231,0
2,1,0.14208922,0
2,1,0.1566123,0
2,0,0.20899856,0
2,0,0.1729911,0
2,0,0.17517886,0
2,0,0.15496147,0
2,0,0.14047365,0
2,0,0.14047365,0
2,0,0.13778362,0
2,0,0.13903548,0
2,0,0.18882217,0
2,0,0.22476657,0
2,0,0.20799182,0
2,1,0.5513666,1
2,1,0.5513666,1
2,1,0.5078882,1
2,1,0.4017374,0
2,1,0.41565657,0
2,1,0.3452252,0
2,1,0.2929419,0
2,1,0.34522218,0
2,1,0.35832807,0
2,1,0.43571427,0
2,1,0.38449556,0
2,1,0.3599269,0
2,1,0.3599269,0
2,1,0.29550314,0
2,1,0.2950888,0
2,1,0.25509334,0
2,1,0.21428934,0
2,1,0.29000342,0
2,1,0.30227274,0
2,1,0.25600395,0
2,1,0.27243406,0
2,1,0.3367818,0
2,1,0.43109703,0
2,1,0.5235561,1
2,1,0.31941774,0
2,1,0.3202408,0
2,1,0.31708688,0
2,1,0.39284667,0
2,1,0.35083354,0
2,1,0.37014553,0
2,1,0.34533605,0
2,1,0.34076574,0
2,1,0.34628263,0
2,1,0.32273918,0
2,1,0.2968314,0
2,1,0.25938612,0
2,1,0.26080415,0
2,1,0.2619773,0
2,1,0.2558542,0
2,0,0.15619928,0
2,0,0.15328778,0
2,0,0.16859338,0
2,0,0.16286327,0
2,0,0.17109229,0
2,0,0.14324056,0
2,0,0.14846267,0
2,0,0.13961339,0
2,0,0.12257039,0
2,0,0.15964796,0
2,0,0.20403376,0
2,0,0.18276288,0
2,0,0.18923114,0
2,0,0.20424536,0
2,0,0.2799154,0
2,0,0.3336802,0
2,0,0.3538107,0
2,0,0.32643738,0
2,0,0.2884235,0
2,0,0.24817233,0
2,0,0.21640033,0
2,0,0.21640033,0
2,0,0.2322203,0
2,0,0.23917452,0
2,0,0.24714707,0
2,0,0.2837913,0
2,0,0.26608312,0
2,0,0.2326141,0
2,0,0.2717304,0
2,0,0.28598034,0
2,0,0.26509446,0
2,0,0.26509446,0
2,0,0.20644008,0
2,0,0.421538,0
2,0,0.40392578,0
2,0,0.39003277,0
2,0,0.43926272,0
2,0,0.3638783,0
2,0,0.38803074,0
2,0,0.4023829,0
2,0,0.48455077,0
2,0,0.4470655,0
2,0,0.39475936,0
2,0,0.4734221,0
2,0,0.42827153,0
2,0,0.39823774,0
2,0,0.43845594,0
2,0,0.47186676,0
2,0,0.49171573,0
2,0,0.43699864,0
2,0,0.4423335,0
2,0,0.40268847,0
2,0,0.48656225,0
2,0,0.43802893,0
2,0,0.46521008,0
2,0,0.43065038,0
2,0,0.54498,1
2,0,0.60395443,1
2,0,0.5445333,1
2,0,0.6251391,1
2,0,0.5206938,1
2,0,0.49841222,0
2,0,0.41575968,0
2,0,0.4255249,0
2,0,0.49362725,0
2,0,0.47637928,0
2,1,0.4385208,0
2,1,0.41496053,0
2,1,0.46956012,0
2,1,0.45551258,0
2,1,0.53786576,1
2,1,0.59995306,1
2,0,0.40360522,0
2,0,0.39933193,0
2,0,0.22663079,0
2,0,0.3018615,0
2,0,0.29509813,0
2,0,0.282854,0
2,0,0.27054685,0
2,0,0.27054685,0
2,0,0.30331314,0
2,0,0.21933493,0
2,0,0.2082841,0
2,0,0.23112004,0
2,0,0.23890829,0
2,0,0.2357779,0
2,0,0.23839933,0
2,0,0.476345,0
2,0,0.5279398,1
2,0,0.56364155,1
2,0,0.5894346,1
2,0,0.5589146,1
2,0,0.5402411,1
2,0,0.67905986,1
2,0,0.6172324,1
2,0,0.51397634,1
2,0,0.5674206,1
2,0,0.60572535,1
2,0,0.63026696,1
2,1,0.66660106,1
2,1,0.49813926,0
2,1,0.44564295,0
2,1,0.44564295,0
2,1,0.3999261,0
2,1,0.36441645,0
2,1,0.32144347,0
2,1,0.35971758,0
2,1,0.3781483,0
2,0,0.3781483,0
2,0,0.44693506,0
2,0,0.4978711,0
2,0,0.43567768,0
2,0,0.40864682,0
2,0,0.40864682,0
2,0,0.45072332,0
2,0,0.45377716,0
2,0,0.5027747,1
2,0,0.44353706,0
2,0,0.43160617,0
2,0,0.5123339,1
2,0,0.5560707,1
2,0,0.56568646,1
2,0,0.521981,1
2,0,0.521981,1
2,0,0.46251613,0
2,0,0.48090148,0
2,0,0.54155666,1
2,0,0.5196007,1
2,0,0.42321673,0
2,0,0.4370158,0
2,0,0.44669497,0
2,0,0.42608038,0
2,0,0.4694921,0
2,0,0.4826765,0
2,0,0.47852793,0
2,0,0.49479413,0
2,0,0.414901,0
2,0,0.3759657,0
2,0,0.33953398,0
2,0,0.31287453,0
2,0,0.2686583,0
2,0,0.2514405,0
2,0,0.28779,0
2,0,0.3315253,0
2,0,0.3065444,0
2,0,0.36562422,0
2,0,0.36562422,0
2,0,0.35816348,0
2,0,0.38542795,0
2,0,0.38542795,0
2,0,0.33836487,0
2,0,0.37059253,0
2,0,0.44434255,0
2,1,0.41396162,0
2,1,0.39185336,0
2,1,0.3637504,0
2,1,0.3637504,0
2,1,0.3562481,0
2,1,0.34358853,0
2,1,0.28383324,0
2,1,0.26456675,0
2,1,0.24764805,0
2,1,0.24764805,0
2,1,0.17413996,0
2,1,0.17012148,0
2,1,0.17180268,0
2,1,0.1743174,0
2,1,0.136001,0
2,1,0.13839334,0
2,1,0.15539524,0
2,1,0.25845093,0
2,0,0.24052888,0
2,0,0.28013486,0
2,0,0.3427895,0
2,0,0.5400074,1
2,0,0.53445303,1
2,0,0.4378263,0
2,0,0.41549423,0
