Fold,Label,Prob,Preds
1,1,0.95402575,1
1,1,0.9565891,1
1,1,0.9553308,1
1,1,0.9560642,1
1,1,0.95504487,1
1,1,0.9545435,1
1,1,0.9546272,1
1,1,0.954549,1
1,1,0.95549154,1
1,1,0.9558639,1
1,1,0.9558352,1
1,1,0.9560844,1
1,1,0.9550389,1
1,1,0.95314604,1
1,1,0.95420575,1
1,1,0.95589244,1
1,1,0.95468825,1
1,1,0.9558798,1
1,1,0.95713645,1
1,1,0.9577516,1
1,1,0.95664483,1
1,1,0.9575714,1
1,1,0.95704186,1
1,1,0.9570081,1
1,1,0.9577715,1
1,1,0.9587753,1
1,1,0.9588036,1
1,1,0.9579266,1
1,1,0.79582286,1
1,1,0.78471285,1
1,1,0.7986619,1
1,1,0.79074967,1
1,1,0.7825638,1
1,1,0.798566,1
1,1,0.7936194,1
1,1,0.7885634,1
1,1,0.7971645,1
1,1,0.798175,1
1,1,0.7854622,1
1,1,0.7895876,1
1,1,0.7984164,1
1,1,0.7890131,1
1,1,0.9487048,1
1,1,0.94820637,1
1,1,0.950356,1
1,1,0.95077956,1
1,1,0.9506641,1
1,1,0.9508611,1
1,1,0.9487682,1
1,1,0.9502899,1
1,1,0.9515174,1
1,1,0.9528596,1
1,1,0.9528167,1
1,1,0.9530723,1
1,1,0.95277655,1
1,1,0.95208436,1
1,1,0.9589659,1
1,1,0.9588632,1
1,1,0.9589192,1
1,1,0.95863825,1
1,1,0.958689,1
1,1,0.95844066,1
1,1,0.95912,1
1,1,0.9591816,1
1,1,0.9588303,1
1,1,0.7897043,1
1,1,0.7917813,1
1,1,0.7872748,1
1,1,0.7898898,1
1,1,0.7897383,1
1,1,0.7925308,1
1,1,0.7913946,1
1,1,0.79193366,1
1,1,0.95857984,1
1,1,0.95839465,1
1,1,0.95835054,1
1,1,0.9591626,1
1,1,0.95862216,1
1,1,0.9576745,1
1,1,0.9573606,1
1,1,0.9580739,1
1,1,0.79983586,1
1,1,0.8008102,1
1,1,0.80563456,1
1,1,0.80754036,1
1,1,0.8045817,1
1,1,0.80307746,1
1,1,0.8045679,1
1,1,0.8055239,1
1,1,0.80787235,1
1,1,0.81157357,1
1,1,0.80436504,1
1,1,0.8059564,1
1,1,0.8116777,1
1,1,0.8139446,1
1,1,0.81393224,1
1,1,0.8155153,1
1,1,0.81430984,1
1,1,0.8071411,1
1,1,0.8109922,1
1,1,0.8133859,1
1,1,0.81636894,1
