Fold,Label,Prob,Preds
1,1,0.38663137,0
1,1,0.34251767,0
1,1,0.33243772,0
1,1,0.29599592,0
1,1,0.29743448,0
1,1,0.3221252,0
1,1,0.2885328,0
1,1,0.28683656,0
1,1,0.27371553,0
1,1,0.23125054,0
1,1,0.21184222,0
1,1,0.19193295,0
1,1,0.19193295,0
1,1,0.20362186,0
1,1,0.21583806,0
1,1,0.20527248,0
1,1,0.24447177,0
1,1,0.26136822,0
1,1,0.28163707,0
1,0,0.28031817,0
1,0,0.26584876,0
1,0,0.32938075,0
1,0,0.3295449,0
1,0,0.398578,0
1,0,0.43526074,0
1,0,0.47024515,0
1,0,0.5058862,1
1,0,0.48534703,0
1,0,0.518427,1
1,0,0.52370834,1
1,0,0.49843565,0
1,0,0.44313887,0
1,0,0.4200877,0
1,0,0.42793813,0
1,0,0.42604136,0
1,0,0.3841123,0
1,0,0.35258773,0
1,0,0.32348466,0
1,0,0.25714618,0
1,0,0.26139355,0
1,0,0.2477962,0
1,0,0.25499764,0
1,1,0.30005735,0
1,1,0.286604,0
1,1,0.286604,0
1,1,0.36871654,0
1,1,0.40074468,0
1,1,0.35650083,0
1,1,0.37106174,0
1,1,0.3447228,0
1,1,0.37595132,0
1,1,0.36125308,0
1,1,0.36242098,0
1,1,0.3462755,0
1,1,0.30040732,0
1,1,0.28995764,0
1,1,0.31742752,0
1,1,0.29353154,0
1,1,0.2865567,0
1,1,0.27489042,0
1,1,0.24977611,0
1,0,0.25413904,0
1,0,0.29497114,0
1,0,0.3323671,0
1,0,0.3323671,0
1,0,0.3372629,0
1,0,0.34898847,0
1,0,0.37874943,0
1,0,0.45170093,0
1,0,0.4767056,0
1,1,0.5060423,1
1,1,0.4465626,0
1,1,0.44591993,0
1,1,0.44687092,0
1,1,0.44687092,0
1,1,0.44074264,0
1,1,0.39549017,0
1,1,0.35065037,0
1,1,0.2630104,0
1,1,0.25180417,0
1,1,0.24118191,0
1,1,0.23335299,0
1,1,0.19837603,0
1,1,0.18240191,0
1,1,0.17186005,0
1,1,0.15058161,0
1,1,0.13689177,0
1,1,0.14360009,0
1,1,0.14003704,0
1,0,0.14003704,0
1,0,0.14699455,0
1,0,0.15088792,0
1,0,0.15088792,0
