Fold,Label,Prob,Preds
1,1,0.53832763,1
1,1,0.7478311,1
1,1,0.56823754,1
1,1,0.61520064,1
1,1,0.66991955,1
1,1,0.89588696,1
1,1,0.69642794,1
1,1,0.7735647,1
1,1,0.7970522,1
1,1,0.74788654,1
1,1,0.79430944,1
1,1,0.82738364,1
1,1,0.90344626,1
1,1,0.8043297,1
1,1,0.8228253,1
1,1,0.7545921,1
1,1,0.7073971,1
1,1,0.5079038,1
1,1,0.5568833,1
1,1,0.20036566,0
1,1,0.4662937,0
1,1,0.08772428,0
1,1,0.08106399,0
1,1,0.24126272,0
1,1,0.55938137,1
1,1,0.8447462,1
1,1,0.91019094,1
1,1,0.543535,1
1,1,0.810473,1
1,1,0.69582194,1
1,1,0.7191977,1
1,1,0.4817191,0
1,1,0.45272377,0
1,1,0.669618,1
1,1,0.5145564,1
1,1,0.7958464,1
1,1,0.16373666,0
1,1,0.28942934,0
1,1,0.39342356,0
1,1,0.33987257,0
1,1,0.40278146,0
1,1,0.5482835,1
1,1,0.83115464,1
1,1,0.6094816,1
1,1,0.43647248,0
1,1,0.729407,1
1,1,0.45666742,0
1,1,0.5122295,1
1,1,0.15502752,0
1,1,0.33589503,0
1,1,0.52185285,1
1,1,0.61256,1
1,0,0.763993,1
1,0,0.56471723,1
1,0,0.76315117,1
1,0,0.64981294,1
1,0,0.57935154,1
1,0,0.7386539,1
1,0,0.56016624,1
1,0,0.83375406,1
1,0,0.57987934,1
1,0,0.36080924,0
1,0,0.6832369,1
1,0,0.8672487,1
1,1,0.846102,1
1,1,0.69930965,1
1,1,0.9211507,1
1,1,0.97065204,1
1,1,0.968309,1
1,1,0.7629855,1
1,1,0.9726403,1
1,1,0.9414471,1
1,1,0.9913599,1
1,1,0.50548506,1
1,1,0.8947363,1
1,1,0.95052224,1
1,1,0.9182444,1
1,1,0.9420394,1
1,1,0.90017176,1
1,1,0.93699783,1
1,1,0.94589955,1
1,1,0.9434745,1
1,1,0.91615057,1
1,1,0.8567658,1
1,1,0.89015144,1
1,0,0.64210314,1
1,0,0.70203465,1
1,0,0.66951454,1
1,0,0.7707001,1
1,0,0.7309866,1
1,0,0.69295144,1
1,0,0.8671602,1
1,0,0.80536354,1
1,0,0.84360665,1
1,0,0.851964,1
1,0,0.8224752,1
1,1,0.81652963,1
1,1,0.88486344,1
1,1,0.8629449,1
1,1,0.9054005,1
1,1,0.86075246,1
1,0,0.762704,1
1,0,0.82500386,1
1,0,0.9099174,1
1,0,0.9236283,1
1,0,0.9022387,1
1,0,0.72569203,1
1,0,0.8790063,1
1,0,0.65278465,1
1,0,0.7013464,1
1,0,0.90896577,1
1,0,0.9016649,1
1,0,0.7029603,1
1,0,0.9392965,1
1,0,0.89127254,1
1,0,0.9168513,1
1,0,0.87806815,1
1,0,0.85332024,1
1,0,0.46757394,0
1,0,0.80348295,1
1,0,0.6129301,1
1,0,0.883346,1
1,0,0.73139054,1
1,0,0.7444051,1
1,1,0.56696415,1
1,1,0.70530725,1
1,1,0.7261041,1
1,1,0.68635166,1
1,1,0.71631795,1
1,1,0.7728816,1
1,1,0.8804573,1
1,1,0.89325273,1
1,1,0.9577154,1
1,0,0.8267848,1
1,0,0.6529145,1
1,0,0.8804826,1
1,0,0.6689144,1
1,0,0.6420172,1
1,0,0.77004325,1
1,0,0.73647696,1
1,0,0.8761016,1
1,0,0.43419054,0
1,0,0.631863,1
1,0,0.8764237,1
1,0,0.85154784,1
1,0,0.8889017,1
1,0,0.8725267,1
1,0,0.83879036,1
1,0,0.6719006,1
1,0,0.85276896,1
1,0,0.88206595,1
1,0,0.85737634,1
1,0,0.83049613,1
1,0,0.8527539,1
1,0,0.9030941,1
1,0,0.89293563,1
1,0,0.9187158,1
1,0,0.9544328,1
1,0,0.9652383,1
1,0,0.9441083,1
1,0,0.92655,1
1,0,0.82427436,1
1,0,0.88717717,1
1,0,0.902084,1
1,0,0.8573502,1
1,0,0.93391544,1
1,0,0.9339161,1
1,0,0.8314179,1
1,0,0.88996166,1
1,0,0.893707,1
1,0,0.8268759,1
1,1,0.8451438,1
1,1,0.6370085,1
1,1,0.7179889,1
1,1,0.599004,1
1,1,0.7974742,1
1,1,0.6976039,1
1,1,0.3923935,0
1,1,0.60300076,1
1,1,0.73858047,1
1,0,0.78294563,1
1,0,0.7888035,1
1,0,0.5934494,1
1,0,0.745129,1
1,0,0.50361335,1
1,0,0.79716045,1
1,0,0.51411,1
1,0,0.84123015,1
1,0,0.7874653,1
1,0,0.87238854,1
1,0,0.79244584,1
1,0,0.67568046,1
1,0,0.6412888,1
1,0,0.6369355,1
1,0,0.7296255,1
1,0,0.4958829,0
1,0,0.72014207,1
1,0,0.6412181,1
1,0,0.70515156,1
1,0,0.6601202,1
1,0,0.87187785,1
1,0,0.89047635,1
1,0,0.91615885,1
1,0,0.7893945,1
1,0,0.8609981,1
1,0,0.70752895,1
1,0,0.89701855,1
1,1,0.7443085,1
1,1,0.89806664,1
1,1,0.73826396,1
1,1,0.8890763,1
1,1,0.74212116,1
1,1,0.8893897,1
1,1,0.7454582,1
1,1,0.7285872,1
1,1,0.41625407,0
1,0,0.673463,1
1,0,0.74143326,1
1,0,0.7491834,1
1,0,0.8140127,1
1,0,0.76357865,1
1,0,0.5487755,1
1,0,0.43350047,0
1,1,0.75371456,1
1,1,0.23665647,0
1,1,0.79037404,1
1,1,0.5056892,1
1,1,0.67391217,1
1,1,0.46728325,0
1,1,0.55579466,1
1,1,0.5153773,1
1,1,0.6610569,1
1,1,0.79685944,1
1,1,0.7775682,1
1,1,0.485555,0
1,1,0.7656209,1
1,1,0.76287335,1
1,1,0.7726576,1
1,1,0.79308337,1
1,1,0.7814487,1
1,1,0.8947361,1
1,1,0.8589963,1
1,1,0.83133835,1
1,1,0.80691475,1
1,0,0.7995489,1
1,0,0.7756719,1
1,0,0.721253,1
1,0,0.70199233,1
1,0,0.60204387,1
1,0,0.6616726,1
1,0,0.7032012,1
1,0,0.57812345,1
1,0,0.37797514,0
1,0,0.4615524,0
1,0,0.5053266,1
1,0,0.5207326,1
1,0,0.605746,1
1,0,0.52406055,1
1,0,0.64289993,1
1,1,0.58333725,1
1,1,0.5672995,1
1,1,0.540654,1
1,1,0.7544718,1
1,1,0.68774027,1
1,1,0.7066127,1
1,1,0.34101614,0
1,1,0.7827092,1
1,1,0.5880637,1
1,1,0.74950004,1
1,1,0.6710076,1
1,1,0.60316473,1
1,1,0.555778,1
1,1,0.65531546,1
1,1,0.7886113,1
1,1,0.77373034,1
1,1,0.54625976,1
1,0,0.8172055,1
1,0,0.72749543,1
1,0,0.84354365,1
1,0,0.7340305,1
1,0,0.57377565,1
1,0,0.47533813,0
1,0,0.16566034,0
1,0,0.84702563,1
1,0,0.8588757,1
1,0,0.7702795,1
1,0,0.7501645,1
1,1,0.4963995,0
1,1,0.74546975,1
1,1,0.84232086,1
1,1,0.8979686,1
1,1,0.5921828,1
1,1,0.86951816,1
1,1,0.8512671,1
1,1,0.85374767,1
1,1,0.8751794,1
1,1,0.8826595,1
1,1,0.832276,1
1,1,0.84490764,1
1,1,0.9281965,1
1,1,0.8993884,1
1,1,0.9445733,1
1,1,0.9184263,1
1,1,0.9446576,1
1,1,0.9157992,1
1,1,0.9028032,1
1,1,0.89691216,1
1,1,0.9164724,1
1,1,0.79530966,1
1,1,0.88725674,1
1,1,0.86318237,1
1,1,0.88416666,1
1,1,0.71993643,1
1,1,0.6606825,1
1,1,0.7725023,1
1,1,0.8736246,1
1,1,0.73925316,1
1,1,0.7407968,1
1,1,0.81200284,1
1,1,0.9087014,1
1,1,0.8034912,1
1,1,0.8116935,1
1,1,0.77923834,1
1,1,0.78654814,1
1,1,0.61442995,1
1,1,0.83089805,1
1,1,0.6525447,1
1,1,0.8373725,1
1,1,0.8640017,1
1,1,0.7972648,1
1,1,0.6789836,1
1,1,0.8148633,1
1,1,0.83874816,1
1,1,0.844531,1
1,1,0.86239,1
1,1,0.7396523,1
1,1,0.8841811,1
1,1,0.84312683,1
1,1,0.67978495,1
1,1,0.81894296,1
1,1,0.9096923,1
1,0,0.7368748,1
1,0,0.7209878,1
1,0,0.83043206,1
1,0,0.79569024,1
1,0,0.7071615,1
1,0,0.8176055,1
1,0,0.7283381,1
1,0,0.68811464,1
1,0,0.6259594,1
1,0,0.87989974,1
1,0,0.73832,1
1,0,0.7234945,1
1,0,0.84901905,1
1,0,0.83212656,1
1,0,0.49248388,0
1,0,0.7810163,1
1,0,0.5749926,1
1,0,0.86946666,1
1,0,0.87919766,1
1,0,0.945346,1
1,0,0.94050926,1
1,0,0.91624284,1
1,0,0.8072351,1
1,0,0.8719752,1
1,0,0.8717202,1
1,0,0.8029043,1
1,0,0.7876893,1
1,0,0.9447252,1
1,0,0.83808875,1
1,0,0.8313071,1
1,0,0.70785713,1
1,1,0.76994616,1
1,1,0.7536294,1
1,1,0.731163,1
1,1,0.7324658,1
1,1,0.774807,1
1,1,0.8099604,1
1,1,0.7784076,1
1,1,0.7961813,1
1,1,0.84848934,1
1,1,0.8248432,1
1,1,0.8833417,1
1,1,0.79397833,1
1,0,0.7887729,1
1,0,0.844639,1
1,0,0.8846086,1
1,0,0.8425982,1
1,0,0.85924715,1
1,0,0.78767145,1
1,0,0.81121784,1
1,0,0.7615124,1
1,0,0.8005071,1
1,0,0.7991581,1
1,0,0.65246826,1
1,0,0.6436147,1
1,1,0.6229005,1
1,1,0.86128706,1
1,1,0.7964957,1
1,1,0.80482197,1
1,1,0.7094707,1
1,0,0.66130805,1
1,0,0.80942804,1
1,0,0.78938216,1
1,0,0.5855976,1
1,0,0.71469414,1
1,0,0.6390315,1
1,0,0.5936842,1
1,0,0.77153146,1
1,0,0.7608212,1
1,0,0.8769358,1
1,0,0.7547237,1
1,0,0.74162513,1
1,0,0.75013214,1
1,0,0.80421257,1
1,0,0.8219558,1
1,0,0.8546865,1
1,0,0.7211803,1
1,0,0.72056717,1
1,0,0.524386,1
1,0,0.8612338,1
1,0,0.8674966,1
1,0,0.79864407,1
1,0,0.833797,1
1,0,0.8862976,1
1,0,0.87923586,1
1,0,0.8607641,1
1,0,0.9007734,1
1,0,0.87802035,1
1,0,0.69298494,1
1,0,0.7035143,1
1,0,0.6541001,1
1,0,0.58263725,1
1,0,0.6327851,1
1,0,0.61591214,1
1,0,0.59882426,1
1,0,0.7673471,1
1,0,0.39211,0
1,0,0.72331536,1
1,0,0.7247613,1
1,0,0.77234745,1
1,0,0.6555906,1
1,0,0.67129195,1
1,0,0.6903572,1
1,0,0.6952393,1
1,0,0.8128803,1
1,0,0.74948835,1
1,0,0.3517857,0
1,0,0.52365845,1
1,0,0.31331947,0
1,0,0.5276937,1
1,0,0.37675393,0
1,0,0.3884398,0
1,0,0.20696206,0
1,0,0.5414228,1
1,0,0.45340595,0
1,0,0.661794,1
1,0,0.69383305,1
1,0,0.7728732,1
1,0,0.8410992,1
1,0,0.74176055,1
1,0,0.82636386,1
1,0,0.8749513,1
1,0,0.8464083,1
1,0,0.7807624,1
1,0,0.8687928,1
1,0,0.92637455,1
1,0,0.9206922,1
1,0,0.8441974,1
1,0,0.80302453,1
1,0,0.90479153,1
1,0,0.8362849,1
1,0,0.8919967,1
1,0,0.8008021,1
1,0,0.90197086,1
1,0,0.8602943,1
1,0,0.903979,1
1,0,0.8165722,1
1,0,0.7437919,1
1,0,0.5903511,1
1,0,0.7405169,1
1,0,0.69002366,1
1,0,0.4790691,0
1,0,0.5311244,1
1,0,0.30231398,0
1,0,0.9219215,1
1,0,0.8486371,1
1,0,0.9418804,1
1,0,0.7811192,1
1,0,0.6031092,1
1,0,0.85316896,1
1,0,0.7393374,1
1,0,0.80289763,1
1,0,0.84384185,1
1,0,0.86731213,1
1,0,0.7533121,1
1,0,0.8849212,1
1,0,0.929271,1
1,0,0.34446082,0
1,0,0.92639095,1
1,0,0.84167606,1
1,0,0.81062245,1
1,0,0.8190593,1
1,0,0.75943166,1
1,0,0.87993217,1
1,0,0.7362632,1
1,0,0.8881128,1
1,0,0.95310014,1
1,0,0.89267653,1
1,0,0.9136653,1
1,0,0.93408746,1
1,0,0.896693,1
1,0,0.92798954,1
1,0,0.92273897,1
1,0,0.8554081,1
1,0,0.8968622,1
1,0,0.92025113,1
1,0,0.893556,1
1,0,0.896093,1
1,0,0.88772076,1
1,0,0.8509294,1
1,0,0.77898383,1
1,0,0.85191286,1
1,0,0.8549642,1
1,0,0.88176197,1
1,0,0.9144444,1
1,0,0.39034793,0
1,0,0.46841595,0
1,0,0.27108476,0
1,0,0.6164552,1
1,0,0.5867799,1
1,0,0.58097005,1
1,0,0.5782302,1
1,0,0.5963796,1
1,0,0.48871404,0
1,0,0.83154356,1
1,0,0.8140719,1
1,0,0.7560039,1
1,0,0.80902594,1
1,0,0.6478399,1
1,0,0.70065534,1
1,0,0.7484811,1
1,0,0.50924957,1
1,0,0.8261391,1
1,0,0.7309351,1
1,0,0.76695085,1
1,0,0.8437843,1
1,0,0.6149115,1
1,0,0.7243362,1
1,0,0.84827244,1
1,0,0.5376223,1
1,0,0.7501871,1
1,0,0.81365,1
1,0,0.88665414,1
1,0,0.8475582,1
1,0,0.8015928,1
1,0,0.8346813,1
1,0,0.61496973,1
1,0,0.92082745,1
1,0,0.91683495,1
1,0,0.92882204,1
1,0,0.7430315,1
1,0,0.80078226,1
1,0,0.8797608,1
1,0,0.8748243,1
1,0,0.78273636,1
1,0,0.62100476,1
1,0,0.8938765,1
1,0,0.8683824,1
1,0,0.7498652,1
1,0,0.8485776,1
1,0,0.8238664,1
1,0,0.714846,1
1,0,0.79146475,1
1,0,0.8030862,1
1,0,0.86884624,1
1,0,0.59168833,1
1,0,0.49071532,0
1,0,0.65813845,1
1,0,0.7481489,1
1,0,0.6402199,1
1,0,0.35257247,0
1,0,0.5068791,1
1,0,0.6163809,1
1,0,0.72550064,1
1,0,0.5628365,1
1,0,0.70775235,1
1,0,0.7645021,1
1,0,0.6729276,1
1,0,0.6653942,1
1,0,0.6725658,1
1,0,0.54616517,1
1,0,0.6615304,1
1,0,0.87696266,1
1,0,0.83941734,1
1,0,0.75312793,1
1,0,0.54054236,1
1,0,0.7343118,1
1,0,0.75848484,1
1,0,0.8483474,1
1,0,0.7217428,1
1,0,0.88437295,1
1,0,0.6075448,1
1,0,0.7431529,1
1,0,0.6818333,1
1,0,0.6341609,1
1,0,0.7629688,1
1,0,0.6644324,1
1,0,0.47080433,0
1,0,0.78203976,1
1,0,0.6221504,1
1,1,0.2209836,0
1,1,0.09657237,0
1,1,0.08400351,0
1,1,0.16901632,0
1,1,0.17427927,0
1,1,0.39172179,0
1,1,0.15963355,0
1,1,0.102316454,0
