Fold,Label,Prob,Preds
1,1,0.9910858,1
1,1,0.98820144,1
1,1,0.9929282,1
1,1,0.9911919,1
1,1,0.9893951,1
1,1,0.99002737,1
1,1,0.98942065,1
1,1,0.986837,1
1,1,0.99084294,1
1,1,0.99153215,1
1,1,0.9935116,1
1,1,0.99385107,1
1,1,0.989129,1
1,1,0.9883221,1
1,1,0.9910443,1
1,1,0.9907928,1
1,1,0.9696926,1
1,1,0.96486515,1
1,1,0.9591182,1
1,1,0.97611135,1
1,1,0.96737087,1
1,1,0.976147,1
1,1,0.9612445,1
1,1,0.9767977,1
1,1,0.9732432,1
1,1,0.96483505,1
1,1,0.9625374,1
1,1,0.947626,1
1,1,0.94377583,1
1,1,0.80715686,1
1,1,0.88973534,1
1,1,0.9001734,1
1,1,0.8726569,1
1,1,0.9311112,1
1,1,0.8512651,1
1,1,0.89550996,1
1,1,0.8491956,1
1,1,0.9076425,1
1,1,0.85203964,1
1,1,0.853798,1
1,1,0.91023606,1
1,1,0.7625453,1
1,1,0.98820114,1
1,1,0.98224705,1
1,1,0.9840843,1
1,1,0.9833208,1
1,1,0.98736876,1
1,1,0.98082757,1
1,1,0.98839766,1
1,1,0.98275083,1
1,1,0.9825852,1
1,1,0.9756285,1
1,1,0.98379874,1
1,1,0.9780465,1
1,1,0.9538244,1
1,1,0.9782476,1
1,1,0.9925634,1
1,1,0.9930721,1
1,1,0.98975253,1
1,1,0.9915869,1
1,1,0.99267524,1
1,1,0.9903716,1
1,1,0.9936865,1
1,1,0.9932628,1
1,1,0.9832403,1
1,1,0.4585891,0
1,1,0.456475,0
1,1,0.5522281,1
1,1,0.69334185,1
1,1,0.54716456,1
1,1,0.722681,1
1,1,0.7783857,1
1,1,0.7629418,1
1,1,0.98607373,1
1,1,0.9700301,1
1,1,0.9835064,1
1,1,0.984012,1
1,1,0.9849775,1
1,1,0.97549284,1
1,1,0.9838553,1
1,1,0.9759168,1
1,1,0.4751017,0
1,1,0.56477547,1
1,1,0.59956217,1
1,1,0.53815734,1
1,1,0.6197311,1
1,1,0.5263291,1
