Fold,Label,Prob,Preds
1,1,0.5760997,1
1,1,0.5807857,1
1,1,0.60530293,1
1,1,0.58729637,1
1,1,0.58527124,1
1,1,0.57649386,1
1,1,0.59662116,1
1,1,0.5958949,1
1,1,0.572972,1
1,1,0.59101075,1
1,1,0.5807583,1
1,1,0.5796693,1
1,1,0.60180503,1
1,1,0.59776014,1
1,1,0.59277624,1
1,1,0.59529173,1
1,1,0.5960139,1
1,1,0.6093281,1
1,1,0.5990528,1
1,1,0.6071332,1
1,1,0.61268574,1
1,1,0.6106932,1
1,1,0.6142459,1
1,1,0.61038584,1
1,1,0.6065142,1
1,1,0.6008876,1
1,1,0.60175616,1
1,1,0.5941056,1
1,1,0.56103414,1
1,1,0.5404297,1
1,1,0.5882564,1
1,1,0.5440342,1
1,1,0.6072941,1
1,1,0.5648446,1
1,1,0.60743773,1
1,0,0.5332095,1
1,0,0.53685886,1
1,0,0.5190389,1
1,0,0.5177312,1
1,0,0.5147226,1
1,0,0.51039803,1
1,0,0.5276308,1
1,0,0.4948803,0
1,0,0.502433,1
1,0,0.50725704,1
1,0,0.5102426,1
1,0,0.49861673,0
1,0,0.49883774,0
1,0,0.48235664,0
1,0,0.5200615,1
1,0,0.49618864,0
1,0,0.5197549,1
1,0,0.51446295,1
1,0,0.5159397,1
1,0,0.53250843,1
1,0,0.5210905,1
1,0,0.55097044,1
1,0,0.59370995,1
1,0,0.5861452,1
1,0,0.59917706,1
1,0,0.5768755,1
1,0,0.6008884,1
1,0,0.5982651,1
1,0,0.59737104,1
1,0,0.5637527,1
1,0,0.5884995,1
1,0,0.57145685,1
1,0,0.5762088,1
1,0,0.5627193,1
1,0,0.5630984,1
1,0,0.56504345,1
1,0,0.5634926,1
1,0,0.5754898,1
1,0,0.5697692,1
1,0,0.6224199,1
1,0,0.5598383,1
1,0,0.616851,1
1,0,0.5712834,1
1,0,0.5810447,1
1,0,0.586091,1
1,0,0.5844307,1
1,0,0.57584816,1
1,0,0.59617966,1
1,0,0.5995595,1
1,0,0.61955714,1
1,0,0.6025009,1
1,0,0.5917942,1
1,0,0.61045873,1
1,0,0.5694695,1
1,0,0.6041986,1
