Fold,Label,Prob,Preds
1,1,0.45541483,0
1,1,0.45271286,0
1,1,0.45551002,0
1,1,0.45264885,0
1,1,0.45083338,0
1,1,0.45216033,0
1,1,0.44455823,0
1,1,0.44290018,0
1,1,0.4414115,0
1,1,0.43063465,0
1,1,0.425758,0
1,1,0.41804016,0
1,1,0.41804016,0
1,1,0.41949785,0
1,1,0.4208963,0
1,1,0.4149058,0
1,1,0.43022344,0
1,1,0.43831632,0
1,1,0.4544516,0
1,0,0.453054,0
1,0,0.46514654,0
1,0,0.4846982,0
1,0,0.47240415,0
1,0,0.48837787,0
1,0,0.5192474,1
1,0,0.52793825,1
1,0,0.52409416,1
1,0,0.51657426,1
1,0,0.51362836,1
1,0,0.51489604,1
1,0,0.50851095,1
1,0,0.493478,0
1,0,0.4754998,0
1,0,0.4700114,0
1,0,0.47611916,0
1,0,0.46987793,0
1,0,0.46987793,0
1,0,0.47235093,0
1,0,0.469256,0
1,0,0.4525316,0
1,0,0.45077738,0
1,0,0.4827006,0
1,1,0.48679557,0
1,1,0.47785968,0
1,1,0.47785968,0
1,1,0.48603106,0
1,1,0.48382473,0
1,1,0.48383483,0
1,1,0.4925507,0
1,1,0.48008755,0
1,1,0.48629272,0
1,1,0.4876365,0
1,1,0.47970968,0
1,1,0.47680637,0
1,1,0.46220058,0
1,1,0.4523456,0
1,1,0.44459385,0
1,1,0.43037462,0
1,1,0.44051683,0
1,1,0.43538427,0
1,1,0.44762757,0
1,0,0.44489908,0
1,0,0.4520598,0
1,0,0.47928625,0
1,0,0.47928625,0
1,0,0.47078913,0
1,0,0.46987793,0
1,0,0.47099206,0
1,0,0.4889078,0
1,0,0.50039494,1
1,1,0.50350815,1
1,1,0.5042124,1
1,1,0.49643308,0
1,1,0.48158997,0
1,1,0.48158997,0
1,1,0.4759147,0
1,1,0.4661775,0
1,1,0.45896518,0
1,1,0.4103223,0
1,1,0.39830434,0
1,1,0.40097916,0
1,1,0.3837767,0
1,1,0.38524982,0
1,1,0.3657149,0
1,1,0.36626115,0
1,1,0.3516296,0
1,1,0.3530257,0
1,1,0.3393274,0
