Fold,Label,Prob,Preds
1,0,0.24037865,0
1,0,0.24409446,0
1,0,0.23682636,0
1,0,0.23747924,0
1,0,0.244411,0
1,0,0.23338358,0
1,0,0.22897576,0
1,0,0.23953705,0
1,0,0.23807591,0
1,0,0.2381449,0
1,0,0.22862874,0
1,0,0.23937307,0
1,0,0.23624422,0
1,0,0.2412572,0
1,0,0.24458379,0
1,0,0.2387292,0
1,0,0.23070042,0
1,0,0.22579473,0
1,0,0.23981138,0
1,0,0.37506595,0
1,0,0.3825058,0
1,0,0.36840734,0
1,0,0.36424142,0
1,0,0.37799802,0
1,0,0.36072674,0
1,0,0.34734613,0
1,0,0.36233473,0
1,0,0.3616637,0
1,0,0.3592532,0
1,0,0.34564692,0
1,0,0.36416012,0
1,0,0.36566085,0
1,0,0.3629845,0
1,0,0.3738402,0
1,0,0.37899107,0
1,0,0.35900515,0
1,0,0.35437,0
1,0,0.37602842,0
1,0,0.39962178,0
1,0,0.406397,0
1,0,0.40780923,0
1,0,0.40410164,0
1,0,0.411442,0
1,0,0.4128587,0
1,0,0.40743625,0
1,0,0.39391258,0
1,0,0.40617144,0
1,0,0.39300662,0
1,0,0.390411,0
1,0,0.40373307,0
1,0,0.4040031,0
1,0,0.39991662,0
1,0,0.3895268,0
1,0,0.39907542,0
1,0,0.39163637,0
1,0,0.40638644,0
1,0,0.38447103,0
1,1,0.5399914,1
1,1,0.5362914,1
1,1,0.5308178,1
1,1,0.52773523,1
1,1,0.53689086,1
1,1,0.52822906,1
1,1,0.52253085,1
1,1,0.52323973,1
1,1,0.50810903,1
1,1,0.52207315,1
1,1,0.51636535,1
1,1,0.5156186,1
1,1,0.5223314,1
1,1,0.51686966,1
1,1,0.51464885,1
1,1,0.51460093,1
1,1,0.5188392,1
1,1,0.50520396,1
1,1,0.5131719,1
1,1,0.5372942,1
1,1,0.54703313,1
1,1,0.54418606,1
1,1,0.5393966,1
1,1,0.5477904,1
1,1,0.5395165,1
1,1,0.5434055,1
1,1,0.55147755,1
1,1,0.5540641,1
1,1,0.5602818,1
1,1,0.55934167,1
1,1,0.56081337,1
1,1,0.5538397,1
1,1,0.55563897,1
1,1,0.56150645,1
1,1,0.5638809,1
1,1,0.5618151,1
1,1,0.5601886,1
1,1,0.55901086,1
1,1,0.54917955,1
1,1,0.5536683,1
1,1,0.53826994,1
1,1,0.55331415,1
1,1,0.5495649,1
1,1,0.5401245,1
1,1,0.5458924,1
1,1,0.52351326,1
1,0,0.5403776,1
1,0,0.5322061,1
1,0,0.5413126,1
1,0,0.5455663,1
1,0,0.5218988,1
1,0,0.5425592,1
1,0,0.5446492,1
1,0,0.5307659,1
1,0,0.540148,1
1,0,0.53161716,1
1,0,0.53915155,1
1,0,0.54660976,1
1,0,0.54807997,1
1,0,0.5351715,1
1,0,0.5488496,1
1,0,0.5493562,1
1,0,0.55298764,1
1,0,0.53810745,1
1,0,0.5510791,1
1,0,0.5221365,1
1,0,0.53353465,1
1,0,0.5257616,1
1,0,0.53685784,1
1,0,0.5434591,1
1,0,0.54516,1
1,0,0.54151815,1
1,0,0.5443682,1
1,0,0.5400354,1
1,0,0.54477555,1
1,0,0.5262794,1
1,0,0.55023724,1
1,0,0.5495548,1
1,0,0.5425663,1
1,0,0.54563475,1
1,0,0.5423188,1
1,0,0.5365929,1
1,0,0.53459674,1
1,0,0.5442182,1
1,0,0.4770882,0
1,0,0.49032217,0
1,0,0.47659716,0
1,0,0.46268463,0
1,0,0.48754165,0
1,0,0.47711566,0
1,0,0.48508725,0
1,0,0.47937384,0
1,0,0.4709757,0
1,0,0.4805729,0
1,0,0.47714937,0
