Fold,Label,Prob,Preds
1,1,0.57456523,1
1,1,0.55843,1
1,1,0.60551304,1
1,1,0.5192229,1
1,1,0.5582418,1
1,1,0.580102,1
1,1,0.55999815,1
1,1,0.55795443,1
1,1,0.603635,1
1,1,0.5705681,1
1,1,0.6159602,1
1,1,0.5985314,1
1,1,0.5787396,1
1,1,0.49646926,0
1,1,0.5056077,1
1,1,0.5412486,1
1,1,0.42718956,0
1,1,0.57288915,1
1,1,0.46667033,0
1,1,0.57638913,1
1,1,0.52898526,1
1,1,0.47823048,0
1,1,0.47991684,0
1,1,0.5030025,1
1,1,0.50097656,1
1,1,0.43938318,0
1,1,0.39486185,0
1,1,0.45849603,0
1,1,0.5410696,1
1,1,0.46876124,0
1,1,0.5196712,1
1,1,0.4980431,0
1,1,0.51470387,1
1,1,0.4988867,0
1,1,0.5509696,1
1,1,0.5917709,1
1,1,0.59220266,1
1,1,0.5833339,1
1,1,0.5601303,1
1,1,0.5242941,1
1,1,0.54956913,1
1,1,0.5333627,1
1,1,0.5015955,1
1,1,0.50139296,1
1,1,0.60328794,1
1,1,0.7463712,1
1,1,0.78877753,1
1,1,0.7835957,1
1,1,0.7781713,1
1,1,0.80224526,1
1,1,0.77821326,1
1,1,0.7531407,1
1,1,0.7754546,1
1,1,0.7949472,1
1,1,0.7943224,1
1,1,0.77918994,1
1,1,0.8022046,1
1,1,0.38897496,0
1,1,0.42915577,0
1,1,0.4747909,0
1,1,0.47869056,0
1,1,0.5197403,1
1,1,0.5957814,1
1,1,0.5754474,1
1,1,0.7056184,1
1,1,0.6914982,1
1,1,0.7112583,1
1,1,0.6604321,1
1,1,0.70648164,1
1,1,0.7265672,1
1,1,0.7005102,1
1,1,0.695548,1
1,1,0.6934183,1
1,1,0.6674299,1
1,1,0.7034283,1
1,1,0.6421938,1
1,1,0.67891175,1
1,1,0.64725995,1
1,1,0.6434847,1
1,1,0.64663696,1
1,1,0.64762723,1
1,1,0.7508793,1
1,1,0.7900358,1
1,1,0.77278847,1
1,1,0.7954709,1
1,1,0.7973694,1
1,1,0.7919497,1
1,1,0.78438556,1
1,1,0.77751845,1
1,1,0.8008634,1
1,1,0.80390495,1
1,1,0.8138155,1
1,1,0.77897924,1
1,1,0.8096302,1
1,1,0.7888319,1
1,1,0.8132779,1
1,1,0.799622,1
1,1,0.79422265,1
1,1,0.7138223,1
1,1,0.7268594,1
1,1,0.7354302,1
1,1,0.78336036,1
1,1,0.77328384,1
1,1,0.79704404,1
1,1,0.77241075,1
1,1,0.80447674,1
1,1,0.795061,1
1,1,0.7932754,1
1,1,0.7941894,1
1,1,0.7923501,1
1,1,0.80887914,1
1,1,0.7630297,1
1,1,0.80637926,1
1,1,0.80434906,1
1,1,0.81220007,1
1,1,0.65060633,1
1,1,0.6705401,1
1,1,0.700916,1
1,1,0.68360215,1
1,1,0.7504002,1
1,1,0.74076474,1
1,1,0.7124557,1
1,1,0.68653303,1
1,1,0.6624347,1
1,1,0.6576434,1
1,1,0.64784586,1
1,1,0.6572655,1
1,1,0.66368437,1
1,1,0.6553108,1
1,1,0.7491948,1
1,1,0.7508528,1
1,1,0.7736452,1
1,1,0.7303685,1
1,1,0.7911016,1
1,1,0.77521676,1
1,1,0.7912758,1
1,1,0.5111009,1
1,1,0.62677246,1
1,1,0.47193494,0
1,1,0.57144433,1
1,1,0.5180854,1
1,1,0.58131343,1
1,1,0.50503534,1
1,1,0.6028454,1
1,1,0.383934,0
1,1,0.41485405,0
1,1,0.46637893,0
1,1,0.47660524,0
