Fold,Label,Prob,Preds
1,1,0.6544499,1
1,1,0.60039645,1
1,1,0.62599456,1
1,1,0.593294,1
1,1,0.58336765,1
1,1,0.6430707,1
1,1,0.63443714,1
1,1,0.6793875,1
1,1,0.6630748,1
1,1,0.7242834,1
1,1,0.7250074,1
1,1,0.64251757,1
1,1,0.62064314,1
1,1,0.5657443,1
1,1,0.5998918,1
1,1,0.6053348,1
1,1,0.61226964,1
1,1,0.61226964,1
1,1,0.6363987,1
1,1,0.66380024,1
1,1,0.630141,1
1,1,0.6351832,1
1,1,0.66717345,1
1,1,0.7144489,1
1,1,0.6945852,1
1,1,0.6104073,1
1,1,0.56485224,1
1,1,0.54801905,1
1,1,0.49409562,0
1,1,0.5451168,1
1,1,0.5451168,1
1,1,0.45081118,0
1,1,0.4878613,0
1,1,0.65912026,1
1,1,0.70050156,1
1,1,0.7354101,1
1,1,0.7053986,1
1,1,0.8937956,1
1,1,0.8845421,1
1,1,0.87857044,1
1,1,0.9436479,1
1,1,0.9733705,1
1,1,0.98302126,1
1,1,0.97121865,1
1,1,0.94568884,1
1,1,0.96707267,1
1,1,0.9932921,1
1,1,0.98468876,1
1,1,0.5408883,1
1,1,0.5558332,1
1,1,0.60100394,1
1,1,0.59248275,1
1,1,0.52898693,1
1,1,0.5827636,1
1,1,0.56550425,1
1,1,0.63306206,1
1,1,0.6587184,1
1,1,0.72140765,1
1,1,0.6618028,1
1,1,0.6883821,1
1,1,0.6883821,1
1,1,0.69651353,1
1,1,0.25771683,0
1,1,0.20795633,0
1,1,0.171523,0
1,1,0.16761644,0
1,1,0.17236124,0
1,1,0.17182814,0
1,1,0.18405497,0
1,1,0.18060982,0
1,1,0.1681983,0
1,1,0.14586766,0
1,1,0.16088367,0
1,1,0.16088367,0
1,1,0.14090113,0
1,1,0.160276,0
1,1,0.24180241,0
1,1,0.31490678,0
1,1,0.37087205,0
1,1,0.4869877,0
1,1,0.48936325,0
1,1,0.47688866,0
1,1,0.44450873,0
1,1,0.42003173,0
1,1,0.39931393,0
1,1,0.46093872,0
1,1,0.47926444,0
1,1,0.49997327,0
1,1,0.5177108,1
1,1,0.5264595,1
1,1,0.5394158,1
1,1,0.49352992,0
1,1,0.4238125,0
1,1,0.37728187,0
1,1,0.33239692,0
1,1,0.29321924,0
1,1,0.35013467,0
1,1,0.31263968,0
1,1,0.31719324,0
1,1,0.31710887,0
1,1,0.35500708,0
1,1,0.3287965,0
1,1,0.4031696,0
1,1,0.34243336,0
1,1,0.34243336,0
1,1,0.30987853,0
1,1,0.31567547,0
1,1,0.25850132,0
1,1,0.29829964,0
1,1,0.36089137,0
1,1,0.3132516,0
1,1,0.5213749,1
1,1,0.45630658,0
1,1,0.47482777,0
1,1,0.4423326,0
1,1,0.4423326,0
1,1,0.41926876,0
1,1,0.40237364,0
1,1,0.44596922,0
1,1,0.514282,1
1,1,0.5644046,1
1,1,0.56033003,1
1,1,0.51222926,1
1,1,0.40743282,0
1,1,0.4610203,0
1,1,0.4610203,0
1,1,0.40139332,0
1,1,0.3193705,0
1,1,0.33973977,0
1,1,0.42377937,0
1,1,0.43722275,0
1,1,0.4112349,0
