Fold,Label,Prob,Preds
1,1,0.4598489,0
1,1,0.50011796,1
1,1,0.31770098,0
1,1,0.3802133,0
1,1,0.49101788,0
1,1,0.3010377,0
1,1,0.50977653,1
1,1,0.493193,0
1,1,0.65023774,1
1,1,0.8270862,1
1,1,0.7640556,1
1,1,0.37658635,0
1,1,0.40420476,0
1,1,0.68338245,1
1,1,0.4464125,0
1,1,0.5477564,1
1,1,0.57694316,1
1,1,0.472749,0
1,1,0.60556585,1
1,1,0.33152372,0
1,1,0.1930222,0
1,1,0.03529774,0
1,1,0.12242561,0
1,1,0.061370045,0
1,1,0.040500715,0
1,1,0.279789,0
1,1,0.53986084,1
1,1,0.09288373,0
1,1,0.10471709,0
1,1,0.25289276,0
1,1,0.51985496,1
1,0,0.501382,1
1,0,0.27017954,0
1,0,0.61935276,1
1,0,0.3570427,0
1,0,0.6249084,1
1,0,0.40743893,0
1,0,0.4874718,0
1,0,0.30558148,0
1,0,0.9163537,1
1,0,0.7923069,1
1,0,0.94948155,1
1,0,0.87900496,1
1,0,0.9167739,1
1,0,0.5598653,1
1,0,0.6504677,1
1,1,0.7353907,1
1,1,0.5684596,1
1,1,0.7742308,1
1,1,0.8303273,1
1,1,0.7547492,1
1,1,0.64540535,1
1,1,0.68022203,1
1,1,0.6033559,1
1,1,0.6983275,1
1,1,0.78289837,1
1,1,0.8471027,1
1,1,0.65292233,1
1,1,0.56432635,1
1,1,0.6691632,1
1,1,0.75760794,1
1,0,0.4442746,0
1,0,0.22730744,0
1,0,0.22113846,0
1,0,0.30974564,0
1,0,0.20958912,0
1,0,0.24808915,0
1,0,0.54239,1
1,0,0.67005795,1
1,0,0.78831595,1
1,0,0.56656647,1
1,0,0.47475716,0
1,0,0.24676172,0
1,0,0.26365334,0
1,0,0.7030792,1
1,0,0.33340618,0
1,1,0.8243779,1
1,1,0.5846535,1
1,1,0.32651117,0
1,1,0.3163785,0
1,1,0.69720376,1
1,1,0.25130883,0
1,1,0.7398677,1
1,1,0.36751166,0
1,1,0.7986975,1
1,1,0.36275464,0
1,1,0.68665206,1
1,1,0.7093636,1
1,1,0.6260245,1
1,1,0.2521382,0
1,1,0.788182,1
1,0,0.22695924,0
1,0,0.7375021,1
1,0,0.9586458,1
1,0,0.44230983,0
1,0,0.5362587,1
1,0,0.8557346,1
1,0,0.7960903,1
1,0,0.85786045,1
1,0,0.5900691,1
1,0,0.7599573,1
1,0,0.9503184,1
1,0,0.46817225,0
1,0,0.51831484,1
1,0,0.85143286,1
1,0,0.7788249,1
1,0,0.51213044,1
1,0,0.24409784,0
1,0,0.4555588,0
1,0,0.747001,1
1,0,0.32361767,0
1,0,0.4957763,0
1,0,0.32122844,0
1,0,0.28485048,0
1,0,0.17348522,0
1,0,0.24134807,0
1,0,0.6584052,1
1,0,0.10451511,0
1,0,0.16138834,0
1,0,0.15435505,0
1,0,0.062026594,0
1,1,0.9579279,1
1,1,0.6530893,1
1,1,0.6369605,1
1,1,0.967041,1
1,1,0.9556125,1
1,1,0.9738594,1
1,1,0.9246691,1
1,1,0.9987956,1
1,1,0.9855541,1
1,1,0.96108705,1
1,1,0.9696321,1
1,1,0.8357888,1
1,1,0.99095905,1
1,1,0.996915,1
1,1,0.99529296,1
1,1,0.9487297,1
1,1,0.9665241,1
1,1,0.99766314,1
1,0,0.24206682,0
1,0,0.19725537,0
1,0,0.098141685,0
1,0,0.029675892,0
1,0,0.06254787,0
