Fold,Label,Prob,Preds
1,1,0.48433092,0
1,1,0.4819045,0
1,1,0.4814231,0
1,1,0.48279974,0
1,1,0.4934399,0
1,1,0.47876632,0
1,1,0.48453316,0
1,1,0.482892,0
1,1,0.48600933,0
1,1,0.48424545,0
1,1,0.4826546,0
1,1,0.4846006,0
1,1,0.4874209,0
1,1,0.48848078,0
1,1,0.48354062,0
1,1,0.48217523,0
1,1,0.48159766,0
1,1,0.48597077,0
1,1,0.49773327,0
1,1,0.47735548,0
1,1,0.4894994,0
1,1,0.48713902,0
1,1,0.4778434,0
1,1,0.4807082,0
1,1,0.4852278,0
1,1,0.49112567,0
1,1,0.47890076,0
1,1,0.4819792,0
1,1,0.48921204,0
1,1,0.4912921,0
1,1,0.4883992,0
1,0,0.47892123,0
1,0,0.4793741,0
1,0,0.4762,0
1,0,0.4707606,0
1,0,0.4772159,0
1,0,0.47499773,0
1,0,0.47644937,0
1,0,0.47007835,0
1,0,0.46741182,0
1,0,0.47482422,0
1,0,0.48078096,0
1,0,0.47637057,0
1,0,0.47736007,0
1,0,0.48063573,0
1,0,0.474745,0
1,1,0.48816997,0
1,1,0.47794217,0
1,1,0.48404372,0
1,1,0.4836026,0
1,1,0.48040977,0
1,1,0.47579566,0
1,1,0.47690788,0
1,1,0.4849024,0
1,1,0.47804976,0
1,1,0.48104078,0
1,1,0.48000684,0
1,1,0.48675263,0
1,1,0.48020482,0
1,1,0.48454005,0
1,1,0.4795769,0
1,0,0.482937,0
1,0,0.49303553,0
1,0,0.47883174,0
1,0,0.4875695,0
1,0,0.48903412,0
1,0,0.48485306,0
1,0,0.47762936,0
1,0,0.49703208,0
1,0,0.49170285,0
1,0,0.48360297,0
1,0,0.48349342,0
1,0,0.48756257,0
1,0,0.487931,0
1,0,0.48669785,0
1,0,0.4894773,0
1,1,0.49187288,0
1,1,0.49050617,0
1,1,0.4849005,0
1,1,0.48435247,0
1,1,0.4874599,0
1,1,0.48264772,0
1,1,0.48656395,0
1,1,0.4840017,0
1,1,0.4855396,0
1,1,0.480474,0
1,1,0.48254427,0
1,1,0.4824053,0
1,1,0.48135197,0
1,1,0.48170236,0
1,1,0.48709607,0
1,0,0.4800534,0
1,0,0.4742797,0
1,0,0.47925726,0
1,0,0.48128298,0
1,0,0.4862789,0
1,0,0.48116583,0
1,0,0.480202,0
1,0,0.47280595,0
1,0,0.48193553,0
1,0,0.4759024,0
1,0,0.48063576,0
1,0,0.48240522,0
1,0,0.48000836,0
1,0,0.47373858,0
1,0,0.4840816,0
1,0,0.48363736,0
1,0,0.47288778,0
1,0,0.4726619,0
1,0,0.48489508,0
1,0,0.48004514,0
1,0,0.4716502,0
1,0,0.47528276,0
1,0,0.4847913,0
1,0,0.4810411,0
1,0,0.47606385,0
1,0,0.48904464,0
1,0,0.48370886,0
1,0,0.4806401,0
1,0,0.4777724,0
1,0,0.48283207,0
1,1,0.48066798,0
1,1,0.47275287,0
1,1,0.47420204,0
1,1,0.47597918,0
1,1,0.47690055,0
1,1,0.47515774,0
1,1,0.4742067,0
1,1,0.47679245,0
1,1,0.48006016,0
1,1,0.47666657,0
1,1,0.4732389,0
1,1,0.47277093,0
1,1,0.47288334,0
1,1,0.4813202,0
1,1,0.47704974,0
1,1,0.47494742,0
1,1,0.48023322,0
1,1,0.48775247,0
1,0,0.4816751,0
1,0,0.46774557,0
1,0,0.4752558,0
1,0,0.47768465,0
1,0,0.47000164,0
1,0,0.47296023,0
1,0,0.47860655,0
1,0,0.47470307,0
1,0,0.4722327,0
1,0,0.47349563,0
1,0,0.4780859,0
1,0,0.47217202,0
1,0,0.48210153,0
1,0,0.4750297,0
1,0,0.47956344,0
1,0,0.47665223,0
1,0,0.4831048,0
1,0,0.4747532,0
1,0,0.46852064,0
1,0,0.46922922,0
1,0,0.47272328,0
1,0,0.47129044,0
1,0,0.47264946,0
1,0,0.4713704,0
1,0,0.47438326,0
1,0,0.47726756,0
1,0,0.47620878,0
1,0,0.4797462,0
1,0,0.48604295,0
1,0,0.4804579,0
1,0,0.4837853,0
1,0,0.4782041,0
1,0,0.47740504,0
1,1,0.48632047,0
1,1,0.4816091,0
1,1,0.48060888,0
1,1,0.47849762,0
1,1,0.466598,0
1,1,0.46533725,0
1,1,0.46400934,0
1,1,0.47692296,0
1,1,0.47270977,0
1,1,0.48335427,0
1,1,0.4781479,0
1,1,0.47968042,0
1,1,0.47856876,0
1,1,0.48182124,0
1,1,0.48190144,0
1,0,0.46327078,0
1,0,0.48314792,0
1,0,0.47210705,0
1,0,0.48634684,0
1,0,0.4778265,0
1,0,0.47556296,0
1,0,0.47722542,0
1,0,0.47850165,0
1,0,0.4789683,0
1,0,0.47388998,0
1,0,0.47402364,0
1,0,0.47997358,0
1,0,0.46837157,0
1,0,0.4736856,0
1,0,0.4832946,0
1,1,0.4876499,0
1,1,0.4924523,0
1,1,0.48035643,0
1,1,0.48722172,0
1,1,0.47768894,0
1,1,0.49023125,0
1,1,0.49329966,0
1,1,0.48855212,0
1,1,0.47473806,0
1,1,0.47551078,0
1,1,0.48818827,0
1,1,0.493927,0
1,1,0.4803957,0
1,1,0.48798385,0
1,1,0.48600605,0
1,0,0.48298836,0
1,0,0.4813794,0
1,0,0.479526,0
1,0,0.4759897,0
1,0,0.47593567,0
1,0,0.47163287,0
1,0,0.47190335,0
1,0,0.4780437,0
1,0,0.46622857,0
1,0,0.46976954,0
1,0,0.48012808,0
1,0,0.47883135,0
1,0,0.46615407,0
1,0,0.47153962,0
1,0,0.4750092,0
1,0,0.47327527,0
1,0,0.4815292,0
1,0,0.46694466,0
1,0,0.4679219,0
1,0,0.47113857,0
1,0,0.457855,0
1,0,0.46297055,0
1,0,0.47565675,0
1,0,0.48294872,0
1,0,0.4881811,0
1,0,0.479088,0
1,0,0.47001448,0
1,0,0.47787812,0
1,0,0.4801899,0
1,0,0.48990348,0
1,0,0.47825637,0
1,0,0.47795257,0
1,0,0.4741725,0
1,0,0.46809968,0
1,0,0.46873865,0
1,0,0.47085452,0
1,0,0.47940063,0
1,0,0.47561768,0
1,0,0.46954036,0
1,0,0.4725616,0
1,0,0.4825504,0
1,0,0.47412658,0
1,0,0.47212657,0
1,0,0.4596926,0
1,0,0.47870058,0
1,0,0.47320476,0
1,0,0.485221,0
1,0,0.47296426,0
1,0,0.4817136,0
1,0,0.48226672,0
1,0,0.48157355,0
1,0,0.47178677,0
1,0,0.4835843,0
1,0,0.47002822,0
1,0,0.47808978,0
1,0,0.4729482,0
1,0,0.48481238,0
1,0,0.4838917,0
1,0,0.47736245,0
1,0,0.4773231,0
1,0,0.47712705,0
1,0,0.4806421,0
1,0,0.46240872,0
1,0,0.47317675,0
1,0,0.4680192,0
1,0,0.4796038,0
1,0,0.47774434,0
1,0,0.48064524,0
1,0,0.47911096,0
1,0,0.47697026,0
1,0,0.47923514,0
1,0,0.48351732,0
1,0,0.47544798,0
1,0,0.4771236,0
1,0,0.4861532,0
1,0,0.47781616,0
1,0,0.4742211,0
1,0,0.4767956,0
1,0,0.47054967,0
1,0,0.48263088,0
1,0,0.47579402,0
1,0,0.47644636,0
1,0,0.47395372,0
1,0,0.4749841,0
1,0,0.47017658,0
1,0,0.47616568,0
1,0,0.4771328,0
1,0,0.4745809,0
1,0,0.4803146,0
1,0,0.48340517,0
1,0,0.4788684,0
1,0,0.47654465,0
1,0,0.4674834,0
1,0,0.4777273,0
1,0,0.4728722,0
1,0,0.47331184,0
1,0,0.4717069,0
1,0,0.47121105,0
1,0,0.48077828,0
1,1,0.46636006,0
1,1,0.46683136,0
1,1,0.47471818,0
1,1,0.47392434,0
1,1,0.4744617,0
1,1,0.46046764,0
1,1,0.46775797,0
1,1,0.47607797,0
1,1,0.4741213,0
1,1,0.46906117,0
1,1,0.47715175,0
1,1,0.48488224,0
1,1,0.48092717,0
1,1,0.4828907,0
1,1,0.48693946,0
1,0,0.48139277,0
1,0,0.47879398,0
1,0,0.4783857,0
1,0,0.4794021,0
1,0,0.48544264,0
1,0,0.47917363,0
1,0,0.4939677,0
1,0,0.47955126,0
1,0,0.47083238,0
1,0,0.48049328,0
1,0,0.48821688,0
1,0,0.48111576,0
1,0,0.475806,0
1,0,0.47758847,0
1,0,0.48316345,0
1,0,0.4729883,0
1,0,0.4722396,0
1,0,0.46364212,0
1,0,0.45741498,0
1,0,0.47913605,0
1,0,0.48146865,0
1,0,0.4818659,0
1,0,0.48470566,0
1,0,0.4796401,0
1,0,0.4427256,0
1,0,0.4691612,0
1,0,0.44925883,0
1,0,0.47669765,0
1,0,0.47742778,0
1,0,0.4743462,0
1,1,0.47793278,0
1,1,0.4770269,0
1,1,0.47748882,0
1,1,0.4753325,0
1,1,0.47522235,0
1,1,0.4766323,0
1,1,0.47472465,0
1,1,0.47192055,0
1,1,0.47735184,0
1,1,0.45617393,0
1,1,0.47551018,0
1,1,0.47934788,0
1,1,0.4678809,0
1,1,0.46771643,0
1,1,0.4691162,0
1,0,0.48115376,0
1,0,0.48155558,0
1,0,0.47406143,0
1,0,0.47856584,0
1,0,0.483233,0
1,0,0.47738564,0
1,0,0.47804743,0
1,0,0.47112498,0
1,0,0.48143226,0
1,0,0.4795959,0
1,0,0.47996724,0
1,0,0.47221944,0
1,0,0.47613007,0
1,0,0.47944403,0
1,0,0.4814967,0
1,0,0.4738572,0
1,0,0.47218758,0
1,0,0.47436494,0
1,0,0.46182147,0
1,0,0.46462944,0
1,0,0.46511808,0
1,0,0.46408325,0
1,0,0.48053506,0
1,0,0.46962586,0
1,0,0.4908376,0
1,0,0.47255594,0
1,0,0.48642132,0
1,0,0.4893629,0
1,0,0.48235166,0
1,0,0.48461404,0
1,1,0.4827581,0
1,1,0.4762627,0
1,1,0.48250398,0
1,1,0.4804778,0
1,1,0.4778965,0
1,1,0.48652908,0
1,1,0.48314914,0
1,1,0.47703403,0
1,1,0.47514498,0
1,1,0.47066236,0
1,1,0.45815888,0
1,1,0.48334032,0
1,1,0.4728379,0
1,1,0.47649944,0
1,1,0.47552916,0
1,1,0.4819347,0
1,1,0.47791207,0
1,1,0.481689,0
1,0,0.4891273,0
1,0,0.48366997,0
1,0,0.4755112,0
1,0,0.47816023,0
1,0,0.48152676,0
1,0,0.4775153,0
1,0,0.47655156,0
1,0,0.48019022,0
1,0,0.4768925,0
1,0,0.48618105,0
1,0,0.4864937,0
1,0,0.48157975,0
1,0,0.48490885,0
1,0,0.4826087,0
1,0,0.48841873,0
1,0,0.48650938,0
1,0,0.4852195,0
1,0,0.48512408,0
1,0,0.47799224,0
1,0,0.47948778,0
1,0,0.48557055,0
1,0,0.4742502,0
1,0,0.47553238,0
1,0,0.4867309,0
1,0,0.48151818,0
1,0,0.47526127,0
1,0,0.4788596,0
1,0,0.4852155,0
1,0,0.47866133,0
1,0,0.47753042,0
1,0,0.47987363,0
1,0,0.4780881,0
1,0,0.4867966,0
1,0,0.48204866,0
1,0,0.48523962,0
1,0,0.48571968,0
