Fold,Label,Prob,Preds
1,1,0.81882817,1
1,1,0.9161488,1
1,1,0.7831465,1
1,1,0.80321115,1
1,1,0.8219279,1
1,1,0.8530362,1
1,1,0.8332235,1
1,1,0.8081219,1
1,1,0.8142125,1
1,1,0.8625236,1
1,1,0.8502685,1
1,1,0.8761415,1
1,1,0.71967554,1
1,1,0.8538177,1
1,1,0.73206306,1
1,1,0.9004354,1
1,1,0.8003359,1
1,1,0.9011528,1
1,1,0.5765647,1
1,1,0.90310544,1
1,1,0.8184284,1
1,1,0.84117454,1
1,1,0.7839906,1
1,1,0.8545101,1
1,1,0.84935635,1
1,1,0.7484146,1
1,1,0.8081372,1
1,1,0.8230229,1
1,1,0.78405106,1
1,1,0.777786,1
1,1,0.8500741,1
1,1,0.8643629,1
1,1,0.6890577,1
1,1,0.8644512,1
1,1,0.9175566,1
1,1,0.92043245,1
1,1,0.8891916,1
1,1,0.91351247,1
1,1,0.9223744,1
1,1,0.8794977,1
1,1,0.8920523,1
1,1,0.90964854,1
1,1,0.9028368,1
1,1,0.91039383,1
1,1,0.90547454,1
1,1,0.96594363,1
1,1,0.93368304,1
1,1,0.96135104,1
1,1,0.9521355,1
1,1,0.95007914,1
1,1,0.9369028,1
1,1,0.9460673,1
1,1,0.92012334,1
1,1,0.97415686,1
1,1,0.9647109,1
1,1,0.9639409,1
1,1,0.9612874,1
1,1,0.7361728,1
1,1,0.775973,1
1,1,0.7789674,1
1,1,0.8351339,1
1,1,0.79807997,1
1,1,0.76933026,1
1,1,0.706155,1
1,1,0.9218539,1
1,1,0.9376072,1
1,1,0.91780186,1
1,1,0.8852438,1
1,1,0.92926013,1
1,1,0.78705776,1
1,1,0.8941209,1
1,1,0.89699477,1
1,1,0.84346503,1
1,1,0.86953187,1
1,1,0.80596316,1
1,1,0.75630903,1
1,1,0.8739232,1
1,1,0.8058681,1
1,1,0.6711153,1
1,1,0.79664797,1
1,1,0.8315345,1
1,1,0.7972915,1
1,1,0.8967817,1
1,1,0.9222434,1
1,1,0.9501685,1
1,1,0.9180565,1
1,1,0.9542,1
1,1,0.90337485,1
1,1,0.9036614,1
1,1,0.9652673,1
1,1,0.9248076,1
1,1,0.9432391,1
1,1,0.94423074,1
1,1,0.91251004,1
1,1,0.9571728,1
1,1,0.95850265,1
1,1,0.90589035,1
1,1,0.92182356,1
1,1,0.9187409,1
1,1,0.9110686,1
1,1,0.9239618,1
1,1,0.9452644,1
1,1,0.9664905,1
1,1,0.9536241,1
1,1,0.95916337,1
1,1,0.9574817,1
1,1,0.9528174,1
1,1,0.96314174,1
1,1,0.96103245,1
1,1,0.95847183,1
1,1,0.9626829,1
1,1,0.91723955,1
1,1,0.9227361,1
1,1,0.93832105,1
1,1,0.92744374,1
1,1,0.74923104,1
1,1,0.8540972,1
1,1,0.7136713,1
1,1,0.609667,1
1,1,0.88673985,1
1,1,0.89055675,1
1,1,0.8212248,1
1,1,0.86735326,1
1,1,0.8746751,1
1,1,0.91095597,1
1,1,0.9117023,1
1,1,0.920259,1
1,1,0.906749,1
1,1,0.88551414,1
1,1,0.8098046,1
1,1,0.92583096,1
1,1,0.91244304,1
1,1,0.8620319,1
1,1,0.9435865,1
1,1,0.9391271,1
1,1,0.9239537,1
1,1,0.44058827,0
1,1,0.36836225,0
1,1,0.4390966,0
1,1,0.34224516,0
1,1,0.49017346,0
1,1,0.528438,1
1,1,0.5949503,1
1,1,0.59537655,1
1,1,0.8262695,1
1,1,0.84560287,1
1,1,0.85735315,1
1,1,0.8831721,1
1,1,0.8676708,1
1,1,0.8631012,1
1,1,0.79307103,1
1,1,0.7771361,1
1,1,0.8374949,1
1,1,0.89888966,1
1,1,0.9341243,1
1,1,0.91748375,1
1,1,0.9082817,1
1,1,0.9293122,1
1,1,0.9249284,1
1,1,0.8706264,1
1,1,0.93332124,1
1,1,0.81029415,1
1,1,0.883816,1
1,1,0.90596676,1
1,1,0.8051062,1
1,1,0.728117,1
1,1,0.69838953,1
1,1,0.6570968,1
1,1,0.8182228,1
1,1,0.85195416,1
1,1,0.53934693,1
1,1,0.5970743,1
1,1,0.7119029,1
1,1,0.82262,1
1,1,0.5820675,1
1,1,0.615606,1
1,1,0.6659424,1
1,1,0.77157116,1
1,1,0.7142481,1
1,1,0.83825743,1
1,1,0.71095294,1
1,1,0.79971224,1
1,1,0.85584146,1
1,1,0.694392,1
1,1,0.9146006,1
1,1,0.8617281,1
1,1,0.80118096,1
1,1,0.8527352,1
1,1,0.81059533,1
1,1,0.8673081,1
1,1,0.92905515,1
1,1,0.90047836,1
1,1,0.87807566,1
1,1,0.8973458,1
1,1,0.933337,1
1,1,0.91639614,1
1,1,0.8952998,1
1,1,0.8918097,1
1,1,0.88340175,1
1,1,0.88332516,1
1,1,0.83036137,1
1,1,0.86899304,1
1,1,0.894035,1
1,1,0.9162725,1
1,1,0.94099444,1
1,1,0.9075592,1
1,1,0.8795971,1
1,1,0.8573394,1
1,1,0.83712876,1
1,1,0.78230464,1
1,1,0.82415605,1
1,1,0.70954823,1
1,1,0.8345799,1
1,1,0.7291316,1
1,1,0.6268433,1
1,1,0.84678435,1
1,1,0.7298364,1
1,1,0.8470072,1
1,1,0.8019676,1
1,1,0.7862997,1
1,0,0.3193922,0
1,0,0.28932187,0
1,0,0.24789679,0
1,0,0.24025121,0
1,0,0.27905893,0
1,0,0.3115103,0
1,0,0.3964342,0
1,0,0.3240771,0
1,0,0.26525736,0
1,0,0.27734667,0
1,0,0.37723342,0
1,0,0.4651376,0
1,0,0.1840408,0
1,0,0.2950639,0
1,0,0.24867675,0
1,1,0.21217193,0
1,1,0.23556244,0
1,1,0.29777274,0
1,1,0.40206298,0
1,1,0.24658252,0
1,1,0.1555188,0
1,1,0.21532108,0
1,1,0.25404105,0
1,1,0.21807866,0
1,1,0.25301,0
1,1,0.2614068,0
1,1,0.23358196,0
1,1,0.20388445,0
1,1,0.23246704,0
1,1,0.28134444,0
1,0,0.2193502,0
1,0,0.22924744,0
1,0,0.28419453,0
1,0,0.2762061,0
1,0,0.21779934,0
1,0,0.18281978,0
1,0,0.28455415,0
1,0,0.25125793,0
1,0,0.21085341,0
1,0,0.20905358,0
1,0,0.2942945,0
1,0,0.22993147,0
1,0,0.2408346,0
1,0,0.23978573,0
1,0,0.317846,0
1,0,0.30902115,0
1,0,0.2509369,0
1,0,0.2382064,0
1,0,0.20637332,0
1,0,0.3786668,0
1,0,0.2767639,0
1,0,0.25332195,0
1,0,0.30927452,0
1,0,0.26432785,0
1,0,0.16416568,0
1,1,0.26428604,0
1,1,0.2177193,0
1,1,0.29381365,0
1,1,0.2968097,0
1,1,0.31829247,0
1,0,0.27531484,0
1,0,0.3267979,0
1,0,0.46375766,0
1,0,0.36348715,0
1,0,0.3803864,0
1,0,0.4358876,0
1,0,0.33606124,0
1,0,0.4234528,0
1,0,0.52282196,1
1,0,0.44728568,0
1,0,0.4191662,0
1,0,0.37012538,0
1,0,0.28322574,0
1,0,0.3313306,0
1,0,0.35468042,0
1,1,0.40084833,0
1,1,0.2916786,0
1,1,0.3020417,0
1,1,0.34934276,0
1,1,0.36559266,0
1,0,0.45055306,0
1,0,0.5059616,1
1,0,0.4733375,0
1,0,0.55539924,1
1,0,0.5113989,1
1,0,0.58483225,1
1,0,0.48263514,0
1,0,0.5493694,1
1,0,0.6481523,1
1,0,0.36006647,0
1,0,0.61425114,1
1,0,0.53282595,1
1,0,0.45023692,0
1,0,0.47855648,0
1,0,0.49713844,0
1,0,0.33828676,0
1,0,0.52150905,1
1,0,0.40619567,0
1,0,0.5286914,1
1,0,0.4227264,0
1,0,0.5104736,1
1,0,0.4737925,0
1,0,0.37622982,0
1,0,0.48545828,0
1,0,0.21642001,0
1,0,0.37950122,0
1,0,0.42270923,0
1,0,0.4312415,0
1,0,0.38895625,0
1,0,0.3543222,0
1,0,0.28085983,0
1,0,0.4165344,0
1,0,0.47074637,0
1,0,0.20929664,0
1,0,0.45990494,0
1,1,0.958179,1
1,1,0.9658142,1
1,1,0.95385486,1
1,1,0.9693216,1
1,1,0.95065606,1
1,1,0.94433224,1
1,1,0.9499266,1
1,1,0.96511513,1
1,1,0.9583177,1
1,1,0.7771361,1
1,1,0.8374949,1
1,1,0.89888966,1
1,1,0.9341243,1
1,1,0.91748375,1
1,1,0.9082817,1
1,1,0.9293122,1
1,1,0.9249284,1
1,1,0.8706264,1
1,1,0.93332124,1
1,1,0.81029415,1
1,1,0.883816,1
1,1,0.90596676,1
1,1,0.8903795,1
1,1,0.8568631,1
1,1,0.9068578,1
1,1,0.9077886,1
1,1,0.9146048,1
1,1,0.8270766,1
1,1,0.90379214,1
1,1,0.7207484,1
1,1,0.83575547,1
1,1,0.8528084,1
1,1,0.8617281,1
1,1,0.80118096,1
1,1,0.8527352,1
1,1,0.81059533,1
1,1,0.8673081,1
1,1,0.92905515,1
1,1,0.90047836,1
1,1,0.87807566,1
1,1,0.8973458,1
1,1,0.8918097,1
1,1,0.88340175,1
1,1,0.88332516,1
1,1,0.83036137,1
1,1,0.86899304,1
1,1,0.894035,1
1,1,0.9162725,1
1,1,0.94099444,1
1,1,0.9075592,1
1,1,0.8795971,1
1,1,0.8573394,1
1,1,0.7771361,1
1,1,0.8374949,1
1,1,0.89888966,1
1,1,0.9341243,1
1,1,0.91748375,1
1,1,0.9082817,1
1,1,0.9293122,1
1,1,0.9249284,1
1,1,0.8706264,1
1,1,0.93332124,1
1,1,0.81029415,1
1,1,0.883816,1
1,1,0.90596676,1
1,1,0.8903795,1
1,1,0.8568631,1
1,1,0.9068578,1
1,0,0.9077886,1
1,0,0.9146048,1
1,0,0.8270766,1
1,0,0.90379214,1
1,0,0.9106768,1
1,0,0.8779729,1
