pathogen,Fold,Label,Prob,Preds
Orthopoxvirus,1,1,0.5642408,1
Orthopoxvirus,1,1,0.58262265,1
Orthopoxvirus,1,1,0.5862578,1
Orthopoxvirus,1,1,0.5920757,1
Orthopoxvirus,1,1,0.5817805,1
Orthopoxvirus,1,1,0.5161227,1
Orthopoxvirus,1,1,0.56097335,1
Orthopoxvirus,1,1,0.56466556,1
Orthopoxvirus,1,1,0.55025065,1
Orthopoxvirus,1,1,0.55025065,1
Orthopoxvirus,1,1,0.5599257,1
Orthopoxvirus,1,1,0.5866163,1
Orthopoxvirus,1,0,0.5209922,1
Orthopoxvirus,1,0,0.54713714,1
Orthopoxvirus,1,0,0.49134222,0
Orthopoxvirus,1,0,0.5359388,1
Orthopoxvirus,1,0,0.5359388,1
Orthopoxvirus,1,0,0.50500023,1
Orthopoxvirus,1,0,0.5064521,1
Orthopoxvirus,1,0,0.4675782,0
Orthopoxvirus,1,0,0.5165048,1
Orthopoxvirus,1,0,0.51048267,1
Orthopoxvirus,1,0,0.5728577,1
Orthopoxvirus,1,0,0.5925145,1
Orthopoxvirus,1,0,0.66800153,1
Orthopoxvirus,1,0,0.70135474,1
Orthopoxvirus,1,0,0.6652861,1
Orthopoxvirus,1,1,0.5955125,1
Orthopoxvirus,1,1,0.5272446,1
Orthopoxvirus,1,1,0.547684,1
Orthopoxvirus,1,1,0.48364696,0
Orthopoxvirus,1,1,0.4693647,0
Orthopoxvirus,1,1,0.42849553,0
Orthopoxvirus,1,1,0.37416562,0
Orthopoxvirus,1,1,0.40950856,0
Orthopoxvirus,1,1,0.39940828,0
Orthopoxvirus,1,1,0.39940828,0
Orthopoxvirus,1,1,0.33124286,0
Orthopoxvirus,1,1,0.30665752,0
Orthopoxvirus,1,1,0.25975797,0
Orthopoxvirus,1,1,0.21986711,0
Orthopoxvirus,1,1,0.20310505,0
Orthopoxvirus,1,0,0.20156571,0
Orthopoxvirus,1,0,0.19563055,0
Orthopoxvirus,1,0,0.17982243,0
Orthopoxvirus,1,0,0.18944252,0
Orthopoxvirus,1,0,0.17350143,0
Orthopoxvirus,1,0,0.17279658,0
Orthopoxvirus,1,0,0.15263689,0
Orthopoxvirus,1,0,0.15075575,0
Orthopoxvirus,1,0,0.17515375,0
Orthopoxvirus,1,0,0.18791725,0
Orthopoxvirus,1,0,0.18828018,0
Orthopoxvirus,1,0,0.1835431,0
Orthopoxvirus,1,0,0.18326679,0
Orthopoxvirus,1,0,0.19029202,0
Orthopoxvirus,1,0,0.21760027,0
Orthopoxvirus,1,0,0.21154463,0
Orthopoxvirus,1,0,0.22328816,0
Orthopoxvirus,1,0,0.22328816,0
Orthopoxvirus,1,0,0.2119532,0
Orthopoxvirus,1,0,0.2217122,0
Orthopoxvirus,1,0,0.21786898,0
Orthopoxvirus,1,0,0.22795638,0
Orthopoxvirus,1,0,0.20095125,0
Orthopoxvirus,1,0,0.1606926,0
Orthopoxvirus,1,0,0.19752124,0
Orthopoxvirus,1,1,0.19993663,0
Orthopoxvirus,1,1,0.26115322,0
Orthopoxvirus,1,1,0.25219363,0
Orthopoxvirus,1,1,0.275561,0
Orthopoxvirus,1,1,0.275561,0
Orthopoxvirus,1,0,0.28057557,0
Orthopoxvirus,1,0,0.28864712,0
Orthopoxvirus,1,0,0.30186707,0
Orthopoxvirus,1,0,0.36209765,0
Orthopoxvirus,1,0,0.38411814,0
Orthopoxvirus,1,0,0.38411814,0
Orthopoxvirus,1,0,0.3737603,0
Orthopoxvirus,1,0,0.38808125,0
Orthopoxvirus,1,0,0.39183176,0
Orthopoxvirus,1,0,0.33889946,0
Orthopoxvirus,1,0,0.3825448,0
Orthopoxvirus,1,0,0.33341858,0
Orthopoxvirus,1,0,0.34178916,0
Orthopoxvirus,1,0,0.34178916,0
Orthopoxvirus,1,0,0.30268186,0
Orthopoxvirus,1,1,0.36640894,0
Orthopoxvirus,1,1,0.3802919,0
Orthopoxvirus,1,1,0.4102158,0
Orthopoxvirus,1,1,0.3851075,0
Orthopoxvirus,1,1,0.3512026,0
Orthopoxvirus,1,0,0.3556063,0
Orthopoxvirus,1,0,0.39368013,0
Orthopoxvirus,1,0,0.37271646,0
Orthopoxvirus,1,0,0.3798861,0
Orthopoxvirus,1,0,0.42798534,0
Orthopoxvirus,1,0,0.40328807,0
Orthopoxvirus,1,0,0.38697553,0
Orthopoxvirus,1,0,0.40548342,0
Orthopoxvirus,1,0,0.36915994,0
