Fold,Label,Prob,Preds
1,1,0.685759,1
1,1,0.6847326,1
1,1,0.68721837,1
1,1,0.6865652,1
1,1,0.69506466,1
1,1,0.68694144,1
1,1,0.6881334,1
1,1,0.7015174,1
1,1,0.69006896,1
1,1,0.6966114,1
1,1,0.68392855,1
1,1,0.6918341,1
1,1,0.69220096,1
1,1,0.6837586,1
1,1,0.6914883,1
1,1,0.6907557,1
1,1,0.68456066,1
1,1,0.5076576,1
1,1,0.5075382,1
1,1,0.5078131,1
1,1,0.5077339,1
1,1,0.50682765,1
1,1,0.50977564,1
1,1,0.5091171,1
1,1,0.51088846,1
1,1,0.5079535,1
1,1,0.5082146,1
1,1,0.507146,1
1,1,0.50816786,1
1,1,0.50585014,1
1,1,0.50707555,1
1,1,0.50966614,1
1,1,0.50631106,1
1,1,0.5063296,1
1,1,0.50752836,1
1,1,0.5090664,1
1,1,0.51109177,1
1,1,0.5100311,1
1,1,0.51123357,1
1,1,0.51086164,1
1,1,0.5103257,1
1,1,0.5102329,1
1,1,0.51327664,1
1,1,0.51130056,1
1,1,0.5114407,1
1,1,0.5096903,1
1,1,0.5101489,1
1,1,0.50934213,1
1,1,0.50905055,1
1,1,0.5081308,1
1,1,0.5088708,1
1,1,0.50915754,1
1,0,0.48970237,0
1,0,0.49696037,0
1,0,0.5039386,1
1,0,0.50766927,1
1,0,0.51943105,1
1,0,0.5251239,1
1,0,0.53301555,1
1,0,0.53365713,1
1,0,0.5311657,1
1,0,0.5339974,1
1,0,0.5343381,1
1,0,0.53238314,1
1,1,0.53129804,1
1,1,0.5309281,1
1,1,0.529745,1
1,1,0.5196918,1
1,1,0.5147698,1
1,1,0.5188693,1
1,1,0.51287663,1
1,1,0.5197706,1
1,1,0.51427025,1
1,1,0.51489097,1
1,1,0.5123231,1
1,1,0.5151849,1
1,1,0.51311284,1
1,1,0.5127114,1
1,1,0.51407534,1
1,1,0.51361436,1
1,1,0.51207286,1
1,1,0.51120394,1
1,1,0.5104463,1
1,1,0.5078637,1
1,1,0.5087348,1
1,0,0.5087871,1
1,0,0.50884354,1
1,0,0.5085472,1
1,0,0.5091811,1
1,0,0.50978386,1
1,0,0.50871503,1
1,0,0.5080156,1
1,0,0.50797546,1
1,0,0.5093626,1
1,0,0.50665605,1
1,0,0.5052413,1
1,1,0.5060179,1
1,1,0.5066164,1
1,1,0.50685745,1
1,1,0.5076935,1
1,1,0.5069621,1
1,0,0.5069595,1
1,0,0.5067208,1
1,0,0.50629824,1
1,0,0.5076457,1
1,0,0.50556594,1
1,0,0.5056046,1
1,0,0.5053947,1
1,0,0.5052256,1
1,0,0.5042551,1
1,0,0.5070472,1
1,0,0.5059144,1
1,0,0.5059871,1
1,0,0.50638646,1
1,0,0.50575536,1
1,0,0.50560874,1
1,0,0.5074835,1
1,0,0.5069352,1
