Fold,Label,Prob,Preds
1,1,0.73741233,1
1,1,0.9633833,1
1,1,0.8303851,1
1,1,0.7290097,1
1,1,0.5753064,1
1,1,0.6770916,1
1,1,0.6976364,1
1,1,0.61764574,1
1,1,0.67530954,1
1,1,0.65789044,1
1,1,0.6513973,1
1,1,0.8553859,1
1,1,0.6957692,1
1,1,0.7262287,1
1,1,0.31268218,0
1,1,0.8758135,1
1,1,0.6556444,1
1,1,0.74374056,1
1,1,0.8271872,1
1,1,0.9131015,1
1,1,0.76398957,1
1,1,0.5754513,1
1,1,0.7532561,1
1,1,0.8839524,1
1,1,0.87536114,1
1,1,0.551839,1
1,1,0.39545324,0
1,1,0.67222446,1
1,1,0.4618387,0
1,1,0.2938586,0
1,1,0.7930672,1
1,1,0.93747437,1
1,1,0.7459985,1
1,1,0.51696545,1
1,1,0.838369,1
1,1,0.8438963,1
1,1,0.7259949,1
1,1,0.7724314,1
1,1,0.85504633,1
1,1,0.6869586,1
1,1,0.7223205,1
1,1,0.74612415,1
1,1,0.64237803,1
1,1,0.6634371,1
1,1,0.82517576,1
1,1,0.85417426,1
1,1,0.7964394,1
1,1,0.8879188,1
1,1,0.7869714,1
1,1,0.82557946,1
1,1,0.8845114,1
1,1,0.8199846,1
1,1,0.7882138,1
1,1,0.87093633,1
1,1,0.8221211,1
1,1,0.89937043,1
1,1,0.92497975,1
1,1,0.48601323,0
1,1,0.76133525,1
1,1,0.8526915,1
1,1,0.7961086,1
1,1,0.6652793,1
1,1,0.7346433,1
1,1,0.6805819,1
1,1,0.9143937,1
1,1,0.9565739,1
1,1,0.92558897,1
1,1,0.90557927,1
1,1,0.9648788,1
1,1,0.9131552,1
1,1,0.8561139,1
1,1,0.9340233,1
1,1,0.91210306,1
1,1,0.8781128,1
1,1,0.712415,1
1,1,0.6782637,1
1,1,0.7893009,1
1,1,0.7325437,1
1,1,0.70525104,1
1,1,0.7803038,1
1,1,0.76030105,1
1,1,0.8259707,1
1,1,0.78496003,1
1,1,0.84028447,1
1,1,0.73902905,1
1,1,0.8604089,1
1,1,0.8345606,1
1,1,0.7395682,1
1,1,0.7610304,1
1,1,0.8698827,1
1,1,0.76591825,1
1,1,0.8881735,1
1,1,0.8983474,1
1,1,0.8733371,1
1,1,0.9451761,1
1,1,0.8806791,1
1,1,0.81421524,1
1,1,0.8865593,1
1,1,0.73749685,1
1,1,0.7261962,1
1,1,0.8584896,1
1,1,0.8608752,1
1,1,0.8217991,1
1,1,0.7811974,1
1,1,0.8445883,1
1,1,0.86191875,1
1,1,0.9319668,1
1,1,0.9142973,1
1,1,0.8963766,1
1,1,0.90680844,1
1,1,0.8708971,1
1,1,0.835496,1
1,1,0.8228443,1
1,1,0.7722752,1
1,1,0.794824,1
1,1,0.9621998,1
1,1,0.9316125,1
1,1,0.8422287,1
1,1,0.7727886,1
1,1,0.94901365,1
1,1,0.9274028,1
1,1,0.9392578,1
1,1,0.8425244,1
1,1,0.88222295,1
1,1,0.8996163,1
1,1,0.9115744,1
1,1,0.88738775,1
1,1,0.8630564,1
1,1,0.9382181,1
1,1,0.67180145,1
1,1,0.6424005,1
1,1,0.7068827,1
1,1,0.68067616,1
1,1,0.75842357,1
1,1,0.8780041,1
1,1,0.7713086,1
1,1,0.631583,1
1,1,0.61302686,1
1,1,0.67302275,1
1,1,0.81115663,1
1,1,0.3252551,0
1,1,0.6027665,1
1,1,0.4962379,0
1,1,0.63914466,1
1,1,0.608239,1
1,1,0.8359091,1
1,1,0.9117192,1
1,1,0.87455213,1
1,1,0.80289257,1
1,1,0.8478293,1
1,1,0.78086954,1
1,1,0.8465963,1
1,1,0.8712525,1
1,1,0.8832931,1
1,1,0.92246276,1
1,1,0.9489005,1
1,1,0.93386567,1
1,1,0.9690655,1
1,1,0.94828856,1
1,1,0.9261861,1
1,1,0.97775936,1
1,1,0.9496204,1
1,1,0.9112462,1
1,1,0.95399666,1
1,1,0.87832654,1
1,1,0.8984843,1
1,1,0.8566653,1
1,1,0.7848288,1
1,1,0.60877794,1
1,1,0.62512064,1
1,1,0.4497794,0
1,1,0.5607768,1
1,1,0.5354709,1
1,1,0.7059044,1
1,1,0.424338,0
1,1,0.6278546,1
1,1,0.6048808,1
1,1,0.6786277,1
1,1,0.52041537,1
1,1,0.7212349,1
1,1,0.43150687,0
1,1,0.6160645,1
1,1,0.818869,1
1,1,0.6469394,1
1,1,0.73284584,1
1,1,0.87048376,1
1,1,0.86191475,1
1,1,0.78281754,1
1,1,0.82658404,1
1,1,0.9048282,1
1,1,0.86732644,1
1,1,0.8385466,1
1,1,0.9357262,1
1,1,0.90700233,1
1,1,0.80475396,1
1,1,0.92739874,1
1,1,0.87179863,1
1,1,0.9089555,1
1,1,0.94212455,1
1,1,0.84077346,1
1,1,0.830688,1
1,1,0.89870244,1
1,1,0.89038354,1
1,1,0.9700336,1
1,1,0.8893659,1
1,1,0.8719172,1
1,1,0.9001037,1
1,1,0.91500896,1
1,1,0.83073115,1
1,1,0.8401001,1
1,1,0.86831367,1
1,1,0.7819961,1
1,1,0.77288294,1
1,1,0.87683135,1
1,1,0.73264617,1
1,1,0.813083,1
1,1,0.7113764,1
1,1,0.7384533,1
1,1,0.745406,1
1,1,0.6910655,1
1,0,0.35474217,0
1,0,0.6282749,1
1,0,0.50480884,1
1,0,0.4626177,0
1,0,0.27200645,0
1,0,0.25271443,0
1,0,0.28416622,0
1,0,0.2038779,0
1,0,0.31297338,0
1,0,0.37228227,0
1,0,0.18536124,0
1,0,0.30836588,0
1,0,0.27461725,0
1,0,0.5355996,1
1,0,0.50991094,1
1,1,0.4913209,0
1,1,0.4453002,0
1,1,0.35520273,0
1,1,0.46028408,0
1,1,0.3699456,0
1,1,0.23428848,0
1,1,0.35179287,0
1,1,0.40512285,0
1,1,0.30340064,0
1,1,0.31282634,0
1,1,0.3491808,0
1,1,0.21895318,0
1,1,0.32333937,0
1,1,0.20389095,0
1,1,0.21228713,0
1,0,0.23691927,0
1,0,0.12140619,0
1,0,0.14554568,0
1,0,0.31899676,0
1,0,0.19652392,0
1,0,0.15549023,0
1,0,0.27888292,0
1,0,0.18448599,0
1,0,0.11032205,0
1,0,0.1128953,0
1,0,0.16608983,0
1,0,0.16381763,0
1,0,0.376566,0
1,0,0.1980983,0
1,0,0.25509185,0
1,0,0.12430738,0
1,0,0.21060067,0
1,0,0.24028215,0
1,0,0.36527982,0
1,0,0.29994538,0
1,0,0.23107162,0
1,0,0.17501324,0
1,0,0.16538781,0
1,0,0.32535467,0
1,0,0.122087784,0
1,1,0.23607467,0
1,1,0.28341278,0
1,1,0.26230907,0
1,1,0.23033491,0
1,1,0.35194367,0
1,0,0.24106859,0
1,0,0.54911244,1
1,0,0.4952734,0
1,0,0.66531974,1
1,0,0.508457,1
1,0,0.52209926,1
1,0,0.1894221,0
1,0,0.46354613,0
1,0,0.44507447,0
1,0,0.51372206,1
1,0,0.60753864,1
1,0,0.5293797,1
1,0,0.54040784,1
1,0,0.4579016,0
1,0,0.30549654,0
1,1,0.30429086,0
1,1,0.29222858,0
1,1,0.4112896,0
1,1,0.41376868,0
1,1,0.5152103,1
1,0,0.41974938,0
1,0,0.7461843,1
1,0,0.53822035,1
1,0,0.39611804,0
1,0,0.4655325,0
1,0,0.28604072,0
1,0,0.37936828,0
1,0,0.39957133,0
1,0,0.44252488,0
1,0,0.36136666,0
1,0,0.52713484,1
1,0,0.49290568,0
1,0,0.4871357,0
1,0,0.52498305,1
1,0,0.49500477,0
1,0,0.306257,0
1,0,0.45927688,0
1,0,0.3443608,0
1,0,0.5541969,1
1,0,0.42967495,0
1,0,0.5266763,1
1,0,0.47487378,0
1,0,0.43378282,0
1,0,0.3859942,0
1,0,0.35894102,0
1,0,0.56229347,1
1,0,0.5035755,1
1,0,0.44309035,0
1,0,0.45722196,0
1,0,0.4222094,0
1,0,0.39545015,0
1,0,0.43795785,0
1,0,0.46768403,0
1,0,0.4176355,0
1,0,0.54076135,1
1,1,0.95027417,1
1,1,0.96889985,1
1,1,0.9559434,1
1,1,0.94015044,1
1,1,0.9539627,1
1,1,0.9387579,1
1,1,0.8621871,1
1,1,0.8716473,1
1,1,0.9098291,1
1,1,0.8465963,1
1,1,0.8712525,1
1,1,0.8832931,1
1,1,0.92246276,1
1,1,0.9489005,1
1,1,0.93386567,1
1,1,0.9690655,1
1,1,0.94828856,1
1,1,0.9261861,1
1,1,0.97775936,1
1,1,0.9496204,1
1,1,0.9112462,1
1,1,0.95399666,1
1,1,0.94474095,1
1,1,0.90984035,1
1,1,0.9056655,1
1,1,0.94963336,1
1,1,0.91326654,1
1,1,0.96763,1
1,1,0.9803051,1
1,1,0.70611674,1
1,1,0.84405255,1
1,1,0.7723097,1
1,1,0.87048376,1
1,1,0.86191475,1
1,1,0.78281754,1
1,1,0.82658404,1
1,1,0.9048282,1
1,1,0.86732644,1
1,1,0.8385466,1
1,1,0.9357262,1
1,1,0.90700233,1
1,1,0.9089555,1
1,1,0.94212455,1
1,1,0.84077346,1
1,1,0.830688,1
1,1,0.89870244,1
1,1,0.89038354,1
1,1,0.9700336,1
1,1,0.8893659,1
1,1,0.8719172,1
1,1,0.9001037,1
1,1,0.91500896,1
1,1,0.8465963,1
1,1,0.8712525,1
1,1,0.8832931,1
1,1,0.92246276,1
1,1,0.9489005,1
1,1,0.93386567,1
1,1,0.9690655,1
1,1,0.94828856,1
1,1,0.9261861,1
1,1,0.97775936,1
1,1,0.9496204,1
1,1,0.9112462,1
1,1,0.95399666,1
1,1,0.94474095,1
1,1,0.90984035,1
1,1,0.9056655,1
1,0,0.94963336,1
1,0,0.91326654,1
1,0,0.96763,1
1,0,0.9803051,1
1,0,0.92906606,1
1,0,0.9526868,1
1,0,0.8673477,1
1,0,0.83307904,1
1,0,0.9387728,1
1,0,0.87832654,1
1,0,0.8984843,1
1,0,0.8566653,1
1,0,0.7848288,1
1,0,0.60877794,1
1,0,0.62512064,1
1,0,0.4497794,0
1,0,0.5607768,1
1,0,0.5354709,1
1,0,0.7059044,1
1,0,0.424338,0
1,0,0.6278546,1
1,0,0.6048808,1
1,0,0.6786277,1
1,0,0.52041537,1
1,0,0.7212349,1
1,0,0.43150687,0
1,0,0.6160645,1
1,0,0.818869,1
1,0,0.6469394,1
1,0,0.73284584,1
1,0,0.86937445,1
1,0,0.65002364,1
1,0,0.6125351,1
1,0,0.76285356,1
1,0,0.5800738,1
1,0,0.8595258,1
1,0,0.5740006,1
1,0,0.7248792,1
1,1,0.7663761,1
1,1,0.7946702,1
1,1,0.75050175,1
1,1,0.7201011,1
1,1,0.70285094,1
1,1,0.88803184,1
1,1,0.8257024,1
1,1,0.89397734,1
1,1,0.79736453,1
1,1,0.53157276,1
1,1,0.1836969,0
1,1,0.20242369,0
1,1,0.3796498,0
1,1,0.38359624,0
1,1,0.30633456,0
1,1,0.48720548,0
1,1,0.33277652,0
1,1,0.5999079,1
1,1,0.2918415,0
1,1,0.42710268,0
1,1,0.28764388,0
1,1,0.3096023,0
1,1,0.3179685,0
1,1,0.15216154,0
1,1,0.18433806,0
1,1,0.21395469,0
1,1,0.8681652,1
1,1,0.8133448,1
1,1,0.8158695,1
1,1,0.75993377,1
1,1,0.7760059,1
1,1,0.9044411,1
1,1,0.8930024,1
1,1,0.52451366,1
1,1,0.7884519,1
1,1,0.5434461,1
1,1,0.54830426,1
1,1,0.524697,1
1,1,0.42000842,0
1,0,0.9158324,1
1,0,0.64969045,1
1,0,0.6176967,1
1,0,0.8758846,1
1,0,0.6889803,1
1,0,0.5901349,1
1,1,0.63375133,1
1,1,0.6087628,1
1,1,0.7085162,1
1,1,0.56700945,1
1,1,0.40067163,0
1,1,0.35627344,0
1,1,0.7041196,1
1,1,0.6855694,1
1,1,0.5661334,1
1,1,0.5019655,1
1,1,0.9178598,1
1,1,0.6611958,1
1,1,0.6575576,1
1,1,0.8799956,1
