Fold,Label,Prob,Preds
1,1,0.50211686,1
1,1,0.50257236,1
1,1,0.5020977,1
1,1,0.55308384,1
1,1,0.53432614,1
1,1,0.5020822,1
1,1,0.5185088,1
1,1,0.50227535,1
1,1,0.51687765,1
1,1,0.50447285,1
1,1,0.48894888,0
1,1,0.4758036,0
1,1,0.4834986,0
1,1,0.50244594,1
1,1,0.4789941,0
1,1,0.49254072,0
1,1,0.4807809,0
1,1,0.45940062,0
1,1,0.47585696,0
1,1,0.5038151,1
1,1,0.5160237,1
1,1,0.48942405,0
1,1,0.5022445,1
1,1,0.45881268,0
1,1,0.44589743,0
1,1,0.46769324,0
1,1,0.4694381,0
1,1,0.4744751,0
1,1,0.49197006,0
1,1,0.49596813,0
1,1,0.50084496,1
1,0,0.461677,0
1,0,0.48956236,0
1,0,0.51920336,1
1,0,0.48460773,0
1,0,0.49137208,0
1,0,0.49266717,0
1,0,0.5075627,1
1,0,0.48880544,0
1,0,0.47314513,0
1,0,0.49050725,0
1,0,0.45942384,0
1,0,0.46307406,0
1,0,0.4669072,0
1,0,0.4871542,0
1,0,0.5185521,1
1,1,0.49330404,0
1,1,0.50923675,1
1,1,0.50482196,1
1,1,0.5128792,1
1,1,0.49927717,0
1,1,0.52686805,1
1,1,0.5266158,1
1,1,0.5198002,1
1,1,0.5093299,1
1,1,0.518618,1
1,1,0.49188864,0
1,1,0.49283576,0
1,1,0.4995874,0
1,1,0.5075689,1
1,1,0.4987461,0
1,0,0.5243914,1
1,0,0.52447236,1
1,0,0.49319986,0
1,0,0.5322367,1
1,0,0.5306647,1
1,0,0.50345457,1
1,0,0.50523126,1
1,0,0.5262179,1
1,0,0.5325322,1
1,0,0.4832165,0
1,0,0.5435634,1
1,0,0.5270432,1
1,0,0.51759905,1
1,0,0.51144063,1
1,0,0.5268696,1
1,1,0.55509824,1
1,1,0.51225555,1
1,1,0.5094553,1
1,1,0.5422185,1
1,1,0.53199494,1
1,1,0.5103148,1
1,1,0.53661036,1
1,1,0.46927944,0
1,1,0.53338575,1
1,1,0.53374696,1
1,1,0.5184228,1
1,1,0.5226605,1
1,1,0.54857296,1
1,1,0.5097126,1
1,1,0.5183684,1
1,0,0.48022473,0
1,0,0.47889015,0
1,0,0.5027997,1
1,0,0.50550854,1
1,0,0.49108818,0
1,0,0.49085486,0
1,0,0.49525797,0
1,0,0.4879101,0
1,0,0.5091524,1
1,0,0.50724995,1
1,0,0.50480515,1
1,0,0.5114716,1
1,0,0.4787725,0
1,0,0.5112235,1
1,0,0.50216156,1
1,0,0.49016213,0
1,0,0.49779457,0
1,0,0.4840821,0
1,0,0.5043252,1
1,0,0.48979306,0
1,0,0.49546582,0
1,0,0.5019806,1
1,0,0.49544075,0
1,0,0.51934814,1
1,0,0.50003934,1
1,0,0.519667,1
1,0,0.52938086,1
1,0,0.52108383,1
1,0,0.5070999,1
1,0,0.5254635,1
1,1,0.5067933,1
1,1,0.5069302,1
1,1,0.47616914,0
1,1,0.48293915,0
1,1,0.4885999,0
1,1,0.5282327,1
1,1,0.483284,0
1,1,0.4986151,0
1,1,0.5057731,1
1,1,0.48511094,0
1,1,0.482846,0
1,1,0.49186882,0
1,1,0.47799513,0
1,1,0.46718225,0
1,1,0.51342946,1
1,1,0.5155444,1
1,1,0.5052559,1
1,1,0.4788273,0
1,0,0.48982483,0
1,0,0.48510778,0
1,0,0.47807539,0
1,0,0.4743199,0
1,0,0.50006884,1
1,0,0.48255876,0
1,0,0.49637818,0
1,0,0.4799629,0
1,0,0.4675463,0
1,0,0.47653326,0
1,0,0.5138214,1
1,0,0.46815452,0
1,0,0.47474694,0
1,0,0.47249213,0
1,0,0.5030811,1
1,0,0.50798815,1
1,0,0.49666294,0
1,0,0.47404227,0
1,0,0.48673007,0
1,0,0.48307726,0
1,0,0.4952011,0
1,0,0.49237913,0
1,0,0.48911965,0
1,0,0.48546195,0
1,0,0.4914485,0
1,0,0.48354802,0
1,0,0.4878687,0
1,0,0.5069788,1
1,0,0.4816104,0
1,0,0.50517213,1
1,0,0.5403129,1
1,0,0.5102476,1
1,0,0.519595,1
1,1,0.4820578,0
1,1,0.47712874,0
1,1,0.48680452,0
1,1,0.4649606,0
1,1,0.44645977,0
1,1,0.44577616,0
1,1,0.44747034,0
1,1,0.47498494,0
1,1,0.48041338,0
1,1,0.48040044,0
1,1,0.4846806,0
1,1,0.4848432,0
1,1,0.4991137,0
1,1,0.49368885,0
1,1,0.5320458,1
1,0,0.47568482,0
1,0,0.4866675,0
1,0,0.47204798,0
1,0,0.52099127,1
1,0,0.45129526,0
1,0,0.4547963,0
1,0,0.43395922,0
1,0,0.4680499,0
1,0,0.45766944,0
1,0,0.4712167,0
1,0,0.46638232,0
1,0,0.44318953,0
1,0,0.4770558,0
1,0,0.4632938,0
1,0,0.4906718,0
1,1,0.48424795,0
1,1,0.46438935,0
1,1,0.47430596,0
1,1,0.48469335,0
1,1,0.44357982,0
1,1,0.43452594,0
1,1,0.4251077,0
1,1,0.44837612,0
1,1,0.44444284,0
1,1,0.45246068,0
1,1,0.4540493,0
1,1,0.4824656,0
1,1,0.4787031,0
1,1,0.45225617,0
1,1,0.46686095,0
1,0,0.49139813,0
1,0,0.48063,0
1,0,0.48287287,0
1,0,0.50687736,1
1,0,0.4527311,0
1,0,0.48880836,0
1,0,0.4707954,0
1,0,0.48372266,0
1,0,0.47139752,0
1,0,0.49117097,0
1,0,0.50787926,1
1,0,0.4869734,0
1,0,0.47889745,0
1,0,0.48928362,0
1,0,0.49252045,0
1,0,0.46216837,0
1,0,0.47712654,0
1,0,0.4579987,0
1,0,0.45805,0
1,0,0.45970574,0
1,0,0.47982693,0
1,0,0.47955894,0
1,0,0.46394768,0
1,0,0.4453507,0
1,0,0.505288,1
1,0,0.47693458,0
1,0,0.45276877,0
1,0,0.46892026,0
1,0,0.4829082,0
1,0,0.47021306,0
1,0,0.45013458,0
1,0,0.45339996,0
1,0,0.48513493,0
1,0,0.47227302,0
1,0,0.45232236,0
1,0,0.46626058,0
1,0,0.47444645,0
1,0,0.48759276,0
1,0,0.46934718,0
1,0,0.46838328,0
1,0,0.44911557,0
1,0,0.47129205,0
1,0,0.4481461,0
1,0,0.4589109,0
1,0,0.46515697,0
1,0,0.44735295,0
1,0,0.4786383,0
1,0,0.43861446,0
1,0,0.4338762,0
1,0,0.47940385,0
1,0,0.48255974,0
1,0,0.478773,0
1,0,0.48296565,0
1,0,0.46111163,0
1,0,0.48328122,0
1,0,0.48812115,0
1,0,0.49877903,0
1,0,0.440581,0
1,0,0.45790166,0
1,0,0.4728326,0
1,0,0.4850682,0
1,0,0.48805982,0
1,0,0.46192867,0
1,0,0.43063274,0
1,0,0.44632608,0
1,0,0.4528175,0
1,0,0.47877747,0
1,0,0.48226723,0
1,0,0.45088243,0
1,0,0.5249245,1
1,0,0.4742063,0
1,0,0.4883508,0
1,0,0.48074874,0
1,0,0.47940493,0
1,0,0.45878762,0
1,0,0.4337039,0
1,0,0.46511826,0
1,0,0.45807785,0
1,0,0.47409117,0
1,0,0.47568995,0
1,0,0.45789927,0
1,0,0.47822073,0
1,0,0.45408255,0
1,0,0.47988927,0
1,0,0.47052485,0
1,0,0.48021352,0
1,0,0.46418712,0
1,0,0.4568932,0
1,0,0.44991094,0
1,0,0.46313483,0
1,0,0.4772194,0
1,0,0.46699202,0
1,0,0.45598406,0
1,0,0.47093338,0
1,0,0.44809633,0
1,0,0.49012983,0
1,0,0.46224102,0
1,0,0.47274065,0
1,0,0.47169417,0
1,1,0.4995305,0
1,1,0.48133057,0
1,1,0.48604855,0
1,1,0.5044157,1
1,1,0.4850601,0
1,1,0.48708266,0
1,1,0.51019377,1
1,1,0.49467,0
