Fold,Label,Prob,Preds
1,0,0.17360805,0
1,0,0.100956514,0
1,0,0.1596621,0
1,0,0.118405655,0
1,0,0.21860611,0
1,0,0.08218148,0
1,0,0.120277666,0
1,0,0.21854334,0
1,0,0.09353115,0
1,0,0.2014092,0
1,0,0.08179316,0
1,0,0.13406253,0
1,0,0.18798523,0
1,0,0.11478167,0
1,0,0.24822189,0
1,0,0.15435328,0
1,0,0.14316289,0
1,0,0.12756586,0
1,0,0.0827087,0
1,0,0.19818875,0
1,0,0.11636162,0
1,0,0.20356266,0
1,0,0.13569853,0
1,0,0.20829697,0
1,0,0.10644121,0
1,0,0.17631884,0
1,0,0.24975118,0
1,0,0.10450874,0
1,0,0.23335806,0
1,0,0.10315722,0
1,0,0.18472706,0
1,0,0.24751936,0
1,0,0.11657119,0
1,0,0.2988123,0
1,0,0.17993672,0
1,0,0.17359626,0
1,0,0.14438152,0
1,0,0.09683627,0
1,0,0.29284292,0
1,0,0.3523778,0
1,0,0.358692,0
1,0,0.49023786,0
1,0,0.5479831,1
1,0,0.28572205,0
1,0,0.50476146,1
1,0,0.47382972,0
1,0,0.51136637,1
1,0,0.3538384,0
1,0,0.42966628,0
1,0,0.40211552,0
1,0,0.39051566,0
1,0,0.37685525,0
1,0,0.5272724,1
1,0,0.52154666,1
1,0,0.54044604,1
1,0,0.5939192,1
1,0,0.7082977,1
1,1,0.42325905,0
1,1,0.17969078,0
1,1,0.18234445,0
1,1,0.30697304,0
1,1,0.2957985,0
1,1,0.20260169,0
1,1,0.32127956,0
1,1,0.4076182,0
1,1,0.27759257,0
1,1,0.50183934,1
1,1,0.38765258,0
1,1,0.3810136,0
1,1,0.33054855,0
1,1,0.29023054,0
1,1,0.39689142,0
1,1,0.199861,0
1,1,0.28484932,0
1,1,0.2513597,0
1,1,0.24929786,0
1,1,0.77192914,1
1,1,0.768721,1
1,1,0.5716334,1
1,1,0.63867325,1
1,1,0.8502065,1
1,1,0.6663581,1
1,1,0.7808855,1
1,1,0.76671785,1
1,1,0.81745666,1
1,1,0.77786267,1
1,1,0.8557683,1
1,1,0.7291062,1
1,1,0.7987708,1
1,1,0.8769462,1
1,1,0.90762013,1
1,1,0.67742664,1
1,1,0.6570216,1
1,1,0.80141187,1
1,1,0.77876973,1
1,1,0.64034843,1
1,1,0.47716206,0
1,1,0.44346938,0
1,1,0.39737502,0
1,1,0.3937726,0
1,1,0.37755573,0
1,1,0.22218415,0
1,1,0.15554045,0
1,0,0.15334852,0
1,0,0.2088933,0
1,0,0.19101578,0
1,0,0.21052393,0
1,0,0.09761938,0
1,0,0.2288328,0
1,0,0.12908633,0
1,0,0.06858674,0
1,0,0.27970636,0
1,0,0.28230926,0
1,0,0.15922159,0
1,0,0.13636285,0
1,0,0.34681264,0
1,0,0.24757151,0
1,0,0.14603831,0
1,0,0.37036762,0
1,0,0.35791072,0
1,0,0.34531948,0
1,0,0.34845483,0
1,0,0.44277376,0
1,0,0.40961164,0
1,0,0.31690276,0
1,0,0.38359112,0
1,0,0.29987058,0
1,0,0.30229673,0
1,0,0.3508739,0
1,0,0.26097256,0
1,0,0.15945204,0
1,0,0.29582366,0
1,0,0.26419953,0
1,0,0.33260417,0
1,0,0.33535305,0
1,0,0.12588081,0
1,0,0.44542763,0
1,0,0.19165938,0
1,0,0.19493948,0
1,0,0.32652676,0
1,0,0.30839857,0
1,0,0.21067092,0
1,0,0.26957595,0
1,0,0.28220034,0
1,0,0.15064888,0
1,0,0.34330857,0
1,0,0.19527432,0
1,0,0.38422054,0
1,0,0.48876938,0
1,0,0.53682667,1
1,0,0.5589899,1
1,0,0.46061155,0
1,0,0.4423075,0
1,0,0.3120193,0
1,0,0.27452052,0
1,0,0.52450854,1
1,0,0.45128265,0
1,0,0.35651955,0
1,0,0.28310782,0
1,0,0.23424052,0
1,0,0.21968755,0
1,0,0.21464472,0
1,0,0.15093817,0
1,0,0.1410021,0
1,0,0.2974115,0
1,0,0.19854487,0
1,0,0.20024846,0
1,0,0.15073298,0
1,0,0.36770117,0
1,0,0.2785792,0
1,0,0.11446789,0
1,0,0.22980379,0
1,0,0.17439078,0
1,0,0.16746174,0
1,0,0.19487636,0
1,0,0.14989176,0
1,0,0.094993845,0
1,0,0.13334401,0
1,0,0.09802724,0
1,0,0.14976136,0
1,0,0.20514739,0
1,0,0.15260817,0
1,0,0.15572606,0
1,0,0.14141297,0
1,0,0.067539014,0
1,0,0.11813307,0
1,0,0.12852365,0
1,0,0.08133008,0
1,0,0.10266915,0
1,0,0.13207424,0
1,0,0.1555478,0
1,0,0.111357,0
1,0,0.13386714,0
1,0,0.1690437,0
1,0,0.25382918,0
1,0,0.17612895,0
1,0,0.15908884,0
1,0,0.103623234,0
1,0,0.14008519,0
1,0,0.11727989,0
1,0,0.09046731,0
1,0,0.14011966,0
1,0,0.05284343,0
1,0,0.12160361,0
1,0,0.08953668,0
1,0,0.046413604,0
1,0,0.13160087,0
1,0,0.14391498,0
1,0,0.084155135,0
1,0,0.10193639,0
1,0,0.08333593,0
1,0,0.14391159,0
1,0,0.11075932,0
1,0,0.09578766,0
1,0,0.1593243,0
1,0,0.1088525,0
1,0,0.13553777,0
1,0,0.06514047,0
1,0,0.14377797,0
1,0,0.144042,0
1,0,0.20099747,0
1,0,0.12927571,0
1,0,0.15522237,0
1,0,0.11763325,0
1,0,0.15573595,0
1,0,0.14710523,0
1,0,0.07681141,0
1,0,0.18117483,0
1,0,0.12872116,0
1,0,0.105239496,0
1,0,0.09272389,0
1,0,0.07390072,0
1,0,0.10437226,0
1,0,0.07916047,0
1,0,0.10568297,0
1,0,0.09636613,0
1,0,0.08345836,0
1,0,0.18337674,0
1,0,0.056374937,0
1,0,0.14761068,0
1,1,0.20086017,0
1,1,0.30301777,0
1,1,0.19761845,0
1,1,0.21725,0
1,1,0.24977279,0
