Fold,Label,Prob,Preds
1,1,0.8606981,1
1,1,0.6737202,1
1,1,0.6905077,1
1,1,0.8223655,1
1,1,0.7354498,1
1,1,0.57329375,1
1,1,0.6586494,1
1,1,0.6040146,1
1,1,0.5223722,1
1,1,0.5822783,1
1,1,0.28546578,0
1,1,0.5651855,1
1,1,0.57398427,1
1,1,0.35239992,0
1,1,0.29166466,0
1,1,0.53375757,1
1,1,0.38074386,0
1,1,0.32035908,0
1,1,0.48205465,0
1,1,0.5621248,1
1,1,0.32917204,0
1,1,0.20824508,0
1,1,0.3562899,0
1,1,0.4854937,0
1,1,0.48776194,0
1,1,0.5879354,1
1,1,0.60726666,1
1,1,0.6610234,1
1,1,0.69539326,1
1,1,0.6107447,1
1,1,0.4791094,0
1,1,0.41903433,0
1,1,0.6463006,1
1,1,0.5761898,1
1,1,0.5449148,1
1,1,0.618876,1
1,1,0.6248979,1
1,1,0.65257674,1
1,1,0.7626877,1
1,1,0.6376233,1
1,1,0.7133447,1
1,1,0.6112563,1
1,1,0.61960155,1
1,1,0.64105964,1
1,1,0.34551013,0
1,1,0.8291926,1
1,1,0.6936048,1
1,1,0.69386286,1
1,1,0.5049471,1
1,0,0.3924559,0
1,0,0.50033474,1
1,0,0.39139375,0
1,0,0.38864705,0
1,0,0.45763874,0
1,0,0.38126272,0
1,0,0.43221802,0
1,0,0.3935184,0
1,0,0.45244643,0
1,0,0.429183,0
1,0,0.33355224,0
1,0,0.60739595,1
1,0,0.47818616,0
1,0,0.6389927,1
1,0,0.46577865,0
1,0,0.646942,1
1,0,0.4433695,0
1,0,0.44680366,0
1,0,0.63593465,1
1,0,0.6062349,1
1,1,0.5693722,1
1,1,0.5954504,1
1,1,0.60683334,1
1,1,0.5896973,1
1,1,0.45672828,0
1,1,0.5013874,1
1,1,0.40441197,0
1,1,0.48332477,0
1,1,0.30610502,0
1,1,0.4314842,0
1,1,0.31402442,0
1,1,0.25310788,0
1,1,0.30197313,0
1,1,0.2834501,0
1,1,0.30038038,0
1,0,0.08743219,0
1,0,0.11463082,0
1,0,0.09026289,0
1,0,0.11560087,0
1,0,0.17867686,0
1,0,0.17684354,0
1,0,0.16596813,0
1,0,0.28980586,0
1,0,0.19613746,0
1,0,0.550532,1
1,0,0.24783137,0
1,0,0.52045125,1
1,0,0.442693,0
1,0,0.49761218,0
1,0,0.54385597,1
1,0,0.31012875,0
1,0,0.38011095,0
1,0,0.073568344,0
1,0,0.37235424,0
1,0,0.091077365,0
1,1,0.1643219,0
1,1,0.12514675,0
1,1,0.53444207,1
1,1,0.28144753,0
1,1,0.12110927,0
1,1,0.42019734,0
1,1,0.6698676,1
1,1,0.6714122,1
1,1,0.5753554,1
1,1,0.42791104,0
1,1,0.7796848,1
1,1,0.685599,1
1,1,0.6828164,1
1,1,0.79311496,1
1,1,0.7635183,1
1,0,0.63732153,1
1,0,0.88820523,1
1,0,0.8087454,1
1,0,0.60140455,1
1,0,0.7188829,1
1,0,0.6269149,1
1,0,0.66197157,1
1,0,0.8033169,1
1,0,0.5373288,1
1,0,0.43500105,0
1,0,0.33954626,0
1,0,0.41290227,0
1,0,0.3778605,0
1,0,0.36680713,0
1,0,0.21823569,0
1,0,0.25787726,0
1,0,0.559986,1
1,0,0.5960749,1
1,0,0.41846734,0
1,0,0.3551501,0
1,1,0.38648754,0
1,1,0.40168366,0
1,1,0.60652,1
1,1,0.5714274,1
1,1,0.67512196,1
1,1,0.51026493,1
1,1,0.5433593,1
1,1,0.48656172,0
1,1,0.34593445,0
1,1,0.41598722,0
1,1,0.4350891,0
1,1,0.25385523,0
1,1,0.3720171,0
1,1,0.24728252,0
1,1,0.29418772,0
1,0,0.4584609,0
1,0,0.24324903,0
1,0,0.48228687,0
1,0,0.33627883,0
1,0,0.30417725,0
1,0,0.20703006,0
1,0,0.273071,0
1,0,0.29785258,0
1,0,0.31339803,0
1,0,0.3342103,0
1,0,0.29933164,0
1,0,0.15293156,0
1,0,0.24643141,0
1,0,0.3285717,0
1,0,0.29018614,0
1,0,0.37138906,0
1,0,0.25607622,0
1,0,0.18420622,0
1,0,0.38106686,0
1,0,0.33595496,0
1,0,0.2158618,0
1,0,0.27555394,0
1,0,0.11095965,0
1,0,0.08297207,0
1,0,0.094677605,0
1,0,0.16542517,0
1,0,0.2518363,0
1,0,0.21999113,0
1,0,0.25119293,0
1,0,0.26812127,0
1,0,0.14486006,0
1,0,0.20163858,0
1,0,0.29952198,0
1,0,0.31413302,0
1,0,0.45535713,0
1,0,0.5191432,1
1,0,0.6274016,1
1,0,0.5258744,1
1,0,0.40132764,0
1,0,0.31776863,0
1,0,0.20411608,0
1,0,0.14034332,0
1,0,0.1857806,0
1,0,0.26538867,0
