Fold,Label,Prob,Preds
1,1,0.19346529,0
1,1,0.19401865,0
1,1,0.1846766,0
1,1,0.17712909,0
1,1,0.17201091,0
1,1,0.1870076,0
1,1,0.18160008,0
1,1,0.16481343,0
1,1,0.18649983,0
1,1,0.18872012,0
1,1,0.19963244,0
1,1,0.16877612,0
1,1,0.18640098,0
1,1,0.16312116,0
1,1,0.17020057,0
1,1,0.16971861,0
1,1,0.17181532,0
1,0,0.55873716,1
1,0,0.57749355,1
1,0,0.5457011,1
1,0,0.5314415,1
1,0,0.55205166,1
1,0,0.556785,1
1,0,0.61232126,1
1,0,0.57184076,1
1,0,0.5773927,1
1,0,0.5905054,1
1,0,0.56642383,1
1,0,0.5665213,1
1,0,0.57621187,1
1,0,0.58797693,1
1,0,0.6049678,1
1,0,0.6530497,1
1,0,0.6307651,1
1,0,0.64337915,1
1,0,0.62252706,1
1,0,0.6430781,1
1,0,0.60311663,1
1,0,0.571609,1
1,0,0.58599055,1
1,0,0.5357551,1
1,0,0.5375748,1
1,0,0.5373277,1
1,0,0.54364437,1
1,0,0.5686308,1
1,0,0.557138,1
1,0,0.5046236,1
1,0,0.5232849,1
1,0,0.554403,1
1,0,0.52649856,1
1,0,0.5255638,1
1,0,0.50171876,1
1,0,0.4908088,0
1,0,0.5178429,1
1,0,0.52163106,1
1,0,0.48186427,0
1,0,0.5198823,1
1,0,0.48855457,0
1,0,0.50226665,1
1,0,0.48371053,0
1,0,0.48133692,0
1,0,0.5214867,1
1,0,0.4962651,0
1,0,0.5230424,1
1,0,0.5449161,1
1,0,0.49038,0
1,0,0.5026505,1
1,0,0.5102646,1
1,0,0.4985359,0
1,0,0.46879724,0
1,0,0.4551419,0
1,0,0.47176522,0
1,0,0.46128014,0
1,0,0.46641514,0
1,0,0.47160208,0
1,0,0.6306972,1
1,0,0.61365485,1
1,0,0.57684577,1
1,0,0.6199297,1
1,0,0.61633545,1
1,0,0.6222235,1
1,0,0.5940288,1
1,0,0.6081502,1
1,0,0.60972315,1
1,0,0.55267555,1
1,0,0.5620595,1
1,0,0.5550386,1
1,0,0.55256283,1
1,0,0.5329515,1
1,0,0.5134158,1
1,0,0.4816039,0
1,0,0.49306217,0
1,0,0.48630342,0
1,0,0.46090123,0
1,0,0.5014163,1
1,0,0.49408922,0
1,0,0.48970583,0
1,0,0.4613971,0
1,0,0.5397122,1
1,0,0.5286184,1
1,0,0.49729845,0
1,0,0.44933164,0
1,0,0.4585037,0
1,0,0.45119333,0
1,0,0.4794752,0
1,0,0.5103334,1
1,0,0.48511922,0
1,0,0.5146001,1
1,0,0.5329954,1
1,0,0.4874819,0
1,0,0.45126203,0
1,0,0.47862098,0
1,1,0.63385767,1
1,1,0.66403455,1
1,1,0.67442465,1
1,1,0.67455465,1
1,1,0.67464143,1
1,1,0.67249477,1
1,1,0.6322416,1
1,1,0.61942047,1
1,1,0.6035694,1
1,1,0.61844754,1
1,1,0.6151376,1
1,1,0.62627536,1
1,1,0.6280023,1
1,1,0.64554685,1
1,1,0.6643738,1
1,1,0.6607207,1
1,1,0.6579988,1
1,1,0.64210624,1
1,1,0.6211735,1
1,1,0.61715114,1
1,1,0.6198881,1
1,1,0.57777333,1
1,1,0.5761862,1
1,1,0.5840499,1
1,1,0.58633137,1
1,1,0.6210664,1
1,1,0.6104052,1
1,1,0.60651684,1
1,1,0.6001327,1
1,1,0.6249437,1
1,1,0.6624073,1
1,1,0.64614636,1
1,1,0.6339116,1
1,1,0.63436747,1
1,1,0.58026594,1
1,1,0.6167447,1
1,1,0.5677285,1
1,1,0.5540113,1
1,1,0.54980695,1
1,1,0.56000036,1
1,1,0.5101781,1
1,1,0.5083828,1
1,1,0.49752223,0
1,1,0.5510713,1
1,1,0.5374502,1
1,1,0.539369,1
1,1,0.53926855,1
1,1,0.5463802,1
1,1,0.5718862,1
1,1,0.5592663,1
1,1,0.532903,1
1,1,0.50441766,1
1,1,0.51542145,1
1,1,0.48842233,0
1,1,0.49087527,0
1,1,0.52640975,1
1,1,0.50236374,1
1,1,0.5257265,1
1,1,0.54897213,1
1,1,0.49444717,0
1,1,0.502398,1
1,1,0.50998706,1
1,1,0.49562082,0
1,1,0.46746165,0
1,1,0.45335603,0
1,1,0.46915826,0
1,1,0.4577265,0
1,1,0.46308762,0
1,1,0.46955234,0
1,1,0.46498474,0
1,1,0.49336502,0
1,1,0.491184,0
1,1,0.5167651,1
1,1,0.55735207,1
1,1,0.54943746,1
1,1,0.60092074,1
1,1,0.61016726,1
1,1,0.62319434,1
1,1,0.60135263,1
1,1,0.6297479,1
1,1,0.60524356,1
1,1,0.60850865,1
1,1,0.6355457,1
1,1,0.6333207,1
1,1,0.601302,1
1,1,0.6221696,1
1,1,0.61383706,1
1,1,0.60691094,1
1,1,0.5729831,1
1,1,0.5449501,1
1,1,0.5083311,1
1,1,0.5176867,1
1,1,0.5040768,1
1,1,0.52171177,1
1,1,0.53099895,1
1,1,0.53576696,1
1,1,0.5468686,1
1,1,0.5684476,1
1,1,0.56735146,1
1,1,0.5650298,1
1,1,0.5830445,1
1,1,0.56769615,1
1,1,0.6149462,1
1,1,0.59325325,1
1,1,0.5944061,1
1,1,0.6390438,1
1,1,0.66548544,1
1,1,0.65307647,1
1,1,0.64889073,1
1,1,0.64506483,1
1,1,0.61987925,1
1,1,0.64281654,1
1,1,0.6698468,1
1,1,0.6595462,1
1,1,0.649275,1
1,1,0.6572631,1
1,1,0.65832174,1
1,0,0.64255875,1
1,0,0.6425138,1
1,0,0.6165238,1
1,0,0.60283494,1
1,0,0.6189411,1
1,0,0.6331926,1
1,0,0.614969,1
1,0,0.5793874,1
1,0,0.6222178,1
1,0,0.6184947,1
1,0,0.6242838,1
1,0,0.6077048,1
1,0,0.5771187,1
1,0,0.5904943,1
1,0,0.5647676,1
1,0,0.48481926,0
1,0,0.4954065,0
1,0,0.4939458,0
1,0,0.48478338,0
1,0,0.4410128,0
1,0,0.44829804,0
1,0,0.4333363,0
1,0,0.447349,0
1,0,0.4390252,0
1,0,0.4700256,0
1,0,0.4498453,0
1,0,0.38163581,0
1,0,0.41907746,0
1,0,0.45143533,0
1,0,0.44507408,0
1,0,0.43175402,0
1,0,0.3966937,0
1,0,0.46329847,0
1,0,0.4354624,0
1,1,0.49225333,0
1,1,0.49886084,0
1,1,0.5302001,1
1,1,0.56473607,1
1,1,0.541644,1
1,1,0.49665573,0
1,1,0.527495,1
1,1,0.5427244,1
1,1,0.5227685,1
1,1,0.43469763,0
1,0,0.5689546,1
1,0,0.5554532,1
1,0,0.5637291,1
1,0,0.5241303,1
1,0,0.4710103,0
1,0,0.38873035,0
1,0,0.3990392,0
1,0,0.44179264,0
1,0,0.43229872,0
1,0,0.46093652,0
1,0,0.45851368,0
1,0,0.47029093,0
1,0,0.48932013,0
1,0,0.50041276,1
1,0,0.51629835,1
1,0,0.5305551,1
1,0,0.55218697,1
1,0,0.5612106,1
1,0,0.55034363,1
1,0,0.57227564,1
1,0,0.51782507,1
1,0,0.53721863,1
1,0,0.50951654,1
1,0,0.5285475,1
1,0,0.5422873,1
1,0,0.6013421,1
1,0,0.6186418,1
1,0,0.6062978,1
1,0,0.5597885,1
1,0,0.5993499,1
1,0,0.5773802,1
1,0,0.59721106,1
1,0,0.59422535,1
1,0,0.5968392,1
1,0,0.6388472,1
1,0,0.64685476,1
1,0,0.6253176,1
1,0,0.65072507,1
1,0,0.6976244,1
1,0,0.69632053,1
1,0,0.65580475,1
1,0,0.63194793,1
1,0,0.660565,1
1,0,0.6274958,1
1,0,0.61653906,1
1,0,0.5808309,1
1,0,0.60377735,1
1,0,0.54776967,1
1,0,0.54327667,1
1,0,0.48124662,0
1,0,0.48177764,0
1,0,0.46042112,0
1,0,0.4107358,0
1,0,0.38908648,0
1,0,0.3798064,0
1,0,0.3936766,0
1,0,0.38788196,0
1,0,0.4399149,0
1,0,0.5139207,1
1,0,0.44645762,0
1,0,0.46620834,0
1,0,0.46960634,0
1,0,0.5261148,1
1,0,0.5116539,1
1,0,0.54855883,1
1,0,0.51511514,1
1,0,0.5075962,1
1,0,0.47821262,0
1,0,0.5237541,1
1,0,0.5561453,1
1,0,0.52084535,1
1,0,0.5260623,1
1,0,0.50818115,1
1,0,0.53139913,1
1,0,0.5158502,1
1,0,0.5139252,1
1,0,0.5241757,1
1,0,0.54145294,1
1,0,0.53419733,1
1,0,0.53316665,1
1,0,0.5117019,1
1,0,0.5252392,1
1,0,0.45311794,0
1,0,0.40881914,0
1,0,0.43406186,0
1,0,0.42115226,0
1,0,0.47715792,0
1,0,0.4426201,0
1,0,0.46849048,0
1,0,0.44235522,0
1,0,0.4673911,0
1,0,0.44423667,0
1,0,0.36092427,0
1,0,0.36517534,0
1,0,0.3569173,0
1,0,0.35053256,0
1,0,0.360107,0
1,0,0.34740904,0
1,0,0.3484857,0
1,0,0.34174368,0
1,0,0.3475507,0
1,0,0.3486558,0
1,0,0.36316767,0
1,0,0.36943266,0
1,0,0.41570714,0
1,0,0.3832462,0
1,0,0.32737583,0
1,0,0.32166907,0
1,0,0.32682046,0
1,0,0.34697244,0
1,0,0.3322564,0
1,0,0.3243653,0
1,0,0.34554198,0
1,0,0.35727462,0
1,0,0.35297164,0
1,0,0.4232135,0
1,0,0.47220203,0
1,0,0.44752285,0
1,0,0.4301056,0
1,0,0.51400954,1
1,0,0.5599321,1
1,0,0.56594133,1
1,0,0.6138448,1
1,0,0.6158676,1
1,0,0.6537222,1
1,0,0.6229568,1
1,0,0.6474954,1
1,0,0.6439761,1
1,0,0.60328233,1
1,0,0.5759607,1
1,0,0.5629185,1
1,0,0.5783657,1
