Fold,Label,Prob,Preds
1,1,0.6392885,1
1,1,0.58012795,1
1,1,0.63593006,1
1,1,0.63356566,1
1,1,0.6572165,1
1,1,0.6551595,1
1,1,0.6524706,1
1,1,0.7625478,1
1,1,0.647308,1
1,1,0.52374685,1
1,1,0.5790817,1
1,1,0.52055246,1
1,1,0.5191583,1
1,1,0.5847758,1
1,1,0.5444625,1
1,1,0.57738805,1
1,1,0.575599,1
1,1,0.48836547,0
1,1,0.53549325,1
1,1,0.5472239,1
1,1,0.5441624,1
1,1,0.5221444,1
1,1,0.54873127,1
1,1,0.5321414,1
1,1,0.545636,1
1,1,0.5355807,1
1,1,0.6189302,1
1,1,0.53684014,1
1,1,0.60147434,1
1,1,0.48209658,0
1,1,0.45993686,0
1,1,0.43897617,0
1,1,0.45449618,0
1,1,0.48394364,0
1,1,0.41169626,0
1,1,0.49720696,0
1,1,0.4643229,0
1,1,0.4467916,0
1,1,0.510449,1
1,1,0.47884074,0
1,1,0.47382656,0
1,1,0.48750368,0
1,1,0.53037477,1
1,1,0.59556407,1
1,1,0.5880467,1
1,1,0.5327136,1
1,1,0.5021105,1
1,1,0.5486816,1
1,1,0.46326488,0
1,1,0.44126973,0
1,1,0.43911743,0
1,1,0.4252332,0
1,1,0.40921563,0
1,1,0.436207,0
1,1,0.47484776,0
1,1,0.46558964,0
1,1,0.46355024,0
1,1,0.4911714,0
1,1,0.50688565,1
1,1,0.48651424,0
1,1,0.4498779,0
1,1,0.5880212,1
1,1,0.49383533,0
1,1,0.45097083,0
1,1,0.48217443,0
1,1,0.55921763,1
1,1,0.4969901,0
1,1,0.5518161,1
1,1,0.54533434,1
1,1,0.5572678,1
1,1,0.54826784,1
1,1,0.61680245,1
1,1,0.56580836,1
1,1,0.50735855,1
1,1,0.5251372,1
1,1,0.55272,1
1,1,0.65138847,1
1,1,0.55888367,1
1,1,0.5362092,1
1,1,0.5259252,1
1,1,0.58530885,1
1,1,0.5875821,1
1,1,0.5431894,1
1,1,0.5341861,1
1,1,0.5572814,1
1,1,0.5803179,1
1,1,0.56800425,1
1,1,0.535763,1
1,1,0.6164439,1
1,1,0.6372825,1
1,1,0.47310847,0
1,1,0.46934932,0
1,1,0.43429264,0
1,1,0.45899156,0
1,1,0.48927155,0
1,1,0.42070812,0
1,1,0.50230676,1
1,1,0.48602954,0
1,1,0.45451912,0
1,1,0.5148548,1
1,1,0.48036647,0
1,1,0.47829536,0
1,1,0.4857177,0
1,1,0.54387176,1
1,1,0.5911813,1
1,1,0.5856937,1
1,1,0.53467655,1
1,1,0.5014823,1
1,1,0.5475815,1
1,1,0.4444165,0
1,1,0.442488,0
1,1,0.43331414,0
1,1,0.43849838,0
1,1,0.40795332,0
1,1,0.43310928,0
1,1,0.47131956,0
1,1,0.47212294,0
1,1,0.4576274,0
1,1,0.50540435,1
1,1,0.48575512,0
1,1,0.48376524,0
1,1,0.44446072,0
1,1,0.5804136,1
1,1,0.48646036,0
1,1,0.44414768,0
1,1,0.47717026,0
1,1,0.55550444,1
1,1,0.4873484,0
1,1,0.52686095,1
1,1,0.54278004,1
1,1,0.5474083,1
1,1,0.5337524,1
1,1,0.5885356,1
1,1,0.55419415,1
1,1,0.49879014,0
1,1,0.49647155,0
1,1,0.5399754,1
1,1,0.6450356,1
1,1,0.5396674,1
1,1,0.49408415,0
1,1,0.5115077,1
1,1,0.56648093,1
1,1,0.57991046,1
1,1,0.5114308,1
1,1,0.49868587,0
1,1,0.5214663,1
1,1,0.5244582,1
1,1,0.50240433,1
1,1,0.46852517,0
1,1,0.5605575,1
1,1,0.4394209,0
1,1,0.5221873,1
1,1,0.45159024,0
1,1,0.46426263,0
1,1,0.426389,0
1,1,0.47349536,0
1,1,0.48186073,0
1,1,0.5261875,1
1,1,0.50333256,1
1,1,0.494687,0
1,1,0.5125716,1
1,1,0.50041133,1
1,1,0.5020574,1
1,1,0.53829336,1
1,1,0.4864159,0
