Fold,Label,Prob,Preds
1,0,0.5207085,1
1,0,0.5214024,1
1,0,0.52134275,1
1,0,0.51985353,1
1,0,0.52177197,1
1,0,0.52126706,1
1,0,0.5205441,1
1,0,0.5208211,1
1,0,0.52021,1
1,0,0.5208148,1
1,0,0.52041054,1
1,0,0.520081,1
1,0,0.5212005,1
1,0,0.52115196,1
1,0,0.5206588,1
1,0,0.52030265,1
1,0,0.5213139,1
1,0,0.52118134,1
1,0,0.5195107,1
1,0,0.5205743,1
1,0,0.52123123,1
1,0,0.5202927,1
1,0,0.5212974,1
1,0,0.5200602,1
1,0,0.5203249,1
1,0,0.52058226,1
1,0,0.52058464,1
1,0,0.521554,1
1,0,0.5207113,1
1,0,0.5205998,1
1,0,0.52226645,1
1,0,0.520613,1
1,0,0.52021486,1
1,0,0.5213425,1
1,0,0.5210257,1
1,0,0.5216389,1
1,0,0.5219267,1
1,0,0.5201047,1
1,0,0.52192813,1
1,0,0.52057564,1
1,0,0.52223235,1
1,0,0.52138716,1
1,0,0.5217066,1
1,0,0.5218242,1
1,0,0.52205426,1
1,0,0.5207981,1
1,0,0.52126914,1
1,0,0.5216186,1
1,0,0.521309,1
1,0,0.52151746,1
1,0,0.5211411,1
1,0,0.52136594,1
1,0,0.5214386,1
1,0,0.52006793,1
1,0,0.521909,1
1,0,0.52042496,1
1,0,0.5219637,1
1,0,0.521636,1
1,0,0.52129453,1
1,0,0.5208397,1
1,0,0.5219781,1
1,0,0.52124465,1
1,0,0.52093375,1
1,0,0.52155864,1
1,0,0.52119076,1
1,0,0.52175856,1
1,0,0.5203171,1
1,0,0.5218293,1
1,0,0.52140033,1
1,0,0.5211364,1
1,0,0.5214167,1
1,0,0.520702,1
1,0,0.5204126,1
1,0,0.52076745,1
1,0,0.52028644,1
1,0,0.5201794,1
1,0,0.5208751,1
1,0,0.52069217,1
1,0,0.52034044,1
1,0,0.5207451,1
1,0,0.52113545,1
1,0,0.51996654,1
1,0,0.5202299,1
1,0,0.5201534,1
1,0,0.520853,1
1,0,0.52043784,1
1,0,0.52097654,1
1,0,0.5210684,1
1,0,0.52113765,1
1,0,0.5203842,1
1,0,0.52139133,1
1,0,0.5208769,1
1,0,0.5205507,1
1,0,0.52072614,1
1,0,0.5213243,1
1,0,0.5212094,1
1,0,0.52009416,1
1,0,0.5215122,1
1,0,0.5196989,1
1,0,0.5203916,1
1,0,0.5202112,1
1,0,0.52040166,1
1,0,0.5215272,1
1,0,0.5205459,1
1,0,0.5215247,1
1,0,0.52141774,1
1,0,0.51993287,1
1,0,0.52063084,1
1,0,0.52230597,1
1,0,0.5214679,1
1,0,0.52057576,1
1,0,0.5215109,1
1,0,0.5212981,1
1,0,0.52003306,1
1,0,0.52070636,1
1,0,0.52080184,1
1,0,0.5204388,1
1,0,0.5213099,1
1,0,0.52049154,1
1,0,0.5215431,1
1,0,0.52153546,1
1,0,0.52027285,1
1,0,0.520591,1
1,0,0.5204374,1
1,0,0.5213346,1
1,0,0.5202391,1
1,0,0.520272,1
1,0,0.521028,1
1,0,0.52144915,1
1,0,0.5219817,1
1,0,0.5210151,1
1,0,0.52124214,1
1,0,0.5202565,1
1,0,0.5205229,1
1,0,0.5208971,1
1,0,0.5211546,1
1,0,0.5211938,1
1,0,0.5200038,1
1,0,0.5209492,1
1,0,0.5216163,1
1,0,0.5202279,1
1,0,0.5202719,1
1,0,0.52065855,1
1,0,0.5211064,1
1,0,0.52034104,1
1,0,0.5204438,1
1,0,0.5202386,1
1,0,0.5205452,1
1,0,0.5199535,1
1,0,0.52032506,1
1,0,0.5203386,1
1,0,0.52118194,1
1,0,0.5208122,1
1,0,0.5201788,1
1,0,0.52010584,1
1,0,0.5198201,1
1,0,0.52119124,1
1,0,0.5199811,1
1,0,0.5202891,1
1,0,0.5209103,1
1,0,0.5210061,1
1,0,0.52012485,1
1,0,0.5205348,1
1,0,0.5202508,1
1,0,0.5197808,1
1,0,0.52100784,1
1,0,0.5211947,1
1,0,0.5201554,1
1,1,0.52072865,1
1,1,0.521305,1
1,1,0.5208217,1
1,1,0.52131784,1
1,1,0.52034295,1
1,1,0.520558,1
1,1,0.5199001,1
1,1,0.5206691,1
1,1,0.5203814,1
1,1,0.5198208,1
1,1,0.5203634,1
1,1,0.5203276,1
1,1,0.5200507,1
1,1,0.5206171,1
1,1,0.52034426,1
1,0,0.5213935,1
1,0,0.52050924,1
1,0,0.5205673,1
1,0,0.52056646,1
1,0,0.5201325,1
1,0,0.5212063,1
1,0,0.521634,1
1,0,0.52066016,1
1,0,0.52067554,1
1,0,0.52068555,1
1,0,0.52031493,1
1,0,0.52028227,1
1,0,0.521547,1
1,0,0.5203683,1
1,0,0.5215941,1
1,0,0.52046746,1
1,0,0.52174354,1
1,0,0.52089685,1
1,0,0.5204409,1
1,0,0.51989746,1
1,0,0.5209452,1
1,0,0.52039254,1
1,0,0.52039057,1
1,0,0.52010405,1
1,0,0.51997244,1
1,0,0.52103704,1
1,0,0.521708,1
1,0,0.52065027,1
1,0,0.52058816,1
1,0,0.5213662,1
1,0,0.52060217,1
1,0,0.5207831,1
1,0,0.51963365,1
1,0,0.5203099,1
1,0,0.52026474,1
1,0,0.5198506,1
1,0,0.52030987,1
1,0,0.52014923,1
1,0,0.52142,1
1,0,0.52089024,1
1,0,0.52114886,1
1,0,0.51993644,1
1,0,0.5214747,1
1,0,0.5199201,1
1,0,0.52117306,1
1,0,0.52012783,1
1,0,0.5204678,1
1,0,0.5208293,1
1,0,0.5201412,1
1,0,0.5203644,1
1,0,0.520988,1
1,0,0.521326,1
1,0,0.5204712,1
1,0,0.5207018,1
1,1,0.5198128,1
1,1,0.5210315,1
1,1,0.52164584,1
1,1,0.5201171,1
1,1,0.52092046,1
1,1,0.52085143,1
1,1,0.51997745,1
1,1,0.5215242,1
1,1,0.52165574,1
1,1,0.52060026,1
1,1,0.5204954,1
1,1,0.5210446,1
1,1,0.5207028,1
1,1,0.5206928,1
1,1,0.5199656,1
1,0,0.5208782,1
1,0,0.52024984,1
1,0,0.5210108,1
1,0,0.5206716,1
1,0,0.5209707,1
1,0,0.5200681,1
1,0,0.52115583,1
1,0,0.52064365,1
1,0,0.52030575,1
1,0,0.5205677,1
1,0,0.52098906,1
1,0,0.5209064,1
1,0,0.51985157,1
1,0,0.52125597,1
1,0,0.51944697,1
1,0,0.52021325,1
1,0,0.5201147,1
1,0,0.5202942,1
1,0,0.52145517,1
1,0,0.5204058,1
1,0,0.5213369,1
1,0,0.52129185,1
1,0,0.51971304,1
1,0,0.5204856,1
1,0,0.5220129,1
1,0,0.52130103,1
1,0,0.5203018,1
1,0,0.5212834,1
1,0,0.52105033,1
1,0,0.519746,1
1,0,0.5202968,1
1,0,0.5203519,1
1,0,0.51998675,1
1,0,0.5209321,1
1,0,0.5201382,1
1,0,0.5211878,1
1,0,0.5212141,1
1,0,0.519935,1
1,0,0.5202555,1
1,0,0.5201438,1
1,0,0.5210342,1
1,0,0.51996183,1
1,0,0.519975,1
1,0,0.5206181,1
1,0,0.5211504,1
1,0,0.52160513,1
1,0,0.5206833,1
1,0,0.52093786,1
1,0,0.519887,1
1,0,0.52019477,1
1,0,0.52060866,1
1,0,0.5209055,1
1,0,0.5209048,1
1,0,0.51970243,1
1,0,0.5206866,1
1,0,0.5213278,1
1,0,0.5198929,1
1,0,0.5199534,1
1,0,0.52029896,1
1,0,0.52079827,1
1,0,0.5199537,1
1,0,0.52006847,1
1,0,0.5198021,1
1,0,0.5203515,1
1,0,0.51971775,1
1,0,0.5201406,1
1,0,0.52014303,1
1,0,0.5209672,1
1,0,0.5205722,1
1,0,0.51988065,1
1,0,0.5198484,1
1,0,0.5196324,1
1,0,0.5209949,1
1,0,0.5197505,1
1,0,0.52014506,1
1,0,0.52070236,1
1,0,0.5208548,1
1,0,0.5199936,1
1,0,0.5203135,1
1,0,0.5200571,1
1,0,0.51960033,1
1,0,0.52085215,1
1,0,0.5209175,1
1,0,0.5199664,1
1,1,0.5204589,1
1,1,0.5209554,1
1,1,0.52046514,1
