Fold,Label,Prob,Preds
1,0,0.56572473,1
1,0,0.16357599,0
1,0,0.12225821,0
1,0,0.38521397,0
1,0,0.51535696,1
1,0,0.26404724,0
1,0,0.38808933,0
1,0,0.6407447,1
1,0,0.5383071,1
1,0,0.42318952,0
1,0,0.5017217,1
1,0,0.5074125,1
1,1,0.44729733,0
1,1,0.5230532,1
1,1,0.35090056,0
1,1,0.18375862,0
1,1,0.19067556,0
1,1,0.3477042,0
1,1,0.089206666,0
1,1,0.049201433,0
1,1,0.8747933,1
1,1,0.5149203,1
1,1,0.84559083,1
1,1,0.64924103,1
1,1,0.8662118,1
1,1,0.7749867,1
1,1,0.75665057,1
1,1,0.8712476,1
1,1,0.7929741,1
1,1,0.85170305,1
1,1,0.82627094,1
1,1,0.76111823,1
1,1,0.73896563,1
1,0,0.70855373,1
1,0,0.75905937,1
1,0,0.7876993,1
1,0,0.7538197,1
1,0,0.70002466,1
1,0,0.7212637,1
1,0,0.8392756,1
1,0,0.69105446,1
1,0,0.78497356,1
1,0,0.8556329,1
1,0,0.83289355,1
1,1,0.8019212,1
1,1,0.8478312,1
1,1,0.7579503,1
1,1,0.79014915,1
1,1,0.76678586,1
1,0,0.79563636,1
1,0,0.7764239,1
1,0,0.8179996,1
1,0,0.8133281,1
1,0,0.8155438,1
1,0,0.8143728,1
1,0,0.8084017,1
1,0,0.80375874,1
1,0,0.88258624,1
1,0,0.7608911,1
1,0,0.83827543,1
1,0,0.80892944,1
1,0,0.85137767,1
1,0,0.80501324,1
1,0,0.68823236,1
1,0,0.69297445,1
1,0,0.6992524,1
1,0,0.659651,1
1,0,0.7767754,1
1,0,0.7076349,1
1,0,0.7203584,1
1,0,0.7975495,1
1,0,0.69512933,1
1,1,0.66881454,1
1,1,0.7544711,1
1,1,0.6652445,1
1,1,0.78860277,1
1,1,0.79957575,1
1,1,0.8483773,1
1,1,0.82838833,1
1,1,0.81849295,1
1,1,0.80517864,1
1,0,0.68134093,1
1,0,0.8324041,1
1,0,0.7883907,1
1,0,0.84648186,1
1,0,0.8418502,1
1,0,0.79916453,1
1,0,0.82444215,1
1,0,0.71068645,1
1,0,0.7191018,1
1,0,0.6613165,1
1,0,0.6608309,1
1,0,0.77245265,1
1,0,0.8247384,1
1,0,0.75458115,1
1,0,0.8076753,1
1,0,0.81193286,1
1,0,0.75843567,1
1,0,0.7156412,1
1,0,0.8030634,1
1,0,0.8363775,1
1,0,0.8200094,1
1,0,0.86096454,1
1,0,0.8215013,1
1,0,0.8644469,1
1,0,0.88748616,1
1,0,0.84190816,1
1,0,0.91192424,1
1,0,0.8584492,1
1,0,0.8691847,1
1,0,0.86561954,1
1,0,0.8002395,1
1,0,0.83198607,1
1,0,0.84277546,1
1,0,0.89836335,1
1,0,0.9001169,1
1,0,0.93188685,1
1,0,0.88374794,1
1,0,0.881837,1
1,1,0.8800743,1
1,1,0.8253068,1
1,1,0.8547836,1
1,1,0.8418942,1
1,1,0.7725847,1
1,1,0.77570707,1
1,1,0.8337233,1
1,1,0.74892294,1
1,1,0.66936135,1
1,0,0.7248768,1
1,0,0.8184035,1
1,0,0.8068621,1
1,0,0.87774885,1
1,0,0.81273985,1
1,0,0.85748357,1
1,0,0.89370525,1
1,0,0.81194663,1
1,0,0.7503839,1
1,0,0.76156235,1
1,0,0.83221805,1
1,0,0.7361368,1
1,0,0.8933893,1
1,0,0.78271866,1
1,0,0.8545702,1
1,0,0.7215038,1
1,0,0.80609417,1
1,0,0.57816625,1
1,0,0.82527953,1
1,0,0.665947,1
1,0,0.8343156,1
1,0,0.79541045,1
1,0,0.87700176,1
1,0,0.79921037,1
1,0,0.86557853,1
1,0,0.7944848,1
1,0,0.8521173,1
1,1,0.7552618,1
1,1,0.81402946,1
1,1,0.7840031,1
1,1,0.7525536,1
1,1,0.8474076,1
1,1,0.80521846,1
1,1,0.87438726,1
1,1,0.77502185,1
1,1,0.87393767,1
1,0,0.7919965,1
1,0,0.8504852,1
1,0,0.8482605,1
1,0,0.77979183,1
1,0,0.8120245,1
1,0,0.7743706,1
1,0,0.81347847,1
1,1,0.6776597,1
1,1,0.80080605,1
1,1,0.8396418,1
1,1,0.79946095,1
1,1,0.6787271,1
1,1,0.8800642,1
1,1,0.78806114,1
1,1,0.7723646,1
1,1,0.80246055,1
1,1,0.80726534,1
1,1,0.71880466,1
1,1,0.8124775,1
1,1,0.76433927,1
1,1,0.82120174,1
1,1,0.792043,1
1,1,0.76123893,1
1,1,0.8320972,1
1,1,0.8137328,1
1,1,0.79771703,1
1,1,0.8226487,1
1,1,0.66851586,1
1,0,0.7638197,1
1,0,0.792803,1
1,0,0.7099758,1
1,0,0.73971426,1
1,0,0.78470415,1
1,0,0.7855133,1
1,0,0.7694381,1
1,0,0.7623996,1
1,0,0.7121017,1
1,0,0.8409127,1
1,0,0.6598559,1
1,0,0.78047746,1
1,0,0.72047645,1
1,0,0.83141714,1
1,0,0.6968356,1
1,1,0.7965219,1
1,1,0.74459374,1
1,1,0.70983857,1
1,1,0.602022,1
1,1,0.6516805,1
1,1,0.5572211,1
1,1,0.63515,1
1,1,0.7274729,1
1,1,0.7177364,1
1,1,0.7186945,1
1,1,0.7443362,1
1,1,0.8327941,1
1,1,0.68788254,1
1,1,0.83002985,1
1,1,0.6896646,1
1,1,0.83655703,1
1,1,0.83822936,1
1,0,0.8265864,1
1,0,0.827969,1
1,0,0.78635246,1
1,0,0.7604986,1
1,0,0.5556196,1
1,0,0.7952056,1
1,0,0.7927102,1
1,0,0.7252956,1
1,0,0.6874699,1
1,0,0.70201635,1
1,0,0.828125,1
1,1,0.8390234,1
1,1,0.7872676,1
1,1,0.8258583,1
1,1,0.89071435,1
1,1,0.9011337,1
1,1,0.9062428,1
1,1,0.8368658,1
1,1,0.8331084,1
1,1,0.82662934,1
1,1,0.8032088,1
1,1,0.830414,1
1,1,0.8820704,1
1,1,0.7753824,1
1,1,0.8645546,1
1,1,0.7818658,1
1,1,0.89414555,1
1,1,0.72845894,1
1,1,0.8257461,1
1,1,0.7654685,1
1,1,0.8791703,1
1,1,0.78956354,1
1,1,0.8296968,1
1,1,0.775263,1
1,1,0.82454187,1
1,1,0.7860546,1
1,1,0.63905853,1
1,1,0.8303684,1
1,1,0.8531221,1
1,1,0.8059456,1
1,1,0.8309821,1
1,1,0.8298676,1
1,1,0.80282414,1
1,1,0.77234817,1
1,1,0.7971,1
1,1,0.774787,1
1,1,0.7723143,1
1,1,0.8341665,1
1,1,0.8178614,1
1,1,0.7484937,1
1,1,0.7671107,1
1,1,0.7604374,1
1,1,0.7083521,1
1,1,0.7970985,1
1,1,0.68284947,1
1,1,0.78129184,1
1,1,0.82288855,1
1,1,0.8267599,1
1,1,0.6575791,1
1,1,0.81488913,1
1,1,0.7185277,1
1,1,0.75907284,1
1,1,0.8440128,1
1,1,0.7617981,1
1,1,0.7869579,1
1,0,0.70113385,1
1,0,0.7267888,1
1,0,0.73542917,1
1,0,0.6936306,1
1,0,0.66766065,1
1,0,0.6633574,1
1,0,0.5139041,1
1,0,0.579585,1
1,0,0.63948363,1
1,0,0.5479026,1
1,0,0.4021744,0
1,0,0.6526728,1
1,0,0.6710766,1
1,0,0.6744845,1
1,0,0.66269404,1
1,0,0.6879184,1
1,0,0.7187632,1
1,0,0.67049104,1
1,0,0.6884383,1
1,0,0.6975171,1
1,0,0.639441,1
1,0,0.6882396,1
1,0,0.7040688,1
1,0,0.64764994,1
1,0,0.7754527,1
1,0,0.6533267,1
1,0,0.8046165,1
1,0,0.6091864,1
1,0,0.7439947,1
1,0,0.7247408,1
1,0,0.7146182,1
1,1,0.74643177,1
1,1,0.7074968,1
1,1,0.7318656,1
1,1,0.73556966,1
1,1,0.65903574,1
1,1,0.724777,1
1,1,0.7411226,1
1,1,0.7318199,1
1,1,0.7085138,1
1,1,0.8724741,1
1,1,0.8192838,1
1,1,0.66313267,1
1,0,0.74536145,1
1,0,0.5389441,1
1,0,0.6597492,1
1,0,0.5947161,1
1,0,0.715954,1
1,0,0.4353752,0
1,0,0.62592643,1
1,0,0.6522642,1
1,0,0.5936826,1
1,0,0.3915936,0
1,0,0.5675869,1
1,0,0.5411382,1
1,1,0.6498784,1
1,1,0.6585481,1
1,1,0.7130382,1
1,1,0.7695948,1
1,1,0.55820125,1
1,0,0.7206413,1
1,0,0.7275872,1
1,0,0.56104094,1
1,0,0.6641597,1
1,0,0.7238277,1
1,0,0.61554056,1
1,0,0.64073414,1
1,0,0.7521771,1
1,0,0.6303863,1
1,0,0.6536967,1
1,0,0.7544115,1
1,0,0.6411757,1
1,0,0.7277102,1
1,0,0.6425087,1
1,0,0.6689781,1
1,0,0.7175028,1
1,0,0.75107515,1
1,0,0.7323176,1
1,0,0.7455963,1
1,0,0.7549025,1
1,0,0.6975572,1
1,0,0.6106895,1
1,0,0.7529826,1
1,0,0.53481805,1
1,0,0.5682924,1
1,0,0.6777538,1
1,0,0.57576513,1
1,0,0.55918854,1
1,0,0.40956327,0
1,0,0.5454287,1
1,0,0.5881144,1
1,0,0.48844483,0
1,0,0.47997415,0
1,0,0.6896722,1
1,0,0.67422295,1
1,0,0.7332012,1
1,0,0.7564823,1
1,0,0.78472143,1
1,0,0.7616989,1
1,0,0.8607387,1
1,0,0.8264659,1
