Fold,Label,Prob,Preds
1,1,0.5651077,1
1,1,0.5487619,1
1,1,0.50073147,1
1,1,0.52941704,1
1,1,0.55682933,1
1,1,0.519967,1
1,1,0.53254163,1
1,1,0.5237217,1
1,1,0.5542865,1
1,1,0.5340473,1
1,1,0.53951085,1
1,1,0.54057175,1
1,1,0.539664,1
1,1,0.53271586,1
1,1,0.5555479,1
1,1,0.53306496,1
1,1,0.5275265,1
1,1,0.542234,1
1,1,0.5546411,1
1,1,0.5140012,1
1,1,0.53231794,1
1,1,0.47091678,0
1,1,0.47769496,0
1,1,0.47614762,0
1,1,0.4609846,0
1,1,0.5133727,1
1,1,0.5222217,1
1,1,0.48523238,0
1,1,0.512043,1
1,1,0.55700743,1
1,1,0.48825383,0
1,0,0.51647973,1
1,0,0.5625181,1
1,0,0.55573547,1
1,0,0.5378199,1
1,0,0.5326959,1
1,0,0.5560812,1
1,0,0.5371459,1
1,0,0.52539736,1
1,0,0.5597911,1
1,0,0.5522028,1
1,0,0.537542,1
1,0,0.5401189,1
1,0,0.5118515,1
1,0,0.5421379,1
1,0,0.49206808,0
1,1,0.5453359,1
1,1,0.5535406,1
1,1,0.5162686,1
1,1,0.5661019,1
1,1,0.51966256,1
1,1,0.5549457,1
1,1,0.5353334,1
1,1,0.53959596,1
1,1,0.5440321,1
1,1,0.560014,1
1,1,0.54658794,1
1,1,0.5401353,1
1,1,0.53771394,1
1,1,0.5557217,1
1,1,0.5283589,1
1,0,0.5171796,1
1,0,0.5527867,1
1,0,0.55181617,1
1,0,0.5451999,1
1,0,0.5511367,1
1,0,0.52230126,1
1,0,0.52370733,1
1,0,0.53028136,1
1,0,0.5349873,1
1,0,0.5230387,1
1,0,0.55110365,1
1,0,0.5327964,1
1,0,0.58888686,1
1,0,0.533414,1
1,0,0.52330196,1
1,1,0.56972474,1
1,1,0.5412443,1
1,1,0.53985053,1
1,1,0.5481412,1
1,1,0.53652596,1
1,1,0.5334383,1
1,1,0.5117849,1
1,1,0.50340706,1
1,1,0.57333857,1
1,1,0.5109702,1
1,1,0.5750815,1
1,1,0.55936724,1
1,1,0.5326009,1
1,1,0.5268728,1
1,1,0.5278189,1
1,0,0.50541323,1
1,0,0.53018034,1
1,0,0.5413728,1
1,0,0.52587986,1
1,0,0.52323043,1
1,0,0.49111387,0
1,0,0.5255357,1
1,0,0.53980213,1
1,0,0.48053968,0
