Fold,Label,Prob,Preds
1,1,0.66974056,1
1,1,0.7057,1
1,1,0.57180345,1
1,1,0.6506533,1
1,1,0.5372921,1
1,1,0.83158916,1
1,1,0.7338894,1
1,1,0.7348386,1
1,1,0.77383244,1
1,1,0.42203346,0
1,1,0.43837804,0
1,1,0.44855565,0
1,1,0.44817042,0
1,1,0.49461836,0
1,1,0.53868955,1
1,1,0.39725858,0
1,1,0.42575398,0
1,1,0.3985457,0
1,1,0.42843217,0
1,1,0.43779668,0
1,1,0.4439302,0
1,1,0.49011892,0
1,1,0.4244905,0
1,1,0.43783316,0
1,1,0.38904446,0
1,1,0.40657556,0
1,1,0.33801568,0
1,1,0.35597226,0
1,1,0.35280603,0
1,1,0.37294978,0
1,1,0.41354215,0
1,1,0.4011208,0
1,1,0.38101375,0
1,1,0.3311734,0
1,1,0.310333,0
1,1,0.39613754,0
1,1,0.36942813,0
1,1,0.34609765,0
1,1,0.41655073,0
1,1,0.42213452,0
1,1,0.4170949,0
1,1,0.33727995,0
1,1,0.46168143,0
1,1,0.3959522,0
1,1,0.40502897,0
1,1,0.44039592,0
1,1,0.48259473,0
1,1,0.5309666,1
1,1,0.38708857,0
1,1,0.42941844,0
1,1,0.44992954,0
1,1,0.473318,0
1,1,0.50379837,1
1,1,0.51586246,1
1,1,0.4808762,0
1,1,0.45738107,0
1,1,0.3944981,0
1,1,0.4221101,0
1,1,0.4397669,0
1,1,0.41762403,0
1,1,0.49904305,0
1,1,0.49981746,0
1,1,0.3491003,0
1,1,0.30319947,0
1,1,0.28531444,0
1,1,0.3464818,0
1,1,0.33124328,0
1,1,0.41280472,0
1,1,0.41862586,0
1,1,0.4108565,0
1,1,0.36836624,0
1,1,0.33675843,0
1,1,0.37270507,0
1,1,0.33002076,0
1,1,0.37067723,0
1,1,0.42756113,0
1,1,0.6091912,1
1,1,0.5053533,1
1,1,0.49910176,0
1,1,0.46340117,0
1,1,0.5455856,1
1,1,0.55088633,1
1,1,0.5501453,1
1,1,0.5108415,1
1,1,0.5050266,1
1,1,0.5217852,1
1,1,0.450356,0
1,1,0.47751155,0
1,1,0.41826594,0
1,1,0.41573536,0
1,1,0.36938563,0
1,1,0.3794043,0
1,1,0.42074972,0
1,1,0.34016877,0
1,1,0.32704353,0
1,1,0.295382,0
1,1,0.44468623,0
1,1,0.37139633,0
1,1,0.361581,0
1,1,0.54726154,1
1,1,0.54071456,1
1,1,0.4800708,0
1,1,0.47067124,0
1,1,0.60073715,1
1,1,0.5481201,1
1,1,0.5505804,1
1,1,0.48152223,0
1,1,0.56582296,1
1,1,0.5513762,1
1,1,0.4081058,0
1,1,0.43113133,0
1,1,0.4312443,0
1,1,0.4764433,0
1,1,0.49207816,0
1,1,0.5021963,1
1,1,0.45681047,0
1,1,0.43472448,0
1,1,0.37862664,0
1,1,0.44111675,0
1,1,0.4324022,0
1,1,0.40397355,0
1,1,0.49829048,0
1,1,0.45597917,0
1,1,0.34115177,0
1,1,0.3289613,0
1,1,0.30636743,0
1,1,0.30318162,0
1,1,0.36342856,0
1,1,0.40741497,0
1,1,0.4066517,0
1,1,0.44940093,0
1,1,0.3674179,0
1,1,0.34641168,0
1,1,0.37643623,0
1,1,0.30965897,0
1,1,0.37652746,0
1,1,0.3807385,0
1,1,0.62055814,1
1,1,0.50338954,1
1,1,0.48793897,0
1,1,0.4583114,0
1,1,0.5196567,1
1,1,0.45781836,0
1,1,0.51021844,1
1,1,0.43616912,0
1,1,0.44990635,0
1,1,0.4570288,0
1,1,0.3919106,0
1,1,0.38421285,0
1,1,0.35637048,0
1,1,0.38266537,0
1,1,0.34961236,0
1,1,0.39626798,0
1,1,0.32841185,0
1,1,0.33985856,0
1,1,0.29785734,0
1,1,0.2994982,0
1,1,0.36105296,0
1,1,0.34239802,0
1,1,0.34287775,0
1,1,0.37567186,0
1,1,0.33130503,0
1,1,0.33264765,0
1,1,0.34982297,0
1,1,0.4249465,0
1,1,0.45399538,0
1,1,0.46437895,0
1,1,0.52417904,1
1,1,0.46401462,0
1,1,0.4913789,0
1,1,0.49184173,0
1,1,0.42199177,0
1,1,0.39750987,0
1,1,0.40250808,0
1,1,0.3773597,0
1,1,0.3391289,0
1,1,0.41689658,0
1,1,0.4274937,0
1,1,0.4056686,0
1,1,0.39693996,0
1,1,0.42211998,0
1,1,0.4316865,0
1,1,0.4645443,0
1,1,0.35404223,0
1,1,0.3910884,0
1,1,0.37285313,0
1,1,0.42177156,0
1,1,0.31377733,0
1,1,0.48290297,0
1,1,0.3991265,0
1,1,0.566602,1
1,1,0.49919558,0
1,1,0.5233973,1
1,1,0.47980875,0
1,1,0.58316875,1
1,1,0.5725436,1
1,1,0.6451063,1
1,1,0.5397674,1
1,1,0.54800946,1
1,1,0.5328209,1
1,1,0.5609635,1
1,1,0.5426935,1
1,1,0.56775445,1
1,1,0.50428784,1
1,1,0.47953627,0
1,1,0.49358645,0
1,1,0.5446578,1
1,1,0.5254235,1
1,1,0.4620686,0
1,1,0.47470492,0
1,1,0.40700698,0
1,1,0.44420573,0
1,1,0.36221656,0
1,1,0.41761965,0
1,1,0.36981112,0
1,1,0.39163083,0
1,1,0.4196654,0
1,1,0.38677916,0
1,1,0.38741714,0
1,1,0.40405318,0
1,1,0.4909867,0
1,1,0.46672848,0
1,1,0.42821264,0
1,1,0.3381101,0
1,1,0.3859785,0
1,1,0.3685239,0
1,1,0.3490577,0
1,1,0.42417637,0
1,1,0.49078345,0
1,1,0.47315928,0
1,1,0.42544344,0
1,1,0.41960248,0
1,1,0.44413012,0
1,1,0.45071417,0
1,1,0.43667474,0
1,1,0.5057007,1
1,1,0.4127425,0
1,1,0.36917695,0
1,1,0.37847272,0
1,1,0.3757053,0
1,1,0.3753465,0
1,1,0.3619146,0
1,1,0.35856882,0
1,1,0.39728233,0
1,1,0.3696839,0
1,1,0.40384334,0
1,1,0.48627877,0
1,1,0.48310497,0
1,1,0.43567988,0
1,1,0.45241946,0
1,1,0.42472592,0
1,1,0.42103598,0
1,1,0.3799415,0
1,1,0.392384,0
1,1,0.37180072,0
1,1,0.42203572,0
1,1,0.5538969,1
1,1,0.5149493,1
1,1,0.48598456,0
1,1,0.5508784,1
1,1,0.5527343,1
1,1,0.53397626,1
1,1,0.6301626,1
1,1,0.55563664,1
1,1,0.5712159,1
1,1,0.507868,1
1,1,0.50540924,1
1,1,0.44065616,0
1,1,0.4366754,0
1,1,0.5055836,1
1,1,0.52701867,1
1,1,0.4540545,0
1,1,0.51633275,1
1,1,0.5875896,1
1,1,0.5708477,1
1,1,0.51485175,1
1,1,0.5225891,1
1,1,0.49189565,0
1,1,0.55779815,1
1,1,0.5000841,1
1,1,0.4909616,0
1,1,0.38563117,0
1,1,0.47336766,0
1,1,0.8070975,1
1,1,0.7411692,1
1,1,0.7942853,1
1,1,0.8274701,1
1,1,0.8006339,1
1,1,0.8329592,1
1,1,0.6960106,1
1,1,0.8280264,1
1,1,0.7344151,1
1,1,0.796768,1
1,1,0.80538034,1
1,1,0.84450954,1
1,1,0.87341005,1
1,1,0.7644522,1
1,1,0.71624947,1
1,1,0.63923264,1
1,1,0.7416328,1
1,1,0.71917015,1
1,1,0.71191514,1
1,1,0.7939974,1
1,1,0.786542,1
1,1,0.7384137,1
1,1,0.8021974,1
1,1,0.7673239,1
1,0,0.66214275,1
1,0,0.7931547,1
1,0,0.6994816,1
1,0,0.74279433,1
1,0,0.68815976,1
1,0,0.7237135,1
1,0,0.6200142,1
1,0,0.74986404,1
1,0,0.6879887,1
1,0,0.76851124,1
1,0,0.6593843,1
1,0,0.60719174,1
1,0,0.6330121,1
1,0,0.6864369,1
1,0,0.6634996,1
1,0,0.5630894,1
1,1,0.62747,1
1,1,0.67435956,1
1,1,0.6978522,1
1,1,0.68415284,1
1,1,0.744372,1
1,1,0.77596027,1
1,1,0.7969476,1
1,1,0.7295229,1
1,1,0.71899015,1
1,1,0.6490413,1
1,0,0.68856883,1
1,0,0.75789994,1
1,0,0.6775891,1
1,0,0.6982893,1
1,0,0.7038154,1
1,0,0.7090071,1
1,0,0.7007938,1
1,0,0.7445677,1
1,0,0.76072073,1
1,0,0.7884329,1
1,0,0.6915253,1
1,0,0.7063228,1
1,0,0.6486143,1
1,0,0.70115787,1
1,0,0.67113715,1
1,0,0.6013675,1
1,0,0.48369014,0
1,0,0.5801828,1
1,0,0.5968068,1
1,0,0.5831839,1
1,0,0.5731666,1
1,0,0.67516917,1
1,0,0.5824733,1
1,0,0.5792032,1
1,0,0.5039556,1
1,0,0.5501554,1
1,0,0.57345074,1
1,0,0.59824157,1
1,0,0.64473677,1
1,0,0.6070692,1
1,0,0.650186,1
1,0,0.6060455,1
1,0,0.6620643,1
1,0,0.6355638,1
1,0,0.6801564,1
1,0,0.701415,1
1,0,0.66614234,1
1,0,0.6777872,1
1,0,0.6509972,1
1,0,0.6671996,1
1,0,0.66504765,1
1,0,0.64412177,1
1,0,0.63567734,1
1,0,0.5989995,1
1,0,0.5494342,1
1,0,0.52831304,1
1,0,0.43920994,0
1,0,0.43975487,0
1,0,0.42822242,0
1,0,0.44414297,0
1,0,0.4317875,0
1,0,0.39238647,0
1,0,0.42153352,0
1,0,0.3863707,0
1,0,0.35349336,0
1,0,0.44804087,0
1,0,0.45507243,0
1,0,0.37813488,0
1,0,0.344399,0
1,0,0.39345515,0
1,0,0.35817164,0
1,0,0.40132484,0
1,0,0.37679684,0
1,0,0.42158943,0
1,0,0.39961126,0
1,0,0.43939668,0
1,0,0.4019372,0
1,0,0.39479744,0
1,0,0.3490087,0
1,0,0.31673235,0
1,0,0.41281128,0
1,0,0.38335416,0
1,0,0.34555516,0
1,0,0.42360425,0
1,0,0.43255788,0
1,0,0.42710295,0
1,0,0.34036854,0
1,0,0.46010512,0
1,0,0.39092895,0
1,0,0.41228437,0
1,0,0.3715431,0
1,0,0.46630573,0
1,0,0.49112308,0
1,0,0.5177368,1
1,0,0.542667,1
1,0,0.48942977,0
1,0,0.5290367,1
1,0,0.55135036,1
1,0,0.41182357,0
1,0,0.34174192,0
1,0,0.34880748,0
1,0,0.3686008,0
1,0,0.39589828,0
1,0,0.37836948,0
1,0,0.43637803,0
1,0,0.4777777,0
1,0,0.5326635,1
1,0,0.39480206,0
1,0,0.4357973,0
1,0,0.441435,0
1,0,0.46858758,0
1,0,0.41191462,0
1,0,0.43305716,0
1,0,0.44767392,0
1,0,0.41768774,0
1,0,0.5036962,1
1,0,0.5035135,1
1,0,0.42132786,0
1,0,0.40258506,0
1,0,0.42697567,0
1,0,0.44240952,0
1,0,0.4208992,0
1,0,0.48549828,0
1,0,0.5165703,1
1,0,0.44527534,0
1,0,0.41623873,0
1,0,0.54816985,1
1,0,0.5278438,1
1,0,0.58452183,1
1,0,0.6614242,1
1,0,0.5358772,1
1,0,0.5114245,1
1,0,0.48160163,0
1,0,0.43311387,0
1,0,0.47733265,0
1,0,0.51205647,1
1,0,0.5103211,1
1,0,0.62512577,1
1,0,0.48960328,0
1,0,0.5149124,1
1,0,0.45857903,0
1,0,0.41527808,0
1,0,0.43004835,0
1,0,0.49437305,0
1,0,0.4156188,0
1,0,0.46573237,0
1,0,0.4330422,0
1,0,0.47421017,0
1,0,0.42968813,0
1,0,0.48659405,0
1,0,0.4575772,0
1,0,0.53440267,1
1,0,0.44925871,0
1,0,0.34877503,0
1,0,0.3151161,0
1,0,0.4005838,0
1,0,0.35669947,0
1,0,0.3723483,0
1,0,0.4577731,0
1,0,0.48619008,0
1,0,0.50248134,1
1,0,0.36213267,0
1,0,0.3116642,0
1,0,0.29774287,0
1,0,0.35368124,0
1,0,0.33860084,0
1,0,0.3453714,0
1,0,0.35365465,0
1,0,0.31858808,0
1,0,0.36408803,0
1,0,0.37791663,0
1,0,0.455964,0
1,0,0.43391874,0
1,0,0.55087113,1
1,0,0.47602275,0
1,0,0.4274426,0
1,0,0.513078,1
1,0,0.48184338,0
1,0,0.4716934,0
1,0,0.41119233,0
1,0,0.44702777,0
1,0,0.43031606,0
1,0,0.4112929,0
1,0,0.44156426,0
1,0,0.4687327,0
1,0,0.42293036,0
1,0,0.5111702,1
1,0,0.4989222,0
1,0,0.45750526,0
1,0,0.5539683,1
1,0,0.558105,1
1,0,0.56068367,1
1,0,0.5153817,1
1,0,0.5187544,1
1,0,0.5351193,1
1,0,0.4516944,0
1,1,0.48959425,0
1,1,0.42793888,0
1,1,0.4168899,0
1,1,0.71201795,1
1,1,0.6674692,1
1,1,0.73243994,1
1,1,0.71488315,1
1,1,0.72655916,1
1,1,0.82504654,1
1,1,0.7830207,1
1,1,0.7693218,1
1,1,0.833923,1
1,1,0.7755534,1
1,0,0.65546083,1
1,0,0.74287665,1
1,0,0.72620565,1
1,0,0.7314622,1
1,0,0.6568565,1
1,0,0.76991946,1
1,0,0.6489258,1
1,0,0.7400403,1
1,0,0.6685996,1
1,0,0.7471191,1
1,0,0.5931166,1
1,0,0.601799,1
1,0,0.59877944,1
1,0,0.64026874,1
1,0,0.5997023,1
1,0,0.47428313,0
1,1,0.548993,1
1,1,0.62036264,1
1,1,0.6284376,1
1,1,0.6487258,1
1,1,0.6996884,1
1,1,0.76322395,1
1,1,0.78378403,1
1,1,0.74850154,1
1,1,0.6686959,1
1,1,0.6415201,1
1,0,0.636611,1
1,0,0.7033433,1
1,0,0.65754634,1
1,0,0.6407406,1
1,0,0.72482055,1
1,0,0.695159,1
1,0,0.72501665,1
1,0,0.7360382,1
1,0,0.7170501,1
1,0,0.72055256,1
1,0,0.7004361,1
1,0,0.70646393,1
1,0,0.6439494,1
1,0,0.68165183,1
1,0,0.61712885,1
1,0,0.58667463,1
1,0,0.46889517,0
1,0,0.5350126,1
1,0,0.4784128,0
1,0,0.49016738,0
1,0,0.45389813,0
1,0,0.6007094,1
1,0,0.50914514,1
1,0,0.5655801,1
1,0,0.5083216,1
1,0,0.56976146,1
1,0,0.54100776,1
1,0,0.64353293,1
1,0,0.6650661,1
1,0,0.6145979,1
1,0,0.6290778,1
1,0,0.58869463,1
1,0,0.68020135,1
1,0,0.62932146,1
1,0,0.6250324,1
1,0,0.67181236,1
1,0,0.6713179,1
1,0,0.66715246,1
1,0,0.61585706,1
1,0,0.6756469,1
1,0,0.6520163,1
1,0,0.58954257,1
1,0,0.63614494,1
1,0,0.61422414,1
1,0,0.5734249,1
1,0,0.53625596,1
1,0,0.4891727,0
1,0,0.46556947,0
1,0,0.44445738,0
1,0,0.46394035,0
1,0,0.47485092,0
1,0,0.402987,0
1,0,0.43864694,0
1,0,0.42158043,0
1,0,0.3953041,0
1,0,0.44127157,0
1,0,0.4544713,0
1,0,0.41224954,0
1,0,0.36039385,0
1,0,0.41271293,0
1,0,0.3387428,0
1,0,0.39748356,0
1,0,0.34132868,0
1,0,0.39191794,0
1,0,0.3840573,0
1,0,0.3893974,0
1,0,0.40035984,0
1,0,0.3523128,0
1,0,0.33616647,0
1,0,0.30329275,0
1,0,0.45167196,0
1,0,0.3806491,0
1,0,0.36528292,0
1,0,0.5516884,1
1,0,0.5558893,1
1,0,0.47143808,0
1,0,0.46880275,0
1,0,0.6042624,1
1,0,0.5374843,1
1,0,0.5469856,1
1,0,0.4879421,0
1,0,0.5377939,1
1,0,0.5175936,1
1,0,0.54050356,1
1,0,0.53940713,1
1,0,0.5093994,1
1,0,0.48806077,0
1,0,0.47503155,0
1,0,0.41643178,0
1,0,0.37000552,0
1,0,0.3416126,0
1,0,0.39083803,0
1,0,0.39488167,0
1,0,0.41191083,0
1,0,0.4772544,0
1,0,0.5593716,1
1,0,0.54906696,1
1,0,0.4176613,0
1,0,0.43383157,0
1,0,0.425049,0
1,0,0.42731994,0
1,0,0.38643137,0
1,0,0.44846272,0
1,0,0.43458083,0
1,0,0.41202682,0
1,0,0.5006701,1
1,0,0.4818933,0
1,0,0.41749462,0
1,0,0.381626,0
1,0,0.43020362,0
1,0,0.43333733,0
1,0,0.44478878,0
1,0,0.42445287,0
1,0,0.48576626,0
1,0,0.38739988,0
1,0,0.3840738,0
1,0,0.4781398,0
1,0,0.51298636,1
1,0,0.54567313,1
1,0,0.6450448,1
1,0,0.5005417,1
1,0,0.46051598,0
1,0,0.46184182,0
1,0,0.41475314,0
1,0,0.40752918,0
1,0,0.47642466,0
1,0,0.50918823,1
1,0,0.60095096,1
1,0,0.4699226,0
1,0,0.5108325,1
1,0,0.41488117,0
1,0,0.3790881,0
1,0,0.4276769,0
1,0,0.4905013,0
1,0,0.3837191,0
1,0,0.45879108,0
1,0,0.41994,0
1,0,0.44453275,0
1,0,0.4399085,0
1,0,0.5198885,1
1,0,0.43235853,0
1,0,0.5439519,1
1,0,0.4572714,0
1,0,0.35162583,0
1,0,0.35504872,0
1,0,0.38601515,0
1,0,0.39281058,0
1,0,0.40920258,0
1,0,0.44904765,0
1,0,0.46346036,0
1,0,0.44464922,0
1,0,0.3452549,0
1,0,0.3277393,0
1,0,0.31235966,0
1,0,0.3125492,0
1,0,0.3579078,0
1,0,0.35551167,0
1,0,0.36518925,0
1,0,0.30078715,0
1,0,0.33260775,0
1,0,0.33222032,0
1,0,0.44433114,0
1,0,0.42163873,0
1,0,0.5323469,1
1,0,0.48692808,0
1,0,0.5035805,1
1,0,0.50826895,1
1,0,0.51400054,1
1,0,0.47309902,0
1,0,0.41980705,0
1,0,0.43413138,0
1,0,0.44377816,0
1,0,0.44662806,0
1,0,0.43835708,0
1,0,0.44673663,0
1,0,0.43844277,0
1,0,0.50858045,1
1,0,0.4776007,0
1,0,0.452665,0
1,0,0.5127303,1
1,0,0.45320493,0
1,0,0.5124045,1
1,0,0.4318037,0
1,0,0.44655344,0
1,0,0.45094037,0
1,0,0.39013022,0
1,1,0.37362057,0
1,1,0.363525,0
1,1,0.40044835,0
1,1,0.3554229,0
1,1,0.3948232,0
1,1,0.3340025,0
1,1,0.34328216,0
1,1,0.29048795,0
1,1,0.30589062,0
1,1,0.3543051,0
1,0,0.34462637,0
1,0,0.34091634,0
1,0,0.37682813,0
1,0,0.32492018,0
1,0,0.314167,0
1,0,0.30685216,0
1,0,0.36386198,0
1,0,0.3324549,0
1,0,0.36000624,0
1,0,0.37851214,0
1,0,0.4495414,0
1,0,0.44614556,0
1,0,0.44462663,0
1,0,0.50980455,1
1,0,0.46814144,0
1,0,0.48646742,0
1,1,0.47997144,0
1,1,0.42126703,0
1,1,0.39627755,0
1,1,0.40640974,0
1,1,0.4032977,0
1,1,0.35959473,0
1,1,0.423455,0
1,1,0.46370938,0
1,1,0.42841762,0
1,1,0.40083915,0
1,1,0.4331786,0
1,1,0.44378442,0
1,1,0.48000184,0
1,1,0.35872468,0
1,0,0.392624,0
1,0,0.38513246,0
1,0,0.42276824,0
1,0,0.3168479,0
1,0,0.48487735,0
1,0,0.39997375,0
1,0,0.51448244,1
1,0,0.39662144,0
1,0,0.50229466,1
1,0,0.44515735,0
1,0,0.4676556,0
1,0,0.37528667,0
1,0,0.4585876,0
1,0,0.3535389,0
1,0,0.38940156,0
1,0,0.3332489,0
1,0,0.37023357,0
1,0,0.3681027,0
1,0,0.4123811,0
1,0,0.44737872,0
1,0,0.45530093,0
