Fold,Label,Prob,Preds
1,1,0.63369685,1
1,1,0.6403608,1
1,1,0.635684,1
1,1,0.6407283,1
1,1,0.6342778,1
1,1,0.63736165,1
1,1,0.636696,1
1,1,0.6469131,1
1,1,0.64225155,1
1,1,0.6517386,1
1,1,0.6504819,1
1,1,0.6521438,1
1,1,0.64874727,1
1,1,0.6519572,1
1,1,0.65694034,1
1,1,0.6566297,1
1,1,0.6630319,1
1,1,0.51321113,1
1,1,0.5046162,1
1,1,0.51236117,1
1,1,0.49741203,0
1,1,0.50052196,1
1,1,0.5003314,1
1,1,0.50561094,1
1,1,0.5055991,1
1,1,0.49704114,0
1,1,0.5005294,1
1,1,0.52123517,1
1,1,0.5051562,1
1,1,0.5295478,1
1,1,0.5192251,1
1,1,0.5240594,1
1,1,0.51272446,1
1,1,0.5140555,1
1,1,0.5100462,1
1,1,0.5360822,1
1,1,0.50392044,1
1,1,0.50918347,1
1,1,0.5116013,1
1,1,0.5038998,1
1,1,0.51176447,1
1,1,0.5092547,1
1,1,0.50094813,1
1,1,0.5127834,1
1,1,0.5169488,1
1,1,0.5168991,1
1,1,0.50960886,1
1,1,0.5125807,1
1,1,0.5089832,1
1,1,0.5065997,1
1,1,0.504778,1
1,1,0.51102936,1
1,0,0.68160886,1
1,0,0.6812104,1
1,0,0.68199617,1
1,0,0.6841053,1
1,0,0.68144035,1
1,0,0.67819035,1
1,0,0.6762289,1
1,0,0.67998296,1
1,0,0.6809657,1
1,0,0.68026215,1
1,0,0.67844975,1
1,0,0.68096596,1
1,1,0.677677,1
1,1,0.6790627,1
1,1,0.68261325,1
1,1,0.683324,1
1,1,0.6830301,1
1,1,0.68132585,1
1,1,0.68496037,1
1,1,0.68311536,1
1,1,0.68369246,1
1,1,0.682281,1
1,1,0.684457,1
1,1,0.6836063,1
1,1,0.6834455,1
1,1,0.68322635,1
1,1,0.68381834,1
1,1,0.685406,1
1,1,0.6809262,1
1,1,0.68241656,1
1,1,0.68736464,1
1,1,0.6855334,1
1,1,0.6835389,1
1,0,0.6842181,1
1,0,0.6836829,1
1,0,0.6836696,1
1,0,0.68035203,1
1,0,0.685345,1
1,0,0.68063647,1
1,0,0.68155164,1
1,0,0.6836575,1
1,0,0.6829319,1
1,0,0.6831036,1
1,0,0.68322235,1
1,1,0.6842346,1
1,1,0.682848,1
1,1,0.6835937,1
1,1,0.6827719,1
