Fold,Label,Prob,Preds
1,1,0.8312547,1
1,1,0.8075792,1
1,1,0.84747016,1
1,1,0.88489217,1
1,1,0.83832747,1
1,1,0.80665797,1
1,1,0.8160004,1
1,1,0.7890559,1
1,1,0.7546276,1
1,1,0.8070486,1
1,1,0.57650596,1
1,1,0.81333697,1
1,1,0.8602171,1
1,1,0.8877835,1
1,1,0.507233,1
1,1,0.37327453,0
1,1,0.34858894,0
1,1,0.4352698,0
1,1,0.46531585,0
1,1,0.40797648,0
1,1,0.42641327,0
1,1,0.38669562,0
1,1,0.38280135,0
1,1,0.38426793,0
1,1,0.22018604,0
1,1,0.33939388,0
1,1,0.33454832,0
1,1,0.33419988,0
1,1,0.40637293,0
1,1,0.7247483,1
1,1,0.6999099,1
1,1,0.76376665,1
1,1,0.8225523,1
1,1,0.67620325,1
1,1,0.78415066,1
1,1,0.7683626,1
1,1,0.77164185,1
1,1,0.63300586,1
1,1,0.55051214,1
1,1,0.5471836,1
1,1,0.4173221,0
1,1,0.42409852,0
1,1,0.4274668,0
1,1,0.40981317,0
1,1,0.49778476,0
1,1,0.54642713,1
1,1,0.50879914,1
1,1,0.43163377,0
1,1,0.4171579,0
1,1,0.3880856,0
1,1,0.7250727,1
1,1,0.69274753,1
1,1,0.56551456,1
1,1,0.7062169,1
1,1,0.65736777,1
1,1,0.727148,1
1,1,0.6364788,1
1,1,0.73712426,1
1,1,0.76031303,1
1,1,0.61233765,1
1,1,0.72151375,1
1,1,0.7468305,1
1,1,0.7212898,1
1,1,0.66956556,1
1,1,0.6083834,1
1,1,0.72365385,1
1,1,0.5438195,1
1,1,0.68801004,1
1,1,0.59034306,1
1,1,0.7315694,1
1,1,0.7609399,1
1,1,0.71701956,1
1,1,0.7314416,1
1,1,0.79675937,1
1,1,0.7473655,1
1,1,0.58241045,1
1,1,0.65687174,1
1,1,0.6772239,1
1,1,0.60466325,1
1,1,0.69475186,1
1,1,0.41941416,0
1,1,0.54473084,1
1,1,0.50124985,1
1,1,0.5479309,1
1,1,0.5986243,1
1,1,0.5852429,1
1,1,0.5497411,1
1,1,0.7172926,1
1,1,0.5125497,1
1,1,0.5354284,1
1,1,0.48570657,0
1,0,0.5139424,1
1,0,0.48064828,0
1,0,0.45786875,0
1,0,0.3612268,0
1,0,0.44151473,0
1,0,0.4223425,0
1,0,0.37290075,0
1,0,0.23706426,0
1,0,0.38449222,0
1,1,0.18215173,0
1,1,0.2027094,0
1,1,0.27657792,0
1,1,0.279968,0
1,1,0.17811994,0
1,1,0.2883153,0
1,1,0.23182,0
1,1,0.63267475,1
1,1,0.5570335,1
1,1,0.57976913,1
1,1,0.7441971,1
1,1,0.66601163,1
1,1,0.77175784,1
1,1,0.72164404,1
1,1,0.70843524,1
1,1,0.63623506,1
1,1,0.831509,1
1,1,0.8178169,1
1,1,0.8623531,1
1,1,0.8996963,1
1,1,0.83730507,1
1,1,0.831083,1
1,1,0.7901321,1
1,1,0.80699956,1
1,1,0.7502084,1
1,1,0.7866678,1
1,1,0.6212156,1
1,1,0.7946688,1
1,1,0.82209194,1
1,1,0.82730484,1
1,1,0.8159293,1
1,1,0.6932739,1
1,1,0.76502347,1
1,1,0.85985345,1
1,1,0.7116398,1
1,1,0.64756346,1
1,1,0.70159584,1
1,1,0.7292181,1
1,1,0.7188061,1
1,1,0.78125715,1
1,1,0.727625,1
1,1,0.68351483,1
1,1,0.7458766,1
1,1,0.5849435,1
1,1,0.7185089,1
1,1,0.64727086,1
1,1,0.7060043,1
1,1,0.6968963,1
1,1,0.60845524,1
1,1,0.69845605,1
1,1,0.6578697,1
1,1,0.7089431,1
1,1,0.703146,1
1,1,0.72164965,1
1,1,0.753148,1
1,1,0.7408634,1
1,1,0.7122536,1
1,1,0.75669885,1
1,1,0.7049285,1
1,1,0.6034741,1
1,1,0.70889425,1
1,1,0.7119611,1
1,1,0.59680516,1
1,1,0.7006986,1
1,1,0.6340127,1
1,1,0.7147034,1
1,1,0.6626151,1
1,1,0.74995196,1
1,1,0.75078034,1
1,1,0.6065573,1
1,1,0.71416855,1
1,1,0.7086927,1
1,1,0.71418434,1
1,1,0.53780025,1
1,1,0.6427267,1
1,1,0.522181,1
1,1,0.57354665,1
1,1,0.62225544,1
1,1,0.70592153,1
1,1,0.5510873,1
1,1,0.7145033,1
1,1,0.65673506,1
1,1,0.74095213,1
1,1,0.7997361,1
1,1,0.8121879,1
1,1,0.61791384,1
1,1,0.7688977,1
1,1,0.6693882,1
1,1,0.64195615,1
1,1,0.6764403,1
1,1,0.6476131,1
1,1,0.6896888,1
1,1,0.7031231,1
1,1,0.8032521,1
1,1,0.77765644,1
1,1,0.49971285,0
1,1,0.7145384,1
1,1,0.7915068,1
1,1,0.72732115,1
1,1,0.70349306,1
1,1,0.5344652,1
1,1,0.49916837,0
1,1,0.4465873,0
1,1,0.4345025,0
1,1,0.60660386,1
1,1,0.57999116,1
1,1,0.64301497,1
1,1,0.68251973,1
1,1,0.5910412,1
1,1,0.6369366,1
1,1,0.6651505,1
1,1,0.603821,1
1,1,0.5567098,1
1,1,0.53706926,1
1,1,0.49885556,0
1,1,0.45486176,0
1,1,0.5853846,1
1,1,0.43886867,0
1,1,0.40880454,0
1,1,0.25546727,0
1,1,0.44896305,0
1,1,0.5295829,1
1,1,0.5522227,1
1,1,0.617108,1
1,1,0.6284984,1
1,1,0.5164829,1
1,1,0.51176935,1
1,1,0.67381185,1
1,1,0.5507436,1
1,1,0.39958757,0
1,1,0.50335133,1
1,1,0.38290086,0
1,1,0.43637973,0
1,1,0.5190218,1
1,1,0.46344656,0
1,1,0.69965005,1
1,1,0.6953243,1
1,1,0.74549127,1
1,1,0.79342335,1
1,1,0.73071676,1
1,1,0.6446405,1
1,1,0.730506,1
1,1,0.71080184,1
1,1,0.6165238,1
1,1,0.7000431,1
1,1,0.6578704,1
1,1,0.69529235,1
1,1,0.70725244,1
1,1,0.8176211,1
1,1,0.5577932,1
1,1,0.5046973,1
1,1,0.4065865,0
1,1,0.30344462,0
1,1,0.45276925,0
1,1,0.45686522,0
1,1,0.36896703,0
1,1,0.570536,1
1,1,0.406678,0
1,1,0.35956123,0
1,1,0.32896754,0
1,1,0.30987403,0
1,1,0.5377453,1
1,1,0.5405909,1
1,1,0.5035958,1
1,1,0.5875834,1
1,1,0.61561006,1
1,1,0.5102319,1
1,1,0.60023713,1
1,1,0.5259152,1
1,1,0.56445897,1
1,1,0.4181051,0
1,1,0.24157934,0
1,1,0.23128909,0
1,1,0.30528203,0
1,1,0.15433502,0
1,1,0.10608448,0
1,1,0.2296578,0
1,1,0.14997853,0
1,1,0.16606106,0
1,1,0.1102096,0
1,1,0.63185865,1
1,1,0.67834884,1
1,1,0.7574377,1
1,1,0.7927957,1
1,1,0.716732,1
1,1,0.679184,1
1,1,0.6938778,1
1,1,0.63615197,1
1,1,0.62050605,1
1,1,0.6827969,1
1,1,0.6160086,1
1,1,0.6606662,1
1,1,0.64700407,1
1,1,0.8259817,1
1,1,0.5726062,1
1,1,0.5787006,1
1,1,0.6516788,1
1,1,0.639002,1
1,1,0.5133605,1
1,1,0.6598132,1
1,1,0.6151893,1
1,1,0.64231646,1
1,1,0.5658715,1
1,1,0.67707837,1
1,1,0.67622733,1
1,1,0.5374337,1
1,1,0.6772016,1
1,1,0.6039467,1
1,1,0.6588081,1
1,1,0.58890575,1
1,1,0.53083163,1
1,1,0.6214383,1
1,1,0.54880834,1
1,1,0.5488259,1
1,1,0.4667769,0
1,1,0.4817103,0
1,1,0.49034834,0
1,1,0.48220873,0
1,1,0.44339463,0
1,1,0.50313544,1
1,1,0.47476336,0
1,1,0.45070967,0
1,1,0.5147396,1
1,1,0.4716329,0
1,1,0.47195035,0
1,1,0.28045222,0
1,1,0.5516934,1
1,1,0.57106423,1
1,1,0.48585802,0
1,1,0.31564024,0
1,1,0.17696807,0
1,1,0.18680726,0
1,1,0.24738878,0
1,1,0.24119209,0
1,1,0.8143309,1
1,1,0.7995025,1
1,1,0.8581237,1
1,1,0.9060561,1
1,1,0.8449924,1
1,1,0.8253191,1
1,1,0.7862955,1
1,1,0.79696834,1
