Fold,Label,Prob,Preds
1,1,0.57705575,1
1,1,0.39870209,0
1,1,0.47453249,0
1,1,0.4978925,0
1,1,0.500784,1
1,1,0.48826745,0
1,1,0.43565115,0
1,1,0.71949035,1
1,1,0.5230005,1
1,1,0.64539343,1
1,1,0.6990911,1
1,1,0.4266726,0
1,1,0.5305052,1
1,1,0.5776604,1
1,1,0.5137856,1
1,1,0.49256915,0
1,1,0.40717113,0
1,0,0.7163553,1
1,0,0.46001938,0
1,0,0.40430012,0
1,0,0.5962369,1
1,0,0.7306236,1
1,0,0.42970613,0
1,0,0.6388207,1
1,0,0.5706863,1
1,0,0.4303894,0
1,0,0.51798904,1
1,0,0.32556605,0
1,0,0.23661262,0
1,0,0.3264581,0
1,0,0.25497425,0
1,0,0.35560408,0
1,0,0.37691256,0
1,0,0.8269822,1
1,0,0.50377774,1
1,0,0.54569304,1
1,0,0.6804279,1
1,0,0.3137395,0
1,0,0.65520716,1
1,0,0.3057012,0
1,0,0.86545134,1
1,0,0.8588261,1
1,0,0.8012678,1
1,0,0.7498853,1
1,0,0.85236007,1
1,0,0.83269364,1
1,0,0.7696612,1
1,0,0.6945364,1
1,0,0.8042094,1
1,0,0.8232867,1
1,0,0.7640231,1
1,0,0.73926246,1
1,0,0.7234903,1
1,0,0.7955842,1
1,0,0.5521774,1
1,0,0.7086835,1
1,0,0.67126906,1
1,0,0.6065361,1
1,0,0.5897479,1
1,0,0.55921644,1
1,0,0.45768267,0
1,0,0.73643214,1
1,0,0.5131438,1
1,0,0.54533243,1
1,0,0.5383531,1
1,0,0.4847023,0
1,0,0.77295977,1
1,0,0.34205586,0
1,0,0.6609403,1
1,0,0.6661235,1
1,0,0.49858662,0
1,0,0.63907903,1
1,0,0.49444962,0
1,0,0.72757494,1
1,0,0.67227834,1
1,0,0.6898103,1
1,0,0.6653336,1
1,0,0.60522014,1
1,0,0.7378002,1
1,0,0.6755694,1
1,0,0.71921706,1
1,0,0.68799394,1
1,0,0.77595544,1
1,0,0.64059854,1
1,0,0.72714317,1
1,0,0.61459965,1
1,0,0.77958715,1
1,0,0.6350606,1
1,0,0.77530295,1
1,0,0.57753336,1
1,0,0.7645142,1
1,0,0.67982084,1
1,0,0.72798175,1
1,0,0.73861146,1
1,0,0.6035148,1
1,0,0.6806983,1
1,0,0.7114998,1
1,0,0.51008105,1
1,0,0.52240324,1
1,0,0.8353394,1
1,0,0.65845937,1
1,0,0.7966207,1
1,0,0.6568131,1
1,0,0.7263171,1
1,0,0.38542336,0
1,0,0.37499946,0
1,0,0.34048992,0
1,0,0.5692293,1
1,0,0.22649294,0
1,0,0.3329391,0
1,0,0.28574798,0
1,0,0.24133372,0
1,1,0.6204001,1
1,1,0.7123459,1
1,1,0.6331142,1
1,1,0.65084296,1
1,1,0.7528639,1
1,1,0.5936274,1
1,1,0.5806751,1
1,1,0.60716057,1
1,1,0.48796785,0
1,1,0.67503786,1
1,1,0.35448676,0
1,1,0.53904843,1
1,1,0.42032647,0
1,1,0.46513194,0
1,1,0.595957,1
1,1,0.7394941,1
1,1,0.6463412,1
1,1,0.45086572,0
1,1,0.67974246,1
1,1,0.6091668,1
1,1,0.5081635,1
1,1,0.4439128,0
1,1,0.325651,0
1,1,0.2972955,0
1,1,0.55795574,1
1,1,0.41544333,0
1,1,0.36043954,0
1,1,0.35851762,0
1,1,0.44448626,0
1,1,0.4221397,0
1,1,0.8582281,1
1,1,0.80296177,1
1,1,0.7501586,1
1,1,0.85432285,1
1,1,0.61684,1
1,1,0.5523228,1
1,1,0.81306916,1
1,1,0.6873783,1
1,1,0.8196488,1
1,1,0.7432219,1
1,1,0.6769003,1
1,1,0.83562076,1
1,1,0.616129,1
1,1,0.7305705,1
1,1,0.87704957,1
1,1,0.8717526,1
1,1,0.8141656,1
1,1,0.7612138,1
1,1,0.85867673,1
1,1,0.8396333,1
1,1,0.7835015,1
1,1,0.6189435,1
1,1,0.64105123,1
1,1,0.6426688,1
1,1,0.5518744,1
1,1,0.6715086,1
1,1,0.5045246,1
1,1,0.5082581,1
1,1,0.5264184,1
1,1,0.45925006,0
1,1,0.78361875,1
1,1,0.33015466,0
1,1,0.67366916,1
1,1,0.6596512,1
1,1,0.48524326,0
1,1,0.64917076,1
