Fold,Label,Prob,Preds
1,1,0.18780218,0
1,1,0.19468156,0
1,1,0.19274126,0
1,1,0.15217417,0
1,1,0.1524739,0
1,1,0.17020723,0
1,1,0.21137725,0
1,1,0.20249838,0
1,1,0.2111289,0
1,1,0.19139737,0
1,1,0.21651635,0
1,1,0.20082963,0
1,1,0.24939151,0
1,1,0.2610913,0
1,1,0.55440354,1
1,1,0.574465,1
1,1,0.5336525,1
1,1,0.5276224,1
1,1,0.5146188,1
1,1,0.5392005,1
1,1,0.5384525,1
1,1,0.55470705,1
1,1,0.5267076,1
1,1,0.53697103,1
1,1,0.5716268,1
1,1,0.5842596,1
1,1,0.6156385,1
1,1,0.58661884,1
1,1,0.6077694,1
1,1,0.62284803,1
1,1,0.60032177,1
1,1,0.6159405,1
1,1,0.6593435,1
1,1,0.5252468,1
1,1,0.54475373,1
1,1,0.5517009,1
1,1,0.5959336,1
1,1,0.5885018,1
1,1,0.60874426,1
1,1,0.5933896,1
1,1,0.6399509,1
1,1,0.660254,1
1,1,0.65712994,1
1,1,0.62992245,1
1,1,0.66340077,1
1,1,0.90646005,1
1,1,0.9141267,1
1,1,0.91965187,1
1,1,0.9288066,1
1,1,0.9259105,1
1,1,0.9156012,1
1,1,0.91876626,1
1,1,0.9241995,1
1,1,0.9259783,1
1,1,0.9286093,1
1,1,0.9343085,1
1,1,0.92480886,1
1,1,0.831739,1
1,1,0.83710206,1
1,1,0.8229198,1
1,1,0.842351,1
1,1,0.8417954,1
1,1,0.8401986,1
1,1,0.82170403,1
1,1,0.87100154,1
1,1,0.8673049,1
1,1,0.8762333,1
1,1,0.8690115,1
1,1,0.8755915,1
1,1,0.8802535,1
1,1,0.8460207,1
1,1,0.84623927,1
1,1,0.852215,1
1,1,0.8494683,1
1,1,0.7465532,1
1,1,0.70844316,1
1,1,0.7714192,1
1,1,0.74286866,1
1,1,0.70784235,1
1,1,0.7444447,1
1,1,0.72174144,1
1,1,0.91405857,1
1,1,0.86515456,1
1,1,0.91651803,1
1,1,0.9300214,1
1,1,0.9339942,1
1,1,0.71199965,1
1,1,0.7231877,1
1,1,0.7536806,1
1,1,0.75684005,1
1,1,0.77518034,1
1,1,0.7742596,1
1,1,0.7716827,1
1,1,0.7875926,1
1,1,0.78948545,1
1,1,0.76420933,1
1,1,0.74319845,1
1,1,0.7390284,1
1,1,0.7425797,1
1,1,0.75151587,1
1,1,0.7759538,1
1,1,0.7968785,1
1,1,0.7929798,1
1,1,0.80326146,1
1,1,0.80431753,1
1,1,0.8130693,1
1,1,0.8188835,1
1,1,0.8089541,1
1,1,0.80682546,1
1,1,0.79642016,1
1,1,0.7608311,1
1,1,0.7507653,1
1,1,0.7306965,1
1,1,0.70769083,1
1,1,0.6999708,1
1,1,0.5954597,1
1,1,0.62689954,1
1,1,0.63472915,1
1,1,0.6093498,1
1,1,0.65770906,1
1,1,0.6549879,1
1,1,0.66673285,1
1,1,0.61804307,1
1,1,0.6492374,1
1,1,0.629092,1
1,1,0.6503472,1
1,1,0.62775445,1
1,1,0.6225943,1
1,1,0.5941976,1
1,1,0.5916025,1
1,1,0.56070733,1
1,1,0.57008517,1
1,1,0.58220375,1
1,1,0.6225489,1
1,1,0.6125739,1
1,1,0.67210776,1
1,1,0.47594333,0
1,1,0.48840165,0
1,1,0.47512776,0
1,1,0.49644816,0
1,1,0.49737576,0
1,1,0.49933192,0
1,1,0.49910632,0
1,1,0.5096095,1
1,1,0.5836886,1
1,1,0.6397015,1
1,1,0.699415,1
1,1,0.73940617,1
1,1,0.742141,1
1,1,0.74644774,1
1,1,0.7446173,1
1,1,0.7530481,1
1,1,0.75335217,1
1,1,0.76260394,1
1,1,0.75756097,1
1,1,0.76866204,1
1,1,0.7843684,1
1,1,0.77959013,1
1,1,0.7891025,1
1,1,0.78480756,1
1,1,0.77842945,1
1,1,0.78854525,1
1,1,0.73651516,1
1,1,0.76096404,1
1,1,0.6433645,1
1,1,0.6578593,1
1,1,0.6484619,1
1,1,0.6570804,1
1,1,0.6232008,1
1,1,0.5699592,1
1,1,0.55528635,1
1,1,0.55636877,1
1,1,0.58079344,1
1,1,0.57098335,1
1,1,0.52104205,1
1,1,0.5140351,1
1,1,0.51641744,1
1,1,0.49958476,0
1,1,0.48383042,0
1,1,0.49190843,0
1,1,0.47029996,0
1,1,0.51128113,1
1,1,0.55811673,1
1,1,0.53299326,1
1,1,0.55669653,1
1,1,0.44225833,0
1,1,0.46416363,0
1,1,0.50104505,1
1,1,0.5111452,1
1,1,0.50505966,1
1,1,0.5933486,1
1,1,0.6127046,1
1,1,0.5951308,1
1,1,0.6362464,1
1,1,0.6511021,1
1,1,0.66839105,1
1,1,0.63207096,1
1,1,0.58797765,1
1,1,0.6372408,1
1,1,0.56635785,1
1,1,0.60988504,1
1,1,0.6099789,1
1,1,0.5961338,1
1,1,0.51579964,1
1,1,0.56913817,1
1,1,0.56406826,1
1,1,0.5642016,1
1,1,0.5181645,1
1,1,0.41580358,0
1,1,0.39677987,0
1,1,0.41620448,0
1,1,0.4527187,0
1,1,0.4129304,0
1,1,0.42777166,0
1,1,0.45219517,0
1,1,0.4146121,0
1,1,0.4212202,0
1,1,0.41282308,0
1,1,0.3345239,0
1,1,0.34351915,0
1,0,0.40408567,0
1,0,0.48448387,0
1,0,0.47175175,0
1,0,0.5460571,1
1,0,0.4951811,0
1,0,0.47128895,0
1,0,0.52039456,1
1,0,0.52298653,1
1,0,0.57720673,1
1,0,0.5870081,1
1,0,0.6111818,1
1,0,0.61585015,1
1,0,0.66022116,1
1,0,0.64302,1
1,0,0.6257047,1
1,1,0.67944527,1
1,1,0.6023808,1
1,1,0.5730048,1
1,1,0.5422076,1
1,1,0.53692544,1
1,1,0.5678671,1
1,1,0.49935272,0
1,1,0.41903767,0
1,1,0.3569411,0
1,1,0.29433572,0
1,1,0.26102123,0
1,1,0.19582431,0
1,1,0.17442657,0
1,1,0.18484984,0
1,1,0.18245913,0
1,0,0.15529305,0
1,0,0.15044934,0
1,0,0.15256928,0
1,0,0.1492369,0
1,0,0.14784893,0
1,0,0.14230025,0
1,0,0.14114793,0
1,0,0.1414752,0
1,0,0.14626782,0
1,0,0.14705737,0
1,0,0.15016441,0
1,0,0.15211867,0
1,0,0.15103038,0
1,0,0.16095708,0
1,0,0.17601795,0
1,0,0.1858473,0
1,0,0.17052187,0
1,0,0.18174165,0
1,0,0.1816658,0
1,0,0.20339306,0
1,0,0.21258728,0
1,0,0.25731045,0
1,0,0.23700702,0
1,0,0.24391644,0
1,0,0.33056024,0
1,1,0.33994478,0
1,1,0.44325328,0
1,1,0.46550182,0
1,1,0.50461274,1
1,1,0.5393222,1
1,0,0.56934035,1
1,0,0.59313464,1
1,0,0.5975851,1
1,0,0.6542509,1
1,0,0.5912757,1
1,0,0.6518623,1
1,0,0.6469035,1
