Fold,Label,Prob,Preds
1,1,0.25196266,0
1,1,0.42523894,0
1,1,0.21682578,0
1,1,0.18544465,0
1,1,0.27814874,0
1,1,0.27459607,0
1,1,0.2644753,0
1,1,0.32037252,0
1,1,0.46342197,0
1,1,0.60229844,1
1,1,0.513429,1
1,1,0.5098318,1
1,1,0.4957296,0
1,1,0.4464273,0
1,1,0.61011297,1
1,1,0.5028826,1
1,1,0.40940103,0
1,1,0.24362734,0
1,1,0.24455194,0
1,1,0.17916404,0
1,1,0.24898161,0
1,1,0.0668872,0
1,1,0.022801835,0
1,1,0.060696285,0
1,1,0.047734097,0
1,1,0.15326153,0
1,1,0.44350174,0
1,1,0.11992332,0
1,1,0.14482237,0
1,1,0.13626307,0
1,1,0.16578011,0
1,0,0.5983495,1
1,0,0.6554642,1
1,0,0.91542554,1
1,0,0.84303653,1
1,0,0.83355695,1
1,0,0.59704375,1
1,0,0.877259,1
1,0,0.65596217,1
1,0,0.81176656,1
1,0,0.90580523,1
1,0,0.9152658,1
1,0,0.8269583,1
1,0,0.75020134,1
1,0,0.36397877,0
1,0,0.466302,0
1,1,0.24835798,0
1,1,0.16377069,0
1,1,0.25614905,0
1,1,0.6392045,1
1,1,0.6454744,1
1,1,0.30054146,0
1,1,0.1549268,0
1,1,0.13647825,0
1,1,0.31532565,0
1,1,0.6066349,1
1,1,0.39514926,0
1,1,0.44356573,0
1,1,0.42266282,0
1,1,0.49807012,0
1,1,0.5755332,1
1,0,0.64117795,1
1,0,0.7654557,1
1,0,0.43449575,0
1,0,0.77698237,1
1,0,0.26396504,0
1,0,0.31780398,0
1,0,0.3012586,0
1,0,0.8351675,1
1,0,0.7814114,1
1,0,0.33617583,0
1,0,0.5337726,1
1,0,0.2286602,0
1,0,0.25211936,0
1,0,0.2489147,0
1,0,0.5854207,1
1,1,0.5805007,1
1,1,0.7470703,1
1,1,0.5366728,1
1,1,0.6925907,1
1,1,0.41884026,0
1,1,0.26978293,0
1,1,0.6329908,1
1,1,0.34526545,0
1,1,0.47496527,0
1,1,0.3178204,0
1,1,0.2996596,0
1,1,0.7850432,1
1,1,0.3489439,0
1,1,0.3932952,0
1,1,0.23242022,0
1,0,0.56750554,1
1,0,0.92415667,1
1,0,0.8916437,1
1,0,0.3522484,0
1,0,0.70545715,1
1,0,0.90733826,1
1,0,0.6076062,1
1,0,0.50417817,1
1,0,0.8160112,1
1,0,0.7986281,1
1,0,0.32156408,0
1,0,0.19933183,0
1,0,0.30937967,0
1,0,0.66582596,1
1,0,0.2108929,0
1,0,0.6020683,1
1,0,0.715488,1
1,0,0.72143424,1
1,0,0.8885279,1
1,0,0.5318532,1
1,0,0.59777564,1
1,0,0.43870288,0
1,0,0.60436213,1
1,0,0.43625897,0
1,0,0.43838573,0
1,0,0.6134867,1
1,0,0.2108696,0
1,0,0.41312653,0
1,0,0.34012878,0
1,0,0.4803551,0
1,1,0.35558757,0
1,1,0.7035312,1
1,1,0.49770018,0
1,1,0.69247526,1
1,1,0.82294685,1
1,1,0.8125158,1
1,1,0.7637344,1
1,1,0.95237005,1
1,1,0.9056384,1
1,1,0.83096063,1
1,1,0.7631799,1
1,1,0.7072095,1
1,1,0.92940474,1
1,1,0.9595255,1
1,1,0.9030461,1
1,1,0.8887913,1
1,1,0.80201864,1
1,1,0.9200743,1
1,0,0.22421849,0
1,0,0.23837717,0
1,0,0.32545283,0
1,0,0.08463546,0
1,0,0.16645882,0
1,0,0.14079829,0
1,0,0.12902734,0
1,0,0.15664661,0
1,0,0.2374316,0
1,0,0.20228088,0
1,0,0.17562397,0
1,0,0.31099117,0
1,0,0.17522913,0
1,0,0.66707,1
1,0,0.62324786,1
1,0,0.5040477,1
1,0,0.46591052,0
1,0,0.2738812,0
1,0,0.43030578,0
1,0,0.6858028,1
1,0,0.48097515,0
1,0,0.7922937,1
1,0,0.77746165,1
1,0,0.8831477,1
1,0,0.65487325,1
1,0,0.18866259,0
1,0,0.2714784,0
1,0,0.28165305,0
1,0,0.16818917,0
1,0,0.14535144,0
1,0,0.20134555,0
1,0,0.22488037,0
1,0,0.19054939,0
1,1,0.154058,0
1,1,0.24317764,0
1,1,0.51704496,1
1,1,0.13388678,0
1,1,0.0732154,0
1,1,0.08608954,0
1,1,0.23712996,0
1,1,0.23711847,0
1,1,0.2286841,0
1,1,0.05402379,0
1,1,0.21345717,0
1,1,0.1930621,0
1,1,0.31879738,0
1,1,0.23248504,0
1,1,0.33820462,0
1,0,0.45988777,0
1,0,0.26956013,0
1,0,0.5950128,1
1,0,0.7305818,1
1,0,0.6793965,1
1,0,0.110268064,0
1,0,0.39498177,0
1,0,0.14746791,0
1,0,0.020235198,0
1,0,0.07853586,0
1,0,0.31715634,0
1,0,0.09958461,0
1,0,0.22845721,0
1,0,0.38896683,0
1,0,0.038407974,0
1,1,0.389627,0
1,1,0.6505401,1
1,1,0.24726228,0
1,1,0.6210781,1
1,1,0.7483104,1
1,1,0.6383762,1
1,1,0.673291,1
1,1,0.5676777,1
1,1,0.28998327,0
1,1,0.20450696,0
1,1,0.8343071,1
1,1,0.87293696,1
1,1,0.66172695,1
1,1,0.82371515,1
1,1,0.2131355,0
1,0,0.056900535,0
1,0,0.095808074,0
1,0,0.087951854,0
1,0,0.03823515,0
1,0,0.09819661,0
1,0,0.03575972,0
1,0,0.025874164,0
1,0,0.124770515,0
1,0,0.18877819,0
1,0,0.13347106,0
1,0,0.1806122,0
1,0,0.13875934,0
1,0,0.23837328,0
1,0,0.3493712,0
1,0,0.29001528,0
1,0,0.052204825,0
1,0,0.2998919,0
1,0,0.08280706,0
1,0,0.052678425,0
1,0,0.13259682,0
1,0,0.19296646,0
1,0,0.12135735,0
1,0,0.2682322,0
1,0,0.14557835,0
1,0,0.086958714,0
1,0,0.1219042,0
1,0,0.2842876,0
1,0,0.14738098,0
1,0,0.13996622,0
1,0,0.3115217,0
1,0,0.05991442,0
1,0,0.8998788,1
1,0,0.48902068,0
1,0,0.64690816,1
1,0,0.8144389,1
1,0,0.7864014,1
1,0,0.21486504,0
1,0,0.59562,1
1,0,0.62195873,1
1,0,0.72468597,1
1,0,0.53081113,1
1,0,0.322845,0
1,0,0.45107055,0
1,0,0.86231816,1
1,0,0.604798,1
1,0,0.8689976,1
1,0,0.5194201,1
1,0,0.3579122,0
1,0,0.5368352,1
1,0,0.8689027,1
1,0,0.81584954,1
1,0,0.8941815,1
1,0,0.88430554,1
1,0,0.9496889,1
1,0,0.6747538,1
1,0,0.51105565,1
1,0,0.3283363,0
1,0,0.83540016,1
1,0,0.83403224,1
1,0,0.87469596,1
1,0,0.52631456,1
1,0,0.22973092,0
1,0,0.29259506,0
1,0,0.60131973,1
1,0,0.50757414,1
