Fold,Label,Prob,Preds
1,1,0.8945799,1
1,1,0.8838428,1
1,1,0.89364594,1
1,1,0.78455794,1
1,1,0.8248024,1
1,1,0.7606213,1
1,1,0.80264795,1
1,1,0.7958062,1
1,1,0.87277454,1
1,1,0.6779682,1
1,1,0.76217085,1
1,1,0.9423799,1
1,1,0.8685556,1
1,1,0.8025427,1
1,1,0.82947963,1
1,1,0.7449564,1
1,1,0.8137086,1
1,0,0.05007103,0
1,0,0.056517005,0
1,0,0.1481151,0
1,0,0.158909,0
1,0,0.089716606,0
1,0,0.1129475,0
1,0,0.06939824,0
1,0,0.031824607,0
1,0,0.042570755,0
1,0,0.01693617,0
1,0,0.029868513,0
1,0,0.029384892,0
1,0,0.033029478,0
1,0,0.05132229,0
1,0,0.06618132,0
1,0,0.03200475,0
1,0,0.12605718,0
1,0,0.060938258,0
1,0,0.07218527,0
1,0,0.0628896,0
1,0,0.12631643,0
1,0,0.14007965,0
1,0,0.07235779,0
1,0,0.14798085,0
1,0,0.29990324,0
1,0,0.3585329,0
1,0,0.37966672,0
1,0,0.3226678,0
1,0,0.35281157,0
1,0,0.35546416,0
1,0,0.28643975,0
1,0,0.23653476,0
1,0,0.21167725,0
1,0,0.23840407,0
1,0,0.35922265,0
1,0,0.38807502,0
1,0,0.20225883,0
1,0,0.21717061,0
1,0,0.1794566,0
1,0,0.18801343,0
1,0,0.3697792,0
1,0,0.13112536,0
1,0,0.2252513,0
1,0,0.22803354,0
1,0,0.26504898,0
1,0,0.38469052,0
1,0,0.18661933,0
1,0,0.19323765,0
1,0,0.34066767,0
1,0,0.123241134,0
1,0,0.09417052,0
1,0,0.19467118,0
1,0,0.21043833,0
1,0,0.17929575,0
1,0,0.09859305,0
1,0,0.10697157,0
1,0,0.19498625,0
1,0,0.13983984,0
1,0,0.4239947,0
1,0,0.60486513,1
1,0,0.43841985,0
1,0,0.69527936,1
1,0,0.42969194,0
1,0,0.46905577,0
1,0,0.51890326,1
1,0,0.48737,0
1,0,0.6416826,1
1,0,0.52523,1
1,0,0.33472964,0
1,0,0.34184775,0
1,0,0.24680175,0
1,0,0.40768084,0
1,0,0.26405308,0
1,0,0.5534326,1
1,0,0.46318218,0
1,0,0.24782647,0
1,0,0.26988107,0
1,0,0.49834052,0
1,0,0.61758906,1
1,0,0.8195336,1
1,0,0.55649215,1
1,0,0.6136303,1
1,0,0.51831365,1
1,0,0.3784715,0
1,0,0.46875134,0
1,0,0.11269112,0
1,0,0.38575214,0
1,0,0.5989847,1
1,0,0.51591074,1
1,0,0.6050381,1
1,0,0.5939509,1
1,0,0.63068366,1
1,0,0.8272195,1
1,0,0.74900955,1
1,0,0.6040144,1
1,1,0.51318467,1
1,1,0.69924945,1
1,1,0.72216314,1
1,1,0.7867644,1
1,1,0.71894914,1
1,1,0.8461399,1
1,1,0.8545883,1
1,1,0.68496466,1
1,1,0.6814528,1
1,1,0.61163723,1
1,1,0.6468043,1
1,1,0.6494232,1
1,1,0.8095664,1
1,1,0.75144976,1
1,1,0.7299621,1
1,1,0.8033131,1
1,1,0.83962435,1
1,1,0.85964406,1
1,1,0.6493875,1
1,1,0.59092325,1
1,1,0.668244,1
1,1,0.6633848,1
1,1,0.7415981,1
1,1,0.57560974,1
1,1,0.51192236,1
1,1,0.4738791,0
1,1,0.76124406,1
1,1,0.7354171,1
1,1,0.74996084,1
1,1,0.6925793,1
1,1,0.53162247,1
1,1,0.6527497,1
1,1,0.6936873,1
1,1,0.47739625,0
1,1,0.6545848,1
1,1,0.36983588,0
1,1,0.29609787,0
1,1,0.35895625,0
1,1,0.3899103,0
1,1,0.37708452,0
1,1,0.35714608,0
1,1,0.33664215,0
1,1,0.37675887,0
1,1,0.20322534,0
1,1,0.14807245,0
1,1,0.30114204,0
1,1,0.38694423,0
1,1,0.37415716,0
1,1,0.32485172,0
1,1,0.39742544,0
1,1,0.22025132,0
1,1,0.25192362,0
1,1,0.1248118,0
1,1,0.18470007,0
1,1,0.24747972,0
1,1,0.25892675,0
1,1,0.25777584,0
1,1,0.17092854,0
1,1,0.17747,0
1,1,0.27031556,0
1,1,0.0793614,0
1,1,0.06718794,0
1,1,0.14837545,0
1,1,0.18713301,0
1,1,0.13860038,0
1,1,0.10461914,0
1,1,0.11877224,0
1,1,0.20309432,0
1,1,0.13473845,0
1,1,0.30893183,0
1,1,0.30356717,0
1,1,0.30216467,0
1,1,0.30441168,0
1,1,0.3176709,0
1,1,0.37584355,0
1,1,0.6470096,1
1,1,0.44401422,0
1,1,0.4123607,0
1,1,0.44266063,0
1,1,0.54965854,1
1,1,0.7832113,1
1,1,0.7664674,1
1,1,0.65785086,1
1,1,0.7320891,1
1,1,0.8124253,1
1,1,0.742876,1
1,1,0.8068771,1
1,1,0.77079725,1
1,1,0.68984526,1
1,1,0.60728186,1
1,1,0.29768512,0
1,1,0.2615092,0
1,1,0.3839911,0
1,1,0.23229335,0
1,1,0.42499474,0
1,1,0.31768876,0
1,1,0.18119912,0
1,1,0.52837956,1
1,1,0.33417863,0
1,1,0.42794302,0
1,1,0.3851901,0
1,1,0.53938085,1
1,1,0.49612436,0
1,1,0.77873284,1
1,1,0.6491082,1
1,1,0.52516705,1
1,1,0.5152779,1
1,1,0.2702233,0
1,1,0.37115294,0
1,1,0.4288222,0
1,1,0.6136458,1
1,1,0.4477752,0
1,1,0.47805,0
1,1,0.56381017,1
1,1,0.5094428,1
1,1,0.42832994,0
1,1,0.67103916,1
1,0,0.47326124,0
1,0,0.5991426,1
1,0,0.61183465,1
1,0,0.71849555,1
1,0,0.37600812,0
1,0,0.4347288,0
1,0,0.6241159,1
1,0,0.45597336,0
1,0,0.7016528,1
1,0,0.45380098,0
1,0,0.4759431,0
1,0,0.15953892,0
1,0,0.17918055,0
1,0,0.087904945,0
1,0,0.03160025,0
1,0,0.05092392,0
1,0,0.031048587,0
1,0,0.03487992,0
1,0,0.021167113,0
1,0,0.026605709,0
1,0,0.054967202,0
1,0,0.033916336,0
1,0,0.061222874,0
1,0,0.034849733,0
1,0,0.040210582,0
1,0,0.0401253,0
1,0,0.060442593,0
1,0,0.035274066,0
1,0,0.022905428,0
1,0,0.021926329,0
1,0,0.023522714,0
1,0,0.024428273,0
