Fold,Label,Prob,Preds
1,1,0.7235108,1
1,1,0.72656024,1
1,1,0.63888574,1
1,1,0.6759108,1
1,1,0.7119418,1
1,1,0.7427056,1
1,1,0.6137979,1
1,1,0.6517261,1
1,1,0.7741231,1
1,1,0.76586217,1
1,1,0.650708,1
1,1,0.6944229,1
1,1,0.7455591,1
1,1,0.758846,1
1,1,0.68052846,1
1,1,0.6928708,1
1,1,0.788127,1
1,1,0.8275727,1
1,1,0.80108666,1
1,1,0.82102865,1
1,1,0.76448005,1
1,1,0.6834761,1
1,1,0.7382373,1
1,1,0.7534681,1
1,1,0.70193726,1
1,1,0.70635676,1
1,1,0.79110116,1
1,1,0.7032846,1
1,1,0.85200703,1
1,1,0.8736012,1
1,1,0.8744515,1
1,1,0.8052667,1
1,1,0.7161776,1
1,1,0.76768786,1
1,1,0.69620144,1
1,1,0.64763314,1
1,1,0.22509132,0
1,1,0.3900287,0
1,1,0.29719862,0
1,1,0.3414018,0
1,1,0.39609623,0
1,1,0.42795196,0
1,1,0.5059424,1
1,1,0.547945,1
1,1,0.5834831,1
1,1,0.5016281,1
1,1,0.5026105,1
1,1,0.55995655,1
1,1,0.36018398,0
1,1,0.4479215,0
1,1,0.36372018,0
1,1,0.37961972,0
1,0,0.7328991,1
1,0,0.60138196,1
1,0,0.47178188,0
1,0,0.6674023,1
1,0,0.7337966,1
1,0,0.6463778,1
1,0,0.6927746,1
1,0,0.7079355,1
1,0,0.7019611,1
1,0,0.61479706,1
1,0,0.72457665,1
1,0,0.6677615,1
1,1,0.6661423,1
1,1,0.6787431,1
1,1,0.65293324,1
1,1,0.5742995,1
1,1,0.6835486,1
1,1,0.6154616,1
1,1,0.6580489,1
1,1,0.41373536,0
1,1,0.67104894,1
1,1,0.7860479,1
1,1,0.78628093,1
1,1,0.70544237,1
1,1,0.8127652,1
1,1,0.824768,1
1,1,0.801463,1
1,1,0.8853274,1
1,1,0.90067697,1
1,1,0.85800284,1
1,1,0.8476614,1
1,1,0.79697514,1
1,1,0.7892149,1
1,0,0.8171991,1
1,0,0.80158854,1
1,0,0.8058725,1
1,0,0.82447714,1
1,0,0.80726206,1
1,0,0.8034339,1
1,0,0.8382327,1
1,0,0.8487879,1
1,0,0.8142622,1
1,0,0.8566367,1
1,0,0.75045764,1
1,1,0.8009657,1
1,1,0.86330366,1
1,1,0.86471766,1
1,1,0.8583945,1
1,1,0.86586076,1
1,0,0.8800849,1
1,0,0.8456601,1
1,0,0.87844586,1
1,0,0.82698315,1
1,0,0.7810988,1
1,0,0.8119822,1
1,0,0.8016155,1
1,0,0.8248834,1
1,0,0.7884881,1
1,0,0.8359517,1
1,0,0.84768796,1
1,0,0.7922053,1
1,0,0.8298511,1
1,0,0.84972644,1
1,0,0.86151266,1
1,0,0.8357951,1
1,0,0.8007737,1
1,0,0.74699223,1
1,0,0.73797774,1
1,0,0.6702219,1
1,0,0.6956231,1
1,0,0.7798647,1
1,0,0.5794102,1
1,1,0.81592596,1
1,1,0.6579865,1
1,1,0.7950907,1
1,1,0.7871805,1
1,1,0.7789659,1
1,1,0.8503015,1
1,1,0.8780253,1
1,1,0.8754486,1
1,1,0.8576423,1
1,0,0.7863681,1
1,0,0.86981136,1
1,0,0.88120574,1
1,0,0.8192702,1
1,0,0.84049857,1
1,0,0.81547964,1
1,0,0.8798199,1
1,0,0.77904713,1
1,0,0.8019527,1
1,0,0.8243041,1
1,0,0.8101192,1
1,0,0.81765205,1
1,0,0.8442108,1
1,0,0.78452307,1
1,0,0.77940685,1
1,0,0.76701313,1
1,0,0.8041951,1
1,0,0.8179212,1
1,0,0.8023754,1
1,0,0.8298488,1
1,0,0.8099689,1
1,0,0.85475785,1
1,0,0.86028767,1
1,0,0.87145674,1
1,0,0.90672684,1
1,0,0.9262224,1
1,0,0.90984076,1
1,0,0.8838672,1
1,0,0.89776534,1
1,0,0.88773954,1
1,0,0.8671849,1
1,0,0.8652779,1
1,0,0.9078698,1
1,0,0.9051336,1
1,0,0.8947974,1
1,0,0.88842225,1
1,0,0.87768215,1
1,0,0.87603545,1
1,1,0.79714197,1
1,1,0.81514186,1
1,1,0.8216351,1
1,1,0.7937584,1
1,1,0.7769177,1
1,1,0.73342425,1
1,1,0.79186666,1
1,1,0.7133621,1
1,1,0.77889264,1
1,0,0.7144011,1
1,0,0.59155697,1
1,0,0.7346508,1
1,0,0.6534647,1
1,0,0.7275977,1
1,0,0.72829765,1
1,0,0.8170407,1
1,0,0.7940127,1
1,0,0.7895898,1
1,0,0.8120103,1
1,0,0.82742494,1
1,0,0.7945425,1
1,0,0.73806214,1
1,0,0.7868467,1
1,0,0.62146777,1
