Fold,Label,Prob,Preds
1,1,0.5642408,1
1,1,0.58262265,1
1,1,0.5862578,1
1,1,0.5920757,1
1,1,0.5817805,1
1,1,0.5161227,1
1,1,0.56097335,1
1,1,0.56466556,1
1,1,0.55025065,1
1,1,0.55025065,1
1,1,0.5599257,1
1,1,0.5866163,1
1,0,0.5209922,1
1,0,0.54713714,1
1,0,0.49134222,0
1,0,0.5359388,1
1,0,0.5359388,1
1,0,0.50500023,1
1,0,0.5064521,1
1,0,0.4675782,0
1,0,0.5165048,1
1,0,0.51048267,1
1,0,0.5728577,1
1,0,0.5925145,1
1,0,0.66800153,1
1,0,0.70135474,1
1,0,0.6652861,1
1,1,0.5955125,1
1,1,0.5272446,1
1,1,0.547684,1
1,1,0.48364696,0
1,1,0.4693647,0
1,1,0.42849553,0
1,1,0.37416562,0
1,1,0.40950856,0
1,1,0.39940828,0
1,1,0.39940828,0
1,1,0.33124286,0
1,1,0.30665752,0
1,1,0.25975797,0
1,1,0.21986711,0
1,1,0.20310505,0
1,0,0.20156571,0
1,0,0.19563055,0
1,0,0.17982243,0
1,0,0.18944252,0
1,0,0.17350143,0
1,0,0.17279658,0
1,0,0.15263689,0
1,0,0.15075575,0
1,0,0.17515375,0
1,0,0.18791725,0
1,0,0.18828018,0
1,0,0.1835431,0
1,0,0.18326679,0
1,0,0.19029202,0
1,0,0.21760027,0
1,0,0.21154463,0
1,0,0.22328816,0
1,0,0.22328816,0
1,0,0.2119532,0
1,0,0.2217122,0
1,0,0.21786898,0
1,0,0.22795638,0
1,0,0.20095125,0
1,0,0.1606926,0
1,0,0.19752124,0
1,1,0.19993663,0
1,1,0.26115322,0
1,1,0.25219363,0
1,1,0.275561,0
1,1,0.275561,0
1,0,0.28057557,0
1,0,0.28864712,0
1,0,0.30186707,0
1,0,0.36209765,0
1,0,0.38411814,0
1,0,0.38411814,0
1,0,0.3737603,0
1,0,0.38808125,0
1,0,0.39183176,0
1,0,0.33889946,0
1,0,0.3825448,0
1,0,0.33341858,0
1,0,0.34178916,0
1,0,0.34178916,0
1,0,0.30268186,0
1,1,0.36640894,0
1,1,0.3802919,0
1,1,0.4102158,0
1,1,0.3851075,0
1,1,0.3512026,0
1,0,0.3556063,0
1,0,0.39368013,0
1,0,0.37271646,0
1,0,0.3798861,0
1,0,0.42798534,0
1,0,0.40328807,0
1,0,0.38697553,0
1,0,0.40548342,0
1,0,0.36915994,0
1,0,0.3751042,0
1,0,0.34519947,0
1,0,0.31509927,0
1,0,0.28600496,0
1,0,0.31850702,0
1,0,0.35009548,0
1,0,0.36509684,0
1,0,0.35220635,0
1,0,0.35220635,0
1,0,0.34925213,0
1,0,0.34925213,0
1,0,0.34242517,0
1,0,0.34242517,0
1,0,0.30344287,0
1,0,0.31178352,0
1,0,0.3000348,0
1,0,0.2646015,0
1,0,0.24821292,0
1,0,0.2584099,0
1,0,0.24494432,0
1,0,0.24494432,0
1,0,0.23761456,0
1,0,0.23182933,0
1,0,0.2279501,0
1,0,0.20369586,0
1,0,0.17149675,0
1,1,0.48305324,0
1,1,0.4765139,0
1,1,0.40079126,0
1,1,0.46911016,0
1,1,0.5203654,1
1,1,0.49956048,0
1,1,0.52283794,1
1,1,0.5117214,1
1,1,0.49599662,0
1,1,0.4445789,0
1,1,0.47258237,0
1,1,0.47258237,0
1,1,0.3733789,0
1,1,0.3493619,0
1,1,0.49449176,0
1,1,0.5019603,1
1,1,0.4187867,0
1,1,0.46007344,0
1,1,0.48499298,0
1,1,0.44074982,0
1,1,0.4533201,0
1,1,0.4533201,0
1,1,0.5008588,1
1,1,0.45323718,0
1,1,0.41670585,0
1,1,0.41885847,0
1,1,0.38759017,0
1,1,0.3698164,0
1,1,0.3434318,0
1,1,0.37442842,0
1,1,0.37324536,0
1,1,0.37324536,0
1,1,0.31457734,0
1,1,0.31457734,0
1,1,0.35674295,0
1,1,0.44380358,0
1,1,0.40456432,0
1,1,0.38545352,0
1,1,0.3219331,0
1,1,0.3171226,0
1,1,0.32308304,0
1,1,0.30984876,0
1,1,0.48592559,0
1,1,0.46009144,0
1,1,0.41711903,0
1,1,0.41720656,0
1,1,0.44044378,0
1,1,0.38970223,0
1,1,0.41468287,0
1,1,0.42165843,0
1,1,0.42624563,0
1,1,0.36868024,0
1,1,0.30510345,0
1,1,0.281976,0
1,1,0.23446852,0
1,1,0.23446852,0
1,1,0.20329227,0
1,1,0.20728509,0
1,1,0.20728509,0
1,1,0.16319107,0
1,1,0.15377104,0
1,1,0.153047,0
1,1,0.15964127,0
1,1,0.16009817,0
1,1,0.14581317,0
1,1,0.14581317,0
1,1,0.19285025,0
1,1,0.20918645,0
1,1,0.54063624,1
1,1,0.53293586,1
1,1,0.49365804,0
1,1,0.5036877,1
1,1,0.48243052,0
1,1,0.4719609,0
1,1,0.4931994,0
1,1,0.5155918,1
1,1,0.5370036,1
1,1,0.26545072,0
1,1,0.28776118,0
1,1,0.346441,0
1,1,0.4095517,0
1,1,0.4172687,0
1,1,0.39271256,0
1,1,0.4390864,0
1,1,0.5085466,1
1,1,0.5085466,1
1,1,0.5055457,1
1,1,0.5338709,1
1,1,0.50970566,1
1,1,0.39978302,0
1,1,0.43588087,0
1,1,0.5069259,1
1,1,0.48467404,0
1,1,0.47930443,0
1,1,0.40485242,0
1,1,0.3784403,0
1,1,0.37172392,0
1,1,0.3591861,0
1,1,0.36712503,0
1,1,0.37112427,0
1,1,0.40594542,0
1,1,0.37579226,0
1,1,0.305226,0
1,1,0.3517335,0
1,1,0.20114014,0
1,1,0.24318652,0
1,1,0.27838263,0
1,1,0.28272474,0
1,1,0.32409388,0
1,1,0.38128006,0
1,1,0.41298047,0
1,1,0.49051267,0
1,1,0.50581825,1
1,1,0.65554345,1
1,1,0.64453006,1
1,1,0.6341259,1
1,1,0.6933697,1
1,1,0.62963605,1
1,1,0.58611727,1
1,1,0.5960987,1
1,1,0.59617704,1
1,1,0.5578048,1
1,1,0.5578048,1
1,1,0.3824705,0
1,1,0.38119236,0
1,1,0.39305598,0
1,1,0.3336983,0
1,1,0.34598163,0
1,1,0.38479814,0
1,1,0.39835328,0
1,1,0.40145642,0
1,1,0.4895969,0
1,1,0.49264365,0
1,1,0.48939192,0
1,1,0.439654,0
1,1,0.38623667,0
1,1,0.38623667,0
1,1,0.3176257,0
1,1,0.31416932,0
1,0,0.37621728,0
1,0,0.3761336,0
1,0,0.44536838,0
1,0,0.44882023,0
1,0,0.38558757,0
1,0,0.33661774,0
1,0,0.35513243,0
1,0,0.3402955,0
1,0,0.3998835,0
1,0,0.35452506,0
1,0,0.28929266,0
1,0,0.3385799,0
1,0,0.33150703,0
1,0,0.26235515,0
1,0,0.19954742,0
1,0,0.1828682,0
1,0,0.17207809,0
1,0,0.20774017,0
1,0,0.20774017,0
1,0,0.24250844,0
1,0,0.2547464,0
1,0,0.23115642,0
1,0,0.23524302,0
1,0,0.28163418,0
1,0,0.32584557,0
1,0,0.3360097,0
1,0,0.28554273,0
1,0,0.29823545,0
1,0,0.30084887,0
1,0,0.30346718,0
1,0,0.308357,0
1,1,0.30015177,0
1,1,0.30500674,0
1,1,0.28465745,0
1,1,0.29334933,0
1,1,0.35922763,0
1,1,0.37478992,0
1,1,0.33520058,0
1,1,0.2271002,0
1,1,0.22016974,0
1,1,0.21595955,0
1,1,0.20462525,0
1,1,0.2441324,0
1,1,0.267626,0
1,1,0.30649737,0
1,1,0.3546417,0
1,1,0.39835328,0
1,1,0.40145642,0
1,1,0.4895969,0
1,1,0.49264365,0
1,1,0.48939192,0
1,1,0.439654,0
1,1,0.3756935,0
1,1,0.3592811,0
1,1,0.29397264,0
1,1,0.20672564,0
1,1,0.18135679,0
1,1,0.14619058,0
1,1,0.12348821,0
1,1,0.12967819,0
1,1,0.16334376,0
1,1,0.17906249,0
1,1,0.4194738,0
1,1,0.4194738,0
1,1,0.489251,0
1,1,0.4816356,0
1,1,0.5118415,1
1,1,0.4724826,0
1,1,0.49636036,0
1,1,0.5074212,1
1,0,0.36260083,0
1,0,0.36260083,0
1,0,0.39588127,0
1,0,0.3735091,0
1,0,0.32665542,0
1,0,0.32752526,0
1,0,0.32394326,0
1,0,0.3130866,0
1,0,0.35974145,0
1,0,0.31995893,0
1,0,0.26343882,0
1,0,0.28369457,0
1,0,0.2710407,0
1,0,0.25289208,0
1,0,0.27219465,0
1,0,0.30138704,0
1,0,0.27911296,0
1,0,0.32734326,0
1,0,0.363522,0
1,0,0.3995533,0
1,0,0.21274623,0
1,0,0.21555847,0
1,0,0.25132233,0
1,0,0.25132233,0
1,0,0.23196141,0
1,0,0.22923574,0
1,0,0.21041192,0
1,0,0.21040516,0
1,0,0.21473864,0
1,0,0.24785851,0
1,1,0.31667462,0
1,1,0.391633,0
1,1,0.33749244,0
1,1,0.38712847,0
1,1,0.33028224,0
