Fold,Label,Prob,Preds
1,0,0.22983508,0
1,0,0.29587734,0
1,0,0.34552592,0
1,0,0.36891502,0
1,0,0.4430276,0
1,0,0.46172434,0
1,0,0.41437963,0
1,0,0.3961311,0
1,0,0.4084527,0
1,0,0.36541036,0
1,0,0.3913217,0
1,0,0.38343892,0
1,0,0.38571537,0
1,0,0.44529465,0
1,0,0.4557028,0
1,0,0.4557028,0
1,0,0.44034398,0
1,0,0.42420316,0
1,0,0.3708706,0
1,0,0.36985558,0
1,1,0.34192908,0
1,1,0.37700194,0
1,1,0.3402243,0
1,1,0.3402243,0
1,1,0.3402243,0
1,1,0.3402243,0
1,1,0.35242122,0
1,1,0.38971087,0
1,1,0.36292395,0
1,1,0.38971087,0
1,1,0.47444105,0
1,1,0.49833012,0
1,1,0.422397,0
1,1,0.49392915,0
1,1,0.5477059,1
1,1,0.606744,1
1,1,0.6169323,1
1,1,0.55403733,1
1,1,0.54230815,1
1,1,0.5732058,1
1,1,0.65795386,1
1,1,0.59304905,1
1,1,0.6172858,1
1,1,0.72452056,1
1,1,0.64990264,1
1,1,0.6638807,1
1,1,0.69514245,1
1,1,0.70487535,1
1,1,0.6695103,1
1,1,0.6291608,1
1,1,0.5425012,1
1,1,0.4671665,0
1,1,0.46492994,0
1,1,0.42946315,0
1,1,0.35110083,0
1,1,0.33246595,0
1,1,0.35943812,0
1,1,0.36311388,0
1,1,0.27954292,0
1,0,0.25296813,0
1,0,0.275641,0
1,0,0.275641,0
1,0,0.23470415,0
1,0,0.20989497,0
1,0,0.21028446,0
1,0,0.23767647,0
1,0,0.29430738,0
1,0,0.31517303,0
1,0,0.2931728,0
1,0,0.31114295,0
1,0,0.32572734,0
1,0,0.30356726,0
1,0,0.28718054,0
1,0,0.32122168,0
1,0,0.412943,0
1,0,0.36308917,0
1,0,0.36308917,0
1,0,0.36308917,0
1,0,0.31943792,0
1,0,0.3003388,0
1,0,0.258328,0
1,0,0.258328,0
1,0,0.24629949,0
1,0,0.27684814,0
1,0,0.26504868,0
1,0,0.3043262,0
1,0,0.29072762,0
1,0,0.25756654,0
1,0,0.29318416,0
1,0,0.33246702,0
1,0,0.29546234,0
1,0,0.27531302,0
1,0,0.27531302,0
1,0,0.2704121,0
1,0,0.27613482,0
1,0,0.2733471,0
1,0,0.32849124,0
1,1,0.27531302,0
1,1,0.2704121,0
1,1,0.27613482,0
1,1,0.2733471,0
1,1,0.32849124,0
1,1,0.38766566,0
1,1,0.36756256,0
1,1,0.3818286,0
1,1,0.3382517,0
1,1,0.38399145,0
1,1,0.44842908,0
1,1,0.37728855,0
1,1,0.3519979,0
1,1,0.3523059,0
1,1,0.3196078,0
1,1,0.26437563,0
1,1,0.28828052,0
1,1,0.28828052,0
1,1,0.35049063,0
1,0,0.39791912,0
1,0,0.39791912,0
1,0,0.41849974,0
1,0,0.38412064,0
1,0,0.35094604,0
1,0,0.28729504,0
1,0,0.31701937,0
1,0,0.42590111,0
1,0,0.3815071,0
1,0,0.3959735,0
1,0,0.3389435,0
1,0,0.354019,0
1,0,0.3417183,0
1,0,0.3292977,0
1,0,0.26134244,0
1,0,0.24559063,0
1,0,0.23971166,0
1,0,0.197227,0
1,0,0.17240502,0
1,0,0.30076367,0
1,0,0.30683658,0
1,0,0.25688124,0
1,0,0.24656337,0
1,0,0.21117821,0
1,0,0.22702514,0
1,0,0.21309231,0
1,0,0.18385112,0
1,0,0.16775097,0
1,0,0.14894395,0
1,0,0.13776483,0
1,0,0.15856414,0
1,0,0.15856414,0
1,0,0.17531066,0
1,0,0.18988599,0
1,0,0.1843533,0
1,0,0.17147356,0
1,0,0.18536656,0
1,0,0.19366223,0
1,0,0.48057082,0
1,0,0.48057082,0
1,0,0.48185095,0
1,0,0.40321946,0
1,0,0.37333995,0
1,0,0.45163402,0
1,0,0.47296435,0
1,0,0.4217772,0
1,0,0.387589,0
1,0,0.33405676,0
1,0,0.41381812,0
1,0,0.4107512,0
1,0,0.340858,0
1,0,0.29923084,0
1,0,0.35304844,0
1,0,0.38113657,0
1,0,0.37206572,0
1,0,0.44700903,0
1,0,0.54718375,1
1,1,0.3403187,0
1,1,0.31215078,0
1,1,0.27877268,0
1,1,0.22458223,0
1,1,0.20064169,0
1,1,0.2236649,0
1,1,0.27265853,0
1,1,0.24197301,0
1,1,0.22596802,0
1,1,0.26110005,0
1,1,0.26552036,0
1,1,0.27359298,0
1,0,0.25315517,0
1,0,0.26662832,0
1,0,0.34475532,0
1,0,0.3401848,0
1,0,0.38617563,0
1,0,0.3503926,0
1,0,0.34033057,0
1,0,0.42358875,0
1,0,0.37361792,0
1,0,0.42087665,0
1,0,0.40286696,0
1,0,0.41355512,0
1,0,0.4306462,0
1,0,0.36733976,0
1,0,0.3917195,0
1,0,0.40369162,0
1,0,0.37493518,0
1,0,0.2970175,0
1,0,0.25013083,0
1,0,0.25171983,0
1,0,0.27535382,0
1,0,0.31406328,0
1,0,0.29656482,0
1,0,0.3660518,0
1,0,0.36112228,0
1,0,0.33170128,0
1,0,0.28523165,0
1,0,0.25258476,0
1,0,0.30167636,0
1,0,0.25618133,0
1,0,0.37996688,0
1,0,0.37996688,0
1,0,0.47777328,0
1,0,0.47096777,0
1,0,0.5575201,1
1,0,0.49893615,0
1,0,0.48973432,0
1,0,0.4187591,0
1,0,0.39601845,0
1,0,0.3945267,0
1,0,0.3480617,0
1,0,0.3480617,0
1,0,0.3003385,0
1,0,0.33720964,0
1,0,0.3658782,0
1,0,0.44229174,0
1,0,0.43085092,0
1,0,0.3684595,0
1,0,0.3684595,0
1,0,0.30446613,0
1,0,0.33536032,0
1,0,0.33112767,0
1,0,0.33112767,0
1,0,0.30669442,0
1,0,0.29651627,0
1,0,0.33757207,0
1,0,0.36177424,0
1,0,0.37872598,0
1,0,0.32215226,0
1,0,0.27171817,0
2,0,0.30699503,0
2,0,0.29886317,0
2,0,0.26117164,0
