Fold,Label,Prob,Preds
1,1,0.8711842,1
1,1,0.85171455,1
1,1,0.8405315,1
1,1,0.823378,1
1,1,0.7847201,1
1,1,0.7927552,1
1,1,0.8141988,1
1,1,0.7886059,1
1,1,0.8248299,1
1,1,0.8243416,1
1,1,0.8147858,1
1,1,0.78897613,1
1,1,0.82300174,1
1,1,0.8334108,1
1,1,0.83440804,1
1,1,0.85583806,1
1,1,0.8515632,1
1,1,0.8695996,1
1,1,0.87717366,1
1,1,0.9033274,1
1,1,0.9038672,1
1,1,0.891296,1
1,1,0.9109703,1
1,1,0.9082062,1
1,1,0.9037599,1
1,1,0.9091023,1
1,1,0.84890985,1
1,1,0.8514022,1
1,1,0.8825318,1
1,1,0.8825318,1
1,1,0.86523104,1
1,1,0.87160474,1
1,1,0.881453,1
1,1,0.89677054,1
1,1,0.88874507,1
1,1,0.9016454,1
1,1,0.8956491,1
1,1,0.8956491,1
1,1,0.87818295,1
1,1,0.86586607,1
1,1,0.8566374,1
1,1,0.88059837,1
1,0,0.95009667,1
1,0,0.9473972,1
1,0,0.9476563,1
1,0,0.94850063,1
1,0,0.9446976,1
1,0,0.9386183,1
1,0,0.9410317,1
1,0,0.9345637,1
1,0,0.9314113,1
1,0,0.9375487,1
1,0,0.92718625,1
1,0,0.92604107,1
1,0,0.9241893,1
1,0,0.9253637,1
1,0,0.92618614,1
1,0,0.8193153,1
1,0,0.8426789,1
1,0,0.82948965,1
1,0,0.8299682,1
1,0,0.86592835,1
1,0,0.8641919,1
1,0,0.876123,1
1,0,0.8709168,1
1,0,0.8590479,1
1,0,0.852928,1
1,0,0.8764401,1
1,0,0.880763,1
1,0,0.8961901,1
1,1,0.9094698,1
1,1,0.9148016,1
1,1,0.9267626,1
1,1,0.91405964,1
1,1,0.9023204,1
1,1,0.9168358,1
1,1,0.89468616,1
1,1,0.8967466,1
1,1,0.88823783,1
1,1,0.8736006,1
1,1,0.8887589,1
1,1,0.87511325,1
1,1,0.8651596,1
1,1,0.87125176,1
1,1,0.8607153,1
1,1,0.8505151,1
1,0,0.86537135,1
1,0,0.8550471,1
1,0,0.8798217,1
1,0,0.89210075,1
1,0,0.8903297,1
1,0,0.8898923,1
1,0,0.89413506,1
1,0,0.8775069,1
1,0,0.86882013,1
1,0,0.89498246,1
1,0,0.90615827,1
1,0,0.90558475,1
1,0,0.9091492,1
1,0,0.92895347,1
1,1,0.89374137,1
1,1,0.9000008,1
1,1,0.9028231,1
1,1,0.8964842,1
1,1,0.88818365,1
1,1,0.8822548,1
1,1,0.8842874,1
1,1,0.88086456,1
1,1,0.8673698,1
1,1,0.8515157,1
1,1,0.8205893,1
1,1,0.8096032,1
1,1,0.8241005,1
1,1,0.81084067,1
1,1,0.8707917,1
1,1,0.82900244,1
1,1,0.84605294,1
1,1,0.86537135,1
1,1,0.8550471,1
1,1,0.8798217,1
1,1,0.89210075,1
1,1,0.8903297,1
1,1,0.8898923,1
1,1,0.89413506,1
1,1,0.8775069,1
1,1,0.86882013,1
1,1,0.89498246,1
1,1,0.90615827,1
1,1,0.90558475,1
1,1,0.9091492,1
1,1,0.92895347,1
1,1,0.9298708,1
1,1,0.9172116,1
1,1,0.8435444,1
1,1,0.82402134,1
1,1,0.8394407,1
1,1,0.83525974,1
1,1,0.82526684,1
1,1,0.83350974,1
1,1,0.8740969,1
1,1,0.85497135,1
1,1,0.8224011,1
1,1,0.84425026,1
1,1,0.86420196,1
1,1,0.8456476,1
1,1,0.8694478,1
1,1,0.8778312,1
1,1,0.87546086,1
1,1,0.890173,1
1,1,0.890173,1
1,1,0.886883,1
1,1,0.90206546,1
1,1,0.90514314,1
1,1,0.89992195,1
1,1,0.8891148,1
1,1,0.9065142,1
1,1,0.9250857,1
1,1,0.9232883,1
1,1,0.9120217,1
1,1,0.9134476,1
1,1,0.8992132,1
1,1,0.8852438,1
1,1,0.87142986,1
1,1,0.86524236,1
1,1,0.8314323,1
1,1,0.8505396,1
1,1,0.88213545,1
1,1,0.88213545,1
1,1,0.86506057,1
1,1,0.83810383,1
1,1,0.84108984,1
1,1,0.859502,1
1,1,0.85593724,1
1,1,0.87326443,1
1,1,0.866201,1
1,1,0.8537563,1
1,1,0.8525691,1
1,1,0.8702124,1
1,1,0.8803377,1
1,1,0.9008442,1
1,1,0.900348,1
1,1,0.89526206,1
1,0,0.9029897,1
1,0,0.91564614,1
1,0,0.935637,1
1,0,0.9404949,1
1,0,0.9401045,1
1,0,0.92775226,1
1,0,0.91794205,1
1,0,0.8959413,1
1,0,0.8709356,1
1,0,0.8504062,1
1,0,0.8661059,1
1,0,0.8756412,1
1,0,0.86248416,1
1,0,0.855755,1
1,0,0.8644688,1
1,0,0.8546613,1
1,1,0.8546613,1
1,1,0.8559147,1
1,1,0.8649526,1
1,1,0.84987843,1
1,1,0.84987843,1
1,1,0.8355282,1
1,1,0.8380884,1
1,1,0.8703774,1
1,1,0.8699225,1
1,1,0.8826229,1
1,1,0.8610331,1
1,1,0.84909374,1
1,1,0.8444369,1
1,1,0.86894894,1
