Fold,Label,Prob,Preds
1,1,0.874333,1
1,1,0.703898,1
1,1,0.67113227,1
1,1,0.73317915,1
1,1,0.6409483,1
1,1,0.7216981,1
1,1,0.68184656,1
1,1,0.48125353,0
1,1,0.3048902,0
1,1,0.5116939,1
1,1,0.15657921,0
1,1,0.32714227,0
1,1,0.4122935,0
1,1,0.35353953,0
1,1,0.24676114,0
1,1,0.35239232,0
1,1,0.41747895,0
1,1,0.4331079,0
1,1,0.41841814,0
1,1,0.5387857,1
1,1,0.36302987,0
1,1,0.27304548,0
1,1,0.46242505,0
1,1,0.47392502,0
1,1,0.52753764,1
1,1,0.55440724,1
1,1,0.6538975,1
1,1,0.6990338,1
1,1,0.75360465,1
1,1,0.60883415,1
1,1,0.49781644,0
1,1,0.4678202,0
1,1,0.5878078,1
1,1,0.6139822,1
1,1,0.5693679,1
1,1,0.5970426,1
1,1,0.52054304,1
1,1,0.6426381,1
1,1,0.70619905,1
1,1,0.58921033,1
1,1,0.56614745,1
1,1,0.51223916,1
1,1,0.525835,1
1,1,0.6160258,1
1,1,0.22889088,0
1,1,0.67218864,1
1,1,0.58202964,1
1,1,0.6579037,1
1,1,0.31092522,0
1,0,0.54610056,1
1,0,0.54324424,1
1,0,0.5192541,1
1,0,0.5740157,1
1,0,0.59730655,1
1,0,0.46138543,0
1,0,0.53273463,1
1,0,0.51620007,1
1,0,0.44339788,0
1,0,0.33427203,0
1,0,0.39384347,0
1,0,0.69906896,1
1,0,0.4932985,0
1,0,0.57683533,1
1,0,0.47604162,0
1,0,0.69494957,1
1,0,0.44047377,0
1,0,0.43669575,0
1,0,0.5910554,1
1,0,0.57077235,1
1,1,0.5684661,1
1,1,0.617071,1
1,1,0.5065099,1
1,1,0.48497355,0
1,1,0.41457787,0
1,1,0.4282085,0
1,1,0.3345588,0
1,1,0.35318,0
1,1,0.37100238,0
1,1,0.38437083,0
1,1,0.39625922,0
1,1,0.28275496,0
1,1,0.3736168,0
1,1,0.37717247,0
1,1,0.3650271,0
1,0,0.07733007,0
1,0,0.09723222,0
1,0,0.09084202,0
1,0,0.107924156,0
1,0,0.21837795,0
1,0,0.14717823,0
1,0,0.21160828,0
1,0,0.2546053,0
1,0,0.3482322,0
1,0,0.4256812,0
1,0,0.3758915,0
1,0,0.46765965,0
1,0,0.54156196,1
1,0,0.48830652,0
1,0,0.5333801,1
1,0,0.37137535,0
1,0,0.43720955,0
1,0,0.061489332,0
1,0,0.3732522,0
1,0,0.08282839,0
1,1,0.11495613,0
1,1,0.090131626,0
1,1,0.4164737,0
1,1,0.107617356,0
1,1,0.12499256,0
1,1,0.25213143,0
1,1,0.7069745,1
1,1,0.61764634,1
1,1,0.6847268,1
1,1,0.5200085,1
1,1,0.76449275,1
1,1,0.5530537,1
1,1,0.6627104,1
1,1,0.7147481,1
1,1,0.8019035,1
1,0,0.6431424,1
1,0,0.8409349,1
1,0,0.7771735,1
1,0,0.65400213,1
1,0,0.6768499,1
1,0,0.68764704,1
1,0,0.74211717,1
1,0,0.79866314,1
1,0,0.7064386,1
1,0,0.64182484,1
1,0,0.55744684,1
1,0,0.5245031,1
1,0,0.53642994,1
1,0,0.43576148,0
1,0,0.44745064,0
1,0,0.44855022,0
1,0,0.58017063,1
1,0,0.7232448,1
1,0,0.57841164,1
1,0,0.47063184,0
1,1,0.4432773,0
1,1,0.5199656,1
1,1,0.584049,1
1,1,0.6709749,1
1,1,0.69019026,1
1,1,0.6449018,1
1,1,0.7108483,1
1,1,0.57871443,1
1,1,0.50169355,1
1,1,0.4546906,0
1,1,0.5164115,1
1,1,0.33601698,0
1,1,0.3769385,0
1,1,0.30064896,0
1,1,0.34330872,0
1,0,0.34663406,0
1,0,0.19339521,0
1,0,0.36594087,0
1,0,0.26098222,0
1,0,0.28986332,0
1,0,0.2555972,0
1,0,0.3052298,0
1,0,0.2965076,0
1,0,0.3139666,0
1,0,0.34840348,0
1,0,0.24081336,0
1,0,0.19016732,0
1,0,0.26849443,0
1,0,0.21310619,0
1,0,0.2581033,0
1,0,0.39427644,0
1,0,0.2811184,0
1,0,0.18719263,0
1,0,0.31727356,0
1,0,0.2932881,0
1,0,0.23164685,0
1,0,0.25478336,0
1,0,0.19091982,0
1,0,0.16414505,0
1,0,0.22248638,0
1,0,0.21002169,0
1,0,0.31955418,0
1,0,0.28221107,0
1,0,0.2983352,0
1,0,0.32521108,0
1,0,0.21681952,0
1,0,0.26629096,0
1,0,0.21263334,0
1,0,0.50258785,1
1,0,0.27601004,0
1,0,0.680321,1
1,0,0.4481113,0
1,0,0.678451,1
1,0,0.33997366,0
1,0,0.5095491,1
1,0,0.24216935,0
1,0,0.1869246,0
1,0,0.20552807,0
1,0,0.24170703,0
1,0,0.24763612,0
1,0,0.11850345,0
1,0,0.14388444,0
1,0,0.22227617,0
1,0,0.2710957,0
1,0,0.23461965,0
1,0,0.30507633,0
1,0,0.28117317,0
1,0,0.20082097,0
1,0,0.44790763,0
1,0,0.46270728,0
1,0,0.41785538,0
1,0,0.32612798,0
1,0,0.4671113,0
1,0,0.50412494,1
1,1,0.498179,0
1,1,0.5980751,1
1,1,0.64065653,1
1,1,0.44427714,0
1,1,0.6693608,1
1,1,0.5378553,1
1,1,0.25144076,0
1,1,0.45427907,0
