Fold,Label,Prob,Preds
1,1,0.6759416,1
1,1,0.6633767,1
1,1,0.66173565,1
1,1,0.6715168,1
1,1,0.68241155,1
1,1,0.6817925,1
1,1,0.6634475,1
1,1,0.6706135,1
1,1,0.6726324,1
1,1,0.675778,1
1,1,0.67087156,1
1,1,0.6698594,1
1,1,0.6654872,1
1,1,0.67063046,1
1,1,0.62462354,1
1,1,0.62418354,1
1,1,0.61221355,1
1,1,0.6124041,1
1,1,0.62391275,1
1,1,0.60594827,1
1,1,0.60781634,1
1,1,0.6132978,1
1,1,0.5976887,1
1,1,0.6104482,1
1,1,0.610876,1
1,1,0.6129973,1
1,1,0.6099177,1
1,1,0.62035006,1
1,1,0.6186111,1
1,1,0.7391197,1
1,1,0.7151785,1
1,1,0.71977353,1
1,1,0.71565545,1
1,1,0.7271062,1
1,1,0.7188111,1
1,1,0.7330452,1
1,1,0.73662394,1
1,1,0.8375252,1
1,1,0.84900886,1
1,1,0.84309244,1
1,1,0.8346124,1
1,1,0.8094237,1
1,1,0.80520165,1
1,1,0.82597005,1
1,1,0.8294155,1
1,1,0.8082016,1
1,1,0.80211866,1
1,1,0.78152543,1
1,1,0.7304747,1
1,1,0.7763037,1
1,1,0.8087947,1
1,1,0.8279555,1
1,1,0.7945016,1
1,1,0.8057614,1
1,1,0.8028593,1
1,1,0.8030386,1
1,1,0.7778873,1
1,1,0.8062783,1
1,1,0.8027255,1
1,1,0.7778773,1
1,1,0.788448,1
1,1,0.7780738,1
1,1,0.8235172,1
1,1,0.78689367,1
1,1,0.7506797,1
1,1,0.7273971,1
1,1,0.7530205,1
1,1,0.73152256,1
1,1,0.68624353,1
1,1,0.6653938,1
1,1,0.74290043,1
1,1,0.7254353,1
1,1,0.67565775,1
1,1,0.674652,1
1,1,0.67301583,1
1,1,0.66162306,1
1,1,0.62542975,1
1,1,0.72151136,1
1,1,0.6810227,1
1,1,0.66964936,1
1,1,0.6907994,1
1,1,0.6979982,1
1,1,0.7437136,1
1,1,0.7405824,1
1,1,0.7563357,1
1,1,0.78706443,1
1,1,0.736046,1
1,1,0.7642984,1
1,1,0.79049516,1
1,1,0.77480876,1
1,1,0.78928757,1
1,0,0.63122356,1
1,0,0.63959235,1
1,0,0.6254254,1
1,0,0.62542623,1
1,0,0.62683105,1
1,0,0.6123074,1
1,0,0.62291,1
1,0,0.61978,1
1,0,0.622262,1
1,1,0.63073736,1
1,1,0.64199495,1
1,1,0.6572924,1
1,1,0.66298383,1
1,1,0.6442211,1
1,1,0.66794705,1
1,1,0.63020015,1
1,1,0.53764594,1
1,1,0.54878247,1
1,1,0.5121118,1
1,1,0.5619323,1
1,1,0.49601743,0
1,1,0.48352608,0
1,1,0.4293253,0
1,1,0.58061814,1
1,1,0.4785485,0
1,1,0.7043782,1
1,1,0.69097483,1
1,1,0.68925816,1
1,1,0.6901065,1
1,1,0.70203334,1
1,1,0.69817084,1
1,1,0.6890825,1
1,1,0.67681974,1
1,1,0.68922126,1
1,1,0.7000457,1
1,1,0.6981333,1
1,1,0.69916934,1
1,1,0.69361955,1
1,1,0.6967105,1
1,1,0.6654174,1
1,1,0.6612844,1
1,1,0.6662599,1
1,1,0.65820616,1
1,1,0.6724865,1
1,1,0.6704178,1
1,1,0.6776952,1
1,1,0.6836595,1
1,1,0.67823595,1
1,1,0.6614402,1
1,1,0.67134583,1
1,1,0.66389334,1
1,1,0.65945965,1
1,1,0.6598461,1
1,1,0.66653776,1
1,1,0.64055085,1
1,1,0.5621765,1
1,1,0.56852895,1
1,1,0.62700206,1
1,1,0.5911899,1
1,1,0.5753386,1
1,1,0.5624359,1
1,1,0.6433324,1
1,1,0.55985093,1
1,1,0.5905708,1
1,1,0.5923961,1
1,1,0.68557674,1
1,1,0.665073,1
1,1,0.720885,1
1,1,0.57989085,1
1,1,0.59592265,1
1,1,0.6053634,1
1,1,0.6082951,1
1,1,0.61049783,1
1,1,0.62587446,1
1,1,0.6204042,1
1,1,0.618495,1
1,1,0.6290322,1
1,1,0.6397956,1
1,1,0.62150776,1
1,1,0.5953644,1
1,1,0.61288625,1
1,1,0.6426452,1
1,1,0.6090023,1
1,1,0.62523323,1
1,1,0.6099996,1
1,1,0.59647536,1
1,1,0.60616815,1
1,1,0.583147,1
1,1,0.61824423,1
1,1,0.60624015,1
1,1,0.59281147,1
1,1,0.5833783,1
1,1,0.58482414,1
1,1,0.6030499,1
1,1,0.5966151,1
1,1,0.5976238,1
1,1,0.59616774,1
1,1,0.59632623,1
1,1,0.6028097,1
1,1,0.6059941,1
1,1,0.60444355,1
1,1,0.59921014,1
1,1,0.6109638,1
1,1,0.663748,1
1,1,0.6644608,1
1,1,0.6631186,1
1,1,0.6484924,1
1,1,0.6503235,1
1,1,0.6207091,1
1,1,0.6104416,1
1,1,0.6065235,1
1,1,0.6094245,1
1,1,0.6087751,1
1,1,0.6103174,1
1,1,0.59633154,1
1,1,0.5966474,1
1,1,0.61016995,1
1,1,0.59042263,1
1,1,0.5743534,1
1,1,0.5845414,1
1,1,0.57904905,1
1,1,0.58661896,1
1,1,0.5939403,1
1,1,0.61254865,1
1,1,0.6132857,1
1,1,0.60051745,1
1,1,0.634043,1
1,1,0.6321635,1
1,1,0.62971485,1
1,1,0.62234676,1
1,1,0.61724,1
1,1,0.62693316,1
1,1,0.62413704,1
1,1,0.6171822,1
1,1,0.60918653,1
1,1,0.6011928,1
1,1,0.60398304,1
1,1,0.6098403,1
1,1,0.6151399,1
1,1,0.6074261,1
1,1,0.60854614,1
1,1,0.61382556,1
1,1,0.6159544,1
1,1,0.62710464,1
1,1,0.63175035,1
1,1,0.6172377,1
1,1,0.6091583,1
1,1,0.6112001,1
1,1,0.625627,1
1,1,0.6186162,1
1,1,0.6195272,1
1,1,0.61695755,1
1,1,0.6283756,1
1,1,0.62263685,1
1,1,0.63640785,1
1,1,0.6360819,1
1,1,0.631532,1
1,1,0.6346569,1
1,1,0.6498759,1
1,1,0.62324226,1
1,1,0.64112985,1
1,1,0.633375,1
1,1,0.63539046,1
1,1,0.62865824,1
1,1,0.608447,1
1,1,0.63443536,1
1,1,0.61937994,1
1,1,0.6141293,1
1,1,0.62011117,1
1,1,0.61733466,1
1,1,0.6215102,1
1,1,0.60175717,1
1,1,0.6022626,1
1,1,0.61912733,1
1,1,0.59675103,1
1,1,0.5926778,1
1,1,0.597519,1
1,1,0.59132457,1
1,1,0.59760815,1
1,1,0.60357046,1
1,1,0.6309449,1
1,1,0.6242212,1
1,1,0.63326335,1
1,1,0.6365457,1
1,1,0.6345549,1
1,1,0.638398,1
1,1,0.6372514,1
1,1,0.6294445,1
1,1,0.6245105,1
1,1,0.63573486,1
1,1,0.6164729,1
1,1,0.6103534,1
1,1,0.61012775,1
1,1,0.6280321,1
1,1,0.61951375,1
1,1,0.62470806,1
1,1,0.61389285,1
1,1,0.62036586,1
1,1,0.6175524,1
1,1,0.6300494,1
1,1,0.6380096,1
1,1,0.6258896,1
1,1,0.62898386,1
1,1,0.77255017,1
1,1,0.76844776,1
1,1,0.7665078,1
1,1,0.78498584,1
1,1,0.7663181,1
1,1,0.773794,1
1,1,0.7739683,1
1,1,0.7600386,1
1,1,0.7528457,1
1,1,0.76777315,1
1,1,0.77884066,1
1,1,0.76137966,1
1,1,0.76160014,1
1,1,0.7676939,1
1,1,0.79300267,1
1,1,0.7670006,1
1,1,0.74572814,1
1,1,0.72025496,1
1,1,0.7516139,1
1,1,0.7474746,1
1,1,0.7560297,1
1,1,0.75072646,1
1,1,0.73856294,1
1,1,0.73592603,1
1,1,0.7359709,1
1,1,0.7465178,1
1,1,0.7763025,1
1,1,0.7415372,1
1,1,0.70320404,1
1,1,0.73526025,1
1,1,0.70080304,1
1,1,0.7064408,1
1,1,0.6809288,1
1,1,0.6870535,1
1,1,0.70125085,1
1,1,0.71347594,1
1,1,0.6912854,1
1,1,0.69997215,1
1,1,0.73729473,1
1,1,0.7241986,1
1,1,0.690969,1
1,1,0.67279255,1
1,1,0.6712744,1
1,1,0.671831,1
1,1,0.68783563,1
1,1,0.6825001,1
1,1,0.673606,1
1,1,0.66402525,1
1,1,0.67362607,1
1,1,0.68836665,1
1,1,0.68700373,1
1,1,0.69040525,1
1,1,0.68640333,1
1,1,0.6895091,1
1,1,0.5789711,1
1,1,0.5901418,1
1,1,0.57651865,1
1,1,0.57977355,1
1,1,0.58251965,1
1,1,0.5728234,1
1,1,0.5851814,1
1,1,0.5872101,1
1,1,0.5857214,1
1,1,0.60204446,1
1,1,0.57639265,1
1,1,0.5465637,1
1,1,0.57446635,1
1,1,0.520772,1
1,1,0.5088519,1
1,1,0.49325737,0
1,1,0.55203944,1
1,1,0.444886,0
1,1,0.4651349,0
1,1,0.44443688,0
1,1,0.5710528,1
1,1,0.5589338,1
1,1,0.61362404,1
1,1,0.6199017,1
1,1,0.60544235,1
1,1,0.5958864,1
1,1,0.60055846,1
1,1,0.6116569,1
1,1,0.6068194,1
1,1,0.61142373,1
1,1,0.6044373,1
1,1,0.61585945,1
1,1,0.61748546,1
1,1,0.6215382,1
1,1,0.622515,1
1,1,0.6198126,1
1,1,0.6206866,1
1,1,0.66714823,1
1,1,0.65358526,1
1,1,0.63222206,1
1,1,0.6481628,1
1,1,0.65202093,1
1,1,0.6340045,1
1,1,0.6218026,1
1,1,0.61717063,1
1,1,0.6203654,1
1,1,0.59154195,1
1,1,0.6028202,1
1,1,0.5978641,1
1,1,0.5798791,1
1,1,0.57798254,1
1,1,0.5784553,1
1,1,0.5746076,1
1,1,0.56753296,1
1,1,0.5822969,1
1,1,0.5796203,1
1,1,0.6192018,1
1,1,0.6018431,1
1,1,0.60030746,1
1,1,0.5995865,1
1,1,0.61355597,1
1,1,0.60406166,1
1,1,0.6081227,1
1,1,0.6038578,1
1,1,0.61498636,1
1,1,0.61198866,1
1,1,0.62229234,1
1,1,0.62469614,1
1,1,0.61516106,1
1,1,0.6215745,1
1,0,0.7152645,1
1,0,0.7012781,1
1,0,0.7162854,1
1,0,0.69255036,1
1,0,0.71810645,1
1,0,0.6900528,1
1,0,0.69768286,1
1,0,0.68984103,1
1,0,0.6971883,1
1,0,0.6959513,1
1,0,0.6994882,1
1,0,0.68775594,1
1,0,0.691636,1
1,0,0.7305766,1
1,0,0.7072723,1
1,0,0.70138425,1
1,0,0.711869,1
1,1,0.66974974,1
1,1,0.69073343,1
1,1,0.68939215,1
1,1,0.7019312,1
1,1,0.71024317,1
1,1,0.6857523,1
1,1,0.7214198,1
1,1,0.6985039,1
1,1,0.69965905,1
1,1,0.72409046,1
1,1,0.69577485,1
1,1,0.6754063,1
1,1,0.6798504,1
1,1,0.70425105,1
1,1,0.65450996,1
1,1,0.65551275,1
1,1,0.66925466,1
1,1,0.6618525,1
1,1,0.6660536,1
1,1,0.65529805,1
1,1,0.5811374,1
1,1,0.5842785,1
1,1,0.5824537,1
1,1,0.57744443,1
1,1,0.5892398,1
1,1,0.59093654,1
1,1,0.5844666,1
1,1,0.59389895,1
1,1,0.6009708,1
1,1,0.5976107,1
1,1,0.5884144,1
1,1,0.6116181,1
1,1,0.61792696,1
1,1,0.5963372,1
1,1,0.6051315,1
1,1,0.6008102,1
1,1,0.60667574,1
1,1,0.60327005,1
1,1,0.61119515,1
1,1,0.61907727,1
1,1,0.6267361,1
1,1,0.6181592,1
1,1,0.61322224,1
1,1,0.6059874,1
1,1,0.6221439,1
1,1,0.6047613,1
1,1,0.6351049,1
1,1,0.6351335,1
1,1,0.6298954,1
1,1,0.6305483,1
1,1,0.632766,1
1,0,0.5790856,1
1,0,0.58152187,1
1,0,0.57215405,1
1,0,0.5837594,1
1,0,0.5868369,1
1,0,0.58484644,1
1,0,0.5855262,1
1,0,0.5897983,1
1,0,0.59045064,1
1,0,0.59183925,1
1,0,0.60301846,1
1,0,0.5983584,1
1,0,0.57934225,1
1,0,0.5830213,1
1,0,0.5785321,1
1,0,0.58006823,1
1,0,0.57944924,1
1,0,0.5820947,1
1,0,0.5837129,1
1,0,0.58565384,1
1,0,0.6191236,1
1,0,0.6353998,1
1,0,0.63964266,1
1,0,0.6456183,1
1,0,0.6398847,1
1,0,0.651521,1
1,0,0.654279,1
1,0,0.64855105,1
1,0,0.6313053,1
1,0,0.6284898,1
1,0,0.6520059,1
1,0,0.65265983,1
1,0,0.6289813,1
1,0,0.64493495,1
1,0,0.63863957,1
1,0,0.6345407,1
1,0,0.6269338,1
1,0,0.63118416,1
1,0,0.62272286,1
1,0,0.6308805,1
1,0,0.5986481,1
1,0,0.5883367,1
1,0,0.59779376,1
1,0,0.5894944,1
1,0,0.59870994,1
1,0,0.58492947,1
1,0,0.5981823,1
1,0,0.6085437,1
1,0,0.60479933,1
1,0,0.61189544,1
1,0,0.61210144,1
1,0,0.61030626,1
1,0,0.6139957,1
1,0,0.6167376,1
1,0,0.61348605,1
1,1,0.61692977,1
1,1,0.6333372,1
1,1,0.6305491,1
1,1,0.6274754,1
1,1,0.63377696,1
1,1,0.6393682,1
1,1,0.644276,1
1,1,0.6283117,1
1,1,0.6603847,1
1,1,0.6589578,1
1,1,0.663911,1
1,1,0.6693902,1
1,1,0.6525858,1
1,1,0.65551716,1
1,1,0.60570514,1
1,1,0.6060424,1
1,1,0.6103545,1
1,1,0.60622895,1
1,1,0.60430646,1
1,1,0.60030115,1
1,1,0.61296093,1
1,1,0.6201656,1
1,1,0.6027444,1
1,1,0.61307865,1
1,1,0.61474115,1
1,1,0.62737185,1
1,1,0.6267545,1
1,1,0.605077,1
1,0,0.64771646,1
1,0,0.62258226,1
1,0,0.623689,1
1,0,0.6324919,1
1,0,0.63123596,1
1,0,0.6208154,1
1,0,0.625164,1
1,0,0.62879515,1
1,1,0.6371555,1
1,1,0.6355579,1
1,1,0.64694005,1
1,1,0.6418265,1
1,1,0.6624144,1
1,1,0.6671966,1
1,1,0.631156,1
1,1,0.62470186,1
1,1,0.63392395,1
1,1,0.63791996,1
1,1,0.6356356,1
1,1,0.6393618,1
1,1,0.63842905,1
1,1,0.6306852,1
1,1,0.62576634,1
1,1,0.6001892,1
1,1,0.60256106,1
1,1,0.6072498,1
1,1,0.5979011,1
1,1,0.60065544,1
1,1,0.60329187,1
1,1,0.607432,1
1,1,0.60092175,1
1,0,0.6845851,1
1,0,0.7026421,1
1,0,0.73403597,1
1,0,0.7092555,1
1,0,0.6818176,1
1,0,0.6801644,1
1,0,0.68596166,1
1,0,0.68065065,1
1,0,0.64419085,1
1,0,0.699346,1
1,0,0.6812526,1
1,0,0.6645922,1
1,0,0.70087117,1
1,0,0.70330226,1
1,0,0.7011673,1
1,0,0.6915011,1
1,0,0.6797774,1
1,0,0.67274433,1
1,0,0.66199005,1
1,0,0.67818695,1
1,0,0.66733825,1
1,0,0.6694253,1
1,0,0.6460431,1
1,0,0.6581729,1
1,0,0.6560508,1
1,0,0.657097,1
1,0,0.67015517,1
1,0,0.67554355,1
1,0,0.6675461,1
1,0,0.6810465,1
1,0,0.6785533,1
1,0,0.69217354,1
1,0,0.6978056,1
1,0,0.6831566,1
1,0,0.702274,1
1,0,0.7103873,1
1,0,0.6865046,1
1,0,0.7091681,1
1,0,0.7077208,1
1,0,0.71180755,1
1,0,0.7170899,1
1,0,0.70894337,1
1,0,0.6786249,1
1,0,0.68843794,1
1,0,0.67904,1
1,0,0.6545259,1
1,0,0.6567153,1
1,0,0.67114806,1
1,0,0.6724194,1
1,0,0.6661373,1
1,0,0.67433226,1
1,0,0.6610974,1
1,0,0.66618085,1
1,0,0.6953628,1
1,0,0.6898179,1
1,0,0.6863616,1
1,0,0.7022211,1
1,0,0.7187144,1
1,0,0.70956063,1
1,0,0.7288743,1
1,0,0.7321455,1
1,0,0.6941444,1
1,0,0.70263076,1
1,0,0.7140775,1
1,0,0.72285575,1
1,0,0.7171619,1
1,0,0.7168626,1
1,0,0.7036371,1
1,0,0.7236449,1
1,0,0.71685696,1
1,0,0.7142326,1
1,0,0.71605736,1
1,0,0.73043054,1
1,0,0.70681703,1
1,0,0.7164232,1
1,0,0.7088321,1
1,0,0.7297043,1
1,0,0.7166017,1
1,0,0.7074223,1
1,0,0.71032035,1
1,0,0.7164499,1
1,0,0.7117013,1
1,0,0.71048385,1
1,0,0.7127894,1
1,0,0.67998505,1
1,0,0.68695366,1
1,0,0.71187395,1
1,0,0.6872552,1
1,0,0.6937465,1
1,0,0.7044381,1
1,0,0.6885751,1
1,0,0.7157637,1
1,0,0.6882605,1
1,0,0.67176294,1
1,0,0.69427645,1
1,0,0.70641124,1
1,0,0.702682,1
1,0,0.71433276,1
1,0,0.70644075,1
1,0,0.7106813,1
1,0,0.7013141,1
1,0,0.70613587,1
1,0,0.69164616,1
1,0,0.6812442,1
1,0,0.7001483,1
1,0,0.6968505,1
1,0,0.6817148,1
1,0,0.68073195,1
1,0,0.6902953,1
1,0,0.6958304,1
1,0,0.6881688,1
1,0,0.6879973,1
1,0,0.7023455,1
1,0,0.6937502,1
1,0,0.6950498,1
1,0,0.69839174,1
1,0,0.6873211,1
1,0,0.6722948,1
1,1,0.68353575,1
1,1,0.666054,1
1,1,0.66238445,1
1,1,0.6791315,1
1,1,0.68643075,1
1,1,0.67559624,1
1,1,0.6675256,1
1,1,0.66994274,1
1,1,0.6747945,1
1,1,0.66340536,1
1,1,0.6747409,1
1,0,0.663532,1
1,0,0.6717039,1
1,0,0.67615056,1
1,0,0.6746561,1
1,0,0.6569565,1
1,0,0.6729376,1
1,0,0.6667647,1
1,0,0.6576489,1
1,0,0.6611193,1
1,0,0.67025,1
1,0,0.6667762,1
1,0,0.68354535,1
1,0,0.670371,1
1,0,0.6853921,1
1,0,0.654983,1
1,0,0.6306963,1
1,0,0.65862834,1
1,0,0.6577524,1
1,0,0.62379056,1
1,0,0.6720078,1
1,0,0.6786869,1
1,0,0.6711965,1
1,0,0.6637738,1
