Fold,Label,Prob,Preds
1,0,0.9445078,1
1,0,0.9812294,1
1,0,0.9036482,1
1,0,0.9734361,1
1,0,0.97810817,1
1,0,0.9621582,1
1,0,0.9488295,1
1,0,0.91902727,1
1,0,0.9591772,1
1,0,0.9271225,1
1,0,0.9499212,1
1,0,0.7519457,1
1,0,0.75398815,1
1,0,0.86371106,1
1,0,0.6401376,1
1,0,0.67584336,1
1,0,0.9042847,1
1,0,0.77860504,1
1,0,0.5277123,1
1,0,0.8892476,1
1,0,0.76760286,1
1,0,0.80183065,1
1,0,0.5898576,1
1,0,0.28728968,0
1,0,0.23517044,0
1,0,0.75128233,1
1,0,0.6433364,1
1,0,0.91965044,1
1,0,0.90124005,1
1,0,0.50025433,1
1,0,0.6099786,1
1,0,0.3310452,0
1,0,0.64851004,1
1,0,0.1302039,0
1,0,0.9659483,1
1,0,0.7554487,1
1,0,0.73042345,1
1,0,0.38965645,0
1,0,0.9554649,1
1,0,0.6444706,1
1,0,0.90644526,1
1,0,0.44036803,0
1,0,0.6231019,1
1,0,0.060427945,0
1,0,0.24813472,0
1,0,0.57889295,1
1,0,0.25270712,0
1,0,0.6557084,1
1,0,0.29397178,0
1,0,0.25300035,0
1,0,0.78562564,1
1,0,0.8747252,1
1,0,0.73298734,1
1,0,0.7135918,1
1,0,0.5323171,1
1,0,0.7886031,1
1,0,0.67192787,1
1,0,0.5196244,1
1,0,0.1374903,0
1,0,0.26579517,0
1,0,0.2174815,0
1,0,0.03678579,0
1,0,0.2813582,0
1,0,0.6460331,1
1,0,0.81322825,1
1,0,0.122107446,0
1,0,0.7552192,1
1,0,0.61469376,1
1,0,0.54438937,1
1,0,0.90498567,1
1,0,0.5494542,1
1,0,0.77141094,1
1,0,0.6597145,1
1,0,0.5736267,1
1,0,0.67429817,1
1,0,0.39590243,0
1,0,0.7850779,1
1,0,0.59076095,1
1,0,0.7274883,1
1,0,0.83575886,1
1,0,0.62779206,1
1,0,0.50234306,1
1,0,0.8470422,1
1,0,0.69908047,1
1,0,0.113485724,0
1,0,0.40512505,0
1,0,0.6491698,1
1,0,0.9155305,1
1,0,0.9617099,1
1,0,0.8203265,1
1,0,0.94434583,1
1,0,0.97118515,1
1,0,0.93738055,1
1,0,0.45986855,0
1,0,0.725826,1
1,0,0.20552865,0
1,0,0.33147645,0
1,0,0.8379903,1
1,0,0.59059864,1
1,0,0.7517633,1
1,0,0.83114505,1
1,0,0.8780451,1
1,0,0.8372767,1
1,0,0.79437125,1
1,0,0.7963278,1
1,0,0.93570733,1
1,0,0.7910102,1
1,0,0.785297,1
1,0,0.7300944,1
1,0,0.5179174,1
1,0,0.12182776,0
1,0,0.21145403,0
1,0,0.83088845,1
1,0,0.26834998,0
1,0,0.77960706,1
1,0,0.88451785,1
1,0,0.6005215,1
1,0,0.7954288,1
1,0,0.8459866,1
1,0,0.89019513,1
1,0,0.7045369,1
1,0,0.62136436,1
1,0,0.4877524,0
1,0,0.79306144,1
1,0,0.63263357,1
1,0,0.83033437,1
1,0,0.82486445,1
1,0,0.92942625,1
1,0,0.892398,1
1,0,0.91376096,1
1,0,0.9017846,1
1,0,0.97678125,1
1,0,0.74929667,1
1,0,0.9533738,1
1,0,0.95260453,1
1,0,0.9802501,1
1,0,0.61084044,1
1,0,0.8408236,1
1,0,0.9099561,1
1,0,0.8045297,1
1,0,0.3543569,0
1,0,0.32562217,0
1,0,0.6498798,1
1,0,0.47324967,0
1,0,0.3449243,0
1,0,0.83011085,1
1,0,0.48258445,0
1,0,0.6031431,1
1,0,0.88608104,1
1,0,0.9487343,1
1,0,0.7775907,1
1,0,0.9577354,1
1,0,0.90411115,1
1,0,0.8383496,1
1,0,0.95781827,1
1,0,0.9622041,1
1,0,0.96187234,1
1,0,0.92923784,1
1,0,0.95810515,1
1,0,0.9779571,1
1,0,0.83556634,1
1,0,0.9529311,1
1,0,0.9572568,1
1,0,0.9799299,1
1,0,0.83375007,1
1,0,0.95277494,1
1,0,0.6663037,1
1,0,0.90035677,1
1,1,0.886054,1
1,1,0.8701444,1
1,1,0.61557734,1
1,1,0.6615524,1
1,1,0.1545255,0
1,1,0.5423719,1
1,1,0.83126587,1
1,1,0.4315158,0
1,1,0.36686125,0
1,1,0.60359037,1
1,1,0.82100385,1
1,1,0.711058,1
1,1,0.55411,1
1,1,0.88882434,1
1,1,0.86305624,1
1,0,0.79072315,1
1,0,0.729414,1
1,0,0.5009542,1
1,0,0.66283256,1
1,0,0.8029491,1
1,0,0.8297039,1
1,0,0.56637704,1
1,0,0.44179246,0
1,0,0.37876472,0
1,0,0.5751759,1
1,0,0.56660885,1
1,0,0.5222597,1
1,0,0.78283644,1
1,0,0.49310917,0
1,0,0.80671453,1
1,0,0.83521897,1
1,0,0.7764242,1
1,0,0.83567506,1
1,0,0.80215377,1
1,0,0.8098351,1
1,0,0.72559655,1
1,0,0.77604306,1
1,0,0.80637574,1
1,0,0.9171017,1
1,0,0.86810803,1
1,0,0.51731354,1
1,0,0.47539997,0
1,0,0.8026497,1
1,0,0.63525563,1
1,0,0.6691063,1
1,0,0.64265627,1
1,0,0.7469949,1
1,0,0.8666287,1
1,0,0.9545148,1
1,0,0.9153765,1
1,0,0.9679349,1
1,0,0.9677191,1
1,0,0.9512989,1
1,0,0.88023716,1
1,0,0.89380246,1
1,0,0.9447529,1
1,0,0.7484134,1
1,0,0.76910615,1
1,0,0.73553634,1
1,0,0.8153174,1
1,0,0.9006945,1
1,0,0.76365584,1
1,0,0.4887385,0
1,0,0.7030423,1
1,0,0.8678845,1
1,0,0.9686123,1
1,0,0.74818665,1
1,0,0.86275357,1
1,0,0.7388217,1
1,1,0.9492802,1
1,1,0.9347584,1
1,1,0.8759148,1
1,1,0.9842241,1
1,1,0.9117451,1
1,1,0.86459005,1
1,1,0.8951865,1
1,1,0.15584767,0
1,1,0.18250334,0
1,1,0.66202366,1
1,1,0.22574231,0
1,1,0.11923593,0
1,1,0.9769843,1
1,1,0.7927893,1
1,1,0.56316763,1
1,0,0.17624101,0
1,0,0.50015986,1
1,0,0.78369737,1
1,0,0.93973476,1
1,0,0.97429514,1
1,0,0.8739119,1
1,0,0.9806475,1
1,0,0.990128,1
1,0,0.96646833,1
1,0,0.5095111,1
1,0,0.7106034,1
1,0,0.4307978,0
1,0,0.3154854,0
1,0,0.83432806,1
1,0,0.66992575,1
1,0,0.77938205,1
1,0,0.87964666,1
1,0,0.90034014,1
1,0,0.868828,1
1,0,0.845645,1
1,0,0.8375411,1
1,0,0.9421127,1
1,0,0.7576683,1
1,0,0.780677,1
1,0,0.72302264,1
1,0,0.5213178,1
1,0,0.1505971,0
1,0,0.21281412,0
1,0,0.84862465,1
1,0,0.3059129,0
1,0,0.83325183,1
1,0,0.9031913,1
1,0,0.64788914,1
1,0,0.8256198,1
1,0,0.904458,1
1,0,0.930144,1
1,0,0.73364264,1
1,0,0.6379828,1
1,0,0.49261966,0
1,0,0.80110204,1
1,0,0.6319027,1
1,0,0.84076834,1
1,0,0.7985947,1
1,0,0.915353,1
1,0,0.90786314,1
1,0,0.9122199,1
1,0,0.94382447,1
1,0,0.9837159,1
1,0,0.780384,1
1,0,0.9626109,1
1,0,0.9692898,1
1,0,0.9843317,1
1,0,0.6307931,1
1,0,0.8708518,1
1,0,0.9332142,1
1,0,0.82689035,1
1,0,0.42006117,0
1,0,0.33841047,0
1,0,0.6890838,1
1,0,0.46302244,0
1,0,0.39556336,0
1,0,0.84879285,1
1,0,0.52574503,1
1,0,0.6094535,1
1,0,0.91147786,1
1,0,0.93762434,1
1,0,0.7972014,1
1,0,0.9696257,1
1,0,0.91662484,1
1,0,0.8505359,1
1,0,0.9572036,1
1,0,0.9677425,1
1,0,0.9689913,1
1,0,0.9260233,1
1,0,0.968811,1
1,0,0.984518,1
1,0,0.88060427,1
1,0,0.9622816,1
1,0,0.96529424,1
1,0,0.98877114,1
1,0,0.8625407,1
1,0,0.9485764,1
1,0,0.75865227,1
1,0,0.8886147,1
1,1,0.8978794,1
1,1,0.9077874,1
1,1,0.57800204,1
1,1,0.7175675,1
1,1,0.14163719,0
1,1,0.5485477,1
1,1,0.8323854,1
1,1,0.45146933,0
1,1,0.37243983,0
1,1,0.5387273,1
1,1,0.80566067,1
1,1,0.7654431,1
1,1,0.5915877,1
1,1,0.8938645,1
1,1,0.8959303,1
1,0,0.83174735,1
1,0,0.7463967,1
1,0,0.6144052,1
1,0,0.70822215,1
1,0,0.8032577,1
1,0,0.82577914,1
1,0,0.58791107,1
1,0,0.49732214,0
1,0,0.39786068,0
1,0,0.5535375,1
1,0,0.5643175,1
1,0,0.5521721,1
1,0,0.7945368,1
1,0,0.5161478,1
1,0,0.8281484,1
1,0,0.8386508,1
1,0,0.8058614,1
1,0,0.871073,1
1,0,0.819107,1
1,0,0.8576947,1
1,0,0.76946324,1
1,0,0.8256978,1
1,0,0.77278334,1
1,0,0.9167012,1
1,0,0.8063928,1
1,0,0.4376663,0
1,0,0.38199574,0
1,0,0.71894,1
1,0,0.6304883,1
1,0,0.69748425,1
1,0,0.5769104,1
1,0,0.71109325,1
1,0,0.84054375,1
1,0,0.9418205,1
1,0,0.92300683,1
1,0,0.96653193,1
1,0,0.9556292,1
1,0,0.94043195,1
1,0,0.8819494,1
1,0,0.8769939,1
1,0,0.9475565,1
1,0,0.7824905,1
1,0,0.7986957,1
1,0,0.6888136,1
1,0,0.7321456,1
1,0,0.9054534,1
1,0,0.71660054,1
1,0,0.50832677,1
1,0,0.51942635,1
1,0,0.8583387,1
1,0,0.9672045,1
1,0,0.69484293,1
1,0,0.78211415,1
1,0,0.69659406,1
1,1,0.9049941,1
1,1,0.88800985,1
1,1,0.87979734,1
1,1,0.9836053,1
1,1,0.9425186,1
1,1,0.9123635,1
1,1,0.91782755,1
1,1,0.17988661,0
1,1,0.2638856,0
1,1,0.8343687,1
1,1,0.38599658,0
1,1,0.1017159,0
1,1,0.9804109,1
1,1,0.8801035,1
1,1,0.6064393,1
1,0,0.7343207,1
1,0,0.92938167,1
1,0,0.89063144,1
1,0,0.92040503,1
1,0,0.9720534,1
1,0,0.9157798,1
1,0,0.92188776,1
1,0,0.82381076,1
1,0,0.93264043,1
1,0,0.88211256,1
1,0,0.8069452,1
1,0,0.9403433,1
1,0,0.7281138,1
1,0,0.7484896,1
1,0,0.90028304,1
1,0,0.38661823,0
1,0,0.79580814,1
1,0,0.39426795,0
1,0,0.5167609,1
1,0,0.4370781,0
1,0,0.6883688,1
1,0,0.71777004,1
1,0,0.45369148,0
1,0,0.62837046,1
1,0,0.8291498,1
1,0,0.64680827,1
1,0,0.53606576,1
1,0,0.79869276,1
1,0,0.8011163,1
1,0,0.719814,1
1,0,0.9659472,1
1,0,0.9101045,1
1,0,0.87720793,1
1,0,0.92008156,1
1,0,0.8861633,1
1,0,0.9196111,1
1,0,0.9433413,1
1,0,0.9165169,1
1,0,0.8871299,1
1,0,0.9250946,1
1,0,0.9556483,1
1,0,0.939299,1
1,0,0.94424593,1
1,0,0.9130371,1
1,0,0.9637521,1
1,0,0.86620766,1
1,0,0.9378752,1
1,0,0.9554083,1
1,0,0.96087235,1
1,0,0.83091235,1
1,0,0.9296891,1
1,0,0.84263253,1
1,0,0.88365185,1
1,0,0.94469106,1
1,0,0.7781698,1
1,0,0.90997714,1
1,0,0.9409268,1
1,0,0.9221002,1
1,0,0.9274257,1
1,0,0.90370274,1
1,0,0.87172174,1
1,0,0.93870115,1
1,0,0.89554656,1
1,0,0.8804767,1
1,0,0.9150384,1
1,0,0.9090826,1
1,0,0.9439386,1
1,0,0.95604104,1
1,0,0.95872456,1
1,0,0.94531924,1
1,0,0.9571101,1
1,0,0.8559445,1
1,0,0.9388349,1
1,0,0.9042662,1
1,0,0.9008509,1
1,0,0.88086873,1
1,0,0.5429972,1
1,0,0.80310786,1
1,0,0.7720412,1
1,0,0.6210072,1
1,0,0.60417086,1
1,0,0.8834489,1
1,0,0.8887755,1
1,0,0.71421534,1
1,0,0.77960604,1
1,0,0.73840064,1
1,0,0.8427974,1
1,0,0.59962887,1
1,0,0.523376,1
1,0,0.78898704,1
1,0,0.9160356,1
1,0,0.84382224,1
1,0,0.9133827,1
1,0,0.82881975,1
1,0,0.9518085,1
1,0,0.57280195,1
1,0,0.80369145,1
1,0,0.58962387,1
1,0,0.78562146,1
1,0,0.6686416,1
1,0,0.67964214,1
1,0,0.38193935,0
1,0,0.47696862,0
1,0,0.41797787,0
1,0,0.841247,1
1,0,0.6231779,1
1,0,0.78603405,1
1,0,0.7032476,1
1,0,0.92247486,1
1,0,0.953621,1
1,0,0.9586473,1
1,0,0.91561687,1
1,0,0.8385614,1
1,0,0.932693,1
1,0,0.6620274,1
1,0,0.9058376,1
1,0,0.8441451,1
1,0,0.9304299,1
1,0,0.9295307,1
