Fold,Label,Prob,Preds
1,1,0.7666582,1
1,1,0.818271,1
1,1,0.7337082,1
1,1,0.77865404,1
1,1,0.7956731,1
1,1,0.8284935,1
1,1,0.7809425,1
1,1,0.646412,1
1,1,0.756196,1
1,1,0.80631936,1
1,1,0.7371694,1
1,1,0.7456092,1
1,1,0.7112917,1
1,1,0.79210114,1
1,1,0.7626992,1
1,1,0.67872906,1
1,1,0.7350015,1
1,1,0.7192363,1
1,1,0.56995153,1
1,1,0.5749607,1
1,1,0.57324684,1
1,1,0.3489875,0
1,1,0.52814513,1
1,1,0.4211315,0
1,1,0.5951541,1
1,1,0.78017086,1
1,1,0.7962816,1
1,1,0.76678246,1
1,1,0.69135207,1
1,1,0.8048507,1
1,1,0.83372414,1
1,1,0.7676158,1
1,1,0.7755313,1
1,1,0.7866173,1
1,1,0.755074,1
1,1,0.7666823,1
1,1,0.37199742,0
1,1,0.5381566,1
1,1,0.42338285,0
1,1,0.563442,1
1,1,0.5009581,1
1,1,0.45038489,0
1,1,0.5739811,1
1,1,0.50943404,1
1,1,0.5824621,1
1,1,0.5691089,1
1,1,0.70881474,1
1,1,0.6136422,1
1,1,0.46261385,0
1,1,0.4409742,0
1,1,0.5106817,1
1,1,0.3660273,0
1,0,0.4467544,0
1,0,0.50003326,1
1,0,0.3894598,0
1,0,0.3611282,0
1,0,0.46810108,0
1,0,0.38139084,0
1,0,0.54487216,1
1,0,0.41183215,0
1,0,0.39487278,0
1,0,0.40214816,0
1,0,0.5288231,1
1,0,0.39522234,0
1,1,0.4680949,0
1,1,0.36672768,0
1,1,0.33046037,0
1,1,0.53850114,1
1,1,0.56422913,1
1,1,0.4014494,0
1,1,0.5806562,1
1,1,0.49241322,0
1,1,0.63456196,1
1,1,0.47505215,0
1,1,0.6775101,1
1,1,0.60534835,1
1,1,0.72311985,1
1,1,0.61630213,1
1,1,0.62771267,1
1,1,0.6500972,1
1,1,0.6517344,1
1,1,0.574998,1
1,1,0.59710693,1
1,1,0.6047537,1
1,1,0.53955084,1
1,0,0.49631733,0
1,0,0.5573643,1
1,0,0.53691065,1
1,0,0.66329134,1
1,0,0.5851682,1
1,0,0.47667456,0
1,0,0.56919324,1
1,0,0.58500034,1
1,0,0.5790937,1
1,0,0.6597148,1
1,0,0.59430647,1
1,1,0.4995261,0
1,1,0.61678374,1
1,1,0.55955994,1
1,1,0.6464434,1
1,1,0.54978484,1
1,0,0.54079455,1
1,0,0.5232685,1
1,0,0.5731563,1
1,0,0.5460228,1
1,0,0.3987025,0
1,0,0.56506526,1
1,0,0.41271928,0
1,0,0.5743218,1
1,0,0.39455855,0
1,0,0.6676251,1
1,0,0.50767136,1
1,0,0.46419695,0
1,0,0.48183468,0
1,0,0.4562639,0
1,0,0.43358558,0
1,0,0.50956047,1
1,0,0.42046332,0
1,0,0.2977214,0
1,0,0.32605383,0
1,0,0.30889773,0
1,0,0.42738166,0
1,0,0.42226925,0
1,0,0.2583927,0
1,1,0.34672335,0
1,1,0.2687822,0
1,1,0.520814,1
1,1,0.48088226,0
1,1,0.48752314,0
1,1,0.5777156,1
1,1,0.5460706,1
1,1,0.49459162,0
1,1,0.6870183,1
1,0,0.5729668,1
