Fold,Label,Prob,Preds
1,1,0.43768108,0
1,1,0.3347503,0
1,1,0.32578242,0
1,1,0.27613324,0
1,1,0.16228692,0
1,1,0.24030568,0
1,1,0.28363654,0
1,1,0.22310229,0
1,1,0.2329646,0
1,1,0.41369373,0
1,1,0.46180493,0
1,1,0.3649672,0
1,1,0.51458,1
1,1,0.22581193,0
1,1,0.36919463,0
1,1,0.30344948,0
1,1,0.3805505,0
1,0,0.62681127,1
1,0,0.51155055,1
1,0,0.37535447,0
1,0,0.29514885,0
1,0,0.37376675,0
1,0,0.3121855,0
1,0,0.328307,0
1,0,0.16871928,0
1,0,0.15514728,0
1,0,0.10633416,0
1,0,0.18357608,0
1,0,0.20126963,0
1,0,0.2742429,0
1,0,0.31660002,0
1,0,0.49545825,0
1,0,0.3046891,0
1,0,0.4747839,0
1,0,0.24755426,0
1,0,0.28743124,0
1,0,0.33767885,0
1,0,0.5164851,1
1,0,0.30061436,0
1,0,0.2509022,0
1,0,0.14133768,0
1,0,0.17412272,0
1,0,0.19834237,0
1,0,0.19828853,0
1,0,0.21718532,0
1,0,0.10865469,0
1,0,0.11270247,0
1,0,0.16100714,0
1,0,0.15013695,0
1,0,0.17600897,0
1,0,0.14231613,0
1,0,0.19773938,0
1,0,0.13164677,0
1,0,0.13099271,0
1,0,0.17790522,0
1,0,0.26697823,0
1,0,0.17636892,0
1,0,0.27911556,0
1,0,0.15878181,0
1,0,0.123056844,0
1,0,0.20780677,0
1,0,0.13419212,0
1,0,0.22370142,0
1,0,0.21169424,0
1,0,0.24127772,0
1,0,0.21470751,0
1,0,0.13752387,0
1,0,0.27002385,0
1,0,0.2026886,0
1,0,0.30837682,0
1,0,0.26429048,0
1,0,0.24845298,0
1,0,0.24216732,0
1,0,0.3354197,0
1,0,0.24627103,0
1,0,0.30558378,0
1,0,0.32052383,0
1,0,0.32561418,0
1,0,0.44560155,0
1,0,0.25947687,0
1,0,0.45692092,0
1,0,0.23353784,0
1,0,0.307098,0
1,0,0.33362335,0
1,0,0.38062456,0
1,0,0.42277247,0
1,0,0.57998407,1
1,0,0.37748566,0
1,0,0.42553952,0
1,0,0.5985757,1
1,0,0.57096845,1
1,0,0.7188552,1
1,0,0.5892637,1
1,0,0.5962394,1
1,0,0.41676304,0
1,0,0.30420452,0
1,0,0.47840402,0
1,0,0.49892023,0
1,0,0.513443,1
1,0,0.3273804,0
1,0,0.26899725,0
1,0,0.3730717,0
1,0,0.4724026,0
1,0,0.5276881,1
1,0,0.47302255,0
1,0,0.6896942,1
1,0,0.5566792,1
1,0,0.66907734,1
1,0,0.4546821,0
1,0,0.5290633,1
1,0,0.44513777,0
1,0,0.35482344,0
1,1,0.5731975,1
1,1,0.7031701,1
1,1,0.8094117,1
1,1,0.8014099,1
1,1,0.80261374,1
1,1,0.7350464,1
1,1,0.7569603,1
1,1,0.670842,1
1,1,0.63601637,1
1,1,0.5675011,1
1,1,0.53698874,1
1,1,0.6276024,1
1,1,0.6103705,1
1,1,0.6851146,1
1,1,0.50440514,1
1,1,0.620108,1
1,1,0.60391027,1
1,1,0.61013675,1
1,1,0.38824534,0
1,1,0.5588406,1
1,1,0.558649,1
1,1,0.6087193,1
1,1,0.46082357,0
1,1,0.41947135,0
1,1,0.6950763,1
1,1,0.6642257,1
1,1,0.64233625,1
1,1,0.71166044,1
1,1,0.72639847,1
1,1,0.72301424,1
1,1,0.7418087,1
1,1,0.5963433,1
1,1,0.5895335,1
1,1,0.59553236,1
1,1,0.43193656,0
1,1,0.4121173,0
1,1,0.36893412,0
1,1,0.41241837,0
1,1,0.376649,0
1,1,0.29615474,0
1,1,0.20741184,0
1,1,0.30107114,0
1,1,0.18161853,0
1,1,0.19187194,0
1,1,0.14584944,0
1,1,0.19561447,0
1,1,0.20928834,0
1,1,0.20719823,0
1,1,0.232779,0
1,1,0.12138734,0
1,1,0.17562354,0
1,1,0.3002778,0
1,1,0.14000918,0
1,1,0.19870389,0
1,1,0.2824831,0
1,1,0.16229351,0
1,1,0.27522254,0
1,1,0.21296321,0
1,1,0.23172955,0
1,1,0.23864199,0
1,1,0.13382472,0
1,1,0.265657,0
1,1,0.20374072,0
1,1,0.2921189,0
1,1,0.24947768,0
1,1,0.23380606,0
1,1,0.23896773,0
1,1,0.3300046,0
1,1,0.24727477,0
1,1,0.23807412,0
1,1,0.47773543,0
1,1,0.478841,0
1,1,0.812389,1
1,1,0.6098464,1
1,1,0.6992658,1
1,1,0.6987859,1
1,1,0.5943582,1
1,1,0.7068835,1
1,1,0.6680879,1
1,1,0.8057295,1
1,1,0.8419849,1
1,1,0.8158901,1
1,1,0.7809257,1
1,1,0.7041968,1
1,1,0.8269878,1
1,1,0.7720594,1
1,1,0.65124685,1
1,1,0.6574418,1
1,1,0.7027582,1
1,1,0.5582693,1
1,1,0.43110195,0
1,1,0.35778517,0
1,1,0.39113927,0
1,1,0.27598453,0
1,1,0.34124646,0
1,1,0.44896922,0
1,1,0.27333152,0
1,1,0.34298283,0
1,1,0.44153318,0
1,1,0.40758294,0
1,1,0.69186074,1
1,1,0.4590817,0
1,1,0.5298028,1
1,1,0.37571013,0
1,1,0.42582735,0
1,1,0.3305848,0
1,1,0.520168,1
1,1,0.39382082,0
1,1,0.3322423,0
1,1,0.21214373,0
1,1,0.48819703,0
1,1,0.33093533,0
1,1,0.4677917,0
1,1,0.29789472,0
1,1,0.3558561,0
1,1,0.301918,0
1,1,0.44845277,0
1,0,0.2234514,0
1,0,0.31239602,0
1,0,0.1866771,0
1,0,0.32137042,0
1,0,0.1862315,0
1,0,0.30644754,0
1,0,0.30759242,0
1,0,0.31540382,0
1,0,0.4279121,0
1,0,0.24751918,0
1,0,0.44602534,0
1,0,0.516616,1
1,0,0.30557725,0
1,0,0.25419143,0
1,0,0.35714057,0
1,0,0.42424604,0
1,0,0.24525285,0
1,0,0.19840528,0
1,0,0.25670013,0
1,0,0.31345943,0
1,0,0.21367708,0
1,0,0.31138894,0
1,0,0.46836442,0
1,0,0.3523234,0
1,0,0.30620453,0
1,0,0.28200716,0
1,0,0.23835571,0
1,0,0.31427014,0
1,0,0.30780837,0
1,0,0.20296666,0
1,0,0.13957512,0
1,0,0.4495471,0
1,0,0.18371058,0
1,0,0.14241323,0
1,1,0.6010996,1
1,1,0.14074321,0
1,1,0.42446005,0
1,1,0.37738177,0
1,1,0.46205807,0
1,1,0.2655084,0
1,1,0.23439169,0
1,1,0.27047047,0
1,1,0.28931397,0
1,1,0.12962392,0
1,0,0.31383008,0
1,0,0.25970247,0
1,0,0.19994573,0
1,0,0.16999888,0
1,0,0.12411901,0
1,0,0.2297688,0
1,0,0.21641709,0
1,0,0.113012046,0
1,0,0.15492329,0
1,0,0.14939491,0
1,0,0.23491141,0
1,0,0.3682877,0
1,0,0.22592169,0
1,0,0.12582693,0
1,0,0.42664197,0
1,0,0.30349684,0
1,0,0.35446885,0
1,0,0.48767477,0
1,0,0.35784036,0
1,0,0.26918566,0
1,0,0.2762843,0
1,0,0.25394556,0
1,0,0.2412955,0
1,0,0.27841315,0
1,0,0.26975968,0
1,0,0.29501587,0
1,0,0.60931987,1
1,0,0.5601783,1
1,0,0.365121,0
1,0,0.25922522,0
1,0,0.37729183,0
1,0,0.5124385,1
1,0,0.29345718,0
1,0,0.2403626,0
1,0,0.22460954,0
1,0,0.31134403,0
1,0,0.45619416,0
1,0,0.42736825,0
1,0,0.39751396,0
1,0,0.49346587,0
1,0,0.6149042,1
1,0,0.49552977,0
1,0,0.30353436,0
1,0,0.60438687,1
1,0,0.38524747,0
1,0,0.26848114,0
1,0,0.39904007,0
1,0,0.39290777,0
1,0,0.29509416,0
1,0,0.229927,0
1,0,0.15919891,0
1,0,0.14717138,0
1,0,0.18761434,0
1,0,0.18440913,0
1,0,0.13510081,0
1,0,0.19507428,0
1,0,0.2827573,0
1,0,0.17340775,0
1,0,0.28173372,0
1,0,0.19570747,0
1,0,0.20868094,0
1,0,0.148347,0
1,0,0.32390103,0
1,0,0.43591124,0
1,0,0.2444952,0
1,0,0.26713014,0
1,0,0.42355302,0
1,0,0.24269417,0
1,0,0.1932062,0
1,0,0.28738305,0
1,0,0.57464385,1
1,0,0.25009578,0
1,0,0.3915231,0
1,0,0.3462387,0
1,0,0.3606631,0
1,0,0.1431795,0
1,0,0.4137366,0
1,0,0.29095316,0
1,0,0.19922696,0
1,0,0.43004766,0
1,0,0.3833198,0
1,0,0.12178627,0
1,0,0.30209517,0
1,0,0.29575738,0
1,0,0.15843369,0
1,0,0.27498147,0
1,0,0.1906112,0
1,0,0.30220598,0
1,0,0.18023312,0
1,0,0.32779557,0
1,0,0.32532114,0
1,0,0.23659913,0
1,0,0.13390383,0
1,0,0.34818116,0
1,0,0.23960389,0
1,0,0.11264352,0
1,0,0.10746326,0
1,0,0.21294665,0
1,0,0.19767761,0
1,0,0.14122462,0
1,0,0.13884506,0
1,0,0.10597069,0
1,0,0.111573346,0
1,0,0.20018905,0
1,0,0.26606926,0
1,0,0.121892646,0
1,0,0.16566974,0
1,0,0.07236776,0
1,0,0.10351322,0
1,0,0.08046991,0
1,0,0.15878023,0
1,0,0.1922818,0
1,0,0.076407954,0
1,0,0.11767769,0
1,0,0.07274715,0
1,0,0.45454416,0
1,0,0.17337444,0
1,0,0.53575987,1
1,0,0.14943735,0
1,0,0.17783153,0
1,0,0.2038814,0
1,0,0.3169119,0
1,0,0.47282875,0
1,0,0.39067733,0
1,0,0.37835452,0
1,0,0.44488898,0
1,0,0.52667373,1
1,0,0.33207494,0
1,0,0.43127927,0
1,0,0.45489785,0
1,0,0.48240831,0
1,0,0.3808374,0
1,0,0.35212684,0
1,0,0.30624175,0
1,0,0.50940156,1
1,0,0.37312582,0
1,0,0.46943882,0
1,0,0.29890916,0
1,0,0.27068743,0
1,0,0.26569462,0
1,0,0.28334326,0
1,0,0.28097692,0
1,0,0.32426816,0
1,0,0.19082907,0
1,0,0.32231075,0
1,0,0.21459655,0
1,0,0.2152786,0
1,0,0.26653242,0
1,0,0.18224743,0
1,0,0.23198633,0
1,0,0.14105345,0
1,0,0.2625929,0
1,0,0.28464743,0
1,0,0.27216962,0
1,0,0.48063517,0
1,0,0.39620003,0
1,0,0.20787129,0
1,0,0.19201708,0
1,0,0.43151835,0
1,0,0.32789326,0
1,0,0.2999288,0
1,0,0.5166258,1
1,0,0.4211221,0
1,0,0.42725143,0
1,0,0.50374234,1
1,0,0.5593636,1
1,0,0.36119702,0
1,0,0.4239353,0
1,0,0.3325741,0
1,0,0.41881666,0
1,0,0.44409338,0
1,0,0.39178136,0
1,0,0.17145622,0
1,0,0.2627332,0
1,0,0.27078137,0
1,0,0.15202916,0
1,0,0.13782866,0
1,0,0.23957255,0
1,0,0.22233929,0
1,0,0.20391908,0
1,0,0.29528147,0
1,0,0.27569434,0
1,0,0.16678594,0
1,0,0.35667974,0
1,0,0.27657104,0
1,0,0.26896617,0
1,0,0.23435512,0
1,0,0.22813097,0
1,0,0.28927153,0
1,0,0.28528428,0
1,0,0.29407015,0
1,0,0.43578675,0
1,0,0.26329827,0
1,0,0.24100213,0
1,0,0.31972808,0
1,0,0.19595934,0
1,0,0.38522193,0
1,0,0.4610095,0
1,0,0.22866923,0
1,0,0.19876038,0
1,0,0.4618075,0
1,0,0.23225142,0
1,0,0.20151795,0
1,0,0.1636915,0
1,0,0.3082729,0
1,0,0.28585857,0
1,0,0.32837358,0
1,0,0.19141789,0
1,0,0.1585165,0
1,0,0.12199395,0
1,0,0.24666746,0
1,0,0.1501507,0
1,0,0.11855029,0
1,0,0.0803768,0
1,0,0.23879746,0
1,0,0.18606174,0
1,0,0.1657512,0
1,0,0.19061111,0
1,0,0.16545182,0
1,0,0.07120405,0
1,0,0.2621667,0
1,0,0.287761,0
1,0,0.18754457,0
1,0,0.23778677,0
1,0,0.10686662,0
1,0,0.47533533,0
1,0,0.30802923,0
1,0,0.23762117,0
1,0,0.3792044,0
1,0,0.44976407,0
1,0,0.44860664,0
1,0,0.4252593,0
1,0,0.24797167,0
1,0,0.22721782,0
1,0,0.36079803,0
1,0,0.25711024,0
1,0,0.15897858,0
1,0,0.23757873,0
1,0,0.258519,0
1,0,0.16408183,0
1,0,0.18254471,0
1,0,0.38138354,0
1,0,0.1957145,0
1,0,0.27258825,0
1,0,0.2845484,0
1,0,0.32442385,0
1,0,0.44072917,0
1,0,0.24009657,0
1,0,0.4561044,0
1,0,0.31108302,0
1,0,0.41878864,0
1,0,0.4178764,0
1,0,0.5243113,1
1,0,0.32978556,0
1,0,0.40523326,0
1,0,0.47791505,0
1,0,0.4684621,0
1,0,0.5362092,1
1,0,0.43239564,0
1,0,0.4758998,0
1,0,0.78163284,1
1,0,0.4774902,0
1,0,0.4833878,0
1,0,0.40148804,0
1,0,0.25143176,0
1,0,0.27651504,0
1,0,0.44309235,0
1,0,0.38273877,0
1,0,0.1221576,0
1,0,0.3646729,0
1,0,0.42739215,0
