Fold,Label,Prob,Preds
1,1,0.64557457,1
1,1,0.6642735,1
1,1,0.603949,1
1,1,0.6808822,1
1,1,0.7503183,1
1,1,0.6615117,1
1,1,0.64564306,1
1,1,0.5740621,1
1,1,0.63835055,1
1,1,0.52747095,1
1,1,0.6205496,1
1,1,0.7191513,1
1,1,0.73566526,1
1,1,0.7700374,1
1,1,0.68415475,1
1,1,0.69082266,1
1,1,0.62657577,1
1,0,0.68126756,1
1,0,0.49903864,0
1,0,0.5064861,1
1,0,0.45630857,0
1,0,0.42149585,0
1,0,0.25728884,0
1,0,0.3464711,0
1,0,0.32062525,0
1,0,0.3275512,0
1,0,0.26602095,0
1,0,0.20757784,0
1,0,0.23576064,0
1,0,0.28163162,0
1,0,0.33820876,0
1,0,0.4052095,0
1,0,0.3812768,0
1,0,0.46978208,0
1,0,0.34710306,0
1,0,0.53377986,1
1,0,0.39900544,0
1,0,0.58622736,1
1,0,0.51983875,1
1,0,0.4479849,0
1,0,0.46737003,0
1,0,0.5288399,1
1,0,0.47965443,0
1,0,0.48654497,0
1,0,0.57481354,1
1,0,0.5665082,1
1,0,0.58970946,1
1,0,0.45382857,0
1,0,0.53625923,1
1,0,0.51174706,1
1,0,0.46420032,0
1,0,0.665535,1
1,0,0.6401489,1
1,0,0.52936625,1
1,0,0.5341175,1
1,0,0.5425198,1
1,0,0.45793316,0
1,0,0.5219812,1
1,0,0.38666916,0
1,0,0.5021463,1
1,0,0.49892142,0
1,0,0.49279654,0
1,0,0.5289009,1
1,0,0.46439973,0
1,0,0.56576735,1
1,0,0.49898708,0
1,0,0.48974577,0
1,0,0.5162342,1
1,0,0.4928598,0
1,0,0.6070443,1
1,0,0.57317364,1
1,0,0.6175499,1
1,0,0.6151544,1
1,0,0.72498494,1
1,0,0.7175014,1
1,0,0.7081612,1
1,0,0.7632703,1
1,0,0.7558532,1
1,0,0.79299974,1
1,0,0.7004874,1
1,0,0.74518734,1
1,0,0.73501444,1
1,0,0.7661473,1
1,0,0.7935094,1
1,0,0.7176787,1
1,0,0.62246877,1
1,0,0.63366,1
1,0,0.67757547,1
1,0,0.7389955,1
1,0,0.76209116,1
1,0,0.7682872,1
1,0,0.64792037,1
1,0,0.6115978,1
1,0,0.6029667,1
1,0,0.49553293,0
1,0,0.5219345,1
1,0,0.6404732,1
1,0,0.6967238,1
1,0,0.5432663,1
1,0,0.58273494,1
1,0,0.5088162,1
1,0,0.5611051,1
1,0,0.43826512,0
1,0,0.6619504,1
1,0,0.42438745,0
1,0,0.69794184,1
1,0,0.6010488,1
1,0,0.70222414,1
1,0,0.60805875,1
1,0,0.7018005,1
1,0,0.59715766,1
1,0,0.44111004,0
1,1,0.78440845,1
1,1,0.82194144,1
1,1,0.8573456,1
1,1,0.8731946,1
1,1,0.85699916,1
1,1,0.84283376,1
1,1,0.8144166,1
1,1,0.77119637,1
1,1,0.68924147,1
1,1,0.7549315,1
1,1,0.72032076,1
1,1,0.78447497,1
1,1,0.794899,1
1,1,0.8211376,1
1,1,0.85825574,1
1,1,0.85697705,1
1,1,0.8421808,1
1,1,0.80162185,1
1,1,0.77491957,1
1,1,0.7951582,1
1,1,0.71951467,1
1,1,0.7710875,1
1,1,0.70311964,1
1,1,0.6973885,1
1,1,0.750379,1
1,1,0.7959895,1
1,1,0.8002978,1
1,1,0.7880845,1
