Fold,Label,Prob,Preds
1,0,0.6075243,1
1,0,0.25637883,0
1,0,0.44085437,0
1,0,0.3981593,0
1,0,0.3940623,0
1,0,0.13065852,0
1,0,0.24925634,0
1,0,0.2828296,0
1,0,0.27040526,0
1,0,0.23169331,0
1,0,0.21635686,0
1,0,0.16080627,0
1,1,0.23536962,0
1,1,0.38897872,0
1,1,0.14563856,0
1,1,0.19818474,0
1,1,0.1450815,0
1,1,0.40542182,0
1,1,0.42627266,0
1,1,0.33123466,0
1,1,0.63856375,1
1,1,0.37599874,0
1,1,0.5595447,1
1,1,0.7517966,1
1,1,0.7362669,1
1,1,0.62677205,1
1,1,0.7836946,1
1,1,0.55620503,1
1,1,0.5956329,1
1,1,0.5558205,1
1,1,0.7317776,1
1,1,0.6804197,1
1,1,0.47590908,0
1,0,0.4453528,0
1,0,0.501933,1
1,0,0.47374773,0
1,0,0.6502542,1
1,0,0.5771359,1
1,0,0.47096992,0
1,0,0.70028245,1
1,0,0.74645233,1
1,0,0.5132815,1
1,0,0.7355939,1
1,0,0.7581968,1
1,1,0.6208471,1
1,1,0.7254236,1
1,1,0.6270041,1
1,1,0.72183156,1
1,1,0.56602305,1
1,0,0.6943138,1
1,0,0.6912393,1
1,0,0.61348176,1
1,0,0.66608655,1
1,0,0.39784315,0
1,0,0.68555045,1
1,0,0.59791416,1
1,0,0.68007696,1
1,0,0.51738554,1
1,0,0.71022433,1
1,0,0.534108,1
1,0,0.62580043,1
1,0,0.60126406,1
1,0,0.6576419,1
1,0,0.67936426,1
1,0,0.56078863,1
1,0,0.5734981,1
1,0,0.52972233,1
1,0,0.3689809,0
1,0,0.6964697,1
1,0,0.40839693,0
1,0,0.42636368,0
1,0,0.35858,0
1,1,0.43906492,0
1,1,0.4839096,0
1,1,0.6281953,1
1,1,0.6564984,1
1,1,0.7976597,1
1,1,0.40891135,0
1,1,0.4999245,0
1,1,0.6528939,1
1,1,0.45786965,0
1,0,0.21496756,0
1,0,0.50294346,1
1,0,0.55736387,1
1,0,0.3147597,0
1,0,0.45645738,0
1,0,0.33573958,0
1,0,0.35471183,0
1,0,0.3899553,0
1,0,0.532407,1
1,0,0.361731,0
1,0,0.29895237,0
1,0,0.5831888,1
1,0,0.61280054,1
1,0,0.5435195,1
1,0,0.5356672,1
1,0,0.68288434,1
1,0,0.6500308,1
1,0,0.733598,1
1,0,0.7251442,1
1,0,0.8273234,1
1,0,0.64162433,1
1,0,0.7398031,1
1,0,0.67845595,1
1,0,0.78906155,1
1,0,0.7091141,1
1,0,0.80869883,1
1,0,0.6153894,1
1,0,0.79357684,1
1,0,0.74239886,1
1,0,0.6010937,1
1,0,0.6613512,1
1,0,0.60675573,1
1,0,0.5945759,1
1,0,0.64414215,1
1,0,0.6560871,1
1,0,0.682762,1
1,0,0.55462104,1
1,0,0.7242522,1
1,1,0.6987698,1
1,1,0.59816283,1
1,1,0.68089825,1
1,1,0.6578716,1
1,1,0.5833883,1
1,1,0.4033142,0
1,1,0.32530692,0
1,1,0.4936718,0
1,1,0.61760914,1
1,0,0.6617092,1
1,0,0.4136889,0
1,0,0.44033536,0
1,0,0.59563315,1
1,0,0.55885106,1
1,0,0.74805593,1
1,0,0.6216464,1
1,0,0.8190211,1
1,0,0.6331148,1
1,0,0.3630371,0
1,0,0.56880677,1
1,0,0.6158443,1
1,0,0.5327091,1
1,0,0.5424382,1
1,0,0.38860357,0
1,0,0.47184405,0
1,0,0.35005766,0
1,0,0.36054215,0
1,0,0.5100773,1
1,0,0.62668395,1
1,0,0.5546787,1
1,0,0.5283939,1
1,0,0.55024576,1
1,0,0.7095405,1
1,0,0.6963942,1
1,0,0.7677685,1
1,0,0.5491205,1
1,1,0.6195376,1
1,1,0.6059371,1
1,1,0.6427267,1
1,1,0.61769956,1
1,1,0.44509265,0
1,1,0.7570977,1
1,1,0.45663,0
1,1,0.4878538,0
1,1,0.34351686,0
1,0,0.45185992,0
1,0,0.6088022,1
1,0,0.6627544,1
1,0,0.6223557,1
1,0,0.611128,1
1,0,0.60108393,1
1,0,0.64571375,1
1,1,0.44740355,0
1,1,0.71389467,1
1,1,0.6050514,1
1,1,0.6774674,1
1,1,0.47528386,0
1,1,0.540629,1
1,1,0.48927766,0
1,1,0.53428966,1
1,1,0.3832271,0
1,1,0.6223861,1
1,1,0.5517424,1
1,1,0.56865096,1
1,1,0.74232525,1
1,1,0.6972792,1
1,1,0.7755071,1
1,1,0.7112479,1
1,1,0.7529913,1
1,1,0.7707485,1
1,1,0.7179745,1
1,1,0.6520031,1
1,1,0.7073147,1
1,0,0.70247406,1
1,0,0.5635754,1
1,0,0.6861369,1
1,0,0.5637769,1
1,0,0.55792344,1
1,0,0.6823742,1
1,0,0.55190474,1
1,0,0.55755925,1
1,0,0.6548364,1
1,0,0.49325418,0
1,0,0.64524686,1
1,0,0.5727946,1
1,0,0.5678358,1
1,0,0.48016965,0
1,0,0.39272898,0
1,1,0.4398428,0
1,1,0.37576044,0
1,1,0.40341544,0
1,1,0.5372173,1
1,1,0.5893187,1
1,1,0.51006603,1
1,1,0.40462133,0
1,1,0.33135045,0
1,1,0.5254847,1
1,1,0.5317092,1
1,1,0.5921018,1
1,1,0.6945552,1
1,1,0.7981368,1
1,1,0.6502224,1
1,1,0.603425,1
1,1,0.5169002,1
1,1,0.69482154,1
1,0,0.7105122,1
1,0,0.54045415,1
1,0,0.60433906,1
1,0,0.44347727,0
1,0,0.5381816,1
1,0,0.38860998,0
1,0,0.34823322,0
1,0,0.65298253,1
1,0,0.3432643,0
1,0,0.55879074,1
1,0,0.71461475,1
1,1,0.5343965,1
1,1,0.6740966,1
1,1,0.5634877,1
1,1,0.59862757,1
1,1,0.4514358,0
1,1,0.663789,1
1,1,0.63159734,1
1,1,0.64412093,1
1,1,0.6708589,1
1,1,0.57987815,1
1,1,0.4955717,0
1,1,0.50626606,1
1,1,0.6282974,1
1,1,0.29677784,0
1,1,0.6013514,1
1,1,0.2802048,0
1,1,0.5558816,1
1,1,0.6104815,1
1,1,0.7217578,1
1,1,0.5822097,1
1,1,0.46179327,0
1,1,0.34456593,0
1,1,0.29564682,0
1,1,0.67063516,1
1,1,0.5465035,1
1,1,0.6134078,1
1,1,0.28680292,0
1,1,0.6742575,1
1,1,0.71427035,1
1,1,0.60583085,1
1,1,0.80257523,1
1,1,0.45610538,0
1,1,0.49332082,0
